Estimated optical constants of the Tagish Lake meteorite, from Roush,
Meteoritics and Planetary Science, v. 38, no. 3, 419-426, 2003.
  Wavelength Frequency  real     imaginary
  (microns)    (cm-1)   index      index
   25.9207    385.79   1.77712  3.5677E-02
   25.7917    387.72   1.77129  3.5665E-02
   25.6640    389.65   1.76291  3.5115E-02
   25.5376    391.58   1.75835  3.5697E-02
   25.4124    393.51   1.75466  3.6280E-02
   25.2885    395.44   1.75190  3.5440E-02
   25.1657    397.37   1.74988  3.5857E-02
   25.0441    399.30   1.74811  3.5620E-02
   24.9237    401.22   1.74663  3.6057E-02
   24.8045    403.15   1.74481  3.6910E-02
   24.6864    405.08   1.74280  3.6778E-02
   24.5694    407.01   1.74120  3.6022E-02
   24.4535    408.94   1.74022  3.5197E-02
   24.3387    410.87   1.73951  3.5119E-02
   24.2249    412.80   1.73871  3.5305E-02
   24.1123    414.73   1.73778  3.5326E-02
   24.0006    416.66   1.73687  3.5501E-02
   23.8900    418.59   1.73569  3.5765E-02
   23.7804    420.51   1.73446  3.5372E-02
   23.6719    422.44   1.73360  3.4476E-02
   23.5643    424.37   1.73301  3.4283E-02
   23.4576    426.30   1.73221  3.4248E-02
   23.3520    428.23   1.73133  3.3529E-02
   23.2472    430.16   1.73101  3.2515E-02
   23.1435    432.09   1.73077  3.2415E-02
   23.0406    434.02   1.73031  3.2331E-02
   22.9387    435.94   1.72990  3.1572E-02
   22.8376    437.87   1.72983  3.1147E-02
   22.7374    439.80   1.72961  3.1249E-02
   22.6381    441.73   1.72920  3.0970E-02
   22.5397    443.66   1.72899  3.0279E-02
   22.4421    445.59   1.72899  3.0003E-02
   22.3454    447.52   1.72899  2.9687E-02
   22.2495    449.45   1.72910  2.9453E-02
   22.1544    451.38   1.72919  2.9549E-02
   22.0602    453.31   1.72904  2.9738E-02
   21.9667    455.23   1.72883  2.9640E-02
   21.8740    457.16   1.72872  2.9345E-02
   21.7821    459.09   1.72871  2.9198E-02
   21.6909    461.02   1.72868  2.9222E-02
   21.6006    462.95   1.72859  2.9003E-02
   21.5109    464.88   1.72866  2.8810E-02
   21.4220    466.81   1.72877  2.8715E-02
   21.3339    468.74   1.72886  2.8684E-02
   21.2465    470.67   1.72896  2.8664E-02
   21.1597    472.60   1.72906  2.8709E-02
   21.0737    474.53   1.72916  2.8579E-02
   20.9884    476.45   1.72942  2.8464E-02
   20.9038    478.38   1.72972  2.8622E-02
   20.8198    480.31   1.72998  2.8877E-02
   20.7365    482.24   1.73017  2.9155E-02
   20.6539    484.17   1.73030  2.9512E-02
   20.5720    486.10   1.73037  2.9779E-02
   20.4907    488.03   1.73049  3.0021E-02
   20.4100    489.96   1.73053  3.0516E-02
   20.3299    491.89   1.73048  3.0809E-02
   20.2505    493.81   1.73046  3.0937E-02
   20.1717    495.74   1.73052  3.1183E-02
   20.0936    497.67   1.73062  3.1298E-02
   20.0160    499.60   1.73080  3.1708E-02
   19.9390    501.53   1.73078  3.2280E-02
   19.8626    503.46   1.73078  3.2321E-02
   19.7868    505.39   1.73099  3.2524E-02
   19.7115    507.32   1.73125  3.3109E-02
   19.6369    509.25   1.73129  3.3786E-02
   19.5628    511.17   1.73114  3.4546E-02
   19.4892    513.10   1.73101  3.4700E-02
   19.4162    515.03   1.73107  3.5047E-02
   19.3438    516.96   1.73109  3.5640E-02
   19.2719    518.89   1.73113  3.6040E-02
   19.2005    520.82   1.73124  3.6649E-02
   19.1297    522.75   1.73124  3.7368E-02
   19.0593    524.68   1.73126  3.8162E-02
   18.9895    526.61   1.73113  3.9029E-02
   18.9202    528.54   1.73090  3.9979E-02
   18.8514    530.46   1.73054  4.0848E-02
   18.7831    532.39   1.73019  4.1584E-02
   18.7153    534.32   1.72989  4.2413E-02
   18.6480    536.25   1.72936  4.3743E-02
   18.5811    538.18   1.72853  4.4889E-02
   18.5148    540.11   1.72744  4.5670E-02
   18.4489    542.04   1.72628  4.6420E-02
   18.3835    543.97   1.72513  4.6458E-02
   18.3185    545.90   1.72434  4.6474E-02
   18.2540    547.83   1.72352  4.6966E-02
   18.1899    549.76   1.72261  4.7269E-02
   18.1264    551.68   1.72157  4.7346E-02
   18.0632    553.61   1.72068  4.7419E-02
   18.0005    555.54   1.71981  4.7131E-02
   17.9382    557.47   1.71920  4.6931E-02
   17.8763    559.40   1.71864  4.7004E-02
   17.8149    561.33   1.71795  4.7035E-02
   17.7539    563.26   1.71737  4.6893E-02
   17.6933    565.19   1.71673  4.7158E-02
   17.6331    567.12   1.71595  4.7116E-02
   17.5733    569.05   1.71532  4.6850E-02
   17.5140    570.97   1.71467  4.6777E-02
   17.4550    572.90   1.71406  4.6723E-02
   17.3964    574.83   1.71342  4.6458E-02
   17.3382    576.76   1.71294  4.6104E-02
   17.2804    578.69   1.71253  4.6027E-02
   17.2230    580.62   1.71209  4.5943E-02
   17.1660    582.55   1.71157  4.6027E-02
   17.1094    584.47   1.71086  4.6066E-02
   17.0531    586.40   1.71015  4.5812E-02
   16.9972    588.33   1.70954  4.5247E-02
   16.9416    590.26   1.70922  4.4809E-02
   16.8864    592.19   1.70882  4.4774E-02
   16.8316    594.12   1.70836  4.4370E-02
   16.7771    596.05   1.70798  4.4232E-02
   16.7230    597.98   1.70743  4.3947E-02
   16.6692    599.91   1.70711  4.3228E-02
   16.6158    601.84   1.70701  4.2744E-02
   16.5627    603.77   1.70696  4.2671E-02
   16.5100    605.69   1.70669  4.2586E-02
   16.4576    607.62   1.70648  4.2263E-02
   16.4055    609.55   1.70641  4.1971E-02
   16.3537    611.48   1.70636  4.2098E-02
   16.3023    613.41   1.70599  4.2325E-02
   16.2512    615.34   1.70556  4.2105E-02
   16.2004    617.27   1.70531  4.1755E-02
   16.1500    619.20   1.70510  4.1502E-02
   16.0998    621.13   1.70502  4.1440E-02
   16.0499    623.06   1.70483  4.1521E-02
   16.0004    624.98   1.70445  4.1563E-02
   15.9512    626.91   1.70410  4.1329E-02
