From Rouleau, F. and P.G. Martin, Shape and clustering effects on the
optical properties of amorphous carbon, Astrophys. J., 377, 526-540, 1991.
Sample:  AC1
      Wavelength       Wave          real     imaginary
      (microns)       Number        index       index   
     3.54290E-04    2.82260E+07    1.00000    2.96400E-07
     3.75080E-04    2.66610E+07    1.00000    3.73100E-07
     3.96930E-04    2.51940E+07    1.00000    4.68800E-07
     4.20200E-04    2.37980E+07    1.00000    5.88300E-07
     4.44760E-04    2.24840E+07    1.00000    7.37800E-07
     4.70770E-04    2.12420E+07    1.00000    9.24700E-07
     4.98390E-04    2.00650E+07    1.00000    1.16100E-06
     5.27660E-04    1.89520E+07    1.00000    1.45800E-06
     5.58310E-04    1.79110E+07    1.00000    1.82900E-06
     5.91040E-04    1.69190E+07    1.00000    2.28500E-06
     6.25630E-04    1.59840E+07    1.00000    2.86000E-06
     6.62390E-04    1.50970E+07    1.00000    3.58100E-06
     7.00960E-04    1.42660E+07    1.00000    4.48000E-06
     7.42070E-04    1.34760E+07    1.00000    5.60100E-06
     7.85800E-04    1.27260E+07    1.00000    6.99100E-06
     8.31660E-04    1.20240E+07    1.00000    8.72200E-06
     8.80060E-04    1.13630E+07    1.00000    1.08500E-05
     9.31630E-04    1.07340E+07    1.00000    1.35100E-05
     9.86480E-04    1.01370E+07    1.00000    1.68600E-05
     1.04380E-03    9.58060E+06    1.00000    2.10800E-05
     1.10520E-03    9.04840E+06    1.00000    2.61700E-05
     1.16980E-03    8.54840E+06    1.00000    3.24200E-05
     1.23880E-03    8.07260E+06    1.00000    4.03700E-05
     1.31060E-03    7.62980E+06    1.00000    4.99100E-05
     1.38730E-03    7.20810E+06   0.999500    6.18200E-05
     1.46850E-03    6.80970E+06   0.999400    7.66400E-05
     1.55450E-03    6.43310E+06   0.999300    9.46100E-05
     1.64540E-03    6.07740E+06   0.999300    1.17400E-04
     1.74180E-03    5.74110E+06   0.999200    1.45200E-04
     1.84390E-03    5.42340E+06   0.999100    1.75900E-04
     1.95150E-03    5.12420E+06   0.999000    2.17800E-04
     2.06600E-03    4.84030E+06   0.998900    2.67500E-04
     2.18690E-03    4.57260E+06   0.998700    3.28000E-04
     2.31470E-03    4.32020E+06   0.998600    4.02800E-04
     2.45010E-03    4.08150E+06   0.998500    4.89300E-04
     2.59360E-03    3.85560E+06   0.998300    5.98200E-04
     2.74520E-03    3.64270E+06   0.998100    7.31500E-04
     2.90600E-03    3.44110E+06   0.998000    8.87200E-04
     3.07620E-03    3.25080E+06   0.997800    1.07900E-03
     3.25630E-03    3.07100E+06   0.997600    1.32700E-03
     3.44730E-03    2.90080E+06   0.997500    1.62200E-03
     3.64810E-03    2.74110E+06   0.997400    1.97100E-03
     3.86170E-03    2.58950E+06   0.997500    2.39000E-03
     4.08840E-03    2.44600E+06   0.998300    2.90300E-03
     4.32810E-03    2.31050E+06   0.999200    3.52100E-03
     4.58070E-03    2.18310E+06   0.998700    1.68700E-04
     4.84940E-03    2.06210E+06   0.997400    2.04800E-04
     5.13250E-03    1.94840E+06   0.996600    2.49200E-04
     5.43380E-03    1.84030E+06   0.995800    3.03100E-04
     5.75410E-03    1.73790E+06   0.995100    3.68500E-04
     6.08740E-03    1.64270E+06   0.994300    4.47900E-04
