Arc-evaporated carbon film from Handbook of optical constants of 
solids II, edited by E.D. Palik (1991) Academic Press.  Values set 
to -1.e+32 where data is not provided.
Wavel.    real imag.
microns  index index
--------------------
0.1240 1.66 0.795
0.1378 1.70 0.713
0.1550 1.71 0.656
0.1771 1.70 0.628
0.2066 1.70 0.646
0.2480 1.73 0.712
0.3100 1.84 0.808
0.3263 1.90 0.91
0.3444 1.94 0.92
0.3647 2.00 0.92
0.3884 2.06 0.91
0.4133 2.11 0.90
0.4428 2.17 0.89
0.4789 2.24 0.88
0.5166 2.30 0.87
0.5636 2.38 0.82
0.6199 2.43 0.75
0.6888 2.43 0.70
0.7749 2.33 0.71
0.8856 2.24 0.80
1.033 2.26 1.09
1.240 2.63 1.47
1.550 3.34 1.63
1.771 3.67 1.60
2.066 3.73 1.54
