From Rouleau and Martin, Astrophys. J., 377, 526-540, 1991.
Sample:  BE1
  Wavelength     Wave        real     imaginary
  (microns)     Number      index       index   
  3.0046E+02  3.3282E+01  7.9760E+00  5.7150E+00
  2.8382E+02  3.5234E+01  7.2760E+00  5.4650E+00
  2.6817E+02  3.7290E+01  6.9490E+00  5.0570E+00
  2.5332E+02  3.9476E+01  6.6870E+00  4.7580E+00
  2.3934E+02  4.1782E+01  6.4970E+00  4.4650E+00
  2.2607E+02  4.4234E+01  6.3520E+00  4.2250E+00
  2.1357E+02  4.6823E+01  6.2240E+00  4.0130E+00
  2.0179E+02  4.9556E+01  6.1130E+00  3.8240E+00
  1.9062E+02  5.2460E+01  6.0140E+00  3.6540E+00
  1.8008E+02  5.5532E+01  5.9230E+00  3.5020E+00
  1.7012E+02  5.8782E+01  5.8370E+00  3.3660E+00
  1.6071E+02  6.2226E+01  5.7530E+00  3.2410E+00
  1.5183E+02  6.5863E+01  5.6690E+00  3.1250E+00
  1.4344E+02  6.9718E+01  5.5880E+00  3.0120E+00
  1.3550E+02  7.3798E+01  5.5110E+00  2.9020E+00
  1.2801E+02  7.8121E+01  5.4390E+00  2.7990E+00
  1.2098E+02  8.2661E+01  5.3720E+00  2.7010E+00
  1.1429E+02  8.7500E+01  5.3080E+00  2.6100E+00
  1.0792E+02  9.2661E+01  5.2450E+00  2.5260E+00
  1.0197E+02  9.8065E+01  5.1780E+00  2.4450E+00
  9.6348E+01  1.0379E+02  5.1150E+00  2.3520E+00
  9.0976E+01  1.0992E+02  5.0740E+00  2.2710E+00
  8.5992E+01  1.1629E+02  5.0240E+00  2.2040E+00
  8.1205E+01  1.2315E+02  4.9790E+00  2.1320E+00
  7.6733E+01  1.3032E+02  4.9420E+00  2.0760E+00
  7.2472E+01  1.3798E+02  4.8890E+00  2.0300E+00
  6.8470E+01  1.4605E+02  4.8440E+00  1.9690E+00
  6.4684E+01  1.5460E+02  4.7980E+00  1.9280E+00
  6.1114E+01  1.6363E+02  4.7460E+00  1.8770E+00
  5.7728E+01  1.7323E+02  4.7050E+00  1.8250E+00
  5.4529E+01  1.8339E+02  4.6720E+00  1.7860E+00
  5.1516E+01  1.9411E+02  4.6290E+00  1.7650E+00
  4.8685E+01  2.0540E+02  4.5660E+00  1.7410E+00
  4.5977E+01  2.1750E+02  4.4980E+00  1.6960E+00
  4.3448E+01  2.3016E+02  4.4470E+00  1.6390E+00
  4.1046E+01  2.4363E+02  4.4150E+00  1.5890E+00
  3.8774E+01  2.5790E+02  4.3840E+00  1.5600E+00
  3.6632E+01  2.7298E+02  4.3380E+00  1.5340E+00
  3.4598E+01  2.8903E+02  4.2950E+00  1.4920E+00
  3.2692E+01  3.0589E+02  4.2700E+00  1.4920E+00
  3.0884E+01  3.2379E+02  4.2060E+00  1.4450E+00
  2.9176E+01  3.4274E+02  4.1590E+00  1.4270E+00
  2.7562E+01  3.6282E+02  4.1180E+00  1.3830E+00
  2.6039E+01  3.8403E+02  4.0570E+00  1.3610E+00
  2.4598E+01  4.0653E+02  4.0160E+00  1.3280E+00
  2.3238E+01  4.3032E+02  3.9800E+00  1.2950E+00
  2.1955E+01  4.5548E+02  3.9350E+00  1.2910E+00
  2.0739E+01  4.8218E+02  3.8830E+00  1.2390E+00
  1.9592E+01  5.1040E+02  3.8650E+00  1.1930E+00
  1.8510E+01  5.4024E+02  3.8370E+00  1.1900E+00
  1.7487E+01  5.7185E+02  3.8050E+00  1.1480E+00
  1.6520E+01  6.0532E+02  3.7840E+00  1.1450E+00
  1.5605E+01  6.4081E+02  3.7470E+00  1.1170E+00
  1.4743E+01  6.7831E+02  3.7300E+00  1.0990E+00
  1.3928E+01  7.1798E+02  3.7020E+00  1.0950E+00
  1.3158E+01  7.6000E+02  3.6660E+00  1.0850E+00
  1.2430E+01  8.0452E+02  3.6350E+00  1.0690E+00
  1.1742E+01  8.5161E+02  3.6100E+00  1.0630E+00
  1.1091E+01  9.0161E+02  3.5670E+00  1.0580E+00
  1.0482E+01  9.5403E+02  3.5460E+00  1.0350E+00
  9.9042E+00  1.0097E+03  3.5200E+00  1.0480E+00
  9.3514E+00  1.0694E+03  3.4820E+00  1.0550E+00
  8.8382E+00  1.1315E+03  3.4250E+00  1.0690E+00
  8.3502E+00  1.1976E+03  3.3510E+00  1.0590E+00
  7.8880E+00  1.2677E+03  3.2910E+00  1.0280E+00
  7.4519E+00  1.3419E+03  3.2360E+00  9.8750E-01
  7.0375E+00  1.4210E+03  3.2030E+00  9.4750E-01
  6.6488E+00  1.5040E+03  3.1700E+00  9.0430E-01
  6.2817E+00  1.5919E+03  3.1470E+00  8.6450E-01
  5.9330E+00  1.6855E+03  3.1420E+00  8.2310E-01
  5.6058E+00  1.7839E+03  3.1480E+00  8.0360E-01
  5.2969E+00  1.8879E+03  3.1440E+00  8.0300E-01
  5.0040E+00  1.9984E+03  3.1280E+00  8.0390E-01
  4.7274E+00  2.1153E+03  3.1070E+00  8.0230E-01
  4.4653E+00  2.2395E+03  3.0850E+00  7.9720E-01
  4.2177E+00  2.3710E+03  3.0630E+00  7.9140E-01
  3.9846E+00  2.5097E+03  3.0420E+00  7.8520E-01
  3.7644E+00  2.6565E+03  3.0240E+00  7.7780E-01
  3.5571E+00  2.8113E+03  3.0170E+00  7.7500E-01
  3.3604E+00  2.9758E+03  2.9950E+00  7.9610E-01
  3.1746E+00  3.1500E+03  2.9590E+00  7.9730E-01
  2.9988E+00  3.3347E+03  2.9330E+00  7.9530E-01
  2.8330E+00  3.5298E+03  2.9060E+00  7.9760E-01
  2.6765E+00  3.7363E+03  2.8770E+00  7.9880E-01
  2.5285E+00  3.9548E+03  2.8470E+00  7.9950E-01
  2.3883E+00  4.1871E+03  2.8160E+00  8.0050E-01
  2.2566E+00  4.4315E+03  2.7830E+00  7.9860E-01
  2.1317E+00  4.6911E+03  2.7520E+00  7.9320E-01
  2.0140E+00  4.9653E+03  2.7230E+00  7.8800E-01
  1.9024E+00  5.2565E+03  2.6940E+00  7.8380E-01
