Diamond (Cubic Carbon) from Handbook of optical constants of solids, 
edited by E.D. Palik (1985) Academic Press.  Values set to -1.e+32 
where data is not provided
Wavel.    real imag.
microns  index index
--------------------
0.04133 0.493 0.490
0.04203 0.493 0.521
0.04275 0.494 0.552
0.04350 0.496 0.584
0.04428 0.501 0.616
0.04508 0.508 0.648
0.04592 0.516 0.679
0.04678 0.527 0.708
0.04769 0.538 0.736
0.04862 0.550 0.763
0.04959 0.562 0.787
0.05060 0.574 0.810
0.05166 0.586 0.829
0.05276 0.595 0.843
0.05391 0.597 0.850
0.05510 0.579 0.846
0.05635 0.518 0.888
0.05767 0.483 0.969
0.05904 0.487 1.052
0.06048 0.503 1.130
0.06199 0.527 1.203
0.06358 0.557 1.273
0.06525 0.589 1.341
0.06702 0.626 1.408
0.06888 0.665 1.476
0.07085 0.707 1.546
0.07293 0.753 1.619
0.07514 0.805 1.692
0.07749 0.861 1.767
0.07999 0.917 1.845
0.08266 0.972 1.929
0.08405 0.994 1.978
0.08551 1.018 2.034
0.08700 1.041 2.102
0.08856 1.070 2.178
0.09017 1.098 2.268
0.09184 1.129 2.379
0.09357 1.166 2.522
0.09537 1.223 2.722
0.09686 1.312 2.953
0.09839 1.532 3.265
0.09998 1.983 3.382
0.1016 2.383 3.354
0.1033 2.736 3.228
0.1055 3.090 2.986
0.1078 3.346 2.693
0.1102 3.507 2.380
0.1127 3.582 2.078
0.1153 3.600 1.813
0.1181 3.565 1.581
0.1210 3.514 1.403
0.1240 3.453 1.258
0.1272 3.398 1.147
0.1305 3.348 1.055
0.1340 3.308 0.978
0.1378 3.272 0.910
0.1417 3.247 0.855
0.1459 3.228 0.806
0.1503 3.232 0.765
0.1550 3.251 0.712
0.1590 3.276 0.659
0.1631 3.306 0.592
0.1653 3.321 0.553
0.1675 3.335 0.515
0.1698 3.376 0.473
0.1722 3.437 0.388
0.1734 3.464 0.307
0.1746 3.444 0.210
0.1771 3.322 9.35e-2
0.1797 3.220 5.24e-2
0.1823 3.146 3.44e-2
0.1851 3.085 2.20e-2
0.1879 3.031 1.47e-2
0.1907 2.985 1.10e-2
0.1937 2.944 9.87e-3
0.1968 2.910 9.74e-3
0.2000 2.879 9.30e-3
0.2033 2.852 8.62e-3
0.2066 2.826 7.99e-3
0.2138 2.780 5.02e-3
0.2214 2.740 1.48e-3
0.2234 -1.e+32 5.48e-4
0.2254 -1.e+32 3.41e-5
0.226504 2.7151 2.662e-5
0.2275 -1.e+32 1.48e-5
0.2296 -1.e+32 1.04e-5
0.231288 2.6950 7.10e-6
0.232125  2.6917 7.10e-6
0.2317  -1.e+32 6.45e-6
0.232938 2.6881 -1.e+32
0.2339  -1.e+32 2.98e-6
0.25730 2.6145 1.47e-6
0.27484 2.5786 1.29e-6
0.29807 2.5429 -1.e+32
0.313 -1.e+32 8.97e-7
0.3467 2.4954 -1.e+32 
0.3611 2.4854 -1.e+32
0.36548 -1.e+32 4.65e-7
0.4047 2.4626 3.86e-7
0.43584 -1.e+32 3.82e-7
0.46782 2.4408 -1.e+32 
0.48614 2.4354 -1.e+32 
0.50858 2.4306 -1.e+32 
0.54608 2.4235 -1.e+32 
0.589 2.4175 -1.e+32 
0.64385 2.4111 -1.e+32 
0.65629 2.4104 -1.e+32 
2.583 -1.e+32 6.17e-6
2.638 -1.e+32 1.57e-5
2.695 -1.e+32 3.22e-5
2.755 -1.e+32 3.62e-5
2.818 -1.e+32 3.14e-5
2.883 -1.e+32 2.87e-5
2.952 -1.e+32 2.94e-5
3.024 -1.e+32 3.25e-5
3.099 -1.e+32 3.58e-5
3.179 -1.e+32 3.67e-5
3.263 -1.e+32 3.11e-5
3.351 -1.e+32 2.80e-5
3.444 -1.e+32 2.47e-5
3.542 -1.e+32 2.11e-5
3.646 -1.e+32 1.89e-5
3.757 -1.e+32 2.99e-5
3.874 -1.e+32 1.1e-4
3.999 -1.e+32 1.30e-4
4.133 -1.e+32 1.32e-4
4.203 -1.e+32 1.07e-4
4.275 -1.e+32 7.82e-5
4.350 -1.e+32 1.45e-4
4.428 -1.e+32 2.75e-4
4.508 -1.e+32 3.52e-4
4.592 -1.e+32 4.39e-4
4.635 -1.e+32 4.79e-4
4.679 -1.e+32 4.06e-4
4.723 -1.e+32 3.38e-4
4.768 -1.e+32 2.96e-4
4.862 -1.e+32 3.87e-4
4.910 -1.e+32 4.69e-4
4.959 -1.e+32 5.21e-4
5.009 -1.e+32 4.82e-4
5.060 -1.e+32 4.87e-4
5.113 -1.e+32 4.68e-4
5.166 -1.e+32 3.82e-4
5.276 -1.e+32 2.90e-4
5.391 -1.e+32 2.36e-4
5.5 -1.e+32 1.4e-4
5.510 -1.e+32 1.93e-4
5.636 -1.e+32 1.21e-4
6.0 -1.e+32 5.7e-5
6.5 -1.e+32 3.1e-5
