From Rouleau and Martin, Astrophys. J., 377, 526-540, 1991.
Sample:  FC21PS
  Wavelength     Wave        real     imaginary
  (microns)     Number      index       index   
  3.0046E+02  3.3282E+01  5.8460E+00  8.1240E+00
  2.8382E+02  3.5234E+01  5.5150E+00  7.2940E+00
  2.6817E+02  3.7290E+01  5.5610E+00  6.6810E+00
  2.5332E+02  3.9476E+01  5.5420E+00  6.2140E+00
  2.3934E+02  4.1782E+01  5.5630E+00  5.8020E+00
  2.2607E+02  4.4234E+01  5.5730E+00  5.4690E+00
  2.1357E+02  4.6823E+01  5.5720E+00  5.1750E+00
  2.0179E+02  4.9556E+01  5.5650E+00  4.9130E+00
  1.9062E+02  5.2460E+01  5.5520E+00  4.6790E+00
  1.8008E+02  5.5532E+01  5.5330E+00  4.4680E+00
  1.7012E+02  5.8782E+01  5.5070E+00  4.2760E+00
  1.6071E+02  6.2226E+01  5.4730E+00  4.0990E+00
  1.5183E+02  6.5863E+01  5.4320E+00  3.9320E+00
  1.4344E+02  6.9718E+01  5.3880E+00  3.7710E+00
  1.3550E+02  7.3798E+01  5.3460E+00  3.6180E+00
  1.2801E+02  7.8121E+01  5.3060E+00  3.4730E+00
  1.2098E+02  8.2661E+01  5.2660E+00  3.3380E+00
  1.1429E+02  8.7500E+01  5.2260E+00  3.2130E+00
  1.0792E+02  9.2661E+01  5.1820E+00  3.0960E+00
  1.0197E+02  9.8065E+01  5.1310E+00  2.9830E+00
  9.6348E+01  1.0379E+02  5.0880E+00  2.8570E+00
  9.0976E+01  1.0992E+02  5.0650E+00  2.7530E+00
  8.5992E+01  1.1629E+02  5.0270E+00  2.6630E+00
  8.1205E+01  1.2315E+02  4.9940E+00  2.5690E+00
  7.6733E+01  1.3032E+02  4.9660E+00  2.4950E+00
  7.2472E+01  1.3798E+02  4.9170E+00  2.4290E+00
  6.8470E+01  1.4605E+02  4.8800E+00  2.3490E+00
  6.4684E+01  1.5460E+02  4.8370E+00  2.2920E+00
  6.1114E+01  1.6363E+02  4.7890E+00  2.2220E+00
  5.7728E+01  1.7323E+02  4.7530E+00  2.1540E+00
  5.4529E+01  1.8339E+02  4.7240E+00  2.1030E+00
  5.1516E+01  1.9411E+02  4.6790E+00  2.0710E+00
  4.8685E+01  2.0540E+02  4.6120E+00  2.0310E+00
  4.5977E+01  2.1750E+02  4.5440E+00  1.9680E+00
  4.3448E+01  2.3016E+02  4.4970E+00  1.8940E+00
  4.1046E+01  2.4363E+02  4.4690E+00  1.8330E+00
  3.8774E+01  2.5790E+02  4.4380E+00  1.7950E+00
  3.6632E+01  2.7298E+02  4.3910E+00  1.7590E+00
  3.4598E+01  2.8903E+02  4.3500E+00  1.7060E+00
  3.2692E+01  3.0589E+02  4.3220E+00  1.7020E+00
  3.0884E+01  3.2379E+02  4.2560E+00  1.6390E+00
  2.9176E+01  3.4274E+02  4.2070E+00  1.6130E+00
  2.7562E+01  3.6282E+02  4.1650E+00  1.5590E+00
  2.6039E+01  3.8403E+02  4.1330E+00  1.5310E+00
  2.4598E+01  4.0653E+02  3.9930E+00  1.4610E+00
  2.3238E+01  4.3032E+02  3.9660E+00  1.4220E+00
  2.1955E+01  4.5548E+02  3.9250E+00  1.4140E+00
  2.0739E+01  4.8218E+02  3.8790E+00  1.3520E+00
  1.9592E+01  5.1040E+02  3.8680E+00  1.3020E+00
  1.8510E+01  5.4024E+02  3.8420E+00  1.2950E+00
