Graphite from Handbook of optical constants of solids II, edited by
E.D. Palik (1991) Academic Press.  Values set to -1.e+32 where data is
not provided.  ext=extordinary ray; ord=ordinary ray
Wave-    ext 1 ext 2 ext 1 ext 2  ord.  ord.
length   real  real  imag. imag.  real imag.
microns  index index index index  index index
--------------------------------------------
0.030996 0.91 -1.e-32 0.30 -1.e-32 0.75 0.10
0.031389 0.89 -1.e-32 0.29 -1.e-32 0.75 0.10
0.031791 0.88 -1.e-32 0.28 -1.e-32 0.75 0.10
0.032204 0.86 -1.e-32 0.27 -1.e-32 0.74 0.10
0.032628 0.85 -1.e-32 0.26 -1.e-32 0.74 0.10
0.033063 0.85 -1.e-32 0.26 -1.e-32 0.72 0.10
0.033510 0.85 -1.e-32 0.27 -1.e-32 0.72 0.10
0.033969 0.85 -1.e-32 0.27 -1.e-32 0.72 0.10
0.034440 0.84 -1.e-32 0.28 -1.e-32 0.71 0.10
0.034925 0.85 -1.e-32 0.30 -1.e-32 0.70 0.10
0.035424 0.86 -1.e-32 0.31 -1.e-32 0.68 0.10
0.035938 0.88 -1.e-32 0.33 -1.e-32 0.68 0.10
0.036466 0.89 -1.e-32 0.34 -1.e-32 0.67 0.12
0.037011 0.90 -1.e-32 0.35 -1.e-32 0.67 0.12
0.037571 0.91 -1.e-32 0.36 -1.e-32 0.66 0.12
0.038149 0.92 -1.e-32 0.36 -1.e-32 0.66 0.12
0.038745 0.93 -1.e-32 0.37 -1.e-32 0.64 0.13
0.039360 0.94 -1.e-32 0.37 -1.e-32 0.61 0.13
0.039995 0.95 -1.e-32 0.38 -1.e-32 0.60 0.14
0.040651 0.97 -1.e-32 0.38 -1.e-32 0.58 0.16
0.041328 0.99 -1.e-32 0.39 -1.e-32 0.57 0.16
0.042029 1.01 -1.e-32 0.40 -1.e-32 0.55 0.17
0.042754 1.02 -1.e-32 0.40 -1.e-32 0.52 0.19
0.043504 1.04 -1.e-32 0.39 -1.e-32 0.49 0.21
0.044280 1.05 -1.e-32 0.38 -1.e-32 0.47 0.24
0.045086 1.06 -1.e-32 0.37 -1.e-32 0.45 0.27
0.045920 1.07 -1.e-32 0.35 -1.e-32 0.46 0.31
0.046787 1.06 -1.e-32 0.33 -1.e-32 0.47 0.35
0.047687 1.05 -1.e-32 0.32 -1.e-32 0.48 0.38
0.048620 1.03 -1.e-32 0.31 -1.e-32 0.47 0.43
0.049594 1.02 -1.e-32 0.30 -1.e-32 0.47 0.47
0.050606 1.00 -1.e-32 0.29 -1.e-32 0.46 0.51
0.051660 0.99 -1.e-32 0.28 -1.e-32 0.46 0.54
0.052760 0.97 -1.e-32 0.28 -1.e-32 0.44 0.56
0.053907 0.95 -1.e-32 0.28 -1.e-32 0.41 0.60
0.055105 0.93 -1.e-32 0.28 -1.e-32 0.40 0.66
0.056357 0.91 -1.e-32 0.29 -1.e-32 0.41 0.70
0.057668 0.88 -1.e-32 0.31 -1.e-32 0.43 0.76
0.059041 0.84 -1.e-32 0.33 -1.e-32 0.45 0.82
0.060481 0.81 -1.e-32 0.35 -1.e-32 0.51 0.92
0.061993 0.77 -1.e-32 0.38 -1.e-32 0.55 1.01
0.063582 0.74 -1.e-32 0.42 -1.e-32 0.58 1.05
0.065255 0.71 -1.e-32 0.47 -1.e-32 0.58 1.07
0.067019 0.71 -1.e-32 0.51 -1.e-32 0.58 1.10
0.068881 0.77  0.77 0.53 0.75 0.58 1.12
0.070849 0.85  0.81 0.56 0.81 0.58 1.15
0.072932 0.92  0.86 0.60 0.86 0.61 1.25
0.075143 0.99  0.90 0.65 0.87 0.75 1.36
0.077491 1.05  0.91 0.68 0.87 0.98 1.63
0.079990 1.10  0.87 0.71 0.91 1.09 1.92
0.082657 1.10  0.86 0.69 0.97 1.33 2.15
0.085507 1.10  0.91 0.61 1.04 1.84 2.25
0.088561 1.06  0.98 0.48 1.09 2.31 1.50
0.091841 1.02  1.02 0.34 1.14 2.72 1.03
0.095373 1.02  1.02 0.33 1.24 2.67 0.83
0.099188 1.04  1.07 0.37 1.36 2.48 0.70
0.1033 1.06 1.34 0.42 1.66 2.25 0.63
0.1078 1.05 1.63 0.47 1.86 2.03 0.58
0.1127 1.03 2.30 0.52 1.78 1.81 0.57
0.1181 1.02 2.54 0.53 1.34 1.65 0.53
0.1240 0.98 2.68 0.50 0.73 1.52 0.46
0.1305 1.01 2.46 0.39 0.43 1.38 0.37
0.1378 1.05 2.27 0.29 0.31 1.25 0.27
0.1459 1.10 2.13 0.20 0.23 1.10 0.18
0.1550 1.15 1.99 0.12 0.21 0.96 0.15
0.1653 1.18 1.87 0.06 0.19 0.82 0.20
0.1771 1.20 1.73 0.03 0.22 0.65 0.44
0.1907 1.23 1.67 0.01 0.26 0.66 0.84
0.2066 1.27 1.55 0.02 0.34 0.94 1.35
0.2254 1.31 1.48 0.04 0.48 1.25 1.85
0.2480 1.46 1.51 -1.e-32 0.71 1.39 2.48
0.2530 1.44 -1.e-32 -1.e-32 -1.e-32 1.66 2.56
0.2583 1.43 -1.e-32 -1.e-32 -1.e-32 1.95 2.65
0.2638 1.42 -1.e-32 -1.e-32 -1.e-32 2.18 2.64
0.2695 1.41 -1.e-32 -1.e-32 -1.e-32 2.38 2.54
0.2755 1.40 1.70 -1.e-32 0.84 2.53 2.41
0.2818 1.40 -1.e-32 -1.e-32 -1.e-32 2.64 2.26
0.2883 1.39 -1.e-32 -1.e-32 -1.e-32 2.71 2.10
0.2952 1.38 -1.e-32 -1.e-32 -1.e-32 2.75 1.94
0.3024 1.37 -1.e-32 -1.e-32 -1.e-32 2.75 1.79
0.3100 1.37 1.94 -1.e-32 0.83 2.73 1.66
0.3179 1.36 -1.e-32 -1.e-32 -1.e-32 2.69 1.56
0.3263 1.36 -1.e-32 -1.e-32 -1.e-32 2.66 1.49
0.3351 1.36 -1.e-32 -1.e-32 -1.e-32 2.64 1.43
0.3444 1.36 -1.e-32 -1.e-32 -1.e-32 2.63 1.39
0.3542 1.36 2.02 -1.e-32 0.69 2.62 1.36
0.3647 1.35 -1.e-32 -1.e-32 -1.e-32 2.62 1.33
0.3757 1.35 -1.e-32 -1.e-32 -1.e-32 2.61 1.31
0.3875 1.35 -1.e-32 -1.e-32 -1.e-32 2.61 1.29
0.4000 1.35 -1.e-32 -1.e-32 -1.e-32 2.62 1.29
0.4133 1.35 2.04 -1.e-32 0.62 2.62 1.28
0.4275 1.35 -1.e-32 -1.e-32 -1.e-32 2.63 1.28
0.4428 1.36 -1.e-32 -1.e-32 -1.e-32 2.63 1.28
0.4592 1.36 -1.e-32 -1.e-32 -1.e-32 2.64 1.28
0.4769 1.36 -1.e-32 -1.e-32 -1.e-32 2.64 1.30
0.4959 1.36 2.03 -1.e-32 0.64 2.65 1.31
0.5166 1.36 -1.e-32 -1.e-32 -1.e-32 2.66 1.33
0.5391 1.36 -1.e-32 -1.e-32 -1.e-32 2.67 1.34
