From:	IO::"memilham@CRDEC-VAX4.ARPA" 15-JUN-1988 12:40
To:	HAL::DALTON
Subj:	Optical Constants: Asbury 260 Graphite

Received: from CRDEC-VAX4.ARPA by ames-io.ARPA with INTERNET ;
          Wed, 15 Jun 88 12:38:38 PDT
Date:     Wed, 15 Jun 88 9:19:37 EDT
From:     "Merrill E. Milham" <memilham@CRDEC-VAX4.ARPA>
To:       dalton%hal@AMES-IO.ARPA
Subject:  Optical Constants: Asbury 260 Graphite
Message-ID:  <8806150919.aa10435@CRDEC-VAX4.CRDEC-VAX4.ARPA>
 
ASBURY MIRCO 260 GRAPHITE PELLET    M.R.QUERRY
        wn      wl       n       k       Dn      Dk      R
      (cm-1)   (um)
      180.00 55.5556  12.433   9.539   0.799   1.322 0.81785 NKM260
      190.00 52.6316  11.354   9.407   0.692   1.180 0.81273 NKM260
      200.00 50.0000  10.837   8.888   0.654   1.072 0.80331 NKM260
      210.00 47.6190  10.478   8.667   0.624   1.010 0.79856 NKM260
      220.00 45.4545  10.079   8.493   0.590   0.947 0.79431 NKM260
      230.00 43.4783   9.809   8.196   0.572   0.894 0.78799 NKM260
      240.00 41.6667   9.632   8.238   0.555   0.874 0.78824 NKM260
      250.00 40.0000   9.205   8.039   0.521   0.809 0.78306 NKM260
      260.00 38.4615   9.032   7.910   0.509   0.781 0.77989 NKM260
      270.00 37.0370   8.719   7.833   0.484   0.738 0.77743 NKM260
      280.00 35.7143   8.443   7.671   0.465   0.696 0.77312 NKM260
      290.00 34.4828   8.216   7.528   0.449   0.662 0.76923 NKM260
      300.00 33.3333   7.970   7.361   0.433   0.626 0.76456 NKM260
      310.00 32.2581   7.798   7.193   0.423   0.599 0.75982 NKM260
      320.00 31.2500   7.616   7.057   0.411   0.573 0.75576 NKM260
      330.00 30.3030   7.456   6.925   0.401   0.550 0.75174 NKM260
      340.00 29.4118   7.269   6.767   0.390   0.524 0.74674 NKM260
      350.00 28.5714   7.165   6.580   0.385   0.507 0.74082 NKM260
      360.00 27.7778   7.073   6.474   0.380   0.494 0.73727 NKM260
      370.00 27.0270   6.960   6.362   0.373   0.478 0.73336 NKM260
      380.00 26.3158   6.864   6.257   0.367   0.465 0.72964 NKM260
      390.00 25.6410   6.753   6.154   0.361   0.450 0.72581 NKM260
      400.00 25.0000   6.665   6.046   0.356   0.438 0.72178 NKM260
      410.00 24.3902   6.583   5.955   0.351   0.427 0.71828 NKM260
      420.00 23.8095   6.496   5.863   0.346   0.416 0.71463 NKM260
      430.00 23.2558   6.403   5.774   0.340   0.404 0.71102 NKM260
      440.00 22.7273   6.315   5.670   0.335   0.393 0.70672 NKM260
      450.00 22.2222   6.248   5.576   0.331   0.385 0.70275 NKM260
      460.00 21.7391   6.184   5.484   0.327   0.376 0.69881 NKM260
      470.00 21.2766   6.128   5.406   0.324   0.369 0.69538 NKM260
      480.00 20.8333   6.065   5.317   0.320   0.361 0.69134 NKM260
      490.00 20.4082   6.015   5.234   0.316   0.355 0.68761 NKM260
      500.00 20.0000   5.965   5.149   0.313   0.349 0.68363 NKM260
      510.00 19.6078   5.939   5.076   0.311   0.345 0.68029 NKM260
      520.00 19.2308   5.902   5.022   0.309   0.341 0.67769 NKM260
      530.00 18.8679   5.858   4.962   0.306   0.335 0.67472 NKM260
      540.00 18.5185   5.816   4.906   0.303   0.331 0.67187 NKM260
      550.00 18.1818   5.778   4.849   0.300   0.326 0.66897 NKM260
      560.00 17.8571   5.746   4.798   0.298   0.322 0.66637 NKM260
      570.00 17.5439   5.705   4.748   0.296   0.318 0.66370 NKM260
      580.00 17.2414   5.665   4.698   0.293   0.313 0.66099 NKM260
      590.00 16.9492   5.625   4.651   0.290   0.309 0.65837 NKM260
      600.00 16.6667   5.594   4.600   0.288   0.305 0.65565 NKM260
      610.00 16.3934   5.558   4.559   0.286   0.301 0.65331 NKM260
      620.00 16.1290   5.522   4.511   0.283   0.297 0.65057 NKM260
      630.00 15.8730   5.479   4.469   0.280   0.293 0.64808 NKM260
      640.00 15.6250   5.447   4.404   0.278   0.289 0.64439 NKM260
      650.00 15.3846   5.433   4.357   0.276   0.287 0.64186 NKM260
      660.00 15.1515   5.420   4.320   0.275   0.285 0.63976 NKM260
      670.00 14.9254   5.392   4.293   0.273   0.283 0.63806 NKM260
      680.00 14.7059   5.358   4.256   0.271   0.279 0.63576 NKM260
      690.00 14.4928   5.326   4.210   0.269   0.276 0.63296 NKM260
      700.00 14.2857   5.313   4.165   0.267   0.274 0.63036 NKM260
      710.00 14.0845   5.296   4.133   0.266   0.272 0.62843 NKM260
      720.00 13.8889   5.276   4.103   0.264   0.270 0.62655 NKM260
      730.00 13.6986   5.259   4.071   0.263   0.268 0.62457 NKM260
      740.00 13.5135   5.240   4.044   0.261   0.266 0.62284 NKM260
      750.00 13.3333   5.222   4.015   0.260   0.264 0.62097 NKM260
      760.00 13.1579   5.207   3.991   0.259   0.262 0.61942 NKM260
      770.00 12.9870   5.186   3.971   0.257   0.260 0.61803 NKM260
      780.00 12.8205   5.160   3.943   0.256   0.258 0.61611 NKM260
      790.00 12.6582   5.144   3.918   0.254   0.256 0.61442 NKM260
      800.00 12.5000   5.124   3.900   0.253   0.254 0.61311 NKM260
      810.00 12.3457   5.098   3.877   0.251   0.252 0.61139 NKM260
      820.00 12.1951   5.075   3.846   0.250   0.250 0.60926 NKM260
      830.00 12.0482   5.061   3.819   0.248   0.248 0.60750 NKM260
      840.00 11.9048   5.045   3.797   0.247   0.247 0.60596 NKM260
      850.00 11.7647   5.032   3.775   0.246   0.245 0.60446 NKM260
      860.00 11.6279   5.018   3.767   0.245   0.244 0.60374 NKM260
      870.00 11.4943   4.977   3.744   0.243   0.241 0.60177 NKM260
      880.00 11.3636   4.968   3.702   0.242   0.239 0.59912 NKM260
      890.00 11.2360   4.959   3.686   0.241   0.238 0.59798 NKM260
      900.00 11.1111   4.947   3.666   0.240   0.237 0.59656 NKM260
      910.00 10.9890   4.935   3.651   0.239   0.236 0.59543 NKM260
      920.00 10.8696   4.920   3.636   0.238   0.235 0.59429 NKM260
      930.00 10.7527   4.907   3.620   0.237   0.233 0.59307 NKM260
      940.00 10.6383   4.891   3.608   0.236   0.232 0.59208 NKM260
      950.00 10.5263   4.874   3.595   0.235   0.230 0.59096 NKM260
      960.00 10.4167   4.856   3.580   0.234   0.229 0.58968 NKM260
      970.00 10.3093   4.839   3.561   0.233   0.227 0.58822 NKM260
      980.00 10.2041   4.822   3.546   0.232   0.226 0.58700 NKM260
      990.00 10.1010   4.806   3.531   0.230   0.224 0.58574 NKM260
     1000.00 10.0000   4.791   3.513   0.229   0.223 0.58432 NKM260
     1010.00  9.9010   4.784   3.497   0.229   0.222 0.58316 NKM260
     1020.00  9.8039   4.765   3.488   0.228   0.221 0.58221 NKM260
     1030.00  9.7087   4.753   3.471   0.227   0.220 0.58091 NKM260
     1040.00  9.6154   4.741   3.464   0.226   0.219 0.58024 NKM260
     1050.00  9.5238   4.721   3.450   0.225   0.217 0.57895 NKM260
     1060.00  9.4340   4.706   3.434   0.224   0.216 0.57765 NKM260
     1070.00  9.3458   4.691   3.421   0.223   0.214 0.57649 NKM260
     1080.00  9.2593   4.681   3.409   0.222   0.214 0.57553 NKM260
     1090.00  9.1743   4.665   3.402   0.221   0.212 0.57474 NKM260
     1100.00  9.0909   4.643   3.388   0.220   0.211 0.57336 NKM260
     1110.00  9.0090   4.631   3.368   0.219   0.209 0.57181 NKM260
     1120.00  8.9286   4.621   3.354   0.218   0.208 0.57066 NKM260
     1130.00  8.8496   4.614   3.344   0.218   0.208 0.56987 NKM260
     1140.00  8.7719   4.600   3.339   0.217   0.207 0.56924 NKM260
     1150.00  8.6957   4.582   3.323   0.216   0.205 0.56779 NKM260
     1160.00  8.6207   4.572   3.310   0.215   0.204 0.56672 NKM260
     1170.00  8.5470   4.562   3.304   0.215   0.204 0.56604 NKM260
     1180.00  8.4746   4.549   3.296   0.214   0.203 0.56524 NKM260
     1190.00  8.4034   4.534   3.285   0.213   0.201 0.56421 NKM260
     1200.00  8.3333   4.519   3.272   0.212   0.200 0.56300 NKM260
     1210.00  8.2645   4.507   3.262   0.211   0.199 0.56207 NKM260
     1220.00  8.1967   4.494   3.252   0.211   0.198 0.56112 NKM260
     1230.00  8.1301   4.481   3.243   0.210   0.197 0.56018 NKM260
