From:	IO::"memilham@CRDEC-VAX4.ARPA" 15-JUN-1988 12:41
To:	HAL::DALTON
Subj:	Optical Constants: Dixon 200-10 Graphite

Received: from CRDEC-VAX4.ARPA by ames-io.ARPA with INTERNET ;
          Wed, 15 Jun 88 12:40:38 PDT
Date:     Wed, 15 Jun 88 9:21:07 EDT
From:     "Merrill E. Milham" <memilham@CRDEC-VAX4.ARPA>
To:       dalton%hal@AMES-IO.ARPA
Subject:  Optical Constants: Dixon 200-10 Graphite
Message-ID:  <8806150921.aa10535@CRDEC-VAX4.CRDEC-VAX4.ARPA>
 
DIXON 200-10 GRAPHITE PELLET    M.R.QUERRY
        wn     wl       n        k       Dn      Dk      R
      (cm-1)  (um)
      180.00 55.5556  14.081  11.173   0.936   1.715 0.84105 NK2001
      190.00 52.6316  13.059  10.974   0.825   1.559 0.83674 NK2001
      200.00 50.0000  12.265  10.704   0.741   1.413 0.83213 NK2001
      210.00 47.6190  11.724  10.336   0.696   1.302 0.82652 NK2001
      220.00 45.4545  11.242  10.099   0.653   1.213 0.82250 NK2001
      230.00 43.4783  10.869   9.764   0.627   1.135 0.81702 NK2001
      240.00 41.6667  10.572   9.684   0.599   1.086 0.81535 NK2001
      250.00 40.0000  10.114   9.434   0.563   1.005 0.81073 NK2001
      260.00 38.4615   9.838   9.199   0.545   0.953 0.80639 NK2001
      270.00 37.0370   9.528   9.036   0.521   0.900 0.80314 NK2001
      280.00 35.7143   9.235   8.818   0.501   0.849 0.79876 NK2001
      290.00 34.4828   8.986   8.630   0.485   0.806 0.79483 NK2001
      300.00 33.3333   8.716   8.412   0.468   0.760 0.79011 NK2001
      310.00 32.2581   8.529   8.184   0.459   0.726 0.78500 NK2001
      320.00 31.2500   8.348   8.009   0.449   0.696 0.78089 NK2001
      330.00 30.3030   8.180   7.844   0.439   0.668 0.77687 NK2001
      340.00 29.4118   7.994   7.665   0.429   0.639 0.77231 NK2001
      350.00 28.5714   7.873   7.463   0.423   0.617 0.76704 NK2001
      360.00 27.7778   7.750   7.316   0.417   0.597 0.76304 NK2001
      370.00 27.0270   7.630   7.150   0.411   0.577 0.75838 NK2001
      380.00 26.3158   7.545   7.019   0.407   0.563 0.75458 NK2001
      390.00 25.6410   7.429   6.898   0.400   0.546 0.75091 NK2001
      400.00 25.0000   7.329   6.767   0.394   0.531 0.74686 NK2001
      410.00 24.3902   7.239   6.638   0.390   0.517 0.74276 NK2001
      420.00 23.8095   7.159   6.526   0.385   0.505 0.73912 NK2001
      430.00 23.2558   7.060   6.412   0.379   0.491 0.73523 NK2001
      440.00 22.7273   6.981   6.284   0.375   0.478 0.73087 NK2001
      450.00 22.2222   6.922   6.178   0.372   0.469 0.72717 NK2001
      460.00 21.7391   6.859   6.076   0.368   0.460 0.72349 NK2001
      470.00 21.2766   6.794   5.977   0.364   0.451 0.71982 NK2001
      480.00 20.8333   6.732   5.872   0.360   0.442 0.71590 NK2001
      490.00 20.4082   6.683   5.775   0.357   0.434 0.71220 NK2001
      500.00 20.0000   6.643   5.690   0.355   0.428 0.70892 NK2001
      510.00 19.6078   6.589   5.609   0.351   0.421 0.70564 NK2001
      520.00 19.2308   6.539   5.520   0.348   0.413 0.70202 NK2001
      530.00 18.8679   6.508   5.435   0.346   0.408 0.69861 NK2001
      540.00 18.5185   6.478   5.365   0.343   0.404 0.69573 NK2001
      550.00 18.1818   6.445   5.295   0.341   0.399 0.69277 NK2001
      560.00 17.8571   6.414   5.238   0.339   0.394 0.69029 NK2001
      570.00 17.5439   6.374   5.180   0.336   0.389 0.68771 NK2001
      580.00 17.2414   6.333   5.118   0.333   0.384 0.68489 NK2001
      590.00 16.9492   6.305   5.053   0.331   0.379 0.68204 NK2001
      600.00 16.6667   6.274   5.006   0.329   0.375 0.67984 NK2001
      610.00 16.3934   6.226   4.948   0.325   0.370 0.67699 NK2001
      620.00 16.1290   6.203   4.886   0.323   0.366 0.67418 NK2001
      630.00 15.8730   6.158   4.842   0.320   0.361 0.67191 NK2001
      640.00 15.6250   6.130   4.754   0.317   0.356 0.66788 NK2001
      650.00 15.3846   6.128   4.706   0.317   0.355 0.66574 NK2001
      660.00 15.1515   6.116   4.658   0.315   0.352 0.66355 NK2001
      670.00 14.9254   6.095   4.623   0.314   0.350 0.66180 NK2001
      680.00 14.7059   6.066   4.579   0.311   0.346 0.65951 NK2001
      690.00 14.4928   6.037   4.531   0.309   0.342 0.65706 NK2001
      700.00 14.2857   6.030   4.479   0.308   0.340 0.65467 NK2001
      710.00 14.0845   6.014   4.446   0.306   0.338 0.65299 NK2001
      720.00 13.8889   5.998   4.405   0.304   0.336 0.65094 NK2001
      730.00 13.6986   5.984   4.370   0.303   0.334 0.64913 NK2001
      740.00 13.5135   5.975   4.332   0.302   0.332 0.64733 NK2001
      750.00 13.3333   5.968   4.307   0.301   0.330 0.64607 NK2001
      760.00 13.1579   5.949   4.283   0.299   0.328 0.64469 NK2001
      770.00 12.9870   5.933   4.256   0.298   0.326 0.64324 NK2001
      780.00 12.8205   5.910   4.231   0.296   0.324 0.64175 NK2001
      790.00 12.6582   5.895   4.199   0.295   0.322 0.64003 NK2001
      800.00 12.5000   5.880   4.178   0.294   0.320 0.63885 NK2001
      810.00 12.3457   5.856   4.148   0.292   0.317 0.63708 NK2001
      820.00 12.1951   5.845   4.110   0.290   0.315 0.63511 NK2001
