From:	IO::"memilham@CRDEC-VAX4.ARPA" 15-JUN-1988 13:37
To:	HAL::DALTON
Subj:	Optical Constants:  Dixon HPN2 Graphite

Received: from CRDEC-VAX4.ARPA by ames-io.ARPA with INTERNET ;
          Wed, 15 Jun 88 10:30:58 PDT
Date:     Wed, 15 Jun 88 9:18:04 EDT
From:     "Merrill E. Milham" <memilham@CRDEC-VAX4.ARPA>
To:       dalton%hal@AMES-IO.ARPA
Subject:  Optical Constants:  Dixon HPN2 Graphite
Message-ID:  <8806150918.aa10328@CRDEC-VAX4.CRDEC-VAX4.ARPA>
 
DIXON HPN-2 GRAPHITE PELLET    M.R.QUERRY
        wn     wl        n       k       Dn      Dk      R
      (cm-1)  (um)
      180.00 55.5556  14.474  10.332   1.025   1.680 0.83375 NKHPN2
      190.00 52.6316  13.618  10.803   0.904   1.628 0.83609 NKHPN2
      200.00 50.0000  12.390  10.524   0.765   1.418 0.83013 NKHPN2
      210.00 47.6190  11.898  10.130   0.725   1.312 0.82409 NKHPN2
      220.00 45.4545  11.266   9.974   0.661   1.208 0.82074 NKHPN2
      230.00 43.4783  10.952   9.451   0.648   1.126 0.81241 NKHPN2
      240.00 41.6667  10.813   9.559   0.629   1.114 0.81378 NKHPN2
      250.00 40.0000  10.214   9.368   0.575   1.016 0.80976 NKHPN2
      260.00 38.4615   9.984   9.171   0.560   0.972 0.80609 NKHPN2
      270.00 37.0370   9.586   9.100   0.524   0.912 0.80437 NKHPN2
      280.00 35.7143   9.225   8.868   0.499   0.850 0.79972 NKHPN2
      290.00 34.4828   8.969   8.664   0.483   0.805 0.79553 NKHPN2
      300.00 33.3333   8.682   8.482   0.463   0.758 0.79160 NKHPN2
      310.00 32.2581   8.425   8.269   0.448   0.715 0.78686 NKHPN2
      320.00 31.2500   8.224   8.052   0.437   0.681 0.78183 NKHPN2
      330.00 30.3030   8.035   7.891   0.426   0.651 0.77792 NKHPN2
      340.00 29.4118   7.830   7.675   0.415   0.617 0.77247 NKHPN2
      350.00 28.5714   7.709   7.462   0.411   0.596 0.76688 NKHPN2
      360.00 27.7778   7.602   7.307   0.406   0.578 0.76264 NKHPN2
      370.00 27.0270   7.469   7.165   0.399   0.558 0.75858 NKHPN2
      380.00 26.3158   7.363   7.023   0.393   0.541 0.75442 NKHPN2
      390.00 25.6410   7.247   6.890   0.387   0.524 0.75040 NKHPN2
      400.00 25.0000   7.154   6.755   0.382   0.510 0.74619 NKHPN2
      410.00 24.3902   7.053   6.645   0.377   0.495 0.74263 NKHPN2
      420.00 23.8095   6.950   6.519   0.371   0.480 0.73844 NKHPN2
      430.00 23.2558   6.867   6.393   0.367   0.468 0.73417 NKHPN2
      440.00 22.7273   6.777   6.281   0.362   0.455 0.73021 NKHPN2
      450.00 22.2222   6.686   6.149   0.357   0.443 0.72547 NKHPN2
      460.00 21.7391   6.629   6.020   0.354   0.434 0.72077 NKHPN2
      470.00 21.2766   6.582   5.922   0.351   0.427 0.71708 NKHPN2
      480.00 20.8333   6.511   5.823   0.347   0.417 0.71321 NKHPN2
      490.00 20.4082   6.460   5.702   0.344   0.409 0.70848 NKHPN2
      500.00 20.0000   6.438   5.606   0.342   0.405 0.70476 NKHPN2
      510.00 19.6078   6.398   5.524   0.340   0.399 0.70141 NKHPN2
      520.00 19.2308   6.367   5.434   0.337   0.394 0.69771 NKHPN2
      530.00 18.8679   6.340   5.365   0.336   0.390 0.69483 NKHPN2
      540.00 18.5185   6.307   5.303   0.333   0.385 0.69214 NKHPN2
      550.00 18.1818   6.271   5.239   0.331   0.381 0.68933 NKHPN2
      560.00 17.8571   6.238   5.173   0.328   0.376 0.68644 NKHPN2
      570.00 17.5439   6.202   5.115   0.326   0.371 0.68374 NKHPN2
      580.00 17.2414   6.167   5.055   0.323   0.367 0.68101 NKHPN2
      590.00 16.9492   6.129   5.001   0.321   0.362 0.67841 NKHPN2
      600.00 16.6667   6.101   4.938   0.318   0.358 0.67551 NKHPN2
      610.00 16.3934   6.071   4.885   0.316   0.354 0.67295 NKHPN2
      620.00 16.1290   6.042   4.833   0.314   0.350 0.67043 NKHPN2
      630.00 15.8730   5.996   4.784   0.311   0.345 0.66783 NKHPN2
      640.00 15.6250   5.972   4.705   0.308   0.341 0.66411 NKHPN2
      650.00 15.3846   5.971   4.657   0.308   0.340 0.66194 NKHPN2
      660.00 15.1515   5.952   4.613   0.306   0.337 0.65975 NKHPN2
      670.00 14.9254   5.935   4.574   0.304   0.335 0.65780 NKHPN2
      680.00 14.7059   5.904   4.541   0.302   0.331 0.65597 NKHPN2
      690.00 14.4928   5.877   4.493   0.300   0.328 0.65343 NKHPN2
      700.00 14.2857   5.863   4.445   0.299   0.326 0.65106 NKHPN2
      710.00 14.0845   5.850   4.404   0.297   0.323 0.64895 NKHPN2
      720.00 13.8889   5.839   4.368   0.296   0.322 0.64715 NKHPN2
      730.00 13.6986   5.825   4.336   0.295   0.320 0.64547 NKHPN2
      740.00 13.5135   5.808   4.308   0.293   0.318 0.64393 NKHPN2
      750.00 13.3333   5.791   4.277   0.292   0.315 0.64222 NKHPN2
      760.00 13.1579   5.777   4.250   0.290   0.314 0.64071 NKHPN2
      770.00 12.9870   5.761   4.225   0.289   0.312 0.63932 NKHPN2
      780.00 12.8205   5.738   4.198   0.287   0.309 0.63769 NKHPN2
      790.00 12.6582   5.726   4.168   0.286   0.308 0.63606 NKHPN2
      800.00 12.5000   5.706   4.153   0.285   0.306 0.63504 NKHPN2
      810.00 12.3457   5.677   4.124   0.283   0.303 0.63315 NKHPN2
      820.00 12.1951   5.661   4.088   0.281   0.300 0.63115 NKHPN2
      830.00 12.0482   5.652   4.062   0.280   0.299 0.62971 NKHPN2
      840.00 11.9048   5.638   4.037   0.279   0.297 0.62828 NKHPN2
      850.00 11.7647   5.627   4.015   0.278   0.296 0.62698 NKHPN2
      860.00 11.6279   5.616   4.009   0.277   0.295 0.62651 NKHPN2
      870.00 11.4943   5.571   3.979   0.274   0.291 0.62428 NKHPN2
      880.00 11.3636   5.572   3.934   0.273   0.290 0.62202 NKHPN2
      890.00 11.2360   5.561   3.927   0.273   0.289 0.62144 NKHPN2
      900.00 11.1111   5.549   3.903   0.271   0.287 0.62003 NKHPN2
      910.00 10.9890   5.540   3.882   0.270   0.286 0.61883 NKHPN2
      920.00 10.8696   5.532   3.865   0.270   0.285 0.61778 NKHPN2
      930.00 10.7527   5.523   3.855   0.269   0.284 0.61711 NKHPN2
      940.00 10.6383   5.506   3.842   0.268   0.282 0.61616 NKHPN2
      950.00 10.5263   5.489   3.825   0.267   0.281 0.61497 NKHPN2
      960.00 10.4167   5.474   3.809   0.266   0.279 0.61387 NKHPN2
      970.00 10.3093   5.458   3.790   0.264   0.277 0.61257 NKHPN2
      980.00 10.2041   5.458   3.776   0.264   0.277 0.61183 NKHPN2
      990.00 10.1010   5.440   3.774   0.263   0.276 0.61140 NKHPN2
     1000.00 10.0000   5.420   3.759   0.262   0.274 0.61026 NKHPN2
     1010.00  9.9010   5.401   3.744   0.261   0.272 0.60912 NKHPN2
     1020.00  9.8039   5.388   3.727   0.259   0.271 0.60794 NKHPN2
     1030.00  9.7087   5.374   3.712   0.258   0.269 0.60684 NKHPN2
     1040.00  9.6154   5.364   3.694   0.258   0.268 0.60572 NKHPN2
     1050.00  9.5238   5.353   3.686   0.257   0.267 0.60509 NKHPN2
     1060.00  9.4340   5.340   3.675   0.256   0.266 0.60422 NKHPN2
     1070.00  9.3458   5.325   3.665   0.255   0.265 0.60339 NKHPN2
     1080.00  9.2593   5.309   3.653   0.254   0.263 0.60241 NKHPN2
     1090.00  9.1743   5.296   3.641   0.253   0.262 0.60149 NKHPN2
     1100.00  9.0909   5.283   3.635   0.252   0.261 0.60093 NKHPN2
     1110.00  9.0090   5.260   3.620   0.251   0.259 0.59963 NKHPN2
     1120.00  8.9286   5.252   3.598   0.250   0.258 0.59824 NKHPN2
     1130.00  8.8496   5.246   3.590   0.249   0.257 0.59769 NKHPN2
     1140.00  8.7719   5.231   3.580   0.249   0.256 0.59683 NKHPN2
     1150.00  8.6957   5.222   3.571   0.248   0.255 0.59612 NKHPN2
     1160.00  8.6207   5.207   3.565   0.247   0.254 0.59547 NKHPN2
     1170.00  8.5470   5.194   3.552   0.246   0.253 0.59446 NKHPN2
     1180.00  8.4746   5.181   3.542   0.245   0.251 0.59364 NKHPN2
     1190.00  8.4034   5.170   3.536   0.245   0.251 0.59309 NKHPN2
     1200.00  8.3333   5.155   3.525   0.244   0.249 0.59216 NKHPN2
     1210.00  8.2645   5.144   3.515   0.243   0.248 0.59132 NKHPN2
     1220.00  8.1967   5.127   3.504   0.242   0.247 0.59037 NKHPN2
     1230.00  8.1301   5.120   3.489   0.241   0.246 0.58937 NKHPN2
     1240.00  8.0645   5.113   3.486   0.241   0.245 0.58901 NKHPN2
     1250.00  8.0000   5.094   3.479   0.240   0.244 0.58823 NKHPN2
     1260.00  7.9365   5.080   3.464   0.239   0.243 0.58702 NKHPN2
     1270.00  7.8740   5.073   3.453   0.238   0.242 0.58623 NKHPN2
     1280.00  7.8125   5.068   3.442   0.238   0.241 0.58550 NKHPN2
     1290.00  7.7519   5.058   3.440   0.237   0.241 0.58519 NKHPN2
     1300.00  7.6923   5.047   3.431   0.237   0.240 0.58441 NKHPN2
     1310.00  7.6336   5.039   3.425   0.236   0.239 0.58384 NKHPN2
     1320.00  7.5758   5.030   3.419   0.236   0.238 0.58331 NKHPN2
     1330.00  7.5188   5.020   3.414   0.235   0.237 0.58278 NKHPN2
     1340.00  7.4627   5.011   3.409   0.234   0.237 0.58231 NKHPN2
     1350.00  7.4074   4.998   3.407   0.234   0.236 0.58190 NKHPN2
     1360.00  7.3529   4.983   3.396   0.233   0.234 0.58091 NKHPN2
     1370.00  7.2993   4.978   3.392   0.233   0.234 0.58055 NKHPN2
     1380.00  7.2464   4.964   3.389   0.232   0.233 0.58005 NKHPN2
     1390.00  7.1942   4.955   3.380   0.231   0.232 0.57934 NKHPN2
     1400.00  7.1429   4.948   3.375   0.231   0.232 0.57888 NKHPN2
     1410.00  7.0922   4.934   3.376   0.230   0.231 0.57860 NKHPN2
     1420.00  7.0423   4.922   3.369   0.230   0.230 0.57793 NKHPN2
     1430.00  6.9930   4.911   3.365   0.229   0.229 0.57747 NKHPN2
     1440.00  6.9444   4.899   3.357   0.229   0.228 0.57664 NKHPN2
     1450.00  6.8966   4.889   3.351   0.228   0.227 0.57611 NKHPN2
     1460.00  6.8493   4.882   3.345   0.228   0.226 0.57557 NKHPN2
     1470.00  6.8027   4.873   3.345   0.227   0.226 0.57533 NKHPN2
     1480.00  6.7568   4.863   3.341   0.227   0.225 0.57492 NKHPN2
     1490.00  6.7114   4.850   3.339   0.226   0.224 0.57447 NKHPN2
     1500.00  6.6667   4.838   3.333   0.225   0.223 0.57382 NKHPN2
     1510.00  6.6225   4.831   3.330   0.225   0.223 0.57348 NKHPN2
     1520.00  6.5789   4.822   3.330   0.225   0.222 0.57331 NKHPN2
     1530.00  6.5359   4.812   3.327   0.224   0.221 0.57291 NKHPN2
     1540.00  6.4935   4.797   3.329   0.224   0.220 0.57269 NKHPN2
     1550.00  6.4516   4.780   3.322   0.223   0.219 0.57190 NKHPN2
     1560.00  6.4103   4.780   3.316   0.223   0.219 0.57152 NKHPN2
     1570.00  6.3694   4.777   3.323   0.223   0.219 0.57188 NKHPN2
     1580.00  6.3291   4.764   3.343   0.223   0.218 0.57290 NKHPN2
     1590.00  6.2893   4.713   3.347   0.221   0.215 0.57205 NKHPN2
     1600.00  6.2500   4.693   3.312   0.220   0.213 0.56933 NKHPN2
     1610.00  6.2112   4.691   3.301   0.219   0.213 0.56855 NKHPN2
     1620.00  6.1728   4.688   3.294   0.219   0.212 0.56806 NKHPN2
     1630.00  6.1350   4.679   3.293   0.218   0.212 0.56781 NKHPN2
     1640.00  6.0976   4.669   3.291   0.218   0.211 0.56745 NKHPN2
     1650.00  6.0606   4.657   3.288   0.217   0.210 0.56698 NKHPN2
     1660.00  6.0241   4.646   3.287   0.217   0.209 0.56666 NKHPN2
     1670.00  5.9880   4.634   3.284   0.217   0.208 0.56621 NKHPN2
     1680.00  5.9524   4.620   3.280   0.216   0.207 0.56565 NKHPN2
     1690.00  5.9172   4.608   3.275   0.215   0.206 0.56506 NKHPN2
     1700.00  5.8824   4.597   3.271   0.215   0.206 0.56458 NKHPN2
     1710.00  5.8480   4.585   3.268   0.214   0.205 0.56409 NKHPN2
     1720.00  5.8140   4.575   3.265   0.214   0.204 0.56367 NKHPN2
     1730.00  5.7803   4.565   3.266   0.214   0.203 0.56352 NKHPN2
     1740.00  5.7471   4.549   3.265   0.213   0.202 0.56311 NKHPN2
     1750.00  5.7143   4.536   3.254   0.212   0.201 0.56211 NKHPN2
     1760.00  5.6818   4.529   3.256   0.212   0.201 0.56210 NKHPN2
     1770.00  5.6497   4.512   3.255   0.211   0.199 0.56163 NKHPN2
     1780.00  5.6180   4.501   3.248   0.211   0.199 0.56094 NKHPN2
     1790.00  5.5866   4.490   3.244   0.210   0.198 0.56046 NKHPN2
     1800.00  5.5556   4.478   3.242   0.210   0.197 0.56001 NKHPN2
     1810.00  5.5249   4.465   3.239   0.209   0.196 0.55959 NKHPN2
     1820.00  5.4945   4.452   3.236   0.209   0.195 0.55906 NKHPN2
     1830.00  5.4645   4.441   3.234   0.208   0.194 0.55868 NKHPN2
     1840.00  5.4348   4.428   3.230   0.208   0.193 0.55818 NKHPN2
     1850.00  5.4054   4.414   3.228   0.207   0.192 0.55770 NKHPN2
     1860.00  5.3763   4.403   3.223   0.207   0.191 0.55717 NKHPN2
     1870.00  5.3476   4.389   3.220   0.206   0.190 0.55665 NKHPN2
     1880.00  5.3191   4.378   3.218   0.206   0.190 0.55626 NKHPN2
     1890.00  5.2910   4.362   3.214   0.205   0.188 0.55569 NKHPN2
     1900.00  5.2632   4.351   3.208   0.204   0.188 0.55504 NKHPN2
     1910.00  5.2356   4.340   3.208   0.204   0.187 0.55478 NKHPN2
     1920.00  5.2083   4.323   3.204   0.203   0.186 0.55418 NKHPN2
     1930.00  5.1813   4.311   3.200   0.203   0.185 0.55359 NKHPN2
     1940.00  5.1546   4.297   3.197   0.202   0.184 0.55312 NKHPN2
     1950.00  5.1282   4.284   3.194   0.202   0.183 0.55260 NKHPN2
     1960.00  5.1020   4.268   3.191   0.201   0.182 0.55210 NKHPN2
     1970.00  5.0761   4.252   3.186   0.200   0.180 0.55137 NKHPN2
     1980.00  5.0505   4.237   3.182   0.200   0.179 0.55081 NKHPN2
     1990.00  5.0251   4.211   3.179   0.199   0.177 0.55006 NKHPN2
     2000.00  5.0000   4.192   3.154   0.198   0.176 0.54778 NKHPN2
     2010.00  4.9751   4.192   3.142   0.197   0.176 0.54686 NKHPN2
     2020.00  4.9505   4.183   3.134   0.197   0.175 0.54609 NKHPN2
     2030.00  4.9261   4.177   3.125   0.196   0.175 0.54522 NKHPN2
     2040.00  4.9020   4.173   3.122   0.196   0.174 0.54493 NKHPN2
     2050.00  4.8780   4.158   3.124   0.195   0.173 0.54481 NKHPN2
     2060.00  4.8544   4.141   3.113   0.195   0.172 0.54357 NKHPN2
     2070.00  4.8309   4.137   3.103   0.194   0.172 0.54274 NKHPN2
     2080.00  4.8077   4.127   3.101   0.194   0.171 0.54236 NKHPN2
     2090.00  4.7847   4.118   3.095   0.193   0.170 0.54171 NKHPN2
     2100.00  4.7619   4.107   3.092   0.193   0.169 0.54126 NKHPN2
     2110.00  4.7393   4.092   3.083   0.192   0.168 0.54023 NKHPN2
     2120.00  4.7170   4.084   3.075   0.192   0.168 0.53945 NKHPN2
     2130.00  4.6948   4.075   3.072   0.191   0.167 0.53899 NKHPN2
     2140.00  4.6729   4.062   3.064   0.191   0.166 0.53812 NKHPN2
     2150.00  4.6512   4.053   3.056   0.190   0.165 0.53729 NKHPN2
     2160.00  4.6296   4.043   3.048   0.189   0.165 0.53646 NKHPN2
     2170.00  4.6083   4.034   3.041   0.189   0.164 0.53569 NKHPN2
     2180.00  4.5872   4.027   3.035   0.188   0.163 0.53507 NKHPN2
     2190.00  4.5662   4.018   3.030   0.188   0.163 0.53446 NKHPN2
     2200.00  4.5455   4.010   3.025   0.188   0.162 0.53389 NKHPN2
     2210.00  4.5249   3.999   3.020   0.187   0.161 0.53321 NKHPN2
     2220.00  4.5045   3.989   3.012   0.187   0.161 0.53237 NKHPN2
     2230.00  4.4843   3.981   3.006   0.186   0.160 0.53167 NKHPN2
     2240.00  4.4643   3.971   2.997   0.186   0.159 0.53076 NKHPN2
     2250.00  4.4444   3.965   2.989   0.185   0.159 0.52994 NKHPN2
