Revised values.  Major change near 0.8 micrometers!
after Khare, B.N., W.R. Thompson, L. Cheng, C. Chyba and C. Sagan, 1993. 
	Production and optical constants of ice tholin form charged particle
	irradiation of (1:6) C2H6/H2O at 77k. Icarus, 103, 290-300.
Khare estimates solid density is 1.38 g/cc
     Wavelength        Frequency         Real          Imaginary
    (micrometers)       (cm-1)           Index          Index
     0.060199998       166112.96      0.91299999      0.47000000
     0.070400000       142045.46       1.0268824      0.62199998
     0.080499999       124223.60       1.1950001      0.74100000
     0.081600003       122549.02       1.2256844      0.75599998
     0.082699999       120918.99       1.2563685      0.77100003
     0.083800003       119331.74       1.2870528      0.78100002
     0.084899999       117785.63       1.3180000      0.77499998
     0.086099997       116144.02       1.3519999      0.76599997
     0.087300003       114547.53       1.3822632      0.75700003
     0.088600002       112866.81       1.4110000      0.74599999
     0.089800000       111358.57       1.4375263      0.73299998
     0.091200002       109649.12       1.4657647      0.72000003
     0.092500001       108108.11       1.4894706      0.70599997
     0.093900003       106496.27       1.5150000      0.69000000
     0.095399998       104821.80       1.5312162      0.67400002
     0.096900001       103199.17       1.5474324      0.65799999
     0.098399997       101626.02       1.5604999      0.64300001
      0.10000000       99999.999       1.5820000      0.65499997
      0.10200000       98039.218       1.6790000      0.66299999
      0.10300000       97087.379       1.7320000      0.64800000
      0.10500000       95238.098       1.7730000      0.50099999
      0.10700000       93457.943       1.7340000      0.36700001
      0.10900000       91743.121       1.6335003      0.29800001
      0.11100000       90090.089       1.5416666      0.32699999
      0.11300000       88495.577       1.4710000      0.41800001
      0.11500000       86956.520       1.4900000      0.47600001
      0.11900000       84033.612       1.5576668      0.55000001
      0.12200000       81967.212       1.6240000      0.56900001
      0.12400000       80645.163       1.6844998      0.56699997
      0.12700000       78740.155       1.7520001      0.50599998
      0.12899999       77519.384       1.7800000      0.45699999
      0.13200000       75757.576       1.7972500      0.41100001
      0.13500001       74074.071       1.8098000      0.36500001
      0.13800000       72463.770       1.8200001      0.31000000
      0.14100000       70921.984       1.8016250      0.25400001
      0.14399999       69444.447       1.7832501      0.20999999
      0.14800000       67567.567       1.7552857      0.17700000
      0.15099999       66225.169       1.7317143      0.15899999
      0.15500000       64516.129       1.7037500      0.14500000
      0.15899999       62893.084       1.6792501      0.13400000
      0.16300000       61349.692       1.6614445      0.13500001
      0.16800000       59523.810       1.6475555      0.13200000
      0.17200001       58139.533       1.6316000      0.11900000
      0.17700000       56497.175       1.6122000      0.13000000
      0.18200000       54945.056       1.6027000      0.13900000
      0.18799999       53191.491       1.5955000      0.14900000
      0.19400001       51546.390       1.5982500      0.16300000
      0.20000000       49999.999       1.6067500      0.17100000
      0.20700000       48309.178       1.6288182      0.18400000
      0.21400000       46728.972       1.6600000      0.17900001
      0.22100000       45248.869       1.6810000      0.13500001
      0.23000000       43478.260       1.6720001     0.096500002
      0.24800000       40322.581       1.6470000     0.069100000
      0.29899999       33444.817       1.6151935     0.035300002
      0.33600000       29761.905       1.5983847     0.016500000
      0.37900001       26385.224       1.5803334    0.0066999998
      0.39199999       25510.205       1.5760000    0.0059000002
      0.42199999       23696.683       1.5670312    0.0027999999
      0.46599999       21459.228       1.5574062    0.0021200001
      0.60000002       16666.666       1.5439445    0.0015000000
      0.64999998       15384.616       1.5411667    0.0012000001
      0.69999999       14285.715       1.5386092    0.0011000000
      0.75000000       13333.333       1.5368325    0.0011000000
      0.80000001       12500.000       1.5350558    0.0011000000
      0.85000002       11764.706       1.5332791    0.0012000001
      0.89999998       11111.111       1.5318418    0.0013000000
      0.94999999       10526.316       1.5312768    0.0014000000
       1.0000000       10000.000       1.5307118    0.0015000000
       1.0500000       9523.8100       1.5301469    0.0016000000
       1.1000000       9090.9089       1.5295819    0.0016000000
       1.1500000       8695.6524       1.5290169    0.0017000000
       1.2000000       8333.3330       1.5284520    0.0018000000
       1.2500000       8000.0000       1.5280188    0.0019000000
       1.3000000       7692.3080       1.5281130    0.0020000001
       1.3500000       7407.4073       1.5282072    0.0020000001
       1.4000000       7142.8573       1.5283013    0.0020999999
       1.4500000       6896.5515       1.5283955    0.0022000000
       1.5000000       6666.6667       1.5284897    0.0022000000
       1.5500000       6451.6131       1.5285838    0.0023000001
       1.6000000       6249.9999       1.5286780    0.0024000001
       1.6500000       6060.6061       1.5287722    0.0024000001
       1.7000000       5882.3528       1.5288663    0.0024999999
       1.7500000       5714.2857       1.5289605    0.0024999999
       1.8000000       5555.5557       1.5288364    0.0026000000
       1.8500000       5405.4053       1.5285543    0.0026000000
