ORGANICS from Pollack et al., ApJ, 421, 615-639, 1994
      Wavelength     Real Index     Imag Index
      9.9984E-02     1.4600E+00     8.5000E-01
      1.0507E-01     1.5800E+00     7.9400E-01
      1.1271E-01     1.7000E+00     7.0200E-01
      1.2155E-01     1.7800E+00     5.7600E-01
      1.3189E-01     1.8100E+00     4.3400E-01
      1.4089E-01     1.8000E+00     3.4300E-01
      1.5000E-01     1.7700E+00     1.4000E-01
      1.5500E-01     1.7500E+00     1.3500E-01
      1.6000E-01     1.7200E+00     1.3600E-01
      1.6500E-01     1.6900E+00     1.3800E-01
      1.7000E-01     1.6100E+00     1.3900E-01
      1.7250E-01     1.6100E+00     1.3900E-01
      1.7500E-01     1.6000E+00     1.4000E-01
      1.8000E-01     1.6100E+00     1.4400E-01
      1.8500E-01     1.6100E+00     1.4800E-01
      1.9000E-01     1.6200E+00     1.5600E-01
      1.9500E-01     1.6600E+00     1.6700E-01
      2.0000E-01     1.6900E+00     1.9200E-01
      2.0500E-01     1.7200E+00     2.0100E-01
      2.1000E-01     1.7200E+00     1.9600E-01
      2.2000E-01     1.7200E+00     1.8000E-01
      2.3000E-01     1.7300E+00     1.7200E-01
      2.4000E-01     1.7300E+00     1.6900E-01
      2.5000E-01     1.7100E+00     1.6300E-01
      2.8000E-01     1.7200E+00     1.4600E-01
      3.0000E-01     1.7200E+00     1.2900E-01
      3.2000E-01     1.7200E+00     1.0600E-01
      3.5000E-01     1.7200E+00     7.7200E-02
      3.8000E-01     1.7000E+00     5.6800E-02
      4.0000E-01     1.6900E+00     4.3100E-02
      4.5000E-01     1.6800E+00     2.8400E-02
      5.0000E-01     1.6600E+00     2.1500E-02
      5.5000E-01     1.6500E+00     1.7700E-02
      6.0000E-01     1.6400E+00     1.2300E-02
      6.5000E-01     1.6400E+00     1.2300E-02
      7.0000E-01     1.6400E+00     1.2300E-02
      7.5000E-01     1.6300E+00     1.3100E-02
      8.0000E-01     1.6300E+00     1.5300E-02
      8.5000E-01     1.6300E+00     1.4600E-02
      9.0000E-01     1.6300E+00     1.3300E-02
      1.0000E+00     1.6200E+00     1.3800E-02
      1.1000E+00     1.6200E+00     1.3000E-02
      1.2000E+00     1.6200E+00     1.1000E-02
      1.3000E+00     1.6200E+00     1.3400E-02
      1.4000E+00     1.6100E+00     1.7500E-02
      1.5000E+00     1.6100E+00     1.9400E-02
      1.6000E+00     1.6100E+00     1.9800E-02
      1.7000E+00     1.6100E+00     2.0300E-02
      1.8000E+00     1.6100E+00     2.0700E-02
      1.9000E+00     1.6100E+00     2.1100E-02
      2.0000E+00     1.6100E+00     2.2700E-02
      2.1000E+00     1.6200E+00     2.4600E-02
      2.2000E+00     1.6200E+00     2.6200E-02
      2.3000E+00     1.6100E+00     2.9200E-02
      2.4000E+00     1.6100E+00     3.0200E-02
      2.5000E+00     1.6100E+00     3.4000E-02
      2.6320E+00     1.6000E+00     3.7100E-02
      2.7030E+00     1.6000E+00     3.8600E-02
      2.7400E+00     1.6000E+00     4.3900E-02
      2.7780E+00     1.6000E+00     4.9300E-02
      2.8170E+00     1.6000E+00     5.5100E-02
      2.8570E+00     1.6000E+00     5.8300E-02
      2.8990E+00     1.6000E+00     6.0200E-02
      2.9410E+00     1.6100E+00     6.2100E-02
      2.9850E+00     1.6100E+00     6.4100E-02
      3.0300E+00     1.6100E+00     6.6200E-02
      3.1250E+00     1.6200E+00     6.4200E-02
      3.2260E+00     1.6200E+00     6.2300E-02
      3.2890E+00     1.6200E+00     5.9900E-02
      3.3110E+00     1.6300E+00     5.6700E-02
      3.3220E+00     1.6300E+00     5.5400E-02
      3.3330E+00     1.6300E+00     5.8800E-02
      3.3560E+00     1.6300E+00     7.4500E-02
      3.3780E+00     1.6300E+00     8.5800E-02
      3.4010E+00     1.6500E+00     1.0200E-01
      3.4250E+00     1.6500E+00     7.7500E-02
      3.4480E+00     1.6500E+00     6.4500E-02
      3.4720E+00     1.6500E+00     6.7600E-02
      3.4960E+00     1.6500E+00     8.0700E-02
      3.5210E+00     1.6500E+00     5.1300E-02
      3.5460E+00     1.6500E+00     4.8200E-02
      3.5710E+00     1.6500E+00     4.5200E-02
      3.6230E+00     1.6400E+00     4.4900E-02
      3.6500E+00     1.6400E+00     4.4400E-02
      3.7040E+00     1.6400E+00     4.2000E-02
      3.8460E+00     1.6400E+00     4.0500E-02
      4.0000E+00     1.6300E+00     3.9700E-02
      4.1670E+00     1.6300E+00     3.9000E-02
      4.3480E+00     1.6300E+00     3.8900E-02
      4.5450E+00     1.6200E+00     3.9200E-02
      4.7620E+00     1.6200E+00     4.0100E-02
      5.0000E+00     1.6200E+00     4.3600E-02
      5.1280E+00     1.6100E+00     4.5500E-02
      5.2630E+00     1.6100E+00     4.5100E-02
      5.5560E+00     1.6000E+00     5.1600E-02
      5.7140E+00     1.6000E+00     5.6400E-02
      5.7470E+00     1.6000E+00     5.9300E-02
      5.8820E+00     1.6000E+00     6.9100E-02
      5.9520E+00     1.6000E+00     7.5600E-02
      6.0610E+00     1.6100E+00     8.6100E-02
      6.2110E+00     1.6100E+00     8.5700E-02
      6.2500E+00     1.6100E+00     8.3400E-02
      6.3290E+00     1.6100E+00     7.8700E-02
      6.4100E+00     1.6100E+00     7.4000E-02
      6.4520E+00     1.6100E+00     7.1600E-02
      6.5360E+00     1.6100E+00     6.6700E-02
      6.6230E+00     1.6100E+00     6.7600E-02
      6.6670E+00     1.6100E+00     7.1100E-02
      6.7110E+00     1.6200E+00     7.4600E-02
      6.7570E+00     1.6200E+00     8.0000E-02
      6.8030E+00     1.6200E+00     9.0900E-02
      6.8490E+00     1.6200E+00     9.5000E-02
      6.8970E+00     1.6200E+00     1.0300E-01
      6.9930E+00     1.6200E+00     9.0900E-02
      7.0420E+00     1.6200E+00     8.5000E-02
      7.1430E+00     1.6300E+00     8.3100E-02
      7.2460E+00     1.6300E+00     8.2000E-02
      7.2990E+00     1.6300E+00     8.0000E-02
      7.4070E+00     1.6300E+00     7.5800E-02
      8.3300E+00     1.6189E+00     8.3900E-02
      9.0910E+00     1.6100E+00     9.4000E-02
      1.0000E+01     1.6026E+00     1.0100E-01
      1.1111E+01     1.5900E+00     1.3500E-01
      1.2500E+01     1.5784E+00     1.7200E-01
      1.3333E+01     1.5661E+00     2.0100E-01
      1.4289E+01     1.5663E+00     2.7100E-01
      1.5384E+01     1.6225E+00     3.5300E-01
      1.5873E+01     1.6699E+00     4.0800E-01
      1.6667E+01     1.7481E+00     3.8400E-01
      1.8182E+01     1.8169E+00     3.0200E-01
      2.0000E+01     1.8242E+00     2.3500E-01
      2.2222E+01     1.7951E+00     2.0900E-01
      2.5000E+01     1.7644E+00     2.6800E-01
      2.8571E+01     1.8585E+00     3.8600E-01
      3.0303E+01     1.9239E+00     4.1000E-01
      3.3333E+01     2.0580E+00     3.7800E-01
      4.0000E+01     2.2300E+00     2.7400E-01
      7.5000E+01     2.3200E+00     1.9400E-01
      1.0000E+02     2.3100E+00     1.4600E-01
      1.5000E+02     2.3000E+00     9.7000E-02
      3.0000E+02     2.2900E+00     5.5000E-02
      4.0000E+02     2.2900E+00     3.7000E-02
      6.5000E+02     2.2900E+00     8.5000E-03
      9.2000E+02     2.2900E+00     3.0000E-03
      3.5300E+04     2.2900E+00     1.4600E-03
      1.0000E+05     2.2900E+00     1.5700E-03
