Khare, B.N., C. Sagan, W.R. Thompson, E.T Arakawa, C. Meisse, 
and P.S.  Tuminello, 1994, Optical properties of poly-HCN for 
astronomical applications.  Can. J. Chem., 72, 678-694.
solid density (g/cc) is:
1.620 +/- 0.004 using pyncnometry <-- Khare prefers this value
1.49 using pressed pellet
1.540 +/- 0.005 using sink and float

Wavelength   Real   Imaginary
(microns)	 Index   Index
0.037300	0.89600	0.20000
0.040100	0.89000	0.21800
0.043200	0.88500	0.23900
0.047500	0.88200	0.27300
0.049400	0.88300	0.28900
0.050200	0.88400	0.29600
0.050600	0.88300	0.30000
0.051000	0.88200	0.30400
0.051400	0.88100	0.30900
0.052300	0.88200	0.31900
0.056000	0.89400	0.36700
0.057600	0.90000	0.38700
0.059300	0.90500	0.40800
0.060200	0.90500	0.42000
0.061000	0.90600	0.43000
0.061600	0.90800	0.43800
0.062900	0.91600	0.45400
0.067700	0.95900	0.51700
0.075000	1.0540	0.61600
0.080500	1.1450	0.69000
0.082700	1.1980	0.72000
0.083800	1.2380	0.73000
0.084900	1.2790	0.72500
0.085400	1.2960	0.71800
0.086600	1.3220	0.68300
0.087300	1.3280	0.67000
0.089100	1.3430	0.66300
0.090400	1.3590	0.65800
0.092500	1.3890	0.65000
0.095400	1.4290	0.63000
0.096900	1.4420	0.61000
0.098400	1.4580	0.62000
0.10000		1.4830	0.61000
0.10200		1.5440	0.62000
0.10300		1.5810	0.60000
0.10400		1.6200	0.55200
0.10500		1.6350	0.50100
0.10600		1.6430	0.45900
0.10800		1.6070	0.34900
0.10900		1.5340	0.27400
0.11100		1.4430	0.32700
0.11300		1.3960	0.34800
0.11500		1.3770	0.40600
0.11700		1.3830	0.44900
0.11900		1.4040	0.48000
0.12200		1.4510	0.50200
0.12400		1.4830	0.50000
0.12900		1.5290	0.45700
0.13300		1.5430	0.42800
0.13800		1.5460	0.40000
0.14900		1.5430	0.36200
0.15500		1.5330	0.35200
0.16300		1.5110	0.35200
0.16800		1.4950	0.36000
0.17000		1.4930	0.39000
0.17500		1.5080	0.42100
0.18200		1.5390	0.43700
0.18800		1.5780	0.47700
0.19400		1.6340	0.47700
0.20500		1.7018	0.43200
0.21600		1.7520	0.35200
0.22700		1.7510	0.30700
0.24000		1.7520	0.28000
0.24800		1.7400	0.24500
0.25000		1.7350	0.24400
0.25200		1.7330	0.24500
0.25300		1.7330	0.24400
0.25800		1.7350	0.26400
0.26000		1.7370	0.27200
0.26200		1.7380	0.27800
0.26400		1.7420	0.28600
0.26600		1.7540	0.28600
0.26800		1.7690	0.29200
0.27000		1.7820	0.29100
0.27200		1.7950	0.29200
0.27400		1.8040	0.28200
0.27600		1.8130	0.27300
0.27800		1.8210	0.26300
0.28000		1.8290	0.24700
0.28600		1.8490	0.20000
0.29000		1.8460	0.16500
0.30000		1.8260	0.11400
0.30500		1.8140	0.10200
0.31000		1.7980	0.092500
0.31400		1.7870	0.084700
0.32000		1.7740	0.077500
0.32600		1.7640	0.073300
0.33000		1.7580	0.070100
0.33600		1.7500	0.066200
0.34000		1.7450	0.063900
0.34400		1.7400	0.060600
0.35000		1.7330	0.056900
0.35600		1.7260	0.053100
0.36000		1.7220	0.049800
0.36600		1.7160	0.048000
0.37300		1.7080	0.046800
0.38000		1.7020	0.046000
0.40000		1.6880	0.045000
0.50000		1.6590	0.044300
0.60000		1.6500	0.040200
0.70000		1.6450	0.038800
0.80000		1.6430	0.036600
0.90000		1.6420	0.033700
1.0000		1.6400	0.032200
1.1000		1.6390	0.029800
1.2000		1.6370	0.027800
1.3000		1.6350	0.026500
1.4000		1.6330	0.026100
1.5000		1.6320	0.025500
1.6000		1.6300	0.024300
1.7000		1.6270	0.023000
1.8000		1.6240	0.022100
1.9000		1.6200	0.021400
2.0000		1.6170	0.021800
2.1000		1.6120	0.022300
2.2000		1.6060	0.022800
2.2330		1.6050	0.022200
2.2510		1.6040	0.021700
2.2760		1.6020	0.021100
2.3000		1.6000	0.020700
2.3490		1.5950	0.020500
2.3980		1.5910	0.020600
2.4480		1.5860	0.020600
2.5000		1.5790	0.020700
2.5410		1.5740	0.020800
2.5830		1.5670	0.020800
2.6230		1.5600	0.020900
2.6560		1.5520	0.021000
2.6850		1.5440	0.021200
2.7030		1.5380	0.021400
2.7150		1.5340	0.021700
2.7300		1.5280	0.022100
2.7400		1.5220	0.022400
2.7780		1.5020	0.030800
2.8310		1.4750	0.049700
2.8570		1.4520	0.064700
2.8970		1.4330	0.11300
2.9410		1.4460	0.19300
2.9630		1.4770	0.24200
2.9700		1.4930	0.25000
2.9850		1.5280	0.25100
2.9950		1.5480	0.25000
3.0080		1.5750	0.24200
3.0300		1.5930	0.20200
3.0400		1.5890	0.19000
3.0500		1.5820	0.18600
3.0600		1.5740	0.18500
3.0680		1.5670	0.18500
3.0860		1.5660	0.21100
3.1000		1.5790	0.21700
3.1370		1.6080	0.22500
3.1600		1.6250	0.22100
3.1800		1.6390	0.21700
3.2000		1.6510	0.21200
3.2360		1.6740	0.19900
3.2970		1.6930	0.15400
3.3330		1.6880	0.13100
3.4000		1.6690	0.11000
3.4480		1.6530	0.10600
3.4830		1.6450	0.11300
3.5050		1.6450	0.11700
3.5220		1.6450	0.11700
3.5520		1.6410	0.11500
3.5710		1.6380	0.11800
3.6000		1.6400	0.13000
3.6640		1.6520	0.13200
3.7040		1.6600	0.13000
3.7800		1.6680	0.11900
3.8460		1.6680	0.10900
3.8990		1.6690	0.10500
3.9500		1.6680	0.095000
3.9990		1.6630	0.089200
4.1670		1.6470	0.076300	
4.2000		1.6420	0.074000	
4.3000		1.6220	0.070000
4.3480		1.6000	0.069400
4.3660		1.5920	0.082700
4.3960		1.6010	0.11100
4.4280		1.6130	0.098100
4.4680		1.5840	0.079600
4.4920		1.5870	0.14400
4.5070		1.5830	0.17600
4.5290		1.5730	0.086200
4.5580		1.5550	0.18500
4.5890		1.6370	0.28800
4.5980		1.6550	0.15400
4.6510		1.7200	0.19100
4.6960		1.7460	0.083000
4.7170		1.7250	0.048700	
4.7620		1.6820	0.045400
4.8000		1.6620	0.043000
5.0000		1.6030	0.032100
5.1280		1.5630	0.030500
5.2630		1.5160	0.038700
5.4050		1.4550	0.051100
5.5560		1.3440	0.081300
5.6270		1.2610	0.14700
5.6500		1.2110	0.14600
5.6870		1.1470	0.25700
5.7700		1.3160	0.61900
5.7800		1.3700	0.62500
5.7900		1.4250	0.62200
5.8210		1.5270	0.53700
5.8480		1.5290	0.46500
5.8700		1.5090	0.46000
5.8760		1.5050	0.46000
5.9040		1.5010	0.46500
5.9350		1.4890	0.48000	
5.9610		1.4890	0.52700
6.0000		1.5670	0.61200
6.0100		1.5990	0.61400
6.0200		1.6270	0.61200
6.0480		1.6930	0.57500
6.0780		1.7200	0.51400	
6.0980		1.7220	0.49000
6.1070		1.7230	0.48700
6.1380		1.7250	0.48300
6.1730		1.7480	0.47700
6.1990		1.7650	0.46200
6.2300		1.7760	0.43400
6.2620		1.7790	0.40600
6.2890		1.7730	0.39000
6.2930		1.7720	0.38900
6.3690		1.7550	0.37800
6.3910		1.7520	0.38100
6.4240		1.7570	0.39500
6.4570		1.7790	0.41400
6.4850		1.8040	0.40900
6.5000		1.8090	0.35200
6.5250		1.8060	0.33900
6.5790		1.7710	0.33800
6.6000		1.7590	0.34000
6.6300		1.7520	0.37800
6.6500		1.7660	0.39900
6.6670		1.7830	0.40500
6.7000		1.8250	0.40000
6.7380		1.8350	0.34200
6.7500		1.8230	0.33000
6.7800		1.7910	0.32900
6.8120		1.7690	0.36300
6.8500		1.7880	0.43800
6.8870		1.8700	0.48000
6.9650		1.9750	0.34000
6.9930		1.9680	0.30100
7.0420		1.9370	0.26200
7.1430		1.8910	0.24700
7.1600		1.8850	0.25200
7.1940		1.8980	0.29900
7.2500		1.9370	0.25900
7.3300		1.9080	0.18600
7.3530		1.8860	0.18500
7.3700		1.8650	0.18500
7.3800		1.8570	0.19100
7.4400		1.9010	0.30000
7.4690		1.9450	0.24500
7.5000		1.9490	0.18500
7.5140		1.9470	0.17500
7.5470		1.9240	0.16000
7.6000		1.9010	0.15700
7.8470		1.8670	0.14300
8.0510		1.8500	0.13200
8.1970		1.8340	0.12600
8.2650		1.8270	0.13100
8.3680		1.8270	0.14000
8.4340		1.8290	0.13500
8.4750		1.8260	0.13200
8.5470		1.8260	0.13900
8.6100		1.8300	0.13500
8.7500		1.8230	0.12200
8.9690		1.8030	0.12200
9.0500		1.7990	0.14000
9.1000		1.8060	0.15000
9.1740		1.8260	0.15500
9.2000		1.8330	0.15300
9.3220		1.8470	0.11300
9.4000		1.8320	0.090000
9.4340		1.8210	0.084400
9.5000		1.8020	0.090000
9.5370		1.7950	0.096700
9.6150		1.7960	0.11300
9.6860		1.8010	0.11100
9.7620		1.7980	0.10100
9.8520		1.7850	0.096800
9.9980		1.7710	0.12100
10.080		1.7760	0.13800
10.152		1.7890	0.14600
10.332		1.8100	0.12600
10.526		1.8040	0.10400
10.823		1.7850	0.10000
10.893		1.7880	0.12000
10.965		1.7910	0.10000
11.169		1.7800	0.098200
11.500		1.7690	0.098000
12.275		1.7410	0.097800	
12.398		1.7320	0.098400	
12.500		1.7180	0.10300
12.651		1.7170	0.14500
12.710		1.7280	0.15800
12.781		1.7410	0.15000
12.903		1.7480	0.13100
13.072		1.7480	0.13200
13.189		1.7510	0.12200
13.333		1.7400	0.10800
13.793		1.7020	0.11400
14.388		1.6780	0.16100
14.577		1.6880	0.18000
14.706		1.6910	0.16400
15.152		1.6640	0.18000
15.385		1.6420	0.20000
15.625		1.6600	0.28100
16.000		1.7230	0.27000
16.260		1.7230	0.23300
16.500		1.7020	0.24000
16.754		1.7090	0.27500
16.949		1.7270	0.29600
17.000		1.7300	0.25000
17.219		1.7250	0.23400
17.699		1.6680	0.23500
17.900		1.6140	0.23700
18.232		1.5740	0.40500
18.500		1.6660	0.53000
18.868		1.8340	0.53300
19.000		1.8760	0.50000
19.679		1.9590	0.33700
20.000		1.9370	0.27400	
20.500		1.8760	0.23000
21.277		1.7500	0.21500
21.500		1.7030	0.23000
21.751		1.6550	0.29400
22.139		1.6520	0.45200
22.600		1.7600	0.60000
22.727		1.8040	0.62300
22.900		1.8660	0.61500
24.310		2.0750	0.46000
25.000		2.0910	0.39600
26.000		2.0980	0.36000
28.177		2.1230	0.28800
30.000		2.1230	0.24000
31.790		2.1200	0.22200
34.000		2.1280	0.20000
35.423		2.1330	0.18300
38.000		2.1310	0.15000
40.000		2.1320	0.14400
