Optical constants for organic tholins 
Khare, B.N. and Sagan, C., 1984, Optical constants of organic tholens produced
in a simulated Titanian atmosphere: From soft X-ray to microwave frequencies.
Icarus, v. 60, p. 127-134.
Khare has determed a solid density (g/cc) of:
1.3916 using pyconometry
1.3862 using a pressed pellet
1.51 +/- 0.01 sink and float method

data can be found on lines 14 103

  Wavelength real imaginary
  (microns) index  index
  2.07E-02  0.92  4.9e-02
  3.12E-02  0.85  1.4e-01
  4.15E-02  0.802 3.1e-01
  4.49E-02  0.812 3.8e-01
  5.88E-02  0.963 6.2e-01
  7.85E-02  1.33  7.7e-01
  8.00E-02  1.37  7.7e-01
  9.25E-02  1.58  6.7e-01
  0.1016    1.67  5.8e-01
  0.1097    1.72  5.0e-01   
  0.1159    1.75  4.3e-01   
  0.1181    1.75  4.0e-01   
  0.1215    1.74  3.7e-01   
  0.1362    1.70  2.7e-01   
  0.1631    1.65  2.4e-01   
  0.1968    1.66  2.2e-01   
  0.2384    1.68  2.1e-01   
  0.2638    1.68  1.8e-01   
  0.2952    1.66  1.5e-01   
  0.3263    1.64  1.3e-01   
  0.3542    1.63  1.1e-01   
  0.3874    1.66  9.1e-02   
  0.4133    1.69  7.6e-02   
  0.4428    1.72  6.0e-02   
  0.5635    1.70  2.3e-02   
  0.6888    1.68  8.8e-03   
  0.8731    1.66  2.4e-03   
   1.016    1.65  1.0e-03   
   1.148    1.65  6.4e-04   
   1.192    1.65  5.2e-04   
   1.357    1.64  4.2e-04   
   1.381    1.64  4.1e-04   
   1.802    1.64  4.0e-04   
   1.813    1.64  4.2e-04   
   1.823    1.64  4.4e-04   
   1.873    1.63  5.2e-04   
   2.019    1.63  7.2e-04   
   2.214    1.63  8.9e-04   
   2.393    1.62  8.0e-04   
   2.403    1.62  8.5e-04   
   2.422    1.62  1.2e-03   
   2.695    1.60  4.1e-03   
   2.743    1.59  1.1e-02   
   2.818    1.58  2.4e-02   
   2.938    1.59  6.0e-02   
   3.009    1.61  7.5e-02   
   3.246    1.65  5.6e-02   
   3.463    1.65  3.5e-02   
   3.668    1.65  2.1e-02   
   3.948    1.64  1.3e-02   
   4.217    1.63  1.0e-02   
   4.428    1.61  1.1e-02   
   4.492    1.61  1.4e-02   
   4.592    1.61  2.8e-02   
   4.626    1.62  2.7e-02   
   4.881    1.61  1.0e-02   
   5.166    1.58  7.6e-03   
   5.253    1.58  8.7e-03   
   5.438    1.55  1.1e-02   
   5.740    1.48  2.9e-02   
   5.848    1.44  7.0e-02   
   5.961    1.43  1.5e-01   
   6.326    1.58  2.8e-01   
   6.457    1.64  2.6e-01   
   6.666    1.69  2.2e-01   
   7.044    1.69  1.7e-01   
   7.653    1.72  1.3e-01   
   8.731    1.71  9.2e-02   
   10.51    1.67  7.5e-02   
   11.07    1.66  7.9e-02   
   11.70    1.64  9.7e-02   
   12.91    1.67  1.4e-01   
   14.42    1.67  1.7e-01   
   17.71    1.74  2.1e-01   
   18.23    1.76  2.1e-01   
   22.14    1.80  1.8e-01   
   31.00    1.81  1.4e-01   
   36.46    1.81  1.5e-01   
   56.35    1.86  1.9e-01   
   81.57    1.93  2.1e-01   
   121.5    2.02  1.9e-01   
   140.9    2.03  1.6e-01   
   172.2    2.04  1.6e-01   
   229.6    2.07  1.4e-01   
   387.4    2.12  1.0e-01   
   563.5    2.15  7.0e-02   
   688.8    2.16  4.7e-02   
   774.9    2.16  2.9e-02   
   850.0    2.17  1.0e-02   
   920.0    2.17  3.0e-03   
