Andesite, from Pollack et al., Icarus, 19, 372-389, 1973
Wavelengths < 5 microns, from Table II
Wavelengths >= 5 microns, Calculated from oscillator parameters
  wavelength  real index  imag. index
 0.2700E+00  1.5000E+00   9.1000e-04
 0.2900E+00  1.4800E+00   9.1000e-04
 0.3000E+00  1.4700E+00   9.1000e-04
 0.3200E+00  1.4700E+00   9.9000e-04
 0.3400E+00  1.4700E+00   1.0000e-03
 0.3600E+00  1.4700E+00   1.1000e-03
 0.3800E+00  1.4700E+00   1.1000e-03
 0.4000E+00  1.4700E+00   1.2000e-03
 0.4200E+00  1.4700E+00   1.2000e-03
 0.4400E+00  1.4700E+00   1.3000e-03
 0.4600E+00  1.4700E+00   1.3000e-03
 0.4800E+00  1.4700E+00   1.3000e-03
 0.5000E+00  1.4700E+00   1.4000e-03
 0.5200E+00  1.4700E+00   1.4000e-03
 0.5400E+00  1.4700E+00   1.4000e-03
 0.5600E+00  1.4700E+00   1.5000e-03
 0.5800E+00  1.4700E+00   1.5000e-03
 0.6000E+00  1.4700E+00   1.5000e-03
 0.7000E+00  1.4700E+00   1.7000e-03
 0.8000E+00  1.4700E+00   1.9000e-03
 0.9000E+00  1.4700E+00   2.1000e-03
 1.0000E+00  1.4700E+00   2.3000e-03
 1.1000E+00  1.4700E+00   2.5000e-03
 1.2000E+00  1.4700E+00   2.7000e-03
 1.3000E+00  1.4700E+00   2.9000e-03
 1.4000E+00  1.4700E+00   3.0000e-03
 1.5000E+00  1.4700E+00   3.2000e-03
 1.6000E+00  1.4680E+00   3.3000e-03
 1.7000E+00  1.4660E+00   3.4000e-03
 1.8000E+00  1.4640E+00   3.5000e-03
 1.9000E+00  1.4620E+00   3.6000e-03
 2.0000E+00  1.4600E+00   3.8000e-03
 2.1000E+00  1.4600E+00   3.8000e-03
 2.2000E+00  1.4600E+00   3.9000e-03
 2.3000E+00  1.4600E+00   4.0000e-03
 2.4000E+00  1.4600E+00   4.1000e-03
 2.5000E+00  1.4600E+00   4.1000e-03
 2.5500E+00  1.4600E+00   4.2000e-03
 2.6000E+00  1.4600E+00   4.2000e-03
 2.6500E+00  1.4600E+00   4.4000e-03
 2.7000E+00  1.4600E+00   4.5000e-03
 2.7500E+00  1.4600E+00   5.0000e-03
 2.8000E+00  1.4600E+00   5.3000e-03
 2.8500E+00  1.4600E+00   5.4000e-03
 2.9000E+00  1.4600E+00   5.6000e-03
 2.9500E+00  1.4600E+00   5.6000e-03
 3.0000E+00  1.4600E+00   5.6000e-03
 3.0500E+00  1.4585E+00   5.5000e-03
 3.1000E+00  1.4570E+00   5.5000e-03
 3.1500E+00  1.4555E+00   5.5000e-03
 3.2000E+00  1.4540E+00   5.4000e-03
