Calcite Extraordinary ray calculated from values derived from Table 2 
of Long et al., IR Physics, 34, 191, 1993.

high frequency dielectric constant=2.1700
 oscillator  frequency    gamma       strength
      1     9.4600E+01 7.1800E-02  4.6412E+00
      2     3.0490E+02 3.4300E-02  1.3350E+00
      3     8.7080E+02 1.8000E-03  8.1700E-02
  frequency  Reflectance real index   imag. index
 4.0000E+03  3.5981E-02  1.4682E+00   9.0597E-06
 3.9960E+03  3.5980E-02  1.4682E+00   9.0873E-06
 3.9920E+03  3.5979E-02  1.4682E+00   9.1150E-06
 3.9880E+03  3.5977E-02  1.4682E+00   9.1428E-06
 3.9840E+03  3.5976E-02  1.4681E+00   9.1707E-06
 3.9800E+03  3.5975E-02  1.4681E+00   9.1987E-06
 3.9760E+03  3.5974E-02  1.4681E+00   9.2269E-06
 3.9720E+03  3.5972E-02  1.4681E+00   9.2551E-06
 3.9680E+03  3.5971E-02  1.4681E+00   9.2835E-06
 3.9640E+03  3.5970E-02  1.4681E+00   9.3120E-06
 3.9600E+03  3.5969E-02  1.4681E+00   9.3406E-06
 3.9560E+03  3.5967E-02  1.4681E+00   9.3693E-06
 3.9520E+03  3.5966E-02  1.4681E+00   9.3982E-06
 3.9480E+03  3.5965E-02  1.4680E+00   9.4271E-06
 3.9440E+03  3.5963E-02  1.4680E+00   9.4562E-06
 3.9400E+03  3.5962E-02  1.4680E+00   9.4854E-06
 3.9360E+03  3.5961E-02  1.4680E+00   9.5148E-06
 3.9320E+03  3.5959E-02  1.4680E+00   9.5442E-06
 3.9280E+03  3.5958E-02  1.4680E+00   9.5738E-06
 3.9240E+03  3.5957E-02  1.4680E+00   9.6035E-06
 3.9200E+03  3.5955E-02  1.4680E+00   9.6333E-06
 3.9160E+03  3.5954E-02  1.4680E+00   9.6632E-06
 3.9120E+03  3.5953E-02  1.4680E+00   9.6933E-06
 3.9080E+03  3.5951E-02  1.4679E+00   9.7235E-06
 3.9040E+03  3.5950E-02  1.4679E+00   9.7538E-06
 3.9000E+03  3.5949E-02  1.4679E+00   9.7842E-06
 3.8960E+03  3.5947E-02  1.4679E+00   9.8148E-06
 3.8920E+03  3.5946E-02  1.4679E+00   9.8455E-06
 3.8880E+03  3.5945E-02  1.4679E+00   9.8763E-06
 3.8840E+03  3.5943E-02  1.4679E+00   9.9073E-06
