Calcite Ordinary ray calculated from values derived from Table 1 of 
Long et al., IR Physics, 34, 191, 1993.

high frequency dielectric constant=2.6250
 oscillator  frequency    gamma       stength
      1     1.0410E+02 5.8000E-02  2.7751E+00
      2     2.2330E+02 5.4000E-02  9.4000E-01
      3     2.9560E+02 4.5700E-02  1.6657E+00
      4     7.1320E+02 1.0500E-02  1.7500E-02
      5     1.4068E+03 6.0000E-03  5.5070E-01
  frequency  Reflectance real index   imag. index
 4.0000E+03  5.2092E-02  1.5915E+00   7.2600E-05
 3.9960E+03  5.2083E-02  1.5914E+00   7.2855E-05
 3.9920E+03  5.2074E-02  1.5913E+00   7.3111E-05
 3.9880E+03  5.2066E-02  1.5913E+00   7.3368E-05
 3.9840E+03  5.2057E-02  1.5912E+00   7.3627E-05
 3.9800E+03  5.2048E-02  1.5911E+00   7.3887E-05
 3.9760E+03  5.2039E-02  1.5911E+00   7.4148E-05
 3.9720E+03  5.2030E-02  1.5910E+00   7.4411E-05
 3.9680E+03  5.2021E-02  1.5909E+00   7.4674E-05
 3.9640E+03  5.2011E-02  1.5909E+00   7.4939E-05
 3.9600E+03  5.2002E-02  1.5908E+00   7.5206E-05
 3.9560E+03  5.1993E-02  1.5907E+00   7.5473E-05
 3.9520E+03  5.1984E-02  1.5907E+00   7.5742E-05
 3.9480E+03  5.1975E-02  1.5906E+00   7.6013E-05
 3.9440E+03  5.1966E-02  1.5905E+00   7.6284E-05
 3.9400E+03  5.1956E-02  1.5905E+00   7.6557E-05
 3.9360E+03  5.1947E-02  1.5904E+00   7.6831E-05
 3.9320E+03  5.1938E-02  1.5903E+00   7.7107E-05
 3.9280E+03  5.1928E-02  1.5903E+00   7.7384E-05
 3.9240E+03  5.1919E-02  1.5902E+00   7.7663E-05
 3.9200E+03  5.1909E-02  1.5901E+00   7.7942E-05
 3.9160E+03  5.1900E-02  1.5901E+00   7.8224E-05
 3.9120E+03  5.1890E-02  1.5900E+00   7.8506E-05
 3.9080E+03  5.1881E-02  1.5899E+00   7.8790E-05
 3.9040E+03  5.1871E-02  1.5898E+00   7.9076E-05
 3.9000E+03  5.1861E-02  1.5898E+00   7.9363E-05
 3.8960E+03  5.1852E-02  1.5897E+00   7.9651E-05
 3.8920E+03  5.1842E-02  1.5896E+00   7.9941E-05
 3.8880E+03  5.1832E-02  1.5896E+00   8.0232E-05
 3.8840E+03  5.1823E-02  1.5895E+00   8.0525E-05
 3.8800E+03  5.1813E-02  1.5894E+00   8.0819E-05
 3.8760E+03  5.1803E-02  1.5893E+00   8.1115E-05
 3.8720E+03  5.1793E-02  1.5893E+00   8.1412E-05
 3.8680E+03  5.1783E-02  1.5892E+00   8.1711E-05
 3.8640E+03  5.1773E-02  1.5891E+00   8.2011E-05
 3.8600E+03  5.1763E-02  1.5890E+00   8.2313E-05
 3.8560E+03  5.1753E-02  1.5890E+00   8.2616E-05
 3.8520E+03  5.1743E-02  1.5889E+00   8.2921E-05
 3.8480E+03  5.1733E-02  1.5888E+00   8.3228E-05
 3.8440E+03  5.1723E-02  1.5888E+00   8.3536E-05
 3.8400E+03  5.1713E-02  1.5887E+00   8.3845E-05
 3.8360E+03  5.1703E-02  1.5886E+00   8.4157E-05
 3.8320E+03  5.1692E-02  1.5885E+00   8.4469E-05
 3.8280E+03  5.1682E-02  1.5885E+00   8.4784E-05
 3.8240E+03  5.1672E-02  1.5884E+00   8.5100E-05
 3.8200E+03  5.1661E-02  1.5883E+00   8.5418E-05
 3.8160E+03  5.1651E-02  1.5882E+00   8.5737E-05
 3.8120E+03  5.1641E-02  1.5881E+00   8.6058E-05
 3.8080E+03  5.1630E-02  1.5881E+00   8.6381E-05
 3.8040E+03  5.1620E-02  1.5880E+00   8.6705E-05
 3.8000E+03  5.1609E-02  1.5879E+00   8.7031E-05
 3.7960E+03  5.1598E-02  1.5878E+00   8.7359E-05
 3.7920E+03  5.1588E-02  1.5878E+00   8.7688E-05
 3.7880E+03  5.1577E-02  1.5877E+00   8.8020E-05
 3.7840E+03  5.1566E-02  1.5876E+00   8.8353E-05
 3.7800E+03  5.1556E-02  1.5875E+00   8.8687E-05
 3.7760E+03  5.1545E-02  1.5874E+00   8.9024E-05
 3.7720E+03  5.1534E-02  1.5874E+00   8.9362E-05
 3.7680E+03  5.1523E-02  1.5873E+00   8.9702E-05
 3.7640E+03  5.1512E-02  1.5872E+00   9.0044E-05
 3.7600E+03  5.1501E-02  1.5871E+00   9.0388E-05
 3.7560E+03  5.1490E-02  1.5870E+00   9.0733E-05
 3.7520E+03  5.1479E-02  1.5870E+00   9.1080E-05
 3.7480E+03  5.1468E-02  1.5869E+00   9.1430E-05
 3.7440E+03  5.1457E-02  1.5868E+00   9.1781E-05
 3.7400E+03  5.1446E-02  1.5867E+00   9.2134E-05
 3.7360E+03  5.1435E-02  1.5866E+00   9.2488E-05
 3.7320E+03  5.1423E-02  1.5865E+00   9.2845E-05
 3.7280E+03  5.1412E-02  1.5865E+00   9.3204E-05
 3.7240E+03  5.1401E-02  1.5864E+00   9.3564E-05
 3.7200E+03  5.1389E-02  1.5863E+00   9.3927E-05
 3.7160E+03  5.1378E-02  1.5862E+00   9.4291E-05
 3.7120E+03  5.1366E-02  1.5861E+00   9.4658E-05
 3.7080E+03  5.1355E-02  1.5860E+00   9.5026E-05
 3.7040E+03  5.1343E-02  1.5860E+00   9.5397E-05
 3.7000E+03  5.1332E-02  1.5859E+00   9.5769E-05
 3.6960E+03  5.1320E-02  1.5858E+00   9.6144E-05
 3.6920E+03  5.1308E-02  1.5857E+00   9.6520E-05
 3.6880E+03  5.1297E-02  1.5856E+00   9.6899E-05
 3.6840E+03  5.1285E-02  1.5855E+00   9.7279E-05
 3.6800E+03  5.1273E-02  1.5854E+00   9.7662E-05
 3.6760E+03  5.1261E-02  1.5853E+00   9.8047E-05
 3.6720E+03  5.1249E-02  1.5853E+00   9.8434E-05
 3.6680E+03  5.1237E-02  1.5852E+00   9.8823E-05
 3.6640E+03  5.1225E-02  1.5851E+00   9.9214E-05
 3.6600E+03  5.1213E-02  1.5850E+00   9.9607E-05
 3.6560E+03  5.1201E-02  1.5849E+00   1.0000E-04
 3.6520E+03  5.1189E-02  1.5848E+00   1.0040E-04
 3.6480E+03  5.1177E-02  1.5847E+00   1.0080E-04
 3.6440E+03  5.1164E-02  1.5846E+00   1.0120E-04
 3.6400E+03  5.1152E-02  1.5845E+00   1.0161E-04
 3.6360E+03  5.1140E-02  1.5844E+00   1.0201E-04
 3.6320E+03  5.1127E-02  1.5844E+00   1.0242E-04
 3.6280E+03  5.1115E-02  1.5843E+00   1.0283E-04
 3.6240E+03  5.1102E-02  1.5842E+00   1.0325E-04
 3.6200E+03  5.1090E-02  1.5841E+00   1.0366E-04
 3.6160E+03  5.1077E-02  1.5840E+00   1.0408E-04
 3.6120E+03  5.1064E-02  1.5839E+00   1.0450E-04
 3.6080E+03  5.1052E-02  1.5838E+00   1.0493E-04
 3.6040E+03  5.1039E-02  1.5837E+00   1.0535E-04
 3.6000E+03  5.1026E-02  1.5836E+00   1.0578E-04
 3.5960E+03  5.1013E-02  1.5835E+00   1.0621E-04
 3.5920E+03  5.1000E-02  1.5834E+00   1.0664E-04
 3.5880E+03  5.0987E-02  1.5833E+00   1.0708E-04
 3.5840E+03  5.0974E-02  1.5832E+00   1.0751E-04
 3.5800E+03  5.0961E-02  1.5831E+00   1.0795E-04
 3.5760E+03  5.0948E-02  1.5830E+00   1.0840E-04
 3.5720E+03  5.0935E-02  1.5829E+00   1.0884E-04
 3.5680E+03  5.0922E-02  1.5828E+00   1.0929E-04
 3.5640E+03  5.0908E-02  1.5827E+00   1.0974E-04
 3.5600E+03  5.0895E-02  1.5826E+00   1.1019E-04
 3.5560E+03  5.0882E-02  1.5825E+00   1.1065E-04
 3.5520E+03  5.0868E-02  1.5824E+00   1.1111E-04
 3.5480E+03  5.0855E-02  1.5823E+00   1.1157E-04
 3.5440E+03  5.0841E-02  1.5822E+00   1.1203E-04
 3.5400E+03  5.0827E-02  1.5821E+00   1.1250E-04
 3.5360E+03  5.0814E-02  1.5820E+00   1.1297E-04
 3.5320E+03  5.0800E-02  1.5819E+00   1.1344E-04
 3.5280E+03  5.0786E-02  1.5818E+00   1.1391E-04
 3.5240E+03  5.0772E-02  1.5817E+00   1.1439E-04
 3.5200E+03  5.0758E-02  1.5816E+00   1.1487E-04
 3.5160E+03  5.0744E-02  1.5815E+00   1.1535E-04
 3.5120E+03  5.0730E-02  1.5814E+00   1.1584E-04
 3.5080E+03  5.0716E-02  1.5813E+00   1.1632E-04
 3.5040E+03  5.0702E-02  1.5812E+00   1.1682E-04
 3.5000E+03  5.0688E-02  1.5811E+00   1.1731E-04
 3.4960E+03  5.0674E-02  1.5810E+00   1.1781E-04
 3.4920E+03  5.0659E-02  1.5809E+00   1.1831E-04
 3.4880E+03  5.0645E-02  1.5808E+00   1.1881E-04
 3.4840E+03  5.0631E-02  1.5807E+00   1.1932E-04
 3.4800E+03  5.0616E-02  1.5806E+00   1.1983E-04
 3.4760E+03  5.0601E-02  1.5805E+00   1.2034E-04
 3.4720E+03  5.0587E-02  1.5804E+00   1.2085E-04
 3.4680E+03  5.0572E-02  1.5803E+00   1.2137E-04
 3.4640E+03  5.0557E-02  1.5801E+00   1.2189E-04
 3.4600E+03  5.0543E-02  1.5800E+00   1.2242E-04
 3.4560E+03  5.0528E-02  1.5799E+00   1.2295E-04
 3.4520E+03  5.0513E-02  1.5798E+00   1.2348E-04
 3.4480E+03  5.0498E-02  1.5797E+00   1.2401E-04
 3.4440E+03  5.0483E-02  1.5796E+00   1.2455E-04
 3.4400E+03  5.0467E-02  1.5795E+00   1.2509E-04
 3.4360E+03  5.0452E-02  1.5794E+00   1.2563E-04
 3.4320E+03  5.0437E-02  1.5793E+00   1.2618E-04
 3.4280E+03  5.0422E-02  1.5791E+00   1.2673E-04
 3.4240E+03  5.0406E-02  1.5790E+00   1.2729E-04
 3.4200E+03  5.0391E-02  1.5789E+00   1.2784E-04
 3.4160E+03  5.0375E-02  1.5788E+00   1.2840E-04
 3.4120E+03  5.0360E-02  1.5787E+00   1.2897E-04
 3.4080E+03  5.0344E-02  1.5786E+00   1.2954E-04
 3.4040E+03  5.0328E-02  1.5784E+00   1.3011E-04
 3.4000E+03  5.0312E-02  1.5783E+00   1.3068E-04
 3.3960E+03  5.0296E-02  1.5782E+00   1.3126E-04
 3.3920E+03  5.0280E-02  1.5781E+00   1.3184E-04
 3.3880E+03  5.0264E-02  1.5780E+00   1.3243E-04
 3.3840E+03  5.0248E-02  1.5779E+00   1.3302E-04
