Dypingite optical constants from Roush, J. 
Geophys. Res., 101, 2215-2225, 1996.
  wavelength  calc. ref.  real index  imag. index
 5.0004E+00  1.7770E-02  1.3059E+00   3.8490E-03
 5.0053E+00  1.7741E-02  1.3056E+00   3.8730E-03
 5.0101E+00  1.7713E-02  1.3054E+00   3.8973E-03
 5.0150E+00  1.7683E-02  1.3051E+00   3.9219E-03
 5.0198E+00  1.7654E-02  1.3048E+00   3.9467E-03
 5.0247E+00  1.7625E-02  1.3045E+00   3.9717E-03
 5.0296E+00  1.7595E-02  1.3042E+00   3.9970E-03
 5.0344E+00  1.7566E-02  1.3039E+00   4.0224E-03
 5.0393E+00  1.7536E-02  1.3036E+00   4.0482E-03
 5.0442E+00  1.7506E-02  1.3033E+00   4.0742E-03
 5.0492E+00  1.7475E-02  1.3030E+00   4.1006E-03
 5.0541E+00  1.7445E-02  1.3027E+00   4.1272E-03
 5.0590E+00  1.7414E-02  1.3024E+00   4.1540E-03
 5.0639E+00  1.7383E-02  1.3021E+00   4.1810E-03
 5.0689E+00  1.7352E-02  1.3018E+00   4.2085E-03
 5.0739E+00  1.7321E-02  1.3014E+00   4.2362E-03
 5.0788E+00  1.7290E-02  1.3011E+00   4.2642E-03
 5.0838E+00  1.7258E-02  1.3008E+00   4.2925E-03
 5.0888E+00  1.7226E-02  1.3005E+00   4.3210E-03
 5.0938E+00  1.7194E-02  1.3002E+00   4.3499E-03
 5.0988E+00  1.7162E-02  1.2998E+00   4.3790E-03
 5.1038E+00  1.7130E-02  1.2995E+00   4.4085E-03
 5.1088E+00  1.7097E-02  1.2992E+00   4.4383E-03
 5.1139E+00  1.7064E-02  1.2988E+00   4.4684E-03
 5.1189E+00  1.7031E-02  1.2985E+00   4.4989E-03
 5.1240E+00  1.6998E-02  1.2982E+00   4.5297E-03
 5.1290E+00  1.6965E-02  1.2978E+00   4.5607E-03
 5.1341E+00  1.6931E-02  1.2975E+00   4.5922E-03
 5.1392E+00  1.6897E-02  1.2972E+00   4.6240E-03
 5.1443E+00  1.6863E-02  1.2968E+00   4.6561E-03
 5.1494E+00  1.6829E-02  1.2965E+00   4.6887E-03
 5.1546E+00  1.6795E-02  1.2961E+00   4.7216E-03
 5.1597E+00  1.6760E-02  1.2958E+00   4.7548E-03
 5.1648E+00  1.6725E-02  1.2954E+00   4.7883E-03
 5.1700E+00  1.6690E-02  1.2950E+00   4.8223E-03
 5.1751E+00  1.6655E-02  1.2947E+00   4.8567E-03
 5.1803E+00  1.6619E-02  1.2943E+00   4.8915E-03
 5.1855E+00  1.6583E-02  1.2940E+00   4.9267E-03
 5.1907E+00  1.6547E-02  1.2936E+00   4.9623E-03
 5.1959E+00  1.6511E-02  1.2932E+00   4.9981E-03
 5.2011E+00  1.6474E-02  1.2928E+00   5.0345E-03
 5.2063E+00  1.6437E-02  1.2925E+00   5.0713E-03
 5.2115E+00  1.6400E-02  1.2921E+00   5.1086E-03
 5.2168E+00  1.6363E-02  1.2917E+00   5.1463E-03
 5.2220E+00  1.6325E-02  1.2913E+00   5.1845E-03
 5.2273E+00  1.6287E-02  1.2909E+00   5.2231E-03
 5.2326E+00  1.6249E-02  1.2905E+00   5.2620E-03
 5.2379E+00  1.6211E-02  1.2901E+00   5.3015E-03
 5.2432E+00  1.6172E-02  1.2897E+00   5.3415E-03
 5.2485E+00  1.6133E-02  1.2893E+00   5.3821E-03
 5.2538E+00  1.6094E-02  1.2889E+00   5.4231E-03
 5.2591E+00  1.6055E-02  1.2885E+00   5.4646E-03
 5.2645E+00  1.6015E-02  1.2881E+00   5.5066E-03
 5.2698E+00  1.5975E-02  1.2877E+00   5.5489E-03
 5.2752E+00  1.5935E-02  1.2873E+00   5.5920E-03
 5.2805E+00  1.5894E-02  1.2869E+00   5.6356E-03
 5.2859E+00  1.5854E-02  1.2864E+00   5.6797E-03
 5.2913E+00  1.5812E-02  1.2860E+00   5.7244E-03
 5.2967E+00  1.5771E-02  1.2856E+00   5.7697E-03
 5.3021E+00  1.5729E-02  1.2851E+00   5.8153E-03
 5.3075E+00  1.5687E-02  1.2847E+00   5.8618E-03
 5.3130E+00  1.5645E-02  1.2843E+00   5.9088E-03
 5.3184E+00  1.5602E-02  1.2838E+00   5.9565E-03
 5.3239E+00  1.5559E-02  1.2834E+00   6.0047E-03
 5.3294E+00  1.5516E-02  1.2829E+00   6.0536E-03
 5.3349E+00  1.5472E-02  1.2825E+00   6.1032E-03
 5.3403E+00  1.5429E-02  1.2820E+00   6.1531E-03
 5.3459E+00  1.5384E-02  1.2815E+00   6.2040E-03
 5.3514E+00  1.5340E-02  1.2811E+00   6.2556E-03
 5.3569E+00  1.5295E-02  1.2806E+00   6.3078E-03
 5.3624E+00  1.5250E-02  1.2801E+00   6.3608E-03
 5.3680E+00  1.5204E-02  1.2796E+00   6.4145E-03
 5.3735E+00  1.5158E-02  1.2792E+00   6.4686E-03
 5.3791E+00  1.5112E-02  1.2787E+00   6.5238E-03
 5.3847E+00  1.5065E-02  1.2782E+00   6.5797E-03
 5.3903E+00  1.5018E-02  1.2777E+00   6.6364E-03
 5.3959E+00  1.4971E-02  1.2772E+00   6.6939E-03
 5.4016E+00  1.4923E-02  1.2767E+00   6.7523E-03
 5.4072E+00  1.4875E-02  1.2762E+00   6.8114E-03
 5.4128E+00  1.4827E-02  1.2756E+00   6.8711E-03
 5.4185E+00  1.4778E-02  1.2751E+00   6.9319E-03
 5.4241E+00  1.4729E-02  1.2746E+00   6.9937E-03
 5.4298E+00  1.4679E-02  1.2741E+00   7.0563E-03
 5.4355E+00  1.4629E-02  1.2735E+00   7.1199E-03
 5.4412E+00  1.4578E-02  1.2730E+00   7.1843E-03
 5.4469E+00  1.4528E-02  1.2724E+00   7.2494E-03
 5.4527E+00  1.4476E-02  1.2719E+00   7.3158E-03
 5.4584E+00  1.4425E-02  1.2713E+00   7.3832E-03
 5.4642E+00  1.4373E-02  1.2708E+00   7.4517E-03
 5.4699E+00  1.4320E-02  1.2702E+00   7.5211E-03
 5.4757E+00  1.4267E-02  1.2696E+00   7.5917E-03
 5.4815E+00  1.4214E-02  1.2691E+00   7.6633E-03
 5.4873E+00  1.4160E-02  1.2685E+00   7.7356E-03
 5.4931E+00  1.4106E-02  1.2679E+00   7.8095E-03
 5.4989E+00  1.4051E-02  1.2673E+00   7.8845E-03
 5.5048E+00  1.3996E-02  1.2667E+00   7.9606E-03
 5.5106E+00  1.3940E-02  1.2661E+00   8.0380E-03
 5.5165E+00  1.3884E-02  1.2655E+00   8.1167E-03
 5.5223E+00  1.3827E-02  1.2649E+00   8.1962E-03
 5.5282E+00  1.3770E-02  1.2642E+00   8.2774E-03
 5.5341E+00  1.3712E-02  1.2636E+00   8.3599E-03
 5.5400E+00  1.3654E-02  1.2630E+00   8.4438E-03
 5.5460E+00  1.3595E-02  1.2623E+00   8.5290E-03
 5.5519E+00  1.3536E-02  1.2617E+00   8.6157E-03
 5.5579E+00  1.3476E-02  1.2610E+00   8.7039E-03
 5.5638E+00  1.3416E-02  1.2603E+00   8.7930E-03
 5.5698E+00  1.3356E-02  1.2597E+00   8.8842E-03
 5.5758E+00  1.3294E-02  1.2590E+00   8.9769E-03
 5.5818E+00  1.3232E-02  1.2583E+00   9.0713E-03
 5.5878E+00  1.3170E-02  1.2576E+00   9.1672E-03
 5.5938E+00  1.3107E-02  1.2569E+00   9.2649E-03
 5.5999E+00  1.3044E-02  1.2562E+00   9.3637E-03
 5.6059E+00  1.2979E-02  1.2555E+00   9.4649E-03
 5.6120E+00  1.2914E-02  1.2547E+00   9.5678E-03
 5.6181E+00  1.2849E-02  1.2540E+00   9.6727E-03
 5.6242E+00  1.2783E-02  1.2533E+00   9.7794E-03
 5.6303E+00  1.2716E-02  1.2525E+00   9.8881E-03
 5.6364E+00  1.2649E-02  1.2517E+00   9.9987E-03
 5.6425E+00  1.2582E-02  1.2510E+00   1.0111E-02
 5.6487E+00  1.2513E-02  1.2502E+00   1.0226E-02
 5.6548E+00  1.2444E-02  1.2494E+00   1.0343E-02
 5.6610E+00  1.2374E-02  1.2486E+00   1.0462E-02
 5.6672E+00  1.2303E-02  1.2478E+00   1.0584E-02
 5.6734E+00  1.2232E-02  1.2470E+00   1.0708E-02
 5.6796E+00  1.2160E-02  1.2462E+00   1.0833E-02
 5.6858E+00  1.2088E-02  1.2453E+00   1.0962E-02
 5.6921E+00  1.2014E-02  1.2445E+00   1.1094E-02
 5.6983E+00  1.1940E-02  1.2436E+00   1.1228E-02
 5.7046E+00  1.1865E-02  1.2428E+00   1.1364E-02
 5.7109E+00  1.1790E-02  1.2419E+00   1.1504E-02
 5.7172E+00  1.1713E-02  1.2410E+00   1.1646E-02
 5.7235E+00  1.1636E-02  1.2401E+00   1.1791E-02
 5.7298E+00  1.1558E-02  1.2392E+00   1.1939E-02
 5.7361E+00  1.1480E-02  1.2382E+00   1.2091E-02
 5.7425E+00  1.1400E-02  1.2373E+00   1.2246E-02
 5.7489E+00  1.1320E-02  1.2363E+00   1.2404E-02
 5.7553E+00  1.1238E-02  1.2354E+00   1.2566E-02
 5.7616E+00  1.1157E-02  1.2344E+00   1.2730E-02
 5.7680E+00  1.1074E-02  1.2334E+00   1.2899E-02
 5.7745E+00  1.0990E-02  1.2324E+00   1.3071E-02
 5.7809E+00  1.0905E-02  1.2314E+00   1.3248E-02
 5.7874E+00  1.0819E-02  1.2304E+00   1.3428E-02
 5.7938E+00  1.0733E-02  1.2293E+00   1.3613E-02
 5.8003E+00  1.0645E-02  1.2282E+00   1.3802E-02
 5.8068E+00  1.0557E-02  1.2272E+00   1.3994E-02
 5.8133E+00  1.0468E-02  1.2261E+00   1.4192E-02
 5.8198E+00  1.0377E-02  1.2250E+00   1.4395E-02
 5.8264E+00  1.0286E-02  1.2238E+00   1.4602E-02
 5.8329E+00  1.0193E-02  1.2227E+00   1.4815E-02
 5.8395E+00  1.0100E-02  1.2215E+00   1.5033E-02
 5.8461E+00  1.0006E-02  1.2204E+00   1.5255E-02
 5.8527E+00  9.9103E-03  1.2192E+00   1.5484E-02
 5.8593E+00  9.8136E-03  1.2179E+00   1.5719E-02
 5.8659E+00  9.7159E-03  1.2167E+00   1.5960E-02
 5.8726E+00  9.6170E-03  1.2155E+00   1.6208E-02
 5.8792E+00  9.5170E-03  1.2142E+00   1.6461E-02
 5.8859E+00  9.4159E-03  1.2129E+00   1.6722E-02
 5.8926E+00  9.3141E-03  1.2116E+00   1.6988E-02
 5.8993E+00  9.2106E-03  1.2102E+00   1.7263E-02
 5.9060E+00  9.1060E-03  1.2089E+00   1.7546E-02
 5.9128E+00  9.0001E-03  1.2075E+00   1.7836E-02
 5.9195E+00  8.8929E-03  1.2061E+00   1.8135E-02
 5.9263E+00  8.7846E-03  1.2046E+00   1.8443E-02
 5.9330E+00  8.6755E-03  1.2032E+00   1.8757E-02
 5.9398E+00  8.5646E-03  1.2017E+00   1.9083E-02
 5.9466E+00  8.4524E-03  1.2002E+00   1.9418E-02
 5.9535E+00  8.3389E-03  1.1987E+00   1.9764E-02
 5.9603E+00  8.2241E-03  1.1971E+00   2.0120E-02
 5.9672E+00  8.1079E-03  1.1955E+00   2.0487E-02
 5.9741E+00  7.9904E-03  1.1939E+00   2.0866E-02
 5.9809E+00  7.8721E-03  1.1922E+00   2.1254E-02
 5.9878E+00  7.7518E-03  1.1905E+00   2.1658E-02
 5.9948E+00  7.6302E-03  1.1888E+00   2.2074E-02
 6.0017E+00  7.5071E-03  1.1870E+00   2.2505E-02
 6.0087E+00  7.3826E-03  1.1853E+00   2.2950E-02
