Sodium Chloride from Handbook of optical constants of solids, edited by
E.D. Palik (1985) Academic Press.  Values set to -1.e+32 where data is
not provided
Wavel.    real imag.
microns  index index
--------------------
0.04769 0.83 0.15
0.04842 0.82 0.17
0.04880 0.83 0.17
0.04919 0.83 0.18
0.04959 0.83 0.18
0.04979 0.82 0.18
0.05019 0.82 0.18
0.05101 0.81 0.21
0.05144 0.81 0.22
0.05166 0.82 0.23
0.05187 0.82 0.23
0.05209 0.83 0.24
0.05298 0.85 0.23
0.05320 0.85 0.22
0.05343 0.85 0.21
0.05366 0.83 0.21
0.05391 0.82 0.21
0.05437 0.80 0.23
0.05485 0.79 0.26
0.05510 0.80 0.27
0.05534 0.80 0.28
0.05559 0.81 0.29
0.05584 0.82 0.30
0.05636 0.83 0.31
0.05661 0.84 0.32
0.05687 0.85 0.32
0.05766 0.87 0.32
0.05875 0.88 0.31
0.05931 0.88 0.30
0.05960 0.88 0.30
0.06018 0.88 0.30
0.06048 0.87 0.31
0.06137 0.87 0.33
0.06168 0.88 0.33
0.06199 0.88 0.34
0.06230 0.89 0.34
0.06261 0.91 0.34
0.06325 0.92 0.32
0.06358 0.92 0.31
0.06390 0.91 0.30
0.06423 0.90 0.29
0.06457 0.88 0.29
0.06490 0.87 0.30
0.06559 0.86 0.33
0.06594 0.86 0.34
0.06629 0.87 0.35
0.06666 0.88 0.35
0.06702 0.89 0.35
0.06737 0.90 0.35
0.06774 0.90 0.34
0.06811 0.90 0.33
0.06888 0.89 0.33
0.07085 0.85 0.33
0.07166 0.84 0.34
0.07250 0.82 0.36
0.07293 0.82 0.37
0.07335 0.82 0.38
0.07379 0.82 0.38
0.07423 0.82 0.38
0.07514 0.80 0.38
0.07559 0.79 0.39
0.07601 0.77 0.40
0.07652 0.74 0.43
0.07700 0.74 0.45
0.07797 0.74 0.49
0.07896 0.74 0.53
0.07999 0.75 0.57
0.08050 0.76 0.59
0.08103 0.76 0.60
0.08156 0.77 0.62
0.08320 0.77 0.67
0.08376 0.76 0.71
0.08433 0.78 0.75
0.08460 0.79 0.77
0.08491 0.81 0.78
0.08520 0.82 0.79
0.08551 0.84 0.80
0.08570 0.85 0.81
0.08609 0.86 0.82
0.08669 0.88 0.84
0.08700 0.89 0.85
0.08730 0.91 0.86
0.08792 0.94 0.88
0.08856 0.98 0.89
0.08919 1.02 0.90
0.08983 1.06 0.90
0.09049 1.10 0.89
0.09184 1.16 0.85
0.09255 1.096 0.916
0.09322 1.20 0.81
0.09390 1.197 0.868
0.09464 1.21 0.74
0.09500 1.169 0.759
0.09537 1.19 0.71
0.09574 1.17 0.70
0.09587 1.104 0.765
0.09611 1.16 0.70
0.09626 1.088 0.794
0.09648 1.14 0.71
0.09686 1.12 0.71
0.09712 1.083 0.834
0.09762 1.10 0.75
0.09802 1.082 0.896
0.09840 1.10 0.81
0.09879 1.14 0.83
0.09907 1.119 0.967
0.09958 1.15 0.84
0.09998 1.17 0.85
0.1003 1.197 1.02
0.1004 1.19 0.85
0.1007 1.230 1.02
0.1008 1.21 0.85
0.1016 1.24 0.83
0.1025 1.24 0.79
0.1025 1.320 0.940
0.1033 1.22 0.79
0.1034 1.290 0.921
0.1040 1.272 0.931
0.1042 1.20 0.79
0.1047 1.234 0.937
0.1051 1.16 0.80
0.1052 1.209 0.987
0.1058 1.204 1.05
0.1060 1.12 0.86
0.1064 1.10 0.89
0.1065 1.219 1.14
0.1069 1.07 0.96
0.1071 1.255 1.205
0.1073 1.09 1.06
0.1077 1.338 1.28
0.1078 1.15 1.14
0.1082 1.422 1.34
0.1083 1.24 1.19
0.1085 1.491 1.36
0.1088 1.32 1.21
0.1090 1.588 1.35
0.1092 1.40 1.23
0.1095 1.682 1.34
0.1097 1.49 1.22
0.1102 1.57 1.19
0.1104 1.864 1.27
0.1107 1.64 1.15
0.1117 1.75 1.04
0.1119 2.002 1.02
0.1124 2.003 0.938
0.1127 1.82 0.93
0.1133 1.990 0.834
0.1137 1.82 0.78
0.1146 1.975 0.706
0.1151 1.947 0.650
0.1161 1.873 0.569
0.1166 1.821 0.543
0.1170 1.67 0.56
0.1175 1.730 0.546
0.1181 1.58 0.53
0.1186 1.54 0.54
0.1189 1.654 0.575
0.1192 1.51 0.56
0.1198 1.49 0.59
0.1205 1.637 0.645
0.1216 1.640 0.673
0.1221 1.50 0.70
0.1224 1.664 0.694
0.1227 1.52 0.71
0.1230 1.673 0.687
0.1232 1.54 0.71
0.1240 1.55 0.71
0.1251 1.711 0.715
0.1262 1.742 0.700
0.1265 1.59 0.70
0.1271 1.751 0.681
0.1283 1.764 0.670
0.1291 1.63 0.68
0.1293 1.770 0.658
0.1297 1.779 0.655
0.1300 1.776 0.647
0.1313 1.787 0.623
0.1319 1.65 0.65
0.1325 1.780 0.617
0.1345 1.792 0.597
0.1348 1.66 0.63
0.1363 1.791 0.585
0.1378 1.67 0.60
0.1386 1.804 0.564
0.1393 1.66 0.59
0.1394 1.792 0.549
0.1402 1.789 0.552
0.1409 1.66 0.60
0.1413 1.789 0.546
0.1417 1.66 0.59
0.1425 1.66 0.59
0.1433 1.776 0.529
0.1442 1.65 0.58
0.1450 1.749 0.534
0.1459 1.64 0.58
0.1460 1.745 0.539
0.1467 1.64 0.58
0.1474 1.735 0.531
0.1476 1.63 0.58
0.1482 1.719 0.531
0.1485 1.61 0.57
0.1489 1.695 0.534
0.1494 1.59 0.58
0.1496 1.682 0.542
0.1500 1.665 0.542
