Data from 0.2 to 30 micrometers are from Table 4 of O.B. Toon et al.,
The optical constants of several atmospheric aerosol species:  
Ammonium Sulfate, Aluminum Oxide, and Sodium Chloride, J. Geophys. 
Res., 81, 5733-5748, 1976.  The relfectances of these data are set to
0.0.  Data beyond 32 micrometers are created using the Lorentz line 
parameters given in Toon et al. and these could be recalculated at 
any spectral resolution.  Range of validity is given as 333-100 
inverse centimeters.

high frq. dielec. const=  2.327
Lorentz line parameters
center  width  strength
 247.0  0.1410  0.0900
 164.0  0.0370  3.2000
  83.0  1.6490  0.3300

 wave.    freq.   refl.       real       imag.
100.000   100.0  0.2163       2.737     0.06357
98.0392   102.0  0.2192       2.759     0.06457
96.1538   104.0  0.2223       2.783     0.06576
94.3396   106.0  0.2257       2.808     0.06718
92.5926   108.0  0.2292       2.835     0.06884
90.9091   110.0  0.2330       2.864     0.07079
89.2857   112.0  0.2370       2.895     0.07305
87.7193   114.0  0.2412       2.928     0.07567
86.2069   116.0  0.2457       2.964     0.07870
84.7458   118.0  0.2506       3.002     0.08220
83.3333   120.0  0.2558       3.044     0.08624
81.9672   122.0  0.2613       3.088     0.09091
80.6452   124.0  0.2672       3.137     0.09632
79.3651   126.0  0.2736       3.190      0.1026
78.1250   128.0  0.2805       3.248      0.1099
76.9231   130.0  0.2880       3.312      0.1185
75.7576   132.0  0.2961       3.382      0.1286
74.6269   134.0  0.3048       3.459      0.1406
73.5294   136.0  0.3144       3.546      0.1550
72.4638   138.0  0.3249       3.643      0.1724
71.4286   140.0  0.3365       3.752      0.1936
70.4225   142.0  0.3493       3.877      0.2200
69.4444   144.0  0.3636       4.021      0.2533
68.4932   146.0  0.3797       4.188      0.2962
67.5676   148.0  0.3978       4.386      0.3528
66.6667   150.0  0.4186       4.623      0.4300
65.7895   152.0  0.4426       4.913      0.5394
64.9351   154.0  0.4708       5.275      0.7022
64.1026   156.0  0.5045       5.738      0.9605
63.2911   158.0  0.5458       6.336       1.406
62.5000   160.0  0.5975       7.076       2.258
61.7284   162.0  0.6625       7.654       3.978
60.9756   164.0  0.7356       6.672       6.487
60.2410   166.0  0.7939       4.093       7.313
59.5238   168.0  0.8287       2.367       6.629
58.8235   170.0  0.8493       1.510       5.813
58.1395   172.0  0.8623       1.057       5.147
57.4713   174.0  0.8711      0.7927       4.623
56.8182   176.0  0.8771      0.6244       4.204
56.1798   178.0  0.8812      0.5106       3.861
55.5556   180.0  0.8839      0.4297       3.573
54.9451   182.0  0.8857      0.3700       3.327
54.3478   184.0  0.8865      0.3247       3.112
53.7634   186.0  0.8866      0.2895       2.924
53.1915   188.0  0.8860      0.2617       2.755
52.6316   190.0  0.8847      0.2395       2.603
52.0833   192.0  0.8828      0.2215       2.464
51.5464   194.0  0.8803      0.2070       2.337
51.0204   196.0  0.8771      0.1952       2.219
50.5051   198.0  0.8731      0.1857       2.109
50.0000   200.0  0.8682      0.1782       2.005
49.5050   202.0  0.8624      0.1725       1.908
49.0196   204.0  0.8555      0.1684       1.816
48.5437   206.0  0.8473      0.1659       1.728
48.0769   208.0  0.8375      0.1648       1.643
47.6190   210.0  0.8259      0.1653       1.562
47.1698   212.0  0.8121      0.1674       1.484
46.7290   214.0  0.7956      0.1713       1.407
46.2963   216.0  0.7760      0.1771       1.333
45.8716   218.0  0.7525      0.1853       1.261
45.4545   220.0  0.7244      0.1961       1.190
45.0450   222.0  0.6910      0.2102       1.121
44.6429   224.0  0.6518      0.2279       1.054
44.2478   226.0  0.6064      0.2500      0.9890
43.8596   228.0  0.5553      0.2770      0.9277
43.4783   230.0  0.5000      0.3091      0.8714
43.1034   232.0  0.4436      0.3459      0.8219
42.7350   234.0  0.3900      0.3860      0.7812
42.3729   236.0  0.3432      0.4268      0.7507
42.0168   238.0  0.3060      0.4650      0.7308
41.6667   240.0  0.2794      0.4974      0.7201
