Darapskite optical constants from Roush, J. Geophys.
Res., 101, 2215-2224, 1996.  Range of validity is given
as 5-17 micrometers
  wavelength  calc. ref.  real index  imag. index
 2.5002E+00  2.6563E-02  1.3876E+00   5.8518E-05
 2.5014E+00  2.6562E-02  1.3875E+00   5.8616E-05
 2.5026E+00  2.6560E-02  1.3875E+00   5.8714E-05
 2.5038E+00  2.6559E-02  1.3875E+00   5.8813E-05
 2.5051E+00  2.6558E-02  1.3875E+00   5.8911E-05
 2.5063E+00  2.6557E-02  1.3875E+00   5.9010E-05
 2.5075E+00  2.6555E-02  1.3875E+00   5.9109E-05
 2.5087E+00  2.6554E-02  1.3875E+00   5.9208E-05
 2.5099E+00  2.6553E-02  1.3875E+00   5.9308E-05
 2.5111E+00  2.6552E-02  1.3875E+00   5.9407E-05
 2.5123E+00  2.6551E-02  1.3875E+00   5.9508E-05
 2.5136E+00  2.6549E-02  1.3874E+00   5.9608E-05
 2.5148E+00  2.6548E-02  1.3874E+00   5.9709E-05
 2.5160E+00  2.6547E-02  1.3874E+00   5.9809E-05
 2.5172E+00  2.6546E-02  1.3874E+00   5.9910E-05
 2.5184E+00  2.6544E-02  1.3874E+00   6.0011E-05
 2.5197E+00  2.6543E-02  1.3874E+00   6.0113E-05
 2.5209E+00  2.6542E-02  1.3874E+00   6.0214E-05
 2.5221E+00  2.6541E-02  1.3874E+00   6.0316E-05
 2.5234E+00  2.6539E-02  1.3874E+00   6.0419E-05
 2.5246E+00  2.6538E-02  1.3873E+00   6.0520E-05
 2.5258E+00  2.6537E-02  1.3873E+00   6.0623E-05
 2.5270E+00  2.6536E-02  1.3873E+00   6.0726E-05
 2.5283E+00  2.6534E-02  1.3873E+00   6.0829E-05
 2.5295E+00  2.6533E-02  1.3873E+00   6.0932E-05
 2.5307E+00  2.6532E-02  1.3873E+00   6.1036E-05
 2.5320E+00  2.6531E-02  1.3873E+00   6.1140E-05
 2.5332E+00  2.6529E-02  1.3873E+00   6.1243E-05
 2.5344E+00  2.6528E-02  1.3873E+00   6.1347E-05
 2.5357E+00  2.6527E-02  1.3872E+00   6.1452E-05
 2.5369E+00  2.6526E-02  1.3872E+00   6.1557E-05
 2.5382E+00  2.6524E-02  1.3872E+00   6.1662E-05
 2.5394E+00  2.6523E-02  1.3872E+00   6.1767E-05
 2.5406E+00  2.6522E-02  1.3872E+00   6.1873E-05
 2.5419E+00  2.6520E-02  1.3872E+00   6.1979E-05
 2.5431E+00  2.6519E-02  1.3872E+00   6.2084E-05
 2.5444E+00  2.6518E-02  1.3872E+00   6.2191E-05
 2.5456E+00  2.6517E-02  1.3872E+00   6.2297E-05
 2.5469E+00  2.6515E-02  1.3871E+00   6.2404E-05
 2.5481E+00  2.6514E-02  1.3871E+00   6.2511E-05
 2.5494E+00  2.6513E-02  1.3871E+00   6.2618E-05
 2.5507E+00  2.6511E-02  1.3871E+00   6.2726E-05
 2.5519E+00  2.6510E-02  1.3871E+00   6.2834E-05
 2.5532E+00  2.6509E-02  1.3871E+00   6.2941E-05
 2.5544E+00  2.6508E-02  1.3871E+00   6.3050E-05
 2.5557E+00  2.6506E-02  1.3871E+00   6.3159E-05
 2.5569E+00  2.6505E-02  1.3871E+00   6.3267E-05
 2.5582E+00  2.6504E-02  1.3870E+00   6.3376E-05
 2.5595E+00  2.6502E-02  1.3870E+00   6.3485E-05
 2.5607E+00  2.6501E-02  1.3870E+00   6.3595E-05
 2.5620E+00  2.6500E-02  1.3870E+00   6.3705E-05
 2.5633E+00  2.6498E-02  1.3870E+00   6.3815E-05
 2.5645E+00  2.6497E-02  1.3870E+00   6.3925E-05
 2.5658E+00  2.6496E-02  1.3870E+00   6.4036E-05
 2.5671E+00  2.6494E-02  1.3870E+00   6.4146E-05
