Fibroferrite optical constants from Roush, J. Geophys.
Res., 101, 2215-2224, 1996.  From best fit oscillators
given in Table 5.
  wavelength  calc. ref.  real index  imag. index
 5.0004E+00  3.6078E-02  1.4669E+00   1.9003E-03
 5.0053E+00  3.6057E-02  1.4668E+00   1.9134E-03
 5.0101E+00  3.6036E-02  1.4666E+00   1.9266E-03
 5.0150E+00  3.6015E-02  1.4664E+00   1.9399E-03
 5.0198E+00  3.5994E-02  1.4663E+00   1.9535E-03
 5.0247E+00  3.5973E-02  1.4661E+00   1.9672E-03
 5.0296E+00  3.5951E-02  1.4659E+00   1.9810E-03
 5.0344E+00  3.5930E-02  1.4657E+00   1.9950E-03
 5.0393E+00  3.5908E-02  1.4656E+00   2.0092E-03
 5.0442E+00  3.5886E-02  1.4654E+00   2.0237E-03
 5.0492E+00  3.5865E-02  1.4652E+00   2.0383E-03
 5.0541E+00  3.5842E-02  1.4650E+00   2.0531E-03
 5.0590E+00  3.5820E-02  1.4649E+00   2.0680E-03
 5.0639E+00  3.5798E-02  1.4647E+00   2.0832E-03
 5.0689E+00  3.5776E-02  1.4645E+00   2.0985E-03
 5.0739E+00  3.5753E-02  1.4643E+00   2.1141E-03
 5.0788E+00  3.5730E-02  1.4641E+00   2.1300E-03
 5.0838E+00  3.5707E-02  1.4640E+00   2.1460E-03
 5.0888E+00  3.5684E-02  1.4638E+00   2.1622E-03
 5.0938E+00  3.5661E-02  1.4636E+00   2.1787E-03
 5.0988E+00  3.5638E-02  1.4634E+00   2.1953E-03
 5.1038E+00  3.5614E-02  1.4632E+00   2.2123E-03
 5.1088E+00  3.5591E-02  1.4630E+00   2.2295E-03
 5.1139E+00  3.5567E-02  1.4628E+00   2.2469E-03
 5.1189E+00  3.5543E-02  1.4626E+00   2.2646E-03
 5.1240E+00  3.5519E-02  1.4624E+00   2.2825E-03
 5.1290E+00  3.5495E-02  1.4622E+00   2.3006E-03
 5.1341E+00  3.5470E-02  1.4620E+00   2.3191E-03
 5.1392E+00  3.5446E-02  1.4618E+00   2.3379E-03
 5.1443E+00  3.5421E-02  1.4616E+00   2.3569E-03
 5.1494E+00  3.5396E-02  1.4614E+00   2.3762E-03
 5.1546E+00  3.5371E-02  1.4612E+00   2.3958E-03
 5.1597E+00  3.5345E-02  1.4610E+00   2.4157E-03
 5.1648E+00  3.5320E-02  1.4608E+00   2.4359E-03
 5.1700E+00  3.5294E-02  1.4606E+00   2.4564E-03
 5.1751E+00  3.5269E-02  1.4604E+00   2.4773E-03
 5.1803E+00  3.5243E-02  1.4602E+00   2.4984E-03
 5.1855E+00  3.5217E-02  1.4600E+00   2.5200E-03
 5.1907E+00  3.5190E-02  1.4598E+00   2.5419E-03
 5.1959E+00  3.5164E-02  1.4596E+00   2.5640E-03
 5.2011E+00  3.5137E-02  1.4594E+00   2.5866E-03
 5.2063E+00  3.5110E-02  1.4591E+00   2.6095E-03
 5.2115E+00  3.5083E-02  1.4589E+00   2.6329E-03
 5.2168E+00  3.5056E-02  1.4587E+00   2.6566E-03
 5.2220E+00  3.5028E-02  1.4585E+00   2.6808E-03
 5.2273E+00  3.5000E-02  1.4583E+00   2.7054E-03
 5.2326E+00  3.4973E-02  1.4580E+00   2.7302E-03
 5.2379E+00  3.4944E-02  1.4578E+00   2.7556E-03
 5.2432E+00  3.4916E-02  1.4576E+00   2.7815E-03
 5.2485E+00  3.4887E-02  1.4573E+00   2.8078E-03
 5.2538E+00  3.4859E-02  1.4571E+00   2.8346E-03
