Calculated for E||b from oscillators in table 1 of Aronson et al., Appl. Opt. 22,
4093-4098, 1983.
  frequency  calc. ref.  real index  imag. index
 4.0112E+02  7.4331E-02  1.7496E+00   8.9782E-03
 4.0305E+02  7.4497E-02  1.7507E+00   9.1515E-03
 4.0498E+02  7.4667E-02  1.7519E+00   9.3297E-03
 4.0691E+02  7.4840E-02  1.7531E+00   9.5128E-03
 4.0883E+02  7.5016E-02  1.7543E+00   9.7012E-03
 4.1076E+02  7.5195E-02  1.7556E+00   9.8951E-03
 4.1269E+02  7.5378E-02  1.7568E+00   1.0095E-02
 4.1462E+02  7.5565E-02  1.7581E+00   1.0300E-02
 4.1655E+02  7.5756E-02  1.7594E+00   1.0512E-02
 4.1848E+02  7.5950E-02  1.7608E+00   1.0730E-02
 4.2040E+02  7.6148E-02  1.7621E+00   1.0954E-02
 4.2233E+02  7.6351E-02  1.7635E+00   1.1186E-02
 4.2426E+02  7.6557E-02  1.7650E+00   1.1425E-02
 4.2619E+02  7.6768E-02  1.7664E+00   1.1671E-02
 4.2812E+02  7.6983E-02  1.7679E+00   1.1925E-02
 4.3005E+02  7.7203E-02  1.7694E+00   1.2188E-02
 4.3198E+02  7.7428E-02  1.7709E+00   1.2459E-02
 4.3390E+02  7.7658E-02  1.7725E+00   1.2739E-02
 4.3583E+02  7.7893E-02  1.7741E+00   1.3028E-02
 4.3776E+02  7.8133E-02  1.7758E+00   1.3327E-02
 4.3969E+02  7.8378E-02  1.7775E+00   1.3637E-02
 4.4162E+02  7.8629E-02  1.7792E+00   1.3957E-02
 4.4355E+02  7.8886E-02  1.7810E+00   1.4289E-02
 4.4548E+02  7.9149E-02  1.7828E+00   1.4632E-02
 4.4740E+02  7.9419E-02  1.7846E+00   1.4988E-02
 4.4933E+02  7.9695E-02  1.7865E+00   1.5357E-02
 4.5126E+02  7.9977E-02  1.7884E+00   1.5740E-02
 4.5319E+02  8.0267E-02  1.7904E+00   1.6137E-02
