From Marzo et al. (2004) Adv. Space Res., 33, 2246-2251
selenite
  Wavelength
  (microns)       n           k       Q/a theor   Q/a experim
  0.1600D+01  0.1397D+01  0.2050D-02  0.2193D+03  0.2421D+03
  0.1601D+01  0.1397D+01  0.2061D-02  0.2202D+03  0.2421D+03
  0.1603D+01  0.1397D+01  0.2071D-02  0.2211D+03  0.2425D+03
  0.1604D+01  0.1397D+01  0.2081D-02  0.2219D+03  0.2418D+03
  0.1606D+01  0.1397D+01  0.2092D-02  0.2228D+03  0.2425D+03
  0.1607D+01  0.1397D+01  0.2102D-02  0.2236D+03  0.2420D+03
  0.1608D+01  0.1397D+01  0.2112D-02  0.2245D+03  0.2424D+03
  0.1608D+01  0.1397D+01  0.2112D-02  0.2253D+03  0.2401D+03
  0.1610D+01  0.1397D+01  0.2121D-02  0.2260D+03  0.2364D+03
  0.1611D+01  0.1397D+01  0.2131D-02  0.2269D+03  0.2394D+03
  0.1612D+01  0.1397D+01  0.2140D-02  0.2276D+03  0.2375D+03
  0.1614D+01  0.1397D+01  0.2150D-02  0.2284D+03  0.2373D+03
  0.1615D+01  0.1397D+01  0.2159D-02  0.2291D+03  0.2382D+03
  0.1617D+01  0.1397D+01  0.2168D-02  0.2298D+03  0.2403D+03
  0.1618D+01  0.1397D+01  0.2177D-02  0.2305D+03  0.2404D+03
  0.1619D+01  0.1397D+01  0.2185D-02  0.2312D+03  0.2383D+03
  0.1621D+01  0.1397D+01  0.2194D-02  0.2318D+03  0.2372D+03
  0.1622D+01  0.1397D+01  0.2202D-02  0.2325D+03  0.2362D+03
  0.1624D+01  0.1397D+01  0.2210D-02  0.2331D+03  0.2367D+03
  0.1625D+01  0.1397D+01  0.2218D-02  0.2337D+03  0.2370D+03
  0.1626D+01  0.1397D+01  0.2226D-02  0.2343D+03  0.2379D+03
  0.1628D+01  0.1397D+01  0.2234D-02  0.2349D+03  0.2381D+03
  0.1629D+01  0.1397D+01  0.2241D-02  0.2354D+03  0.2376D+03
  0.1631D+01  0.1397D+01  0.2248D-02  0.2359D+03  0.2367D+03
  0.1631D+01  0.1397D+01  0.2248D-02  0.2364D+03  0.2373D+03
  0.1632D+01  0.1397D+01  0.2255D-02  0.2369D+03  0.2366D+03
  0.1633D+01  0.1397D+01  0.2262D-02  0.2374D+03  0.2373D+03
  0.1635D+01  0.1397D+01  0.2269D-02  0.2378D+03  0.2358D+03
  0.1636D+01  0.1397D+01  0.2275D-02  0.2383D+03  0.2354D+03
  0.1638D+01  0.1397D+01  0.2281D-02  0.2387D+03  0.2337D+03
  0.1639D+01  0.1397D+01  0.2287D-02  0.2391D+03  0.2354D+03
  0.1641D+01  0.1397D+01  0.2293D-02  0.2394D+03  0.2366D+03
  0.1642D+01  0.1397D+01  0.2298D-02  0.2398D+03  0.2340D+03
  0.1643D+01  0.1397D+01  0.2304D-02  0.2401D+03  0.2328D+03
  0.1645D+01  0.1397D+01  0.2309D-02  0.2404D+03  0.2331D+03
  0.1646D+01  0.1397D+01  0.2314D-02  0.2407D+03  0.2333D+03
  0.1648D+01  0.1397D+01  0.2318D-02  0.2409D+03  0.2317D+03
  0.1649D+01  0.1397D+01  0.2323D-02  0.2412D+03  0.2317D+03
  0.1651D+01  0.1397D+01  0.2327D-02  0.2414D+03  0.2350D+03
  0.1652D+01  0.1397D+01  0.2331D-02  0.2416D+03  0.2350D+03
  0.1653D+01  0.1397D+01  0.2335D-02  0.2418D+03  0.2339D+03
  0.1653D+01  0.1397D+01  0.2335D-02  0.2420D+03  0.2328D+03
  0.1655D+01  0.1397D+01  0.2339D-02  0.2421D+03  0.2314D+03
  0.1656D+01  0.1397D+01  0.2342D-02  0.2423D+03  0.2321D+03
  0.1658D+01  0.1397D+01  0.2345D-02  0.2424D+03  0.2319D+03
  0.1659D+01  0.1397D+01  0.2349D-02  0.2424D+03  0.2309D+03
  0.1661D+01  0.1397D+01  0.2351D-02  0.2425D+03  0.2315D+03
  0.1662D+01  0.1397D+01  0.2354D-02  0.2426D+03  0.2306D+03
  0.1664D+01  0.1397D+01  0.2356D-02  0.2426D+03  0.2307D+03
  0.1665D+01  0.1397D+01  0.2359D-02  0.2426D+03  0.2300D+03
  0.1667D+01  0.1397D+01  0.2361D-02  0.2426D+03  0.2322D+03
  0.1668D+01  0.1397D+01  0.2363D-02  0.2426D+03  0.2314D+03
  0.1670D+01  0.1397D+01  0.2364D-02  0.2426D+03  0.2328D+03
  0.1671D+01  0.1397D+01  0.2366D-02  0.2425D+03  0.2316D+03
  0.1673D+01  0.1397D+01  0.2367D-02  0.2424D+03  0.2301D+03
  0.1674D+01  0.1397D+01  0.2369D-02  0.2424D+03  0.2312D+03
  0.1676D+01  0.1397D+01  0.2370D-02  0.2423D+03  0.2316D+03
  0.1677D+01  0.1397D+01  0.2370D-02  0.2422D+03  0.2318D+03
  0.1679D+01  0.1397D+01  0.2371D-02  0.2420D+03  0.2298D+03
  0.1679D+01  0.1397D+01  0.2371D-02  0.2419D+03  0.2308D+03
