Mg#=0.5, from Dorchner et al. 1995,
Astron. Astrophys., 300, 503.
    wavelength   real       imaginary
     0.20000    1.639000    0.252700
     0.22000    1.646270    0.296752
     0.24000    1.673660    0.306467
     0.26000    1.699300    0.298033
     0.28000    1.720270    0.284053
     0.30000    1.739320    0.267913
     0.32000    1.755980    0.248871
     0.34000    1.769520    0.226834
     0.36000    1.777880    0.203944
     0.38000    1.782360    0.182206
     0.40000    1.783000    0.162700
     0.42000    1.781620    0.146043
     0.45000    1.776900    0.125545
     0.50000    1.768000    0.100800
     0.55000    1.758110    0.084417
     0.60000    1.750020    0.073388
     0.65000    1.743320    0.066047
     0.70000    1.736740    0.061587
     0.75000    1.732030    0.059366
     0.80000    1.728000    0.058940
     0.90000    1.724230    0.062433
     1.00000    1.726000    0.068667
     1.10000    1.734050    0.073906
     1.20000    1.744880    0.075312
     1.30000    1.756400    0.072720
     1.40000    1.765600    0.067319
     1.50000    1.772550    0.060619
     1.60000    1.777400    0.053790
     1.70000    1.780880    0.047300
     1.80000    1.783520    0.041358
     1.90000    1.784900    0.036315
     2.00000    1.786000    0.031472
     2.20000    1.784540    0.022807
     2.40000    1.779930    0.016450
     2.60000    1.777410    0.013906
