Data created using the Lorentz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  These could be recalculated at any spectral resolution.
Range of validity is given as 1700-230 inverse centimeters.  Be sure to
check the reference for a description of the sample.

high frq. dielec. const=  3.236
Lorentz line parameters
center  width  strength
1536.4  0.0559  0.0520
1077.2  0.0324  0.1510
1006.8  0.0326  0.0320
 951.3  0.0386  0.1130
 904.5  0.0532  0.5450
 755.9  0.0956  0.0800
 634.8  0.0469  0.0660
 542.1  0.0814  0.2690
 507.3  0.0441  0.3450
 480.0  0.0599  0.4390
 433.6  0.0236  0.0390
 401.5  0.0875  0.7540
 333.1  0.0579  0.5840
 297.9  0.1063  0.5720
 186.3  0.3096  6.1260

 wave.    freq.   calc.        real       imag.
(micron)  (cm-1)  refl.       index       index
43.4783   230.0  0.2924       1.999       1.519
43.1034   232.0  0.2775       1.999       1.440
42.7350   234.0  0.2636       2.004       1.364
42.3729   236.0  0.2508       2.016       1.291
42.0168   238.0  0.2395       2.033       1.222
41.6667   240.0  0.2298       2.054       1.157
41.3223   242.0  0.2216       2.080       1.096
40.9836   244.0  0.2151       2.110       1.040
40.6504   246.0  0.2102       2.143      0.9878
40.3226   248.0  0.2069       2.179      0.9401
40.0000   250.0  0.2049       2.217      0.8970
39.6825   252.0  0.2042       2.257      0.8582
39.3701   254.0  0.2046       2.299      0.8238
39.0625   256.0  0.2060       2.342      0.7936
38.7597   258.0  0.2083       2.387      0.7676
38.4615   260.0  0.2114       2.433      0.7458
38.1679   262.0  0.2151       2.479      0.7281
37.8788   264.0  0.2195       2.527      0.7146
37.5940   266.0  0.2243       2.575      0.7055
37.3134   268.0  0.2297       2.624      0.7008
37.0370   270.0  0.2354       2.674      0.7008
36.7647   272.0  0.2416       2.724      0.7058
36.4964   274.0  0.2481       2.774      0.7164
36.2319   276.0  0.2549       2.824      0.7330
35.9712   278.0  0.2621       2.873      0.7563
35.7143   280.0  0.2694       2.921      0.7869
35.4610   282.0  0.2769       2.965      0.8255
35.2113   284.0  0.2845       3.004      0.8726
34.9650   286.0  0.2919       3.036      0.9281
34.7222   288.0  0.2990       3.057      0.9915
34.4828   290.0  0.3053       3.065       1.061
34.2466   292.0  0.3106       3.056       1.132
34.0136   294.0  0.3143       3.029       1.199
33.7838   296.0  0.3159       2.984       1.256
33.5570   298.0  0.3151       2.925       1.295
33.3333   300.0  0.3117       2.860       1.312
33.1126   302.0  0.3061       2.798       1.305
32.8947   304.0  0.2990       2.748       1.278
32.6797   306.0  0.2915       2.716       1.236
32.4675   308.0  0.2851       2.705       1.186
32.2581   310.0  0.2808       2.717       1.138
32.0513   312.0  0.2794       2.750       1.097
31.8471   314.0  0.2813       2.801       1.068
31.6456   316.0  0.2865       2.867       1.058
31.4465   318.0  0.2947       2.943       1.069
31.2500   320.0  0.3057       3.026       1.106
31.0559   322.0  0.3191       3.110       1.174
30.8642   324.0  0.3347       3.186       1.278
30.6748   326.0  0.3521       3.239       1.423
30.4878   328.0  0.3703       3.250       1.607
30.3030   330.0  0.3881       3.193       1.815
30.1205   332.0  0.4034       3.050       2.012
