from Pollack et al., ApJ, 421, 615-639, 1994
  Amorphous Orthopyroxene  ((Mg,Fe)SiO3;Fe/(Fe+Mg)=.275)  2/5/91
      Wavelength     Real Index     Imag Index
      1.0000E-01     6.2000E-01     8.7000E-01
      1.1100E-01     9.5000E-01     1.1900E+00
      1.2500E-01     1.6000E+00     1.2500E+00
      1.4300E-01     1.8600E+00     8.5000E-01
      1.6700E-01     1.9700E+00     6.0000E-01
      1.8200E-01     2.0400E+00     4.8000E-01
      2.0000E-01     2.1000E+00     3.2000E-01
      2.0800E-01     2.1000E+00     2.2000E-01
      2.1700E-01     2.0700E+00     9.0000E-02
      2.2200E-01     2.0200E+00     3.0000E-02
      2.2700E-01     1.9400E+00     1.4000E-02
      2.3300E-01     1.8900E+00     1.8000E-02
      2.3800E-01     1.8500E+00     2.3000E-02
      2.5000E-01     1.8300E+00     3.0000E-02
      2.6300E-01     1.8200E+00     4.0000E-02
      2.7800E-01     1.8000E+00     2.0000E-02
      2.9400E-01     1.7800E+00     8.0000E-04
      4.0000E-01     1.6980E+00     4.1230E-04
      4.5000E-01     1.6740E+00     3.3945E-04
      5.0347E-01     1.6400E+00     2.5685E-04
      5.4729E-01     1.6398E+00     2.1005E-04
      5.8923E-01     1.6396E+00     2.0958E-04
      6.3119E-01     1.6393E+00     2.2145E-04
      6.7047E-01     1.6391E+00     2.1930E-04
      7.0645E-01     1.6390E+00     2.1021E-04
      7.4046E-01     1.6388E+00     2.1044E-04
      7.6692E-01     1.6387E+00     2.3207E-04
      7.9182E-01     1.6385E+00     3.0355E-04
      8.1558E-01     1.6384E+00     4.6455E-04
      8.3069E-01     1.6383E+00     5.9541E-04
      8.4597E-01     1.6383E+00     8.0913E-04
      8.6066E-01     1.6382E+00     1.0581E-03
      8.7405E-01     1.6381E+00     1.3204E-03
      8.8336E-01     1.6381E+00     1.5233E-03
      8.9632E-01     1.6380E+00     1.7331E-03
      9.0624E-01     1.6380E+00     1.9125E-03
      9.2834E-01     1.6379E+00     2.0682E-03
      9.5061E-01     1.6377E+00     1.9738E-03
      9.6189E-01     1.6377E+00     1.8314E-03
      9.7218E-01     1.6376E+00     1.6893E-03
      9.8080E-01     1.6376E+00     1.5418E-03
      9.9233E-01     1.6375E+00     1.3589E-03
      1.0022E+00     1.6375E+00     1.1788E-03
      1.0199E+00     1.6374E+00     9.3180E-04
      1.0380E+00     1.6373E+00     7.3508E-04
      1.0617E+00     1.6372E+00     5.1922E-04
      1.0901E+00     1.6370E+00     3.6977E-04
      1.1226E+00     1.6369E+00     2.7219E-04
      1.1701E+00     1.6366E+00     2.1734E-04
      1.2192E+00     1.6364E+00     1.8093E-04
      1.2684E+00     1.6362E+00     1.6216E-04
      1.3076E+00     1.6360E+00     1.5120E-04
      1.3849E+00     1.6356E+00     1.6062E-04
      1.4709E+00     1.6351E+00     2.2044E-04
      1.5139E+00     1.6349E+00     2.8517E-04
      1.5647E+00     1.6347E+00     4.0298E-04
      1.6032E+00     1.6345E+00     5.0621E-04
      1.6504E+00     1.6342E+00     6.6909E-04
      1.6830E+00     1.6341E+00     7.9322E-04
      1.7173E+00     1.6339E+00     9.4110E-04
      1.7549E+00     1.6337E+00     1.0809E-03
      1.7891E+00     1.6336E+00     1.1993E-03
      1.8240E+00     1.6334E+00     1.2894E-03
      1.8611E+00     1.6332E+00     1.3565E-03
      1.8836E+00     1.6331E+00     1.3783E-03
      1.9057E+00     1.6330E+00     1.3873E-03
      1.9288E+00     1.6329E+00     1.3777E-03
      1.9482E+00     1.6328E+00     1.3546E-03
      1.9667E+00     1.6327E+00     1.3232E-03
      1.9887E+00     1.6326E+00     1.2815E-03
      2.0153E+00     1.6324E+00     1.2224E-03
      2.0383E+00     1.6323E+00     1.1520E-03
      2.0570E+00     1.6322E+00     1.0932E-03
      2.0826E+00     1.6321E+00     1.0065E-03
      2.1086E+00     1.6320E+00     9.2939E-04
      2.1371E+00     1.6318E+00     8.4825E-04
      2.1664E+00     1.6317E+00     7.7414E-04
      2.1999E+00     1.6315E+00     7.1488E-04
      2.2308E+00     1.6313E+00     6.4953E-04
      2.2778E+00     1.6311E+00     5.4312E-04
      2.3203E+00     1.6309E+00     4.4523E-04
      2.3970E+00     1.6305E+00     3.2375E-04
      2.4599E+00     1.6302E+00     2.4548E-04
      2.5007E+00     1.6300E+00     2.0802E-04
      3.0000E+00     1.6200E+00     3.9480E-04
      4.0000E+00     1.5940E+00     1.2152E-03
      5.0000E+00     1.5570E+00     3.1080E-03
      6.0000E+00     1.5100E+00     7.3080E-03
      7.0000E+00     1.4450E+00     1.6660E-02
      7.6923E+00     1.4000E+00     3.0000E-02
      8.0000E+00     1.3400E+00     5.0000E-02
      8.3333E+00     1.2600E+00     1.4000E-01
      8.6957E+00     1.2000E+00     3.0000E-01
      9.0909E+00     1.1800E+00     5.3000E-01
      9.5238E+00     1.3100E+00     8.6000E-01
      1.0000E+01     1.5700E+00     1.0000E+00
      1.0526E+01     1.8000E+00     9.2000E-01
      1.1111E+01     1.9500E+00     6.5000E-01
      1.1765E+01     1.9700E+00     3.4000E-01
      1.2500E+01     1.8700E+00     6.0000E-02
      1.3333E+01     1.7300E+00     7.0000E-02
      1.4286E+01     1.6600E+00     1.1000E-01
      1.5385E+01     1.5900E+00     1.6000E-01
      1.6667E+01     1.5200E+00     3.2000E-01
      1.8182E+01     1.5900E+00     5.4000E-01
      2.0000E+01     1.7200E+00     7.0000E-01
      2.2222E+01     1.9400E+00     7.6000E-01
      2.5000E+01     2.1600E+00     5.9000E-01
      2.8571E+01     2.2800E+00     4.0000E-01
      3.3333E+01     2.3200E+00     3.4000E-01
      4.0059E+01     2.3393E+00     2.4403E-01
      4.4470E+01     2.3307E+00     2.1706E-01
      4.9841E+01     2.3218E+00     1.8421E-01
      5.7002E+01     2.3056E+00     1.5381E-01
      6.6308E+01     2.2824E+00     1.3065E-01
      7.9328E+01     2.2489E+00     1.2025E-01
      1.0064E+02     2.1976E+00     1.1533E-01
      1.3319E+02     2.1321E+00     1.0828E-01
      1.9904E+02     2.0839E+00     9.5913E-02
      3.0000E+02     2.0550E+00     6.3600E-02
      4.0000E+02     2.0350E+00     4.7700E-02
