Orthopyroxene slab
from Roush, Pollack, and Orenberg, Icarus, 94, 191-208, 1991
  Wave.   real   imag.
  (um)   index  index
  5.000  1.505  0.002
  5.010  1.504  0.002
  5.020  1.503  0.002
  5.030  1.503  0.002
  5.040  1.502  0.002
  5.050  1.502  0.002
  5.061  1.501  0.002
  5.071  1.500  0.002
  5.081  1.500  0.002
  5.092  1.499  0.002
  5.102  1.498  0.002
  5.113  1.498  0.002
  5.123  1.497  0.002
  5.134  1.497  0.002
  5.144  1.496  0.002
  5.155  1.495  0.002
  5.165  1.495  0.002
  5.176  1.494  0.002
  5.187  1.493  0.002
  5.198  1.492  0.002
  5.208  1.492  0.002
  5.219  1.491  0.002
  5.230  1.490  0.002
  5.241  1.490  0.002
  5.252  1.489  0.002
  5.263  1.488  0.002
  5.274  1.487  0.002
  5.285  1.487  0.002
  5.297  1.486  0.002
  5.308  1.485  0.002
  5.319  1.484  0.002
  5.331  1.484  0.002
  5.342  1.483  0.002
  5.353  1.482  0.002
  5.365  1.481  0.002
  5.376  1.480  0.002
  5.388  1.480  0.002
  5.400  1.479  0.002
  5.411  1.478  0.002
  5.423  1.477  0.002
  5.435  1.476  0.002
  5.447  1.476  0.002
  5.458  1.475  0.002
  5.470  1.474  0.002
  5.483  1.473  0.002
  5.495  1.472  0.002
  5.507  1.471  0.002
  5.519  1.470  0.002
  5.531  1.469  0.002
  5.543  1.469  0.003
  5.556  1.468  0.003
  5.568  1.467  0.003
  5.580  1.466  0.003
  5.593  1.465  0.003
  5.605  1.464  0.003
  5.618  1.463  0.003
  5.631  1.462  0.003
  5.643  1.461  0.003
  5.656  1.460  0.003
  5.669  1.459  0.003
  5.682  1.458  0.003
  5.695  1.457  0.003
  5.708  1.456  0.003
  5.721  1.455  0.003
  5.734  1.454  0.003
  5.747  1.453  0.003
  5.760  1.452  0.003
  5.774  1.451  0.003
  5.787  1.449  0.003
  5.800  1.448  0.003
  5.814  1.447  0.003
  5.827  1.446  0.003
  5.841  1.445  0.003
  5.855  1.444  0.003
  5.869  1.443  0.003
  5.882  1.441  0.003
  5.896  1.440  0.003
  5.910  1.439  0.003
  5.924  1.438  0.003
  5.938  1.436  0.003
  5.952  1.435  0.004
  5.967  1.434  0.004
  5.981  1.433  0.004
  5.995  1.431  0.004
  6.010  1.430  0.004
  6.024  1.429  0.004
  6.039  1.427  0.004
  6.053  1.426  0.004
  6.068  1.425  0.004
  6.083  1.423  0.004
  6.098  1.422  0.004
  6.113  1.420  0.004
  6.128  1.419  0.004
  6.142  1.417  0.004
  6.158  1.416  0.004
  6.173  1.414  0.004
  6.188  1.413  0.004
  6.203  1.411  0.004
  6.219  1.410  0.004
  6.234  1.408  0.004
  6.250  1.407  0.005
  6.266  1.405  0.005
  6.281  1.403  0.005
  6.297  1.402  0.005
  6.313  1.400  0.005
  6.329  1.398  0.005
  6.345  1.397  0.005
  6.361  1.395  0.005
  6.378  1.393  0.005
  6.394  1.391  0.005
  6.410  1.390  0.005
  6.427  1.388  0.005
  6.443  1.386  0.005
  6.460  1.384  0.005
  6.477  1.382  0.005
  6.494  1.380  0.006
  6.510  1.378  0.006
  6.527  1.376  0.006
  6.544  1.374  0.006
  6.562  1.372  0.006
  6.579  1.370  0.006
  6.596  1.368  0.006
  6.614  1.365  0.006
  6.631  1.363  0.006
  6.649  1.361  0.006
  6.667  1.359  0.006
  6.685  1.357  0.007
  6.702  1.354  0.007
  6.720  1.352  0.007
  6.739  1.349  0.007
  6.757  1.347  0.007
  6.775  1.344  0.007
  6.793  1.342  0.007
  6.812  1.339  0.007
  6.831  1.337  0.008
  6.849  1.334  0.008
  6.868  1.331  0.008
  6.887  1.329  0.008
  6.906  1.326  0.008
  6.925  1.323  0.008
  6.944  1.320  0.008
  6.964  1.317  0.009
  6.983  1.314  0.009
  7.003  1.311  0.009
  7.023  1.308  0.009
  7.042  1.305  0.009
  7.062  1.301  0.009
  7.082  1.298  0.010
  7.102  1.295  0.010
  7.122  1.291  0.010
  7.143  1.288  0.010
  7.163  1.284  0.010
  7.184  1.281  0.011
  7.205  1.277  0.011
  7.225  1.273  0.011
  7.246  1.270  0.011
  7.267  1.265  0.012
  7.289  1.262  0.012
  7.310  1.257  0.012
  7.331  1.253  0.012
  7.353  1.249  0.013
  7.375  1.245  0.013
  7.396  1.240  0.013
  7.418  1.235  0.014
  7.440  1.231  0.014
  7.463  1.226  0.014
  7.485  1.221  0.015
  7.508  1.216  0.015
  7.530  1.211  0.016
  7.553  1.205  0.016
  7.576  1.200  0.017
  7.599  1.194  0.017
  7.622  1.189  0.018
  7.645  1.183  0.018
  7.669  1.177  0.019
  7.692  1.170  0.019
  7.716  1.164  0.020
  7.740  1.157  0.020
  7.764  1.151  0.021
  7.788  1.144  0.022
  7.813  1.136  0.022
  7.837  1.129  0.023
  7.862  1.121  0.024
  7.886  1.113  0.025
  7.911  1.105  0.026
  7.937  1.097  0.027
  7.962  1.088  0.028
  7.987  1.079  0.029
  8.013  1.069  0.030
  8.039  1.059  0.032
  8.064  1.049  0.033
  8.091  1.038  0.035
  8.117  1.027  0.036
  8.143  1.016  0.038
  8.170  1.004  0.040
  8.197  0.991  0.042
  8.224  0.978  0.044
  8.251  0.964  0.047
  8.278  0.950  0.050
  8.306  0.934  0.053
  8.333  0.918  0.056
  8.361  0.901  0.060
  8.389  0.883  0.064
  8.417  0.864  0.069
  8.446  0.843  0.074
  8.475  0.822  0.080
  8.503  0.798  0.087
  8.532  0.773  0.095
  8.562  0.747  0.105
  8.591  0.718  0.117
  8.621  0.686  0.130
  8.651  0.652  0.147
  8.681  0.616  0.169
  8.711  0.577  0.195
  8.741  0.537  0.229
  8.772  0.496  0.271
  8.803  0.459  0.324
  8.834  0.429  0.387
  8.865  0.410  0.456
  8.897  0.402  0.528
  8.929  0.406  0.599
  8.961  0.420  0.667
  8.993  0.443  0.728
  9.025  0.471  0.780
  9.058  0.497  0.825
  9.091  0.518  0.868
  9.124  0.538  0.916
  9.158  0.566  0.970
  9.191  0.605  1.026
  9.225  0.660  1.075
  9.259  0.728  1.109
  9.294  0.799  1.120
  9.328  0.860  1.107
  9.363  0.896  1.081
  9.399  0.904  1.059
  9.434  0.893  1.063
  9.470  0.887  1.099
  9.506  0.913  1.161
  9.542  0.992  1.216
  9.578  1.114  1.214
  9.615  1.215  1.124
  9.653  1.228  0.991
  9.690  1.155  0.892
  9.728  1.042  0.861
  9.766  0.931  0.901
  9.804  0.857  0.999
  9.842  0.847  1.125
  9.881  0.908  1.236
  9.921  1.013  1.277
  9.960  1.079  1.237
 10.000  1.054  1.199
 10.040  0.994  1.239
 10.081  0.977  1.348
 10.121  1.037  1.473
 10.163  1.173  1.555
 10.204  1.335  1.539
 10.246  1.429  1.434
 10.288  1.413  1.332
 10.331  1.339  1.310
 10.373  1.284  1.373
 10.417  1.295  1.480
 10.460  1.384  1.574
 10.504  1.520  1.604
 10.549  1.639  1.550
 10.593  1.679  1.457
 10.638  1.637  1.407
 10.684  1.577  1.461
 10.730  1.608  1.615
 10.776  1.823  1.752
 10.823  2.153  1.663
 10.870  2.305  1.340
 10.917  2.202  1.054
 10.965  1.992  0.926
 11.013  1.782  0.951
 11.062  1.665  1.101
 11.111  1.711  1.234
 11.161  1.742  1.220
 11.211  1.629  1.268
 11.261  1.563  1.506
 11.312  1.720  1.811
 11.364  2.084  1.952
 11.416  2.380  1.853
 11.468  2.559  1.824
 11.521  2.955  1.701
 11.574  3.058  1.280
 11.628  3.071  1.262
 11.682  3.348  0.784
 11.737  3.097  0.429
