data provided by Paul Lucey in 2006
derived using techniques of Lucey 1998
Forsterite, Fo= 90.0000
minimum grain size (microns)= 0.000000
maximum grain size=(microns) 45.0000
column 1= wavelength, micrometers
column 2= real index
column 3= imaginary index
 
     0.300000      1.65420  0.000193380
     0.305000      1.65420  0.000178625
     0.310000      1.65420  0.000169363
     0.315000      1.65420  0.000156267
     0.320000      1.65420  0.000145519
     0.325000      1.65420  0.000134573
     0.330000      1.65420  0.000125439
     0.335000      1.65420  0.000115904
     0.340000      1.65420  0.000107388
     0.345000      1.65420  0.000102065
     0.350000      1.65420 9.64703e-005
     0.355000      1.65420 9.08587e-005
     0.360000      1.65420 8.69864e-005
     0.365000      1.65420 8.32506e-005
     0.370000      1.65420 7.94094e-005
     0.375000      1.65420 7.67253e-005
     0.380000      1.65420 7.36317e-005
     0.385000      1.65420 7.12117e-005
     0.390000      1.65420 6.84442e-005
     0.395000      1.65420 6.59322e-005
     0.400000      1.65420 6.42799e-005
     0.405000      1.65420 6.28896e-005
     0.410000      1.65420 5.92764e-005
     0.415000      1.65420 5.85932e-005
     0.420000      1.65420 5.70864e-005
     0.425000      1.65420 5.60362e-005
     0.430000      1.65420 5.47700e-005
     0.435000      1.65420 5.33467e-005
     0.440000      1.65420 5.18909e-005
     0.445000      1.65420 5.07777e-005
     0.450000      1.65420 5.02065e-005
     0.455000      1.65420 4.96774e-005
     0.460000      1.65420 4.86142e-005
     0.465000      1.65420 4.75900e-005
     0.470000      1.65420 4.71234e-005
     0.475000      1.65420 4.63783e-005
     0.480000      1.65420 4.52811e-005
     0.485000      1.65420 4.43579e-005
     0.490000      1.65420 4.40128e-005
     0.495000      1.65420 4.32497e-005
     0.500000      1.65420 4.21959e-005
     0.505000      1.65420 4.11867e-005
     0.510000      1.65420 4.04286e-005
     0.515000      1.65420 3.96524e-005
     0.520000      1.65420 3.89953e-005
     0.525000      1.65420 3.80421e-005
     0.530000      1.65420 3.73505e-005
     0.535000      1.65420 3.68534e-005
     0.540000      1.65420 3.68404e-005
     0.545000      1.65420 3.66063e-005
     0.550000      1.65420 3.63633e-005
     0.555000      1.65420 3.64743e-005
     0.560000      1.65420 3.61412e-005
     0.565000      1.65420 3.59452e-005
     0.570000      1.65420 3.58142e-005
     0.575000      1.65420 3.57521e-005
     0.580000      1.65420 3.56841e-005
     0.585000      1.65420 3.59152e-005
     0.590000      1.65420 3.58372e-005
     0.595000      1.65420 3.57521e-005
     0.600000      1.65420 3.59752e-005
     0.605000      1.65420 3.60382e-005
     0.610000      1.65420 3.63363e-005
     0.615000      1.65420 3.63933e-005
     0.620000      1.65420 3.70124e-005
     0.625000      1.65420 3.71474e-005
     0.630000      1.65420 3.75270e-005
     0.635000      1.65420 3.72464e-005
     0.640000      1.65420 3.72064e-005
     0.645000      1.65420 3.70774e-005
     0.650000      1.65420 3.70274e-005
     0.655000      1.65420 3.70574e-005
     0.660000      1.65420 3.70834e-005
     0.665000      1.65420 3.73645e-005
     0.670000      1.65420 3.75590e-005
     0.675000      1.65420 3.78391e-005
     0.680000      1.65420 3.75030e-005
     0.685000      1.65420 3.70694e-005
     0.690000      1.65420 3.74295e-005
     0.695000      1.65420 3.79701e-005
     0.700000      1.65420 3.77911e-005
     0.705000      1.65420 3.76050e-005
     0.710000      1.65420 3.77801e-005
     0.715000      1.65420 3.82311e-005
     0.720000      1.65420 3.83122e-005
     0.725000      1.65420 3.86722e-005
     0.730000      1.65420 3.88443e-005
     0.735000      1.65420 3.90163e-005
     0.740000      1.65420 3.92814e-005
     0.745000      1.65420 3.96424e-005
     0.750000      1.65420 4.01995e-005
     0.755000      1.65420 4.01745e-005
     0.760000      1.65420 4.17178e-005
     0.765000      1.65420 4.12007e-005
     0.770000      1.65420 4.10727e-005
     0.775000      1.65420 4.16398e-005
     0.780000      1.65420 4.25135e-005
     0.785000      1.65420 4.26835e-005
     0.790000      1.65420 4.31606e-005
     0.795000      1.65420 4.37418e-005
     0.800000      1.65420 4.23630e-005
     0.805000      1.65420 4.35637e-005
     0.810000      1.65420 4.40438e-005
     0.815000      1.65420 4.47369e-005
     0.820000      1.65420 4.50110e-005
     0.825000      1.65420 4.54991e-005
     0.830000      1.65420 4.60972e-005
     0.835000      1.65420 4.68084e-005
     0.840000      1.65420 4.73065e-005
     0.845000      1.65420 4.76970e-005
     0.850000      1.65420 4.85312e-005
     0.855000      1.65420 5.01505e-005
     0.860000      1.65420 5.10037e-005
     0.865000      1.65420 5.18639e-005
     0.870000      1.65420 5.26175e-005
     0.875000      1.65420 5.32627e-005
     0.880000      1.65420 5.39118e-005
     0.885000      1.65420 5.44489e-005
     0.890000      1.65420 5.54551e-005
     0.895000      1.65420 5.61182e-005
     0.900000      1.65420 5.72564e-005
     0.905000      1.65420 5.78121e-005
     0.910000      1.65420 5.86092e-005
     0.915000      1.65420 5.98935e-005
     0.920000      1.65420 6.03416e-005
     0.925000      1.65420 6.15218e-005
     0.930000      1.65420 6.27115e-005
     0.935000      1.65420 6.39128e-005
     0.940000      1.65420 6.52480e-005
     0.945000      1.65420 6.59702e-005
     0.950000      1.65420 6.72004e-005
     0.955000      1.65420 6.94544e-005
     0.960000      1.65420 7.00735e-005
     0.965000      1.65420 7.19799e-005
     0.970000      1.65420 7.40358e-005
     0.975000      1.65420 7.55911e-005
     0.980000      1.65420 7.75550e-005
     0.985000      1.65420 7.80831e-005
     0.990000      1.65420 8.07417e-005
     0.995000      1.65420 8.22219e-005
      1.00000      1.65420 8.47970e-005
      1.00500      1.65420 8.63103e-005
      1.01000      1.65420 8.72875e-005
      1.01500      1.65420 8.93734e-005
      1.02000      1.65420 9.02295e-005
      1.02500      1.65420 9.20679e-005
      1.03000      1.65420 9.29386e-005
      1.03500      1.65420 9.33897e-005
      1.04000      1.65420 9.49770e-005
      1.04500      1.65420 9.52911e-005
      1.05000      1.65420 9.63203e-005
      1.05500      1.65420 9.69234e-005
      1.06000      1.65420 9.68034e-005
      1.06500      1.65420 9.65323e-005
      1.07000      1.65420 9.69864e-005
      1.07500      1.65420 9.77330e-005
      1.08000      1.65420 9.62723e-005
      1.08500      1.65420 9.59802e-005
      1.09000      1.65420 9.50890e-005
      1.09500      1.65420 9.49300e-005
      1.10000      1.65420 9.29796e-005
      1.10500      1.65420 9.26545e-005
      1.11000      1.65420 9.24740e-005
      1.11500      1.65420 9.12367e-005
      1.12000      1.65420 9.10427e-005
      1.12500      1.65420 8.94834e-005
      1.13000      1.65420 8.89703e-005
      1.13500      1.65420 8.84522e-005
      1.14000      1.65420 8.71634e-005
      1.14500      1.65420 8.66283e-005
      1.15000      1.65420 8.65463e-005
      1.15500      1.65420 8.58442e-005
      1.16000      1.65420 8.60612e-005
      1.16500      1.65420 8.47279e-005
      1.17000      1.65420 8.43139e-005
      1.17500      1.65420 8.42068e-005
      1.18000      1.65420 8.47209e-005
      1.18500      1.65420 8.35087e-005
      1.19000      1.65420 8.40188e-005
      1.19500      1.65420 8.34227e-005
      1.20000      1.65420 8.32957e-005
      1.20500      1.65420 8.33237e-005
      1.21000      1.65420 8.36697e-005
      1.21500      1.65420 8.19299e-005
      1.22000      1.65420 8.29106e-005
      1.22500      1.65420 8.22810e-005
      1.23000      1.65420 8.19689e-005
      1.23500      1.65420 8.16518e-005
      1.24000      1.65420 8.18189e-005
      1.24500      1.65420 8.24760e-005
      1.25000      1.65420 8.14928e-005
      1.25500      1.65420 8.19839e-005
      1.26000      1.65420 8.18129e-005
      1.26500      1.65420 8.08097e-005
      1.27000      1.65420 8.07957e-005
      1.27500      1.65420 7.96114e-005
      1.28000      1.65420 8.04256e-005
      1.28500      1.65420 7.90583e-005
      1.29000      1.65420 7.93664e-005
      1.29500      1.65420 7.88283e-005
      1.30000      1.65420 7.81141e-005
      1.30500      1.65420 7.75650e-005
      1.31000      1.65420 7.75200e-005
      1.31500      1.65420 7.69604e-005
      1.32000      1.65420 7.58802e-005
      1.32500      1.65420 7.56511e-005
      1.33000      1.65420 7.49010e-005
      1.33500      1.65420 7.46639e-005
      1.34000      1.65420 7.33817e-005
      1.34500      1.65420 7.33077e-005
      1.35000      1.65420 7.32316e-005
      1.35500      1.65420 7.29766e-005
      1.36000      1.65420 7.28946e-005
      1.36500      1.65420 7.15778e-005
      1.37000      1.65420 7.07807e-005
      1.37500      1.65420 7.05076e-005
      1.38000      1.65420 6.98775e-005
      1.38500      1.65420 6.90623e-005
      1.39000      1.65420 6.80631e-005
      1.39500      1.65420 6.81291e-005
      1.40000      1.65420 6.81931e-005
      1.40500      1.65420 6.75370e-005
      1.41000      1.65420 6.57932e-005
      1.41500      1.65420 6.58452e-005
      1.42000      1.65420 6.51710e-005
      1.42500      1.65420 6.43099e-005
      1.43000      1.65420 6.38068e-005
      1.43500      1.65420 6.36637e-005
      1.44000      1.65420 6.31526e-005
      1.44500      1.65420 6.22690e-005
      1.45000      1.65420 6.23010e-005
      1.45500      1.65420 6.17759e-005
      1.46000      1.65420 6.10617e-005
      1.46500      1.65420 6.10847e-005
      1.47000      1.65420 6.05476e-005
      1.47500      1.65420 6.01935e-005
      1.48000      1.65420 5.98345e-005
      1.48500      1.65420 5.90973e-005
      1.49000      1.65420 5.87312e-005
      1.49500      1.65420 5.83622e-005
      1.50000      1.65420 5.76100e-005
      1.50500      1.65420 5.78021e-005
      1.51000      1.65420 5.74225e-005
      1.51500      1.65420 5.72304e-005
      1.52000      1.65420 5.68444e-005
      1.52500      1.65420 5.66463e-005
      1.53000      1.65420 5.68324e-005
      1.53500      1.65420 5.62452e-005
      1.54000      1.65420 5.60412e-005
      1.54500      1.65420 5.58342e-005
      1.55000      1.65420 5.58202e-005
      1.55500      1.65420 5.56091e-005
      1.56000      1.65420 5.55921e-005
      1.56500      1.65420 5.51800e-005
      1.57000      1.65420 5.49620e-005
      1.57500      1.65420 5.47419e-005
      1.58000      1.65420 5.45189e-005
      1.58500      1.65420 5.42939e-005
      1.59000      1.65420 5.46639e-005
      1.59500      1.65420 5.42358e-005
      1.60000      1.65420 5.44059e-005
      1.60500      1.65420 5.41738e-005
      1.61000      1.65420 5.43429e-005
      1.61500      1.65420 5.37017e-005
      1.62000      1.65420 5.44769e-005
      1.62500      1.65420 5.40348e-005
      1.63000      1.65420 5.44049e-005
      1.63500      1.65420 5.41618e-005
      1.64000      1.65420 5.43279e-005
      1.64500      1.65420 5.42879e-005
      1.65000      1.65420 5.42459e-005
      1.65500      1.65420 5.46179e-005
      1.66000      1.65420 5.37447e-005
      1.66500      1.65420 5.41138e-005
      1.67000      1.65420 5.40678e-005
      1.67500      1.65420 5.42298e-005
      1.68000      1.65420 5.41818e-005
      1.68500      1.65420 5.39218e-005
      1.69000      1.65420 5.40818e-005
      1.69500      1.65420 5.38178e-005
      1.70000      1.65420 5.41888e-005
      1.70500      1.65420 5.41348e-005
      1.71000      1.65420 5.38668e-005
      1.71500      1.65420 5.42388e-005
      1.72000      1.65420 5.41818e-005
      1.72500      1.65420 5.43399e-005
      1.73000      1.65420 5.44969e-005
      1.73500      1.65420 5.48710e-005
      1.74000      1.65420 5.50290e-005
      1.74500      1.65420 5.47520e-005
      1.75000      1.65420 5.46899e-005
      1.75500      1.65420 5.50650e-005
      1.76000      1.65420 5.52220e-005
      1.76500      1.65420 5.53791e-005
      1.77000      1.65420 5.53151e-005
      1.77500      1.65420 5.54711e-005
      1.78000      1.65420 5.56271e-005
      1.78500      1.65420 5.55611e-005
      1.79000      1.65420 5.59402e-005
      1.79500      1.65420 5.58722e-005
      1.80000      1.65420 5.60282e-005
      1.80500      1.65420 5.59582e-005
      1.81000      1.65420 5.58882e-005
      1.81500      1.65420 5.67213e-005
      1.82000      1.65420 5.68774e-005
      1.82500      1.65420 5.65783e-005
      1.83000      1.65420 5.71904e-005
      1.83500      1.65420 5.71174e-005
      1.84000      1.65420 5.65843e-005
      1.84500      1.65420 5.65083e-005
      1.85000      1.65420 5.71224e-005
      1.85500      1.65420 5.70454e-005
      1.86000      1.65420 5.74315e-005
      1.86500      1.65420 5.71204e-005
      1.87000      1.65420 5.75070e-005
      1.87500      1.65420 5.76600e-005
      1.88000      1.65420 5.75800e-005
      1.88500      1.65420 5.89093e-005
      1.89000      1.65420 5.93014e-005
      1.89500      1.65420 5.89853e-005
      1.90000      1.65420 6.00895e-005
      1.90500      1.65420 6.04856e-005
      1.91000      1.65420 5.96904e-005
      1.91500      1.65420 6.05636e-005
      1.92000      1.65420 6.04826e-005
      1.92500      1.65420 6.01585e-005
      1.93000      1.65420 6.05566e-005
      1.93500      1.65420 6.04716e-005
      1.94000      1.65420 6.08697e-005
      1.94500      1.65420 6.05416e-005
      1.95000      1.65420 6.09397e-005
      1.95500      1.65420 6.10967e-005
      1.96000      1.65420 6.12528e-005
      1.96500      1.65420 6.11637e-005
      1.97000      1.65420 6.10737e-005
      1.97500      1.65420 6.12287e-005
      1.98000      1.65420 6.11367e-005
      1.98500      1.65420 6.12908e-005
      1.99000      1.65420 6.11967e-005
      1.99500      1.65420 6.11017e-005
      2.00000      1.65420 6.07557e-005
      2.00500      1.65420 6.14078e-005
      2.01000      1.65420 6.05586e-005
      2.01500      1.65420 6.12117e-005
      2.02000      1.65420 6.11127e-005
      2.02500      1.65420 6.12638e-005
      2.03000      1.65420 6.04026e-005
      2.03500      1.65420 6.10587e-005
      2.04000      1.65420 6.12087e-005
      2.04500      1.65420 6.03396e-005
      2.05000      1.65420 6.04866e-005
      2.05500      1.65420 6.06346e-005
      2.06000      1.65420 6.05256e-005
      2.06500      1.65420 6.09297e-005
      2.07000      1.65420 6.00465e-005
      2.07500      1.65420 6.04496e-005
      2.08000      1.65420 6.08547e-005
      2.08500      1.65420 6.04816e-005
      2.09000      1.65420 6.03666e-005
      2.09500      1.65420 6.07727e-005
      2.10000      1.65420 6.01335e-005
      2.10500      1.65420 5.97525e-005
      2.11000      1.65420 6.04196e-005
      2.11500      1.65420 6.00365e-005
      2.12000      1.65420 6.01785e-005
      2.12500      1.65420 5.97925e-005
      2.13000      1.65420 5.99335e-005
      2.13500      1.65420 5.98095e-005
      2.14000      1.65420 6.04806e-005
      2.14500      1.65420 6.00885e-005
      2.15000      1.65420 5.96944e-005
      2.15500      1.65420 5.87633e-005
      2.16000      1.65420 5.99725e-005
      2.16500      1.65420 6.01115e-005
      2.17000      1.65420 5.94424e-005
      2.17500      1.65420 5.95784e-005
      2.18000      1.65420 5.97164e-005
      2.18500      1.65420 5.82261e-005
      2.19000      1.65420 5.89033e-005
      2.19500      1.65420 5.98545e-005
      2.20000      1.65420 5.86262e-005
      2.20500      1.65420 5.84862e-005
      2.21000      1.65420 5.88933e-005
      2.21500      1.65420 5.82021e-005
      2.22000      1.65420 5.86082e-005
      2.22500      1.65420 5.76380e-005
      2.23000      1.65420 5.83202e-005
      2.23500      1.65420 5.81741e-005
      2.24000      1.65420 5.83042e-005
      2.24500      1.65420 5.78791e-005
      2.25000      1.65420 5.74505e-005
      2.25500      1.65420 5.72985e-005
      2.26000      1.65420 5.77050e-005
      2.26500      1.65420 5.78331e-005
      2.27000      1.65420 5.71184e-005
      2.27500      1.65420 5.75260e-005
      2.28000      1.65420 5.70874e-005
      2.28500      1.65420 5.77781e-005
      2.29000      1.65420 5.73385e-005
      2.29500      1.65420 5.83152e-005
      2.30000      1.65420 5.81571e-005
      2.30500      1.65420 5.74285e-005
      2.31000      1.65420 5.72675e-005
      2.31500      1.65420 5.82502e-005
      2.32000      1.65420 5.83772e-005
      2.32500      1.65420 5.82141e-005
      2.33000      1.65420 5.77631e-005
      2.33500      1.65420 5.75990e-005
      2.34000      1.65420 5.77220e-005
      2.34500      1.65420 5.81361e-005
      2.35000      1.65420 5.79691e-005
      2.35500      1.65420 5.80921e-005
      2.36000      1.65420 5.79241e-005
      2.36500      1.65420 5.74625e-005
      2.37000      1.65420 5.72905e-005
      2.37500      1.65420 5.79981e-005
      2.38000      1.65420 5.84142e-005
      2.38500      1.65420 5.79481e-005
      2.39000      1.65420 5.77741e-005
      2.39500      1.65420 5.76000e-005
      2.40000      1.65420 5.80161e-005
      2.40500      1.65420 5.75420e-005
      2.41000      1.65420 5.73655e-005
      2.41500      1.65420 5.80811e-005
      2.42000      1.65420 5.73035e-005
      2.42500      1.65420 5.71234e-005
      2.43000      1.65420 5.69404e-005
      2.43500      1.65420 5.70584e-005
      2.44000      1.65420 5.74765e-005
      2.44500      1.65420 5.78961e-005
      2.45000      1.65420 5.74095e-005
      2.45500      1.65420 5.81321e-005
      2.46000      1.65420 5.85552e-005
      2.46500      1.65420 5.89783e-005
      2.47000      1.65420 5.94034e-005
      2.47500      1.65420 5.83012e-005
      2.48000      1.65420 5.93374e-005
      2.48500      1.65420 5.97645e-005
      2.49000      1.65420 5.95764e-005
      2.49500      1.65420 6.00045e-005
      2.50000      1.65420 5.91983e-005
      2.50500      1.65420 5.99355e-005
      2.51000      1.65420 6.03646e-005
      2.51500      1.65420 6.11077e-005
      2.52000      1.65420 5.99835e-005
      2.52500      1.65420 6.13498e-005
      2.53000      1.65420 6.27215e-005
      2.53500      1.65420 6.22179e-005
      2.54000      1.65420 5.98325e-005
      2.54500      1.65420 6.24650e-005
      2.55000      1.65420 6.13278e-005
      2.55500      1.65420 5.67213e-005
      2.56000      1.65420 5.80941e-005
      2.56500      1.65420 5.56801e-005
      2.57000      1.65420 5.89543e-005
      2.57500      1.65420 6.16108e-005
      2.58000      1.65420 5.98195e-005
      2.58500      1.65420 5.96174e-005
      2.59000      1.65420 5.49480e-005
      2.59500      1.65420 5.76090e-005
      2.60000      1.65420 5.10097e-005
