data provided by Paul Lucey in 2006
derived using techniques of Lucey 1998
Forsterite, Fo= 91.0000
minimum grain size (microns)= 0.000000
maximum grain size=(microns) 60.0000
column 1= wavelength, micrometers
column 2= real index
column 3= imaginary index
 
     0.221100      1.65228  0.000110348
     0.229100      1.65228  0.000107806
     0.236100      1.65228  0.000111433
     0.242100      1.65228  0.000118963
     0.248100      1.65228  0.000123667
     0.253600      1.65228  0.000129404
     0.258600      1.65228  0.000129497
     0.263600      1.65228  0.000127842
     0.268600      1.65228  0.000123022
     0.273100      1.65228  0.000113680
     0.277100      1.65228  0.000108722
     0.281100      1.65228  0.000102645
     0.285100      1.65228 9.60502e-005
     0.289100      1.65228 9.18699e-005
     0.293100      1.65228 8.75660e-005
     0.297100      1.65228 8.37257e-005
     0.301100      1.65228 7.90523e-005
     0.305100      1.65228 7.40618e-005
     0.309100      1.65228 6.90263e-005
     0.313100      1.65228 6.37848e-005
     0.317100      1.65228 5.90373e-005
     0.321100      1.65228 5.43179e-005
     0.325100      1.65228 4.88073e-005
     0.329100      1.65228 4.47319e-005
     0.333100      1.65228 4.10447e-005
     0.337100      1.65228 3.72805e-005
     0.341100      1.65228 3.37367e-005
     0.345100      1.65228 3.19269e-005
     0.349100      1.65228 2.92403e-005
     0.353100      1.65228 3.02496e-005
     0.357100      1.65228 2.86672e-005
     0.360600      1.65228 2.75130e-005
     0.363600      1.65228 2.64933e-005
     0.366600      1.65228 2.58782e-005
     0.369600      1.65228 2.48350e-005
     0.372600      1.65228 2.44649e-005
     0.375600      1.65228 2.42779e-005
     0.378600      1.65228 2.38938e-005
     0.381100      1.65228 2.38578e-005
     0.383100      1.65228 2.38658e-005
     0.385100      1.65228 2.34827e-005
     0.387100      1.65228 2.33697e-005
     0.389100      1.65228 2.29796e-005
     0.391100      1.65228 2.25855e-005
     0.393100      1.65228 2.28596e-005
     0.395100      1.65228 2.26975e-005
     0.397100      1.65228 2.25725e-005
     0.399100      1.65228 2.26065e-005
     0.401100      1.65228 2.25985e-005
     0.403100      1.65228 2.26305e-005
     0.405100      1.65228 2.20529e-005
     0.407100      1.65228 2.19589e-005
     0.409100      1.65228 2.17398e-005
     0.411100      1.65228 2.11907e-005
     0.412800      1.65228 2.16078e-005
     0.415800      1.65228 2.15578e-005
     0.418800      1.65228 2.13798e-005
     0.421800      1.65228 2.12407e-005
     0.424800      1.65228 2.12648e-005
     0.427800      1.65228 2.16268e-005
     0.430800      1.65228 2.14378e-005
     0.433800      1.65228 2.16298e-005
     0.436800      1.65228 2.16058e-005
     0.439800      1.65228 2.14498e-005
     0.442800      1.65228 2.18149e-005
     0.445800      1.65228 2.20959e-005
     0.448800      1.65228 2.15788e-005
     0.451300      1.65228 2.15648e-005
     0.453300      1.65228 2.21089e-005
     0.455300      1.65228 2.22510e-005
     0.457300      1.65228 2.20779e-005
     0.459300      1.65228 2.19019e-005
     0.461300      1.65228 2.24070e-005
     0.463300      1.65228 2.19099e-005
     0.465300      1.65228 2.17298e-005
     0.467300      1.65228 2.21909e-005
     0.469300      1.65228 2.21479e-005
     0.471300      1.65228 2.23350e-005
     0.473300      1.65228 2.17308e-005
     0.475300      1.65228 2.19159e-005
     0.477300      1.65228 2.16798e-005
     0.479300      1.65228 2.15358e-005
     0.481300      1.65228 2.15308e-005
     0.483300      1.65228 2.14308e-005
     0.485300      1.65228 2.17098e-005
     0.487300      1.65228 2.17999e-005
     0.489300      1.65228 2.20809e-005
     0.491300      1.65228 2.18339e-005
     0.493300      1.65228 2.19229e-005
