data provided by Paul Lucey in 2006
derived using techniques of Lucey 1998
Forsterite, Fo= 42.0000
minimum grain size (microns)= 0.000000
maximum grain size=(microns) 45.0000
column 1= wavelength, micrometers
column 2= real index
column 3= imaginary index
 
     0.450000      1.74636  0.000125601
     0.455000      1.74636  0.000124711
     0.460000      1.74636  0.000120930
     0.465000      1.74636  0.000117778
     0.470000      1.74636  0.000115395
     0.475000      1.74636  0.000112184
     0.480000      1.74636  0.000108441
     0.485000      1.74636  0.000105678
     0.490000      1.74636  0.000104245
     0.495000      1.74636  0.000102854
     0.500000      1.74636 9.98505e-005
     0.505000      1.74636 9.59642e-005
     0.510000      1.74636 9.27676e-005
     0.515000      1.74636 8.97575e-005
     0.520000      1.74636 8.77110e-005
     0.525000      1.74636 8.54951e-005
     0.530000      1.74636 8.36747e-005
     0.535000      1.74636 8.11897e-005
     0.540000      1.74636 7.88893e-005
     0.545000      1.74636 7.68454e-005
     0.550000      1.74636 7.55551e-005
     0.555000      1.74636 7.41698e-005
     0.560000      1.74636 7.31186e-005
     0.565000      1.74636 7.24750e-005
     0.570000      1.74636 7.13818e-005
     0.575000      1.74636 7.09917e-005
     0.580000      1.74636 7.05866e-005
     0.585000      1.74636 7.01675e-005
     0.590000      1.74636 6.96594e-005
     0.595000      1.74636 6.94334e-005
     0.600000      1.74636 6.91203e-005
     0.605000      1.74636 6.88703e-005
     0.610000      1.74636 6.87593e-005
     0.615000      1.74636 6.91713e-005
     0.620000      1.74636 6.88913e-005
     0.625000      1.74636 6.87533e-005
     0.630000      1.74636 6.82962e-005
     0.635000      1.74636 6.82922e-005
     0.640000      1.74636 6.79681e-005
     0.645000      1.74636 6.73955e-005
     0.650000      1.74636 6.67313e-005
     0.655000      1.74636 6.64493e-005
     0.660000      1.74636 6.63963e-005
     0.665000      1.74636 6.60942e-005
     0.670000      1.74636 6.63483e-005
     0.675000      1.74636 6.62733e-005
     0.680000      1.74636 6.66003e-005
     0.685000      1.74636 6.67604e-005
     0.690000      1.74636 6.71634e-005
     0.695000      1.74636 6.75670e-005
     0.700000      1.74636 6.79691e-005
     0.705000      1.74636 6.87943e-005
     0.710000      1.74636 6.95384e-005
     0.715000      1.74636 6.99425e-005
     0.720000      1.74636 7.09527e-005
     0.725000      1.74636 7.20579e-005
     0.730000      1.74636 7.34377e-005
     0.735000      1.74636 7.50110e-005
     0.740000      1.74636 7.57912e-005
     0.745000      1.74636 7.70274e-005
     0.750000      1.74636 7.87332e-005
     0.755000      1.74636 7.94424e-005
     0.760000      1.74636 8.10837e-005
     0.765000      1.74636 8.24610e-005
     0.770000      1.74636 8.44189e-005
     0.775000      1.74636 8.68794e-005
     0.780000      1.74636 8.91783e-005
     0.785000      1.74636 9.11167e-005
     0.790000      1.74636 9.30756e-005
     0.795000      1.74636 9.59532e-005
     0.800000      1.74636 9.85692e-005
     0.805000      1.74636  0.000101117
     0.810000      1.74636  0.000103594
     0.815000      1.74636  0.000106621
     0.820000      1.74636  0.000108953
     0.825000      1.74636  0.000111844
     0.830000      1.74636  0.000114664
     0.835000      1.74636  0.000117302
     0.840000      1.74636  0.000119971
     0.845000      1.74636  0.000123448
     0.850000      1.74636  0.000126524
     0.855000      1.74636  0.000129865
     0.860000      1.74636  0.000131651
     0.865000      1.74636  0.000135639
     0.870000      1.74636  0.000137587
     0.875000      1.74636  0.000141078
     0.880000      1.74636  0.000144138
     0.885000      1.74636  0.000146993
     0.890000      1.74636  0.000150243
     0.895000      1.74636  0.000152430
     0.900000      1.74636  0.000155252
     0.905000      1.74636  0.000158228
     0.910000      1.74636  0.000160607
     0.915000      1.74636  0.000164401
     0.920000      1.74636  0.000166961
     0.925000      1.74636  0.000170708
     0.930000      1.74636  0.000174238
     0.935000      1.74636  0.000178072
     0.940000      1.74636  0.000180221
     0.945000      1.74636  0.000185340
     0.950000      1.74636  0.000188763
     0.955000      1.74636  0.000191537
     0.960000      1.74636  0.000195026
     0.965000      1.74636  0.000198971
     0.970000      1.74636  0.000203810
     0.975000      1.74636  0.000209142
     0.980000      1.74636  0.000213101
     0.985000      1.74636  0.000217979
     0.990000      1.74636  0.000221442
     0.995000      1.74636  0.000226578
      1.00000      1.74636  0.000231178
      1.00500      1.74636  0.000236593
      1.01000      1.74636  0.000241772
      1.01500      1.74636  0.000245456
      1.02000      1.74636  0.000251063
      1.02500      1.74636  0.000254832
      1.03000      1.74636  0.000259760
      1.03500      1.74636  0.000264420
      1.04000      1.74636  0.000267657
      1.04500      1.74636  0.000271414
      1.05000      1.74636  0.000274870
      1.05500      1.74636  0.000277516
      1.06000      1.74636  0.000280684
      1.06500      1.74636  0.000282008
      1.07000      1.74636  0.000284184
      1.07500      1.74636  0.000285512
      1.08000      1.74636  0.000287011
      1.08500      1.74636  0.000287304
      1.09000      1.74636  0.000286723
      1.09500      1.74636  0.000287343
      1.10000      1.74636  0.000287262
      1.10500      1.74636  0.000286299
      1.11000      1.74636  0.000284800
      1.11500      1.74636  0.000282938
      1.12000      1.74636  0.000281585
      1.12500      1.74636  0.000280567
      1.13000      1.74636  0.000277964
      1.13500      1.74636  0.000277267
      1.14000      1.74636  0.000273589
      1.14500      1.74636  0.000272340
      1.15000      1.74636  0.000271428
      1.15500      1.74636  0.000270329
      1.16000      1.74636  0.000268516
      1.16500      1.74636  0.000266865
      1.17000      1.74636  0.000265902
      1.17500      1.74636  0.000264928
      1.18000      1.74636  0.000264645
      1.18500      1.74636  0.000262415
      1.19000      1.74636  0.000263345
      1.19500      1.74636  0.000261971
      1.20000      1.74636  0.000262002
      1.20500      1.74636  0.000262204
      1.21000      1.74636  0.000261865
      1.21500      1.74636  0.000262947
      1.22000      1.74636  0.000263490
      1.22500      1.74636  0.000264209
      1.23000      1.74636  0.000262938
      1.23500      1.74636  0.000263282
      1.24000      1.74636  0.000264348
      1.24500      1.74636  0.000264502
      1.25000      1.74636  0.000264102
      1.25500      1.74636  0.000263510
      1.26000      1.74636  0.000263275
      1.26500      1.74636  0.000263767
      1.27000      1.74636  0.000263333
      1.27500      1.74636  0.000263630
      1.28000      1.74636  0.000263550
      1.28500      1.74636  0.000262535
      1.29000      1.74636  0.000262067
      1.29500      1.74636  0.000261217
      1.30000      1.74636  0.000260731
      1.30500      1.74636  0.000260050
      1.31000      1.74636  0.000259358
      1.31500      1.74636  0.000258657
      1.32000      1.74636  0.000257572
      1.32500      1.74636  0.000255535
      1.33000      1.74636  0.000254804
      1.33500      1.74636  0.000253688
      1.34000      1.74636  0.000251241
      1.34500      1.74636  0.000250479
      1.35000      1.74636  0.000249329
      1.35500      1.74636  0.000250632
      1.36000      1.74636  0.000249845
      1.36500      1.74636  0.000246580
      1.37000      1.74636  0.000244444
      1.37500      1.74636  0.000240023
      1.38000      1.74636  0.000241465
      1.38500      1.74636  0.000237967
      1.39000      1.74636  0.000234081
      1.39500      1.74636  0.000233785
      1.40000      1.74636  0.000230635
      1.40500      1.74636  0.000227286
      1.41000      1.74636  0.000222608
      1.41500      1.74636  0.000220752
      1.42000      1.74636  0.000218319
      1.42500      1.74636  0.000215688
      1.43000      1.74636  0.000213989
      1.43500      1.74636  0.000210584
      1.44000      1.74636  0.000207357
      1.44500      1.74636  0.000205627
      1.45000      1.74636  0.000203887
      1.45500      1.74636  0.000200631
      1.46000      1.74636  0.000197930
      1.46500      1.74636  0.000195594
      1.47000      1.74636  0.000193250
      1.47500      1.74636  0.000190144
      1.48000      1.74636  0.000188155
      1.48500      1.74636  0.000185780
      1.49000      1.74636  0.000183961
      1.49500      1.74636  0.000181004
      1.50000      1.74636  0.000178600
      1.50500      1.74636  0.000176751
      1.51000      1.74636  0.000175081
      1.51500      1.74636  0.000173589
      1.52000      1.74636  0.000170960
      1.52500      1.74636  0.000170203
      1.53000      1.74636  0.000168119
      1.53500      1.74636  0.000165838
      1.54000      1.74636  0.000163925
      1.54500      1.74636  0.000162379
      1.55000      1.74636  0.000160826
      1.55500      1.74636  0.000159830
      1.56000      1.74636  0.000157314
      1.56500      1.74636  0.000156492
      1.57000      1.74636  0.000154715
      1.57500      1.74636  0.000153879
      1.58000      1.74636  0.000152465
      1.58500      1.74636  0.000151234
      1.59000      1.74636  0.000149614
      1.59500      1.74636  0.000148367
      1.60000      1.74636  0.000147496
      1.60500      1.74636  0.000146807
      1.61000      1.74636  0.000146497
      1.61500      1.74636  0.000145223
      1.62000      1.74636  0.000144134
      1.62500      1.74636  0.000143616
      1.63000      1.74636  0.000142706
      1.63500      1.74636  0.000142370
      1.64000      1.74636  0.000141837
      1.64500      1.74636  0.000140910
      1.65000      1.74636  0.000139977
      1.65500      1.74636  0.000139427
      1.66000      1.74636  0.000139067
      1.66500      1.74636  0.000138899
      1.67000      1.74636  0.000137944
      1.67500      1.74636  0.000138160
      1.68000      1.74636  0.000137589
      1.68500      1.74636  0.000137011
      1.69000      1.74636  0.000137220
      1.69500      1.74636  0.000137229
      1.70000      1.74636  0.000136243
      1.70500      1.74636  0.000135848
      1.71000      1.74636  0.000135847
      1.71500      1.74636  0.000135046
      1.72000      1.74636  0.000135439
      1.72500      1.74636  0.000135230
      1.73000      1.74636  0.000135220
      1.73500      1.74636  0.000135207
      1.74000      1.74636  0.000135394
      1.74500      1.74636  0.000135377
      1.75000      1.74636  0.000135562
      1.75500      1.74636  0.000135134
      1.76000      1.74636  0.000135314
      1.76500      1.74636  0.000135289
      1.77000      1.74636  0.000135672
      1.77500      1.74636  0.000135437
      1.78000      1.74636  0.000135819
      1.78500      1.74636  0.000135993
      1.79000      1.74636  0.000135959
      1.79500      1.74636  0.000135923
      1.80000      1.74636  0.000136094
      1.80500      1.74636  0.000136262
      1.81000      1.74636  0.000136011
      1.81500      1.74636  0.000135757
      1.82000      1.74636  0.000135710
      1.82500      1.74636  0.000136505
      1.83000      1.74636  0.000135398
      1.83500      1.74636  0.000134710
      1.84000      1.74636  0.000135713
      1.84500      1.74636  0.000136295
      1.85000      1.74636  0.000136237
      1.85500      1.74636  0.000136819
      1.86000      1.74636  0.000137833
      1.86500      1.74636  0.000136481
      1.87000      1.74636  0.000136200
      1.87500      1.74636  0.000137862
      1.88000      1.74636  0.000139098
      1.88500      1.74636  0.000139468
      1.89000      1.74636  0.000140057
      1.89500      1.74636  0.000139551
      1.90000      1.74636  0.000139700
      1.90500      1.74636  0.000140068
      1.91000      1.74636  0.000140436
      1.91500      1.74636  0.000141024
      1.92000      1.74636  0.000142057
      1.92500      1.74636  0.000142873
      1.93000      1.74636  0.000143020
      1.93500      1.74636  0.000143391
      1.94000      1.74636  0.000143986
      1.94500      1.74636  0.000144581
      1.95000      1.74636  0.000144728
      1.95500      1.74636  0.000144873
      1.96000      1.74636  0.000145243
      1.96500      1.74636  0.000145841
      1.97000      1.74636  0.000145757
      1.97500      1.74636  0.000145443
      1.98000      1.74636  0.000145582
      1.98500      1.74636  0.000145950
      1.99000      1.74636  0.000146088
      1.99500      1.74636  0.000146225
      2.00000      1.74636  0.000146591
      2.00500      1.74636  0.000146957
      2.01000      1.74636  0.000147092
      2.01500      1.74636  0.000147459
      2.02000      1.74636  0.000147824
      2.02500      1.74636  0.000148190
      2.03000      1.74636  0.000148322
      2.03500      1.74636  0.000148453
      2.04000      1.74636  0.000148582
      2.04500      1.74636  0.000149182
      2.05000      1.74636  0.000149311
      2.05500      1.74636  0.000149201
      2.06000      1.74636  0.000149564
      2.06500      1.74636  0.000150166
      2.07000      1.74636  0.000150529
      2.07500      1.74636  0.000150654
      2.08000      1.74636  0.000150777
      2.08500      1.74636  0.000151140
      2.09000      1.74636  0.000151262
      2.09500      1.74636  0.000151623
      2.10000      1.74636  0.000152953
      2.10500      1.74636  0.000152832
      2.11000      1.74636  0.000152952
      2.11500      1.74636  0.000153071
      2.12000      1.74636  0.000153189
      2.12500      1.74636  0.000153061
      2.13000      1.74636  0.000153421
      2.13500      1.74636  0.000154518
      2.14000      1.74636  0.000154634
      2.14500      1.74636  0.000154995
      2.15000      1.74636  0.000155603
      2.15500      1.74636  0.000156462
      2.16000      1.74636  0.000156825
      2.16500      1.74636  0.000157437
      2.17000      1.74636  0.000157551
      2.17500      1.74636  0.000158415
      2.18000      1.74636  0.000158026
      2.18500      1.74636  0.000158891
      2.19000      1.74636  0.000159255
      2.19500      1.74636  0.000159871
      2.20000      1.74636  0.000159475
      2.20500      1.74636  0.000158822
      2.21000      1.74636  0.000159437
      2.21500      1.74636  0.000159033
      2.22000      1.74636  0.000160926
      2.22500      1.74636  0.000160264
      2.23000      1.74636  0.000160881
      2.23500      1.74636  0.000160984
      2.24000      1.74636  0.000161601
      2.24500      1.74636  0.000161962
      2.25000      1.74636  0.000162064
      2.25500      1.74636  0.000162684
      2.26000      1.74636  0.000162004
      2.26500      1.74636  0.000162884
      2.27000      1.74636  0.000162721
      2.27500      1.74636  0.000163341
      2.28000      1.74636  0.000163438
      2.28500      1.74636  0.000164060
      2.29000      1.74636  0.000164155
      2.29500      1.74636  0.000164513
      2.30000      1.74636  0.000165136
      2.30500      1.74636  0.000165760
      2.31000      1.74636  0.000165854
      2.31500      1.74636  0.000165946
      2.32000      1.74636  0.000166572
      2.32500      1.74636  0.000166931
      2.33000      1.74636  0.000167826
      2.33500      1.74636  0.000167917
      2.34000      1.74636  0.000168546
      2.34500      1.74636  0.000168097
      2.35000      1.74636  0.000169807
      2.35500      1.74636  0.000170440
      2.36000      1.74636  0.000171618
      2.36500      1.74636  0.000171709
      2.37000      1.74636  0.000171799
      2.37500      1.74636  0.000172982
      2.38000      1.74636  0.000172798
      2.38500      1.74636  0.000173161
      2.39000      1.74636  0.000174075
      2.39500      1.74636  0.000173611
      2.40000      1.74636  0.000173421
      2.40500      1.74636  0.000174059
      2.41000      1.74636  0.000174144
      2.41500      1.74636  0.000174226
      2.42000      1.74636  0.000174866
      2.42500      1.74636  0.000174948
      2.43000      1.74636  0.000175029
      2.43500      1.74636  0.000175669
      2.44000      1.74636  0.000175749
      2.44500      1.74636  0.000175828
      2.45000      1.74636  0.000176469
      2.45500      1.74636  0.000176829
      2.46000      1.74636  0.000176624
      2.46500      1.74636  0.000177550
      2.47000      1.74636  0.000176773
      2.47500      1.74636  0.000177701
      2.48000      1.74636  0.000177204
      2.48500      1.74636  0.000176990
      2.49000      1.74636  0.000177346
      2.49500      1.74636  0.000178276
      2.50000      1.74636  0.000177771
      2.50500      1.74636  0.000178414
      2.51000      1.74636  0.000179059
      2.51500      1.74636  0.000180284
      2.52000      1.74636  0.000179193
      2.52500      1.74636  0.000178679
      2.53000      1.74636  0.000179033
      2.53500      1.74636  0.000181134
      2.54000      1.74636  0.000181784
      2.54500      1.74636  0.000181849
      2.55000      1.74636  0.000182499
      2.55500      1.74636  0.000184621
      2.56000      1.74636  0.000179686
      2.56500      1.74636  0.000180921
      2.57000      1.74636  0.000180095
      2.57500      1.74636  0.000181036
      2.58000      1.74636  0.000181091
      2.58500      1.74636  0.000179071
      2.59000      1.74636  0.000178232
      2.59500      1.74636  0.000180359
      2.60000      1.74636  0.000178623
