Data created using the Lorentz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  These could be recalculated at any spectral resolution.
Range of validity is given as 4000-255 inverse centimeters.
This is a combination of almandite and pyrope the chemical analysis is:
SiO2 41.34%, FeO 9.72%, Fe2O3 12.55%, Al2O3 20.36%, CaO 2.97%,
MgO 12.35%, MnO 0.85%

high frq. dielec. const=  3.483
Lorentz line parameters
center  width  strength
 952.7  0.0135  0.1670
 885.9  0.0270  0.1900
 859.3  0.0255  0.5100
 558.6  0.0281  0.1390
 519.5  0.0273  0.0220
 468.6  0.0075  0.1660
 437.2  0.0368  1.9080
 376.2  0.0546  1.5390
 331.3  0.0853  1.0000

 wave.    freq.   calc.       real       imag.
(micron)  (cm-1)  refl.       index      index
39.2157   255.0  0.3202       3.605     0.09503
38.9105   257.0  0.3220       3.621     0.09875
38.6100   259.0  0.3238       3.638      0.1027
38.3142   261.0  0.3257       3.655      0.1069
38.0228   263.0  0.3276       3.673      0.1114
37.7358   265.0  0.3296       3.692      0.1162
37.4532   267.0  0.3317       3.712      0.1214
37.1747   269.0  0.3338       3.732      0.1270
36.9004   271.0  0.3360       3.753      0.1329
36.6300   273.0  0.3383       3.775      0.1394
36.3636   275.0  0.3407       3.798      0.1463
36.1011   277.0  0.3431       3.821      0.1539
35.8423   279.0  0.3457       3.846      0.1621
35.5872   281.0  0.3483       3.872      0.1711
35.3357   283.0  0.3511       3.899      0.1809
35.0877   285.0  0.3539       3.927      0.1917
34.8432   287.0  0.3569       3.957      0.2036
34.6021   289.0  0.3600       3.988      0.2167
34.3643   291.0  0.3633       4.020      0.2313
34.1297   293.0  0.3667       4.054      0.2476
33.8983   295.0  0.3703       4.090      0.2658
33.6700   297.0  0.3740       4.128      0.2863
33.4448   299.0  0.3779       4.167      0.3095
33.2226   301.0  0.3820       4.208      0.3359
33.0033   303.0  0.3863       4.251      0.3660
32.7869   305.0  0.3908       4.296      0.4007
32.5733   307.0  0.3956       4.343      0.4406
32.3625   309.0  0.4005       4.390      0.4870
32.1543   311.0  0.4056       4.439      0.5410
31.9489   313.0  0.4110       4.487      0.6040
31.7460   315.0  0.4164       4.532      0.6776
31.5457   317.0  0.4219       4.574      0.7633
31.3480   319.0  0.4273       4.606      0.8622
31.1526   321.0  0.4324       4.626      0.9745
30.9598   323.0  0.4368       4.626       1.099
30.7692   325.0  0.4402       4.599       1.229
30.5810   327.0  0.4418       4.540       1.358
30.3951   329.0  0.4412       4.447       1.470
30.2115   331.0  0.4377       4.325       1.552
30.0300   333.0  0.4311       4.187       1.592
29.8507   335.0  0.4219       4.052       1.585
29.6736   337.0  0.4110       3.938       1.537
29.4985   339.0  0.4000       3.856       1.458
29.3255   341.0  0.3907       3.814       1.365
29.1545   343.0  0.3843       3.811       1.270
28.9855   345.0  0.3814       3.840       1.185
28.8184   347.0  0.3820       3.898       1.115
28.6533   349.0  0.3858       3.976       1.064
28.4900   351.0  0.3920       4.070       1.034
28.3286   353.0  0.4002       4.177       1.026
28.1690   355.0  0.4100       4.294       1.041
28.0112   357.0  0.4211       4.419       1.080
27.8552   359.0  0.4333       4.550       1.147
27.7008   361.0  0.4466       4.684       1.245
27.5482   363.0  0.4610       4.818       1.381
27.3973   365.0  0.4764       4.943       1.561
27.2480   367.0  0.4926       5.048       1.794
27.1003   369.0  0.5096       5.111       2.084
26.9542   371.0  0.5267       5.101       2.427
26.8097   373.0  0.5433       4.984       2.800
26.6667   375.0  0.5578       4.737       3.153
26.5252   377.0  0.5688       4.371       3.420
26.3852   379.0  0.5745       3.937       3.555
26.2467   381.0  0.5736       3.500       3.547
26.1097   383.0  0.5651       3.113       3.422
25.9740   385.0  0.5484       2.799       3.219
25.8398   387.0  0.5233       2.566       2.969
25.7069   389.0  0.4899       2.408       2.696
25.5754   391.0  0.4498       2.320       2.418
25.4453   393.0  0.4062       2.296       2.146
25.3165   395.0  0.3644       2.328       1.891
25.1889   397.0  0.3302       2.409       1.663
25.0627   399.0  0.3078       2.529       1.470
24.9377   401.0  0.2975       2.675       1.314
24.8139   403.0  0.2973       2.839       1.193
24.6914   405.0  0.3043       3.012       1.106
24.5700   407.0  0.3159       3.191       1.046
24.4499   409.0  0.3305       3.375       1.012
24.3309   411.0  0.3469       3.564       1.000
24.2131   413.0  0.3646       3.758       1.010
24.0964   415.0  0.3834       3.960       1.042
23.9808   417.0  0.4030       4.171       1.099
23.8663   419.0  0.4236       4.393       1.184
23.7530   421.0  0.4453       4.627       1.304
23.6407   423.0  0.4683       4.875       1.468
23.5294   425.0  0.4927       5.134       1.690
23.4192   427.0  0.5190       5.396       1.990
23.3100   429.0  0.5472       5.642       2.393
23.2019   431.0  0.5775       5.830       2.923
23.0947   433.0  0.6095       5.886       3.589
22.9885   435.0  0.6425       5.712       4.342
22.8833   437.0  0.6745       5.244       5.046
22.7790   439.0  0.7037       4.540       5.531
22.6757   441.0  0.7282       3.767       5.720
22.5734   443.0  0.7477       3.070       5.667
22.4719   445.0  0.7625       2.507       5.470
22.3714   447.0  0.7730       2.076       5.208
22.2717   449.0  0.7799       1.751       4.924
22.1729   451.0  0.7832       1.507       4.639
22.0751   453.0  0.7828       1.326       4.361
21.9780   455.0  0.7781       1.194       4.088
21.8818   457.0  0.7670       1.106       3.814
21.7865   459.0  0.7456       1.064       3.531
21.6920   461.0  0.7043       1.088       3.219
21.5983   463.0  0.6226       1.247       2.859
21.5054   465.0  0.4946       1.755       2.510
21.4133   467.0  0.5028       2.840       2.847
21.3220   469.0  0.7008       2.629       4.688
21.2314   471.0  0.8191       1.186       4.632
21.1416   473.0  0.8536      0.7307       4.120
21.0526   475.0  0.8634      0.5678       3.764
20.9644   477.0  0.8651      0.4893       3.506
20.8768   479.0  0.8637      0.4428       3.304
20.7900   481.0  0.8608      0.4115       3.136
20.7039   483.0  0.8570      0.3886       2.990
20.6186   485.0  0.8524      0.3710       2.859
20.5339   487.0  0.8472      0.3572       2.740
20.4499   489.0  0.8412      0.3463       2.629
20.3666   491.0  0.8345      0.3379       2.525
20.2840   493.0  0.8268      0.3316       2.426
20.2020   495.0  0.8180      0.3273       2.331
20.1207   497.0  0.8079      0.3252       2.239
20.0401   499.0  0.7959      0.3253       2.150
19.9601   501.0  0.7818      0.3281       2.062
19.8807   503.0  0.7647      0.3341       1.975
19.8020   505.0  0.7439      0.3441       1.889
19.7239   507.0  0.7181      0.3596       1.804
19.6464   509.0  0.6860      0.3823       1.720
19.5695   511.0  0.6464      0.4147       1.640
19.4932   513.0  0.6004      0.4586       1.569
19.4175   515.0  0.5536      0.5117       1.517
19.3424   517.0  0.5181      0.5615       1.491
19.2678   519.0  0.5040      0.5858       1.486
19.1939   521.0  0.5069      0.5746       1.477
19.1205   523.0  0.5115      0.5444       1.440
19.0476   525.0  0.5054      0.5182       1.374
18.9753   527.0  0.4838      0.5077       1.289
18.9036   529.0  0.4461      0.5157       1.194
18.8324   531.0  0.3939      0.5427       1.096
18.7617   533.0  0.3305      0.5898      0.9981
18.6916   535.0  0.2623      0.6582      0.9052
18.6220   537.0  0.1990      0.7477      0.8242
18.5529   539.0  0.1495      0.8554      0.7620
18.4843   541.0  0.1182      0.9755      0.7229
18.4162   543.0  0.1042       1.103      0.7089
18.3486   545.0  0.1042       1.233      0.7209
18.2815   547.0  0.1154       1.364      0.7612
18.2149   549.0  0.1358       1.492      0.8343
18.1488   551.0  0.1646       1.609      0.9471
18.0832   553.0  0.2013       1.700       1.106
18.0180   555.0  0.2456       1.737       1.311
17.9533   557.0  0.2960       1.688       1.538
17.8891   559.0  0.3490       1.541       1.736
17.8253   561.0  0.3995       1.328       1.851
17.7620   563.0  0.4428       1.105       1.872
17.6991   565.0  0.4769      0.9144       1.824
17.6367   567.0  0.5016      0.7658       1.740
17.5747   569.0  0.5175      0.6550       1.641
17.5131   571.0  0.5258      0.5737       1.537
17.4520   573.0  0.5273      0.5142       1.435
17.3913   575.0  0.5226      0.4711       1.335
17.3310   577.0  0.5120      0.4404       1.239
17.2712   579.0  0.4959      0.4194       1.146
17.2117   581.0  0.4741      0.4065       1.055
17.1527   583.0  0.4465      0.4009      0.9667
17.0940   585.0  0.4129      0.4021      0.8794
17.0358   587.0  0.3731      0.4103      0.7931
16.9779   589.0  0.3275      0.4263      0.7079
16.9205   591.0  0.2772      0.4509      0.6247
16.8634   593.0  0.2248      0.4850      0.5453
16.8067   595.0  0.1742      0.5283      0.4725
16.7504   597.0  0.1296      0.5787      0.4089
16.6945   599.0  0.0935      0.6331      0.3557
16.6389   601.0  0.0661      0.6882      0.3126
16.5837   603.0  0.0462      0.7419      0.2778
16.5289   605.0  0.0321      0.7930      0.2497
16.4745   607.0  0.0223      0.8413      0.2268
16.4204   609.0  0.0156      0.8865      0.2078
16.3666   611.0  0.0111      0.9290      0.1919
16.3132   613.0  0.0084      0.9689      0.1784
16.2602   615.0  0.0069       1.006      0.1668
16.2075   617.0  0.0063       1.042      0.1568
16.1551   619.0  0.0064       1.076      0.1480
16.1031   621.0  0.0070       1.107      0.1403
16.0514   623.0  0.0080       1.138      0.1334
16.0000   625.0  0.0093       1.167      0.1273
15.9490   627.0  0.0109       1.194      0.1218
15.8983   629.0  0.0126       1.221      0.1168
15.8479   631.0  0.0145       1.246      0.1123
15.7978   633.0  0.0164       1.271      0.1082
15.7480   635.0  0.0185       1.294      0.1045
15.6986   637.0  0.0206       1.317      0.1011
15.6495   639.0  0.0227       1.339     0.09799
15.6006   641.0  0.0249       1.360     0.09512
15.5521   643.0  0.0271       1.381     0.09247
15.5039   645.0  0.0293       1.401     0.09002
15.4560   647.0  0.0315       1.420     0.08776
15.4083   649.0  0.0336       1.439     0.08567
15.3610   651.0  0.0358       1.458     0.08373
15.3139   653.0  0.0380       1.476     0.08193
15.2672   655.0  0.0402       1.494     0.08026
15.2207   657.0  0.0424       1.511     0.07871
15.1745   659.0  0.0445       1.528     0.07727
15.1286   661.0  0.0466       1.544     0.07594
15.0830   663.0  0.0488       1.561     0.07470
15.0376   665.0  0.0509       1.577     0.07355
14.9925   667.0  0.0530       1.592     0.07248
14.9477   669.0  0.0550       1.608     0.07149
14.9031   671.0  0.0571       1.623     0.07058
14.8588   673.0  0.0591       1.638     0.06974
14.8148   675.0  0.0612       1.653     0.06897
14.7710   677.0  0.0632       1.667     0.06826
14.7275   679.0  0.0652       1.682     0.06761
14.6843   681.0  0.0672       1.696     0.06703
14.6413   683.0  0.0692       1.710     0.06650
14.5985   685.0  0.0711       1.724     0.06602
14.5560   687.0  0.0731       1.738     0.06560
14.5138   689.0  0.0751       1.751     0.06523
14.4718   691.0  0.0770       1.765     0.06491
14.4300   693.0  0.0790       1.778     0.06464
14.3885   695.0  0.0809       1.792     0.06441
14.3472   697.0  0.0828       1.805     0.06424
14.3062   699.0  0.0847       1.818     0.06411
14.2653   701.0  0.0867       1.831     0.06403
14.2248   703.0  0.0886       1.844     0.06399
14.1844   705.0  0.0905       1.857     0.06400
14.1443   707.0  0.0924       1.871     0.06405
14.1044   709.0  0.0943       1.884     0.06415
14.0647   711.0  0.0963       1.897     0.06430
14.0252   713.0  0.0982       1.910     0.06449
13.9860   715.0  0.1001       1.923     0.06473
13.9470   717.0  0.1020       1.936     0.06502
13.9082   719.0  0.1040       1.949     0.06535
13.8696   721.0  0.1059       1.962     0.06573
13.8313   723.0  0.1079       1.975     0.06616
13.7931   725.0  0.1098       1.988     0.06664
13.7552   727.0  0.1118       2.002     0.06718
13.7174   729.0  0.1138       2.015     0.06777
13.6799   731.0  0.1158       2.028     0.06841
13.6426   733.0  0.1178       2.042     0.06911
13.6054   735.0  0.1198       2.056     0.06987
13.5685   737.0  0.1219       2.069     0.07069
13.5318   739.0  0.1239       2.083     0.07157
13.4953   741.0  0.1260       2.097     0.07252
13.4590   743.0  0.1281       2.112     0.07354
13.4228   745.0  0.1302       2.126     0.07463
13.3869   747.0  0.1324       2.141     0.07580
13.3511   749.0  0.1346       2.155     0.07705
13.3156   751.0  0.1368       2.170     0.07838
13.2802   753.0  0.1390       2.186     0.07980
13.2450   755.0  0.1413       2.201     0.08132
13.2100   757.0  0.1436       2.217     0.08293
13.1752   759.0  0.1460       2.233     0.08465
13.1406   761.0  0.1484       2.249     0.08649
13.1062   763.0  0.1508       2.265     0.08844
13.0719   765.0  0.1533       2.282     0.09052
13.0378   767.0  0.1558       2.300     0.09273
13.0039   769.0  0.1584       2.317     0.09510
12.9702   771.0  0.1610       2.335     0.09762
12.9366   773.0  0.1637       2.354      0.1003
12.9032   775.0  0.1665       2.373      0.1032
12.8700   777.0  0.1693       2.392      0.1062
12.8370   779.0  0.1722       2.412      0.1095
12.8041   781.0  0.1751       2.433      0.1130
12.7714   783.0  0.1782       2.454      0.1168
12.7389   785.0  0.1813       2.476      0.1208
12.7065   787.0  0.1845       2.498      0.1252
12.6743   789.0  0.1878       2.522      0.1298
12.6422   791.0  0.1912       2.546      0.1348
12.6103   793.0  0.1947       2.571      0.1403
12.5786   795.0  0.1984       2.597      0.1461
12.5471   797.0  0.2022       2.624      0.1524
12.5156   799.0  0.2061       2.651      0.1593
12.4844   801.0  0.2101       2.681      0.1668
12.4533   803.0  0.2143       2.711      0.1749
12.4224   805.0  0.2187       2.743      0.1838
12.3916   807.0  0.2232       2.776      0.1936
12.3609   809.0  0.2280       2.811      0.2043
12.3305   811.0  0.2330       2.847      0.2160
12.3001   813.0  0.2382       2.886      0.2291
12.2699   815.0  0.2436       2.926      0.2435
12.2399   817.0  0.2494       2.969      0.2596
12.2100   819.0  0.2554       3.015      0.2776
12.1803   821.0  0.2617       3.063      0.2979
12.1507   823.0  0.2685       3.114      0.3207
12.1212   825.0  0.2756       3.168      0.3466
12.0919   827.0  0.2832       3.226      0.3762
12.0627   829.0  0.2912       3.288      0.4102
12.0337   831.0  0.2998       3.354      0.4495
12.0048   833.0  0.3090       3.425      0.4952
11.9760   835.0  0.3189       3.501      0.5489
11.9474   837.0  0.3295       3.582      0.6123
11.9190   839.0  0.3410       3.669      0.6880
11.8906   841.0  0.3535       3.760      0.7789
11.8624   843.0  0.3670       3.854      0.8891
11.8343   845.0  0.3816       3.950       1.023
11.8064   847.0  0.3975       4.042       1.187
11.7786   849.0  0.4146       4.124       1.388
11.7509   851.0  0.4330       4.181       1.629
11.7233   853.0  0.4523       4.194       1.911
11.6959   855.0  0.4721       4.141       2.224
11.6686   857.0  0.4914       3.999       2.542
11.6414   859.0  0.5091       3.764       2.824
11.6144   861.0  0.5235       3.456       3.026
11.5875   863.0  0.5335       3.119       3.126
11.5607   865.0  0.5379       2.797       3.129
11.5340   867.0  0.5363       2.524       3.058
11.5075   869.0  0.5289       2.313       2.943
11.4811   871.0  0.5166       2.166       2.810
11.4548   873.0  0.5013       2.078       2.682
11.4286   875.0  0.4861       2.038       2.575
11.4025   877.0  0.4746       2.033       2.506
11.3766   879.0  0.4701       2.042       2.482
11.3507   881.0  0.4737       2.043       2.503
11.3250   883.0  0.4847       2.014       2.559
11.2994   885.0  0.5011       1.942       2.629
11.2740   887.0  0.5200       1.825       2.688
11.2486   889.0  0.5388       1.678       2.717
11.2233   891.0  0.5556       1.518       2.706
11.1982   893.0  0.5693       1.363       2.660
11.1732   895.0  0.5792       1.223       2.586
11.1483   897.0  0.5851       1.103       2.493
11.1235   899.0  0.5871       1.003       2.389
11.0988   901.0  0.5851      0.9218       2.279
11.0742   903.0  0.5791      0.8563       2.166
11.0497   905.0  0.5691      0.8050       2.053
11.0254   907.0  0.5546      0.7660       1.939
11.0011   909.0  0.5353      0.7383       1.826
10.9769   911.0  0.5106      0.7211       1.712
10.9529   913.0  0.4798      0.7145       1.598
10.9290   915.0  0.4423      0.7190       1.484
