Olivine data from Lucey, JGR-E, E1, 1703-1714, 1998
To calculate the real index use Eqn 8c, Lucey 1998

n_olv=1.827-[0.192 * Mg#], Mg # 0-1.0

to calculate the imaginary index, use columns 2 and 3 below

k_olv(lambda) = col 2 + [Mg# * col 3], data valid for Mg # 0. to 1.0

col 1 are wavelengths in micrometers
	col 1		col 2		col 3
     0.221100 -1.13412e-05  1.35007e-06
     0.229100 -5.64202e-06  1.86252e-06
     0.236100  0.000141082 -3.51015e-07
     0.242100  0.000236574 -1.14977e-06
     0.248100  0.000335891 -1.77946e-06
     0.253600  0.000457639 -2.76320e-06
     0.258600  0.000582867 -3.95175e-06
     0.263600  0.000697525 -5.15051e-06
     0.268600  0.000780877 -6.03299e-06
     0.273100  0.000836194 -6.64189e-06
     0.277100  0.000872996 -7.05930e-06
     0.281100  0.000896237 -7.33525e-06
     0.285100  0.000938427 -7.80646e-06
     0.289100  0.000962286 -8.12900e-06
     0.293100  0.000985078 -8.37235e-06
     0.297100   0.00102767 -8.89217e-06
     0.301100   0.00105264 -9.19222e-06
     0.305100   0.00107836 -9.51970e-06
     0.309100   0.00112984 -1.01861e-05
     0.313100   0.00116488 -1.06459e-05
     0.317100   0.00119989 -1.11440e-05
     0.321100   0.00122348 -1.15241e-05
     0.325100   0.00123734 -1.17984e-05
     0.329100   0.00126748 -1.22864e-05
     0.333100   0.00128276 -1.26311e-05
     0.337100   0.00129393 -1.28937e-05
     0.341100   0.00128682 -1.29690e-05
     0.345100   0.00128261 -1.30649e-05
     0.349100   0.00122708 -1.25047e-05
     0.353100   0.00130178 -1.35157e-05
     0.357100   0.00126813 -1.32914e-05
     0.360600   0.00121707 -1.28171e-05
     0.363600   0.00116674 -1.23376e-05
     0.366600   0.00112560 -1.19433e-05
     0.369600   0.00107606 -1.14556e-05
     0.372600   0.00102255 -1.09050e-05
     0.375600  0.000982454 -1.04906e-05
     0.378600  0.000935907 -1.00008e-05
     0.381100  0.000899640 -9.62575e-06
     0.383100  0.000871315 -9.30371e-06
     0.385100  0.000851847 -9.09744e-06
     0.387100  0.000812985 -8.66674e-06
     0.389100  0.000787392 -8.38898e-06
     0.391100  0.000763831 -8.11665e-06
     0.393100  0.000748654 -7.95941e-06
     0.395100  0.000724867 -7.68767e-06
     0.397100  0.000711235 -7.53557e-06
     0.399100  0.000703772 -7.45022e-06
     0.401100  0.000705326 -7.45427e-06
     0.403100  0.000699171 -7.38355e-06
     0.405100  0.000683005 -7.24097e-06
     0.407100  0.000658220 -6.97517e-06
     0.409100  0.000634228 -6.70367e-06
     0.411100  0.000618285 -6.55064e-06
     0.412800  0.000600013 -6.34374e-06
     0.415800  0.000587138 -6.19294e-06
     0.418800  0.000573363 -6.03542e-06
     0.421800  0.000569864 -5.99335e-06
     0.424800  0.000561331 -5.89422e-06
     0.427800  0.000559209 -5.86568e-06
     0.430800  0.000556633 -5.83364e-06
     0.433800  0.000552181 -5.78373e-06
     0.436800  0.000550120 -5.76202e-06
     0.439800  0.000539984 -5.64330e-06
     0.442800  0.000540125 -5.63358e-06
     0.445800  0.000549865 -5.73100e-06
     0.448800  0.000560594 -5.84670e-06
