Olivine, composition not given
calculated from the oscillator parameters given
by Mukai and Koike, Icarus, 87, 180-187, 1990
 wavelength    real       imaginary
 micrometers   index        index
 7.0028E+00  1.4045E+00   9.2847E-03
 7.0126E+00  1.4034E+00   9.3543E-03
 7.0225E+00  1.4024E+00   9.4248E-03
 7.0324E+00  1.4013E+00   9.4961E-03
 7.0423E+00  1.4003E+00   9.5682E-03
 7.0522E+00  1.3992E+00   9.6412E-03
 7.0621E+00  1.3981E+00   9.7151E-03
 7.0721E+00  1.3970E+00   9.7899E-03
 7.0822E+00  1.3960E+00   9.8656E-03
 7.0922E+00  1.3949E+00   9.9422E-03
 7.1023E+00  1.3937E+00   1.0020E-02
 7.1124E+00  1.3926E+00   1.0098E-02
 7.1225E+00  1.3915E+00   1.0178E-02
 7.1327E+00  1.3904E+00   1.0258E-02
 7.1429E+00  1.3892E+00   1.0340E-02
 7.1531E+00  1.3881E+00   1.0423E-02
 7.1633E+00  1.3869E+00   1.0506E-02
 7.1736E+00  1.3857E+00   1.0591E-02
 7.1839E+00  1.3845E+00   1.0677E-02
 7.1942E+00  1.3834E+00   1.0764E-02
 7.2046E+00  1.3822E+00   1.0852E-02
 7.2150E+00  1.3809E+00   1.0941E-02
 7.2254E+00  1.3797E+00   1.1031E-02
 7.2359E+00  1.3785E+00   1.1123E-02
 7.2464E+00  1.3773E+00   1.1216E-02
 7.2569E+00  1.3760E+00   1.1310E-02
 7.2674E+00  1.3747E+00   1.1405E-02
 7.2780E+00  1.3735E+00   1.1502E-02
 7.2886E+00  1.3722E+00   1.1599E-02
 7.2993E+00  1.3709E+00   1.1699E-02
 7.3099E+00  1.3696E+00   1.1799E-02
 7.3206E+00  1.3683E+00   1.1901E-02
 7.3314E+00  1.3669E+00   1.2005E-02
 7.3421E+00  1.3656E+00   1.2110E-02
 7.3529E+00  1.3642E+00   1.2216E-02
 7.3638E+00  1.3629E+00   1.2324E-02
 7.3746E+00  1.3615E+00   1.2434E-02
 7.3855E+00  1.3601E+00   1.2545E-02
 7.3964E+00  1.3587E+00   1.2658E-02
 7.4074E+00  1.3573E+00   1.2772E-02
 7.4184E+00  1.3559E+00   1.2888E-02
 7.4294E+00  1.3544E+00   1.3006E-02
 7.4405E+00  1.3530E+00   1.3126E-02
 7.4516E+00  1.3515E+00   1.3247E-02
 7.4627E+00  1.3501E+00   1.3370E-02
 7.4738E+00  1.3486E+00   1.3495E-02
 7.4850E+00  1.3471E+00   1.3622E-02
 7.4962E+00  1.3455E+00   1.3751E-02
 7.5075E+00  1.3440E+00   1.3882E-02
 7.5188E+00  1.3425E+00   1.4015E-02
 7.5301E+00  1.3409E+00   1.4150E-02
 7.5415E+00  1.3393E+00   1.4288E-02
 7.5529E+00  1.3377E+00   1.4427E-02
 7.5643E+00  1.3361E+00   1.4569E-02
 7.5758E+00  1.3345E+00   1.4713E-02
 7.5873E+00  1.3329E+00   1.4859E-02
 7.5988E+00  1.3312E+00   1.5008E-02
 7.6104E+00  1.3295E+00   1.5160E-02
 7.6220E+00  1.3279E+00   1.5313E-02
 7.6336E+00  1.3261E+00   1.5470E-02
 7.6453E+00  1.3244E+00   1.5629E-02
 7.6570E+00  1.3227E+00   1.5791E-02
 7.6687E+00  1.3209E+00   1.5956E-02
 7.6805E+00  1.3192E+00   1.6123E-02
 7.6923E+00  1.3174E+00   1.6294E-02
 7.7042E+00  1.3156E+00   1.6467E-02
 7.7161E+00  1.3137E+00   1.6644E-02
 7.7280E+00  1.3119E+00   1.6824E-02
 7.7399E+00  1.3100E+00   1.7007E-02
 7.7519E+00  1.3081E+00   1.7193E-02
 7.7640E+00  1.3062E+00   1.7383E-02
 7.7760E+00  1.3043E+00   1.7577E-02
 7.7882E+00  1.3023E+00   1.7774E-02
 7.8003E+00  1.3004E+00   1.7975E-02
 7.8125E+00  1.2984E+00   1.8180E-02
 7.8247E+00  1.2963E+00   1.8389E-02
 7.8370E+00  1.2943E+00   1.8601E-02
 7.8493E+00  1.2922E+00   1.8818E-02
 7.8616E+00  1.2902E+00   1.9040E-02
 7.8740E+00  1.2880E+00   1.9266E-02
 7.8864E+00  1.2859E+00   1.9496E-02
 7.8989E+00  1.2838E+00   1.9731E-02
 7.9114E+00  1.2816E+00   1.9971E-02
 7.9239E+00  1.2794E+00   2.0216E-02
 7.9365E+00  1.2771E+00   2.0467E-02
 7.9491E+00  1.2749E+00   2.0722E-02
 7.9618E+00  1.2726E+00   2.0983E-02
 7.9745E+00  1.2703E+00   2.1250E-02
 7.9872E+00  1.2679E+00   2.1523E-02
 8.0000E+00  1.2656E+00   2.1802E-02
 8.0128E+00  1.2632E+00   2.2087E-02
 8.0257E+00  1.2607E+00   2.2378E-02
 8.0386E+00  1.2583E+00   2.2677E-02
 8.0515E+00  1.2558E+00   2.2982E-02
 8.0645E+00  1.2532E+00   2.3295E-02
 8.0775E+00  1.2507E+00   2.3615E-02
 8.0906E+00  1.2481E+00   2.3943E-02
 8.1037E+00  1.2455E+00   2.4278E-02
 8.1169E+00  1.2428E+00   2.4622E-02
 8.1301E+00  1.2401E+00   2.4975E-02
 8.1433E+00  1.2374E+00   2.5337E-02
 8.1566E+00  1.2346E+00   2.5708E-02
 8.1699E+00  1.2318E+00   2.6089E-02
 8.1833E+00  1.2290E+00   2.6480E-02
 8.1967E+00  1.2261E+00   2.6881E-02
 8.2102E+00  1.2231E+00   2.7293E-02
 8.2237E+00  1.2202E+00   2.7716E-02
 8.2372E+00  1.2172E+00   2.8152E-02
 8.2508E+00  1.2141E+00   2.8599E-02
 8.2645E+00  1.2110E+00   2.9060E-02
 8.2782E+00  1.2079E+00   2.9534E-02
 8.2919E+00  1.2047E+00   3.0021E-02
 8.3056E+00  1.2014E+00   3.0524E-02
 8.3195E+00  1.1982E+00   3.1042E-02
 8.3333E+00  1.1948E+00   3.1576E-02
 8.3473E+00  1.1914E+00   3.2127E-02
 8.3612E+00  1.1880E+00   3.2695E-02
 8.3752E+00  1.1845E+00   3.3282E-02
 8.3893E+00  1.1809E+00   3.3888E-02
 8.4034E+00  1.1773E+00   3.4514E-02
 8.4175E+00  1.1737E+00   3.5162E-02
 8.4317E+00  1.1699E+00   3.5832E-02
 8.4459E+00  1.1661E+00   3.6527E-02
 8.4602E+00  1.1623E+00   3.7246E-02
 8.4746E+00  1.1584E+00   3.7991E-02
 8.4890E+00  1.1544E+00   3.8764E-02
 8.5034E+00  1.1503E+00   3.9567E-02
 8.5179E+00  1.1462E+00   4.0401E-02
 8.5324E+00  1.1420E+00   4.1267E-02
 8.5470E+00  1.1377E+00   4.2169E-02
 8.5616E+00  1.1334E+00   4.3107E-02
 8.5763E+00  1.1290E+00   4.4085E-02
 8.5911E+00  1.1245E+00   4.5105E-02
 8.6059E+00  1.1199E+00   4.6168E-02
 8.6207E+00  1.1152E+00   4.7279E-02
 8.6356E+00  1.1105E+00   4.8441E-02
 8.6505E+00  1.1056E+00   4.9655E-02
 8.6655E+00  1.1007E+00   5.0927E-02
 8.6806E+00  1.0957E+00   5.2260E-02
 8.6957E+00  1.0906E+00   5.3657E-02
 8.7108E+00  1.0854E+00   5.5124E-02
 8.7260E+00  1.0800E+00   5.6665E-02
 8.7413E+00  1.0746E+00   5.8286E-02
 8.7566E+00  1.0691E+00   5.9992E-02
 8.7719E+00  1.0635E+00   6.1788E-02
 8.7873E+00  1.0578E+00   6.3682E-02
