from Pollack et al., ApJ, 421, 615-639, 1994
optical constants of OLIVINE
      wavelength       real         imaginary
      (microns)        index          index
      1.0332E-01     1.6471E+00     9.4811E-01
      1.1290E-01     1.7682E+00     7.8492E-01
      1.2433E-01     1.8895E+00     6.8543E-01
      1.3802E-01     1.8835E+00     6.0220E-01
      1.4661E-01     2.0772E+00     7.4488E-01
      1.5176E-01     2.2554E+00     5.3474E-01
      1.5634E-01     2.2206E+00     3.3655E-01
      1.7781E-01     2.0042E+00     1.3202E-01
      1.9179E-01     1.9342E+00     7.3675E-02
      2.0680E-01     1.8671E+00     4.1533E-02
      2.2741E-01     1.8186E+00     2.4476E-02
      2.5188E-01     1.7860E+00     2.5175E-02
      3.1335E-01     1.7322E+00     1.7887E-02
      4.0000E-01     1.6899E+00     2.6600E-04
      4.5000E-01     1.6655E+00     2.1900E-04
      5.0230E-01     1.6400E+00     1.6522E-04
      5.2799E-01     1.6399E+00     1.4370E-04
      5.6254E-01     1.6397E+00     1.2605E-04
      6.0504E-01     1.6395E+00     1.2396E-04
      6.4072E-01     1.6393E+00     1.3056E-04
      6.7452E-01     1.6391E+00     1.3197E-04
      7.1449E-01     1.6389E+00     1.5392E-04
      7.4469E-01     1.6388E+00     1.8306E-04
      7.7415E-01     1.6386E+00     2.3104E-04
      7.9806E-01     1.6385E+00     2.7449E-04
      8.2165E-01     1.6384E+00     3.1751E-04
      8.4924E-01     1.6383E+00     3.7481E-04
      8.7822E-01     1.6381E+00     4.2885E-04
      9.0632E-01     1.6380E+00     4.9308E-04
      9.3426E-01     1.6378E+00     5.7918E-04
      9.5357E-01     1.6377E+00     6.5058E-04
      9.6831E-01     1.6377E+00     7.3390E-04
      9.8182E-01     1.6376E+00     8.1290E-04
      9.9305E-01     1.6375E+00     8.8953E-04
      1.0056E+00     1.6375E+00     9.6788E-04
      1.0166E+00     1.6374E+00     1.0410E-03
      1.0252E+00     1.6374E+00     1.0863E-03
      1.0328E+00     1.6373E+00     1.1146E-03
      1.0550E+00     1.6372E+00     1.1479E-03
