Absorbance of Forsterite, GRR 418, San Carlos, AZ, R.T.
from George Rossman, Sample thickness is 1.1381 mm, 
oriented along the beta optic axis
Wave., nm  absorbance
 1990.90,   0.00000
 1973.50,   0.00090
 1954.60,   0.00120
 1861.70,   0.00400
 1833.00,   0.00600
 1810.20,   0.00770
 1788.80,   0.00890
 1774.90,   0.01030
 1634.00,   0.03230
 1618.30,   0.03760
 1603.90,   0.04360
 1588.10,   0.04980
 1572.60,   0.05850
 1555.90,   0.06930
 1540.50,   0.07820
 1527.60,   0.08870
 1513.90,   0.10180
 1498.80,   0.11710
 1485.40,   0.12870
 1464.50,   0.15100
 1452.20,   0.16740
 1438.70,   0.18680
 1426.20,   0.20570
 1410.50,   0.22570
 1395.80,   0.24690
 1383.00,   0.26610
 1370.60,   0.28560
 1358.80,   0.30500
 1344.40,   0.32890
 1330.50,   0.35160
 1314.00,   0.37850
 1299.10,   0.40290
 1283.50,   0.43070
 1210.20,   0.61870
 1200.20,   0.64480
 1185.70,   0.68730
 1169.80,   0.73150
 1156.10,   0.77050
 1144.20,   0.80050
 1134.90,   0.82110
 1124.30,   0.83910
 1119.10,   0.84830
 1113.10,   0.85660
 1106.10,   0.86430
 1099.30,   0.86770
 1093.40,   0.86770
 1088.30,   0.86600
 1081.80,   0.86220
 1075.80,   0.85540
 1067.80,   0.84450
 1060.90,   0.83040
 1054.80,   0.81340
 1046.70,   0.79270
 1037.90,   0.76720
 1028.60,   0.73010
 1017.70,   0.69110
 1006.60,   0.64500
  995.70,   0.60540
  985.70,   0.56390
  976.70,   0.52800
  966.90,   0.49090
  955.60,   0.46210
  946.70,   0.44040
  938.30,   0.42660
  933.80,   0.41900
  923.90,   0.40970
  915.00,   0.40310
  905.10,   0.39810
  884.30,   0.39480
  868.30,   0.39120
  856.90,   0.38460
  843.30,   0.37240
  834.60,   0.36080
  826.20,   0.34670
  811.70,   0.32340
  802.20,   0.30160
  789.60,   0.27190
  779.10,   0.24920
  771.10,   0.23320
  764.60,   0.21490
  753.60,   0.18800
  738.00,   0.16380
  722.20,   0.14470
  704.80,   0.12800
  699.50,   0.12470
  696.40,   0.12250
  692.40,   0.11910
  688.50,   0.11680
  682.70,   0.11200
  681.10,   0.11040
  678.00,   0.10890
  673.80,   0.11020
  669.60,   0.11110
  665.40,   0.11080
  660.50,   0.11040
  656.30,   0.11040
  651.10,   0.11070
  645.20,   0.10960
  640.70,   0.10730
  636.40,   0.10670
  631.90,   0.10410
  628.40,   0.10140
  623.10,   0.09700
  618.20,   0.09190
  612.00,   0.08500
  606.80,   0.07980
  601.80,   0.07560
  595.90,   0.06940
  590.40,   0.06470
  583.30,   0.05890
  577.60,   0.05510
  571.80,   0.05190
  567.40,   0.04880
  564.00,   0.04780
  559.10,   0.04770
  553.50,   0.04870
  549.20,   0.05100
  545.10,   0.05450
  540.10,   0.05980
  536.30,   0.06420
  533.30,   0.06800
  529.20,   0.07290
  525.80,   0.07570
  522.10,   0.07650
  518.50,   0.07890
  515.20,   0.08190
  510.60,   0.08770
  506.90,   0.09460
  504.50,   0.10270
  502.80,   0.11050
  501.70,   0.11670
  500.50,   0.12490
  499.20,   0.13360
  498.50,   0.14100
  497.20,   0.15020
  495.90,   0.15620
  494.40,   0.16030
  493.00,   0.16190
  490.50,   0.16210
  488.90,   0.16130
  487.20,   0.15850
  486.10,   0.15600
  484.80,   0.15220
  483.30,   0.14840
  481.80,   0.14660
  480.20,   0.14770
  479.10,   0.14970
  478.60,   0.15220
  477.80,   0.15640
  476.30,   0.16330
  475.10,   0.16810
  473.60,   0.17470
  472.20,   0.18120
  470.40,   0.18390
  468.20,   0.18450
  465.40,   0.18500
  463.10,   0.18630
  462.10,   0.18850
  459.60,   0.19370
  457.30,   0.19840
  455.60,   0.20410
  452.80,   0.20900
  451.60,   0.20890
  450.40,   0.20770
  448.90,   0.20480
  447.80,   0.20280
  446.60,   0.19930
  445.00,   0.19640
  443.20,   0.19600
  441.50,   0.19710
  439.10,   0.20210
  437.90,   0.20510
  435.20,   0.20840
  433.30,   0.20910
  428.10,   0.21070
  426.90,   0.21050
  424.20,   0.20950
  421.20,   0.20890
  419.50,   0.20950
  416.70,   0.21170
  413.90,   0.21600
  411.80,   0.21950
  409.70,   0.22470
  407.40,   0.23390
  405.20,   0.24770
  404.60,   0.25910
  403.60,   0.26930
  401.40,   0.27860
  400.60,   0.27810
  399.30,   0.27580
  396.70,   0.27790
  395.10,   0.28280
  392.10,   0.28910
  390.50,   0.29540
  389.10,   0.30300
  386.40,   0.31280
  383.10,   0.32160
  380.20,   0.32900
  377.10,   0.33990
  374.10,   0.35090
  371.80,   0.36520
  369.60,   0.38040
  367.30,   0.40210
  364.00,   0.44220
  360.90,   0.49340
  358.80,   0.53540
  356.20,   0.59940
  354.10,   0.66310
  352.90,   0.70590
  351.20,   0.76540
  350.00,   0.82520
  348.50,   0.87720
  347.50,   0.92520
  346.80,   0.96420
