Kaolinite powder pellet
from Roush, Pollack, and Orenberg, Icarus, 94, 191-208, 1991
  Wave.   real   imag.
  (um)   index  index
  5.000  1.362  0.001
  5.010  1.362  0.001
  5.020  1.362  0.001
  5.030  1.361  0.001
  5.040  1.361  0.001
  5.050  1.360  0.001
  5.061  1.360  0.001
  5.071  1.360  0.001
  5.081  1.359  0.001
  5.092  1.359  0.001
  5.102  1.358  0.001
  5.113  1.358  0.001
  5.123  1.357  0.001
  5.134  1.357  0.001
  5.144  1.357  0.001
  5.155  1.356  0.001
  5.165  1.356  0.001
  5.176  1.355  0.001
  5.187  1.355  0.001
  5.198  1.354  0.001
  5.208  1.354  0.001
  5.219  1.353  0.001
  5.230  1.353  0.001
  5.241  1.352  0.001
  5.252  1.352  0.001
  5.263  1.351  0.001
  5.274  1.351  0.001
  5.285  1.350  0.001
  5.297  1.350  0.001
  5.308  1.349  0.001
  5.319  1.349  0.001
  5.331  1.348  0.001
  5.342  1.348  0.001
  5.353  1.347  0.001
  5.365  1.347  0.001
  5.376  1.346  0.001
  5.388  1.346  0.002
  5.400  1.345  0.002
  5.411  1.345  0.002
  5.423  1.344  0.002
  5.435  1.343  0.002
  5.447  1.343  0.002
  5.458  1.342  0.002
  5.470  1.342  0.002
  5.483  1.341  0.002
  5.495  1.340  0.002
  5.507  1.340  0.002
  5.519  1.339  0.002
  5.531  1.339  0.002
  5.543  1.338  0.002
  5.556  1.337  0.002
  5.568  1.337  0.002
  5.580  1.336  0.002
  5.593  1.336  0.002
  5.605  1.335  0.002
  5.618  1.334  0.002
  5.631  1.334  0.002
  5.643  1.333  0.002
  5.656  1.332  0.002
  5.669  1.332  0.002
  5.682  1.331  0.002
  5.695  1.330  0.002
  5.708  1.329  0.002
  5.721  1.329  0.002
  5.734  1.328  0.002
  5.747  1.327  0.002
  5.760  1.327  0.002
  5.774  1.326  0.002
  5.787  1.325  0.002
  5.800  1.324  0.002
  5.814  1.324  0.002
  5.827  1.323  0.002
  5.841  1.322  0.002
  5.855  1.321  0.002
  5.869  1.320  0.002
  5.882  1.319  0.002
  5.896  1.319  0.002
  5.910  1.318  0.002
  5.924  1.317  0.002
  5.938  1.316  0.002
  5.952  1.315  0.002
  5.967  1.314  0.002
  5.981  1.314  0.002
  5.995  1.313  0.002
  6.010  1.312  0.003
  6.024  1.311  0.003
  6.039  1.310  0.003
  6.053  1.309  0.003
  6.068  1.308  0.003
  6.083  1.307  0.003
  6.098  1.306  0.003
  6.113  1.305  0.003
  6.128  1.304  0.003
  6.142  1.303  0.003
  6.158  1.302  0.003
  6.173  1.301  0.003
  6.188  1.300  0.003
  6.203  1.299  0.003
  6.219  1.298  0.003
  6.234  1.297  0.003
  6.250  1.296  0.003
  6.266  1.294  0.003
  6.281  1.293  0.003
  6.297  1.292  0.003
  6.313  1.291  0.003
  6.329  1.290  0.003
  6.345  1.288  0.003
  6.361  1.287  0.003
  6.378  1.286  0.003
  6.394  1.285  0.003
  6.410  1.283  0.004
  6.427  1.282  0.004
  6.443  1.281  0.004
  6.460  1.279  0.004
  6.477  1.278  0.004
  6.494  1.277  0.004
  6.510  1.275  0.004
  6.527  1.274  0.004
  6.544  1.272  0.004
  6.562  1.271  0.004
  6.579  1.269  0.004
  6.596  1.268  0.004
  6.614  1.266  0.004
  6.631  1.265  0.004
  6.649  1.263  0.004
  6.667  1.262  0.004
  6.685  1.260  0.005
  6.702  1.258  0.005
  6.720  1.256  0.005
  6.739  1.255  0.005
  6.757  1.253  0.005
  6.775  1.251  0.005
  6.793  1.249  0.005
  6.812  1.247  0.005
  6.831  1.245  0.005
  6.849  1.244  0.005
  6.868  1.242  0.005
  6.887  1.240  0.005
  6.906  1.237  0.006
  6.925  1.235  0.006
  6.944  1.233  0.006
  6.964  1.231  0.006
  6.983  1.229  0.006
  7.003  1.227  0.006
  7.023  1.224  0.006
  7.042  1.222  0.006
  7.062  1.220  0.006
  7.082  1.217  0.007
  7.102  1.215  0.007
  7.122  1.212  0.007
  7.143  1.210  0.007
  7.163  1.207  0.007
  7.184  1.204  0.007
  7.205  1.201  0.008
  7.225  1.199  0.008
  7.246  1.196  0.008
  7.267  1.193  0.008
  7.289  1.190  0.008
  7.310  1.187  0.008
  7.331  1.183  0.009
  7.353  1.180  0.009
  7.375  1.177  0.009
  7.396  1.173  0.009
  7.418  1.170  0.010
  7.440  1.166  0.010
  7.463  1.163  0.010
  7.485  1.159  0.010
  7.508  1.155  0.011
  7.530  1.151  0.011
  7.553  1.147  0.011
  7.576  1.142  0.012
  7.599  1.138  0.012
  7.622  1.133  0.012
  7.645  1.129  0.013
  7.669  1.124  0.013
  7.692  1.119  0.013
  7.716  1.114  0.014
  7.740  1.109  0.014
  7.764  1.103  0.015
  7.788  1.098  0.015
  7.813  1.092  0.016
  7.837  1.086  0.016
  7.862  1.080  0.017
  7.886  1.073  0.018
  7.911  1.066  0.018
  7.937  1.059  0.019
  7.962  1.052  0.020
  7.987  1.045  0.021
  8.013  1.037  0.021
  8.039  1.029  0.022
  8.064  1.020  0.023
  8.091  1.011  0.024
  8.117  1.002  0.026
  8.143  0.992  0.027
  8.170  0.981  0.028
  8.197  0.971  0.030
  8.224  0.959  0.031
  8.251  0.947  0.033
  8.278  0.934  0.035
  8.306  0.921  0.038
  8.333  0.906  0.040
  8.361  0.891  0.043
  8.389  0.874  0.046
  8.417  0.857  0.050
  8.446  0.837  0.054
  8.475  0.817  0.059
  8.503  0.794  0.064
  8.532  0.770  0.071
  8.562  0.743  0.079
  8.591  0.713  0.089
  8.621  0.680  0.102
  8.651  0.643  0.119
  8.681  0.601  0.142
  8.711  0.555  0.174
  8.741  0.506  0.220
  8.772  0.461  0.287
  8.803  0.433  0.374
  8.834  0.436  0.475
  8.865  0.479  0.572
  8.897  0.567  0.636
  8.929  0.669  0.628
  8.961  0.718  0.553
  8.993  0.685  0.478
  9.025  0.606  0.448
  9.058  0.514  0.466
  9.091  0.431  0.525
  9.124  0.370  0.611
  9.158  0.332  0.708
  9.191  0.312  0.809
  9.225  0.305  0.911
  9.259  0.308  1.015
  9.294  0.320  1.122
  9.328  0.340  1.233
  9.363  0.370  1.351
  9.399  0.411  1.478
  9.434  0.469  1.615
  9.470  0.549  1.765
  9.506  0.662  1.927
  9.542  0.825  2.099
  9.578  1.062  2.263
  9.615  1.397  2.374
  9.653  1.813  2.342
  9.690  2.184  2.100
  9.728  2.350  1.736
  9.766  2.304  1.436
  9.804  2.158  1.311
  9.842  2.065  1.396
  9.881  2.252  1.582
  9.921  2.692  1.442
  9.960  2.840  0.979
 10.000  2.714  0.640
 10.040  2.544  0.454
 10.081  2.393  0.348
 10.121  2.266  0.284
 10.163  2.157  0.243
 10.204  2.062  0.215
 10.246  1.975  0.198
 10.288  1.894  0.189
 10.331  1.817  0.188
 10.373  1.740  0.195
 10.417  1.661  0.215
 10.460  1.580  0.254
 10.504  1.503  0.325
 10.549  1.454  0.443
 10.593  1.494  0.585
 10.638  1.617  0.638
 10.684  1.676  0.586
 10.730  1.637  0.574
 10.776  1.615  0.662
 10.823  1.701  0.761
 10.870  1.803  0.794
 10.917  1.954  0.856
 10.965  2.217  0.748
 11.013  2.289  0.483
 11.062  2.218  0.305
 11.111  2.131  0.210
 11.161  2.056  0.157
 11.211  1.994  0.124
 11.261  1.942  0.103
 11.312  1.898  0.089
 11.364  1.860  0.078
 11.416  1.827  0.071
 11.468  1.796  0.065
 11.521  1.769  0.060
 11.574  1.744  0.056
 11.628  1.720  0.053
 11.682  1.698  0.051
 11.737  1.677  0.050
 11.792  1.657  0.048
 11.848  1.637  0.048
 11.905  1.619  0.047
 11.962  1.600  0.047
 12.019  1.582  0.048
 12.077  1.563  0.049
 12.136  1.545  0.051
 12.195  1.526  0.054
 12.255  1.506  0.058
 12.315  1.486  0.065
 12.376  1.465  0.076
 12.438  1.446  0.095
 12.500  1.435  0.124
 12.563  1.447  0.156
 12.626  1.481  0.160
 12.690  1.497  0.134
 12.755  1.487  0.107
 12.821  1.467  0.091
 12.887  1.443  0.084
 12.953  1.419  0.083
 13.021  1.396  0.087
 13.089  1.373  0.098
 13.158  1.355  0.116
 13.228  1.347  0.140
 13.298  1.359  0.159
 13.369  1.377  0.154
 13.441  1.377  0.133
 13.514  1.361  0.116
 13.587  1.339  0.106
 13.661  1.314  0.102
 13.736  1.289  0.103
 13.812  1.264  0.107
 13.889  1.239  0.113
 13.966  1.213  0.122
 14.045  1.187  0.135
 14.124  1.161  0.151
 14.205  1.136  0.171
 14.286  1.113  0.195
 14.368  1.093  0.225
 14.451  1.080  0.258
 14.535  1.076  0.293
 14.620  1.081  0.323
 14.706  1.092  0.343
 14.793  1.103  0.350
 14.881  1.105  0.347
 14.970  1.094  0.341
 15.060  1.070  0.340
 15.152  1.037  0.350
 15.244  1.003  0.375
 15.337  0.979  0.417
 15.432  0.980  0.459
 15.528  0.995  0.472
 15.625  0.983  0.460
 15.723  0.938  0.460
 15.823  0.882  0.486
 15.924  0.828  0.535
 16.026  0.784  0.603
 16.129  0.755  0.682
 16.234  0.742  0.768
 16.340  0.745  0.855
 16.447  0.760  0.939
 16.556  0.786  1.016
 16.667  0.818  1.086
 16.779  0.851  1.149
 16.892  0.881  1.207
 17.007  0.904  1.268
 17.123  0.924  1.339
 17.241  0.948  1.428
 17.361  0.987  1.535
 17.483  1.054  1.656
 17.606  1.159  1.779
 17.731  1.304  1.884
 17.857  1.476  1.951
 17.986  1.643  1.976
 18.116  1.783  1.998
 18.248  1.938  2.075
 18.382  2.234  2.179
 18.519  2.715  2.086
 18.657  3.071  1.645
 18.797  3.087  1.161
 18.939  2.936  0.834
 19.084  2.757  0.637
 19.231  2.590  0.519
 19.380  2.439  0.446
 19.531  2.300  0.403
 19.685  2.168  0.383
 19.841  2.039  0.384
 20.000  1.908  0.407
 20.161  1.770  0.462
 20.325  1.626  0.564
 20.492  1.493  0.743
 20.661  1.423  1.023
 20.833  1.505  1.382
 21.008  1.820  1.717
 21.186  2.368  1.818
 21.368  2.853  1.503
 21.552  2.973  1.047
 21.739  2.868  0.732
 21.930  2.709  0.561
 22.124  2.551  0.485
 22.321  2.405  0.478
 22.523  2.280  0.541
 22.727  2.210  0.685
 22.936  2.279  0.885
 23.148  2.535  0.986
 23.364  2.798  0.844
 23.585  2.879  0.601
 23.810  2.839  0.415
 24.038  2.765  0.298
 24.272  2.691  0.224
 24.510  2.625  0.177
 24.752  2.569  0.144
 25.000  2.520  0.121
