Montmorillonite powder pellet
from Roush, Pollack, and Orenberg, Icarus, 94, 191-208, 1991
  Wave.   real   imag.
  (um)   index  index
  5.000  1.336  0.002
  5.010  1.335  0.002
  5.020  1.335  0.002
  5.030  1.335  0.002
  5.040  1.334  0.002
  5.050  1.334  0.002
  5.061  1.333  0.002
  5.071  1.333  0.002
  5.081  1.333  0.002
  5.092  1.332  0.002
  5.102  1.332  0.002
  5.113  1.332  0.002
  5.123  1.331  0.002
  5.134  1.331  0.002
  5.144  1.330  0.002
  5.155  1.330  0.002
  5.165  1.329  0.002
  5.176  1.329  0.002
  5.187  1.329  0.002
  5.198  1.328  0.002
  5.208  1.328  0.002
  5.219  1.327  0.002
  5.230  1.327  0.002
  5.241  1.326  0.002
  5.252  1.326  0.002
  5.263  1.325  0.002
  5.274  1.325  0.002
  5.285  1.324  0.002
  5.297  1.324  0.002
  5.308  1.324  0.002
  5.319  1.323  0.002
  5.331  1.322  0.002
  5.342  1.322  0.002
  5.353  1.321  0.002
  5.365  1.321  0.002
  5.376  1.320  0.002
  5.388  1.320  0.002
  5.400  1.319  0.002
  5.411  1.319  0.002
  5.423  1.318  0.002
  5.435  1.318  0.002
  5.447  1.317  0.002
  5.458  1.317  0.002
  5.470  1.316  0.002
  5.483  1.316  0.002
  5.495  1.315  0.002
  5.507  1.314  0.002
  5.519  1.314  0.002
  5.531  1.313  0.003
  5.543  1.313  0.003
  5.556  1.312  0.003
  5.568  1.311  0.003
  5.580  1.311  0.003
  5.593  1.310  0.003
  5.605  1.309  0.003
  5.618  1.309  0.003
  5.631  1.308  0.003
  5.643  1.308  0.003
  5.656  1.307  0.003
  5.669  1.306  0.003
  5.682  1.305  0.003
  5.695  1.305  0.003
  5.708  1.304  0.003
  5.721  1.303  0.003
  5.734  1.302  0.003
  5.747  1.302  0.003
  5.760  1.301  0.003
  5.774  1.300  0.003
  5.787  1.299  0.003
  5.800  1.298  0.003
  5.814  1.298  0.003
  5.827  1.297  0.003
  5.841  1.296  0.003
  5.855  1.295  0.004
  5.869  1.294  0.004
  5.882  1.293  0.004
  5.896  1.292  0.004
  5.910  1.291  0.004
  5.924  1.290  0.004
  5.938  1.289  0.004
  5.952  1.288  0.004
  5.967  1.287  0.004
  5.981  1.285  0.005
  5.995  1.284  0.005
  6.010  1.282  0.005
