Montmorillonite 219B from Toon, Pollack, and Sagan, Icarus, 30, 663-696,
1977.
    Wavelength Frequency    Real      Imaginary
     (micron)   (cm^-1)     Index       Index
     5.00000    2000.00    1.42000    5.00000E-03
     5.56000    1800.00    1.37000    8.00000E-03
     6.25000    1600.00    1.32000    1.00000E-02
     7.14000    1400.00    1.20000    4.00000E-02
     7.25000    1380.00    1.19000    4.00000E-02
     7.35000    1360.00    1.17000    5.00000E-02
     7.46000    1340.00    1.14000    6.00000E-02
     7.58000    1320.00    1.11000    7.00000E-02
     7.69000    1300.00    1.08000    9.00000E-02
     7.81000    1280.00    1.05000   0.110000
     7.94000    1260.00    1.00000   0.140000
     8.00000    1250.00   0.950000   0.160000
     8.07000    1240.00   0.870000   0.190000
     8.13000    1230.00   0.860000   0.230000
     8.20000    1220.00   0.820000   0.260000
     8.26000    1210.00   0.770000   0.310000
     8.33000    1200.00   0.720000   0.370000
     8.40000    1190.00   0.680000   0.480000
     8.48000    1180.00   0.710000   0.590000
     8.55000    1170.00   0.740000   0.640000
     8.62000    1160.00   0.740000   0.700000
     8.70000    1150.00   0.730000   0.800000
     8.77000    1140.00   0.770000   0.910000
     8.85000    1130.00   0.850000   0.980000
     8.93000    1120.00   0.910000    1.03000
     9.01000    1110.00   0.950000    1.04000
     9.09000    1100.00   0.920000    1.07000
     9.17000    1090.00   0.860000    1.21000
     9.26000    1080.00   0.860000    1.44000
     9.35000    1070.00    1.00000    1.77000
     9.40000    1060.00    1.39000    2.06000
     9.50000    1050.00    1.95000    2.02000
     9.60000    1040.00    2.32000    1.80000
     9.70000    1030.00    2.54000    1.48000
     9.80000    1020.00    2.69000    1.24000
     9.90000    1010.00    2.76000   0.880000
    10.00000   1000.000    2.78000   0.590000
    10.10000    990.000    2.51000   0.280000
    10.20000    980.000    2.37000   0.250000
    10.30000    970.000    2.25000   0.170000
    10.40000    960.000    2.12000   0.140000
    10.50000    950.000    2.05000   0.150000
     10.6000    940.000    1.98000   0.150000
     10.8000    930.000    1.91000   0.160000
     10.9000    920.000    1.90000   0.200000
     11.0000    910.000    1.90000   0.200000
     11.1000    900.000    1.90000   0.170000
     11.2000    890.000    1.84000   0.130000
     11.4000    880.000    1.84000   0.150000
     11.5000    870.000    1.85000   0.120000
     11.6000    860.000    1.79000    7.00000E-02
     11.7000    850.000    1.71000    8.00000E-02
     11.9000    840.000    1.71000   0.110000
     12.1000    830.000    1.71000    9.00000E-02
     12.2000    820.000    1.64000    5.00000E-02
     12.4000    810.000    1.57000    7.00000E-02
     12.5000    800.000    1.48000   0.140000
     12.7000    790.000    1.56000   0.280000
     12.8000    780.000    1.59000   0.230000
     13.0000    770.000    1.67000   0.240000
     13.2000    760.000    1.62000   0.160000
     13.3000    750.000    1.62000   0.160000
     13.5000    740.000    1.51000   0.120000
     13.7000    730.000    1.55000   0.160000
     13.9000    720.000    1.55000   0.150000
     14.1000    710.000    1.48000   0.120000
     14.3000    700.000    1.46000   0.170000
     14.5000    690.000    1.46000   0.190000
     14.7000    680.000    1.46000   0.180000
     14.9000    670.000    1.39000   0.150000
     15.2000    660.000    1.36000   0.200000
     15.4000    650.000    1.35000   0.210000
     15.6000    640.000    1.27000   0.180000
     15.9000    630.000    1.19000   0.250000
     16.1000    620.000    1.14000   0.350000
     16.4000    610.000    1.14000   0.410000
     16.7000    600.000    1.13000   0.470000
     17.0000    590.000    1.09000   0.520000
     17.2000    580.000    1.05000   0.640000
     17.5000    570.000    1.06000   0.720000
     17.9000    560.000    1.04000   0.890000
     18.2000    550.000    1.11000    1.02000
     18.5000    540.000    1.18000    1.21000
     18.9000    530.000    1.39000    1.38000
     19.2000    520.000    1.75000    1.42000
     19.6000    510.000    1.94000    1.03000
     20.0000    500.000    1.68000   0.850000
     20.4000    490.000    1.45000    1.07000
     20.8000    480.000    1.45000    1.55000
     21.3000    470.000    1.92000    1.92000
     21.7000    460.000    2.72000    1.70000
     22.2000    450.000    2.93000    1.14000
     22.7000    440.000    2.90000   0.830000
     23.3000    430.000    2.80000   0.540000
     23.8000    420.000    2.63000   0.370000
     24.4000    410.000    2.50000   0.300000
     25.0000    400.000    2.29000   0.300000
     25.6000    390.000    2.38000   0.440000
     26.3000    380.000    2.27000   0.330000
     27.0000    370.000    2.38000   0.430000
     27.8000    360.000    2.37000   0.270000
     28.6000    350.000    2.23000   0.240000
     29.4000    340.000    2.27000   0.350000
     30.3000    330.000    2.35000   0.310000
     31.3000    320.000    2.31000   0.210000
     32.3000    310.000    2.31000   0.190000
     33.3000    300.000    2.25000   0.150000
     34.5000    290.000    2.25000   0.150000
     35.7000    280.000    2.19000   0.120000
     37.0000    270.000    2.18000   0.150000
     38.5000    260.000    2.18000   0.150000
     40.0000    250.000    2.18000   0.140000
