Montmorillonite 222B from Toon, Pollack, and Sagan, Icarus, 
30, 663-696, 1977.
    Wavelength Frequency    Real      Imaginary
     (micron)   (cm^-1)     Index       Index
     5.00000    2000.00    1.37000    4.00000E-03
     5.56000    1800.00    1.32000    7.00000E-03
     6.25000    1600.00    1.31000    1.00000E-02
     7.14000    1400.00    1.25000    3.00000E-02
     7.25000    1380.00    1.23000    3.00000E-02
     7.35000    1360.00    1.22000    4.00000E-02
     7.46000    1340.00    1.21000    4.00000E-02
     7.58000    1320.00    1.19000    5.00000E-02
     7.69000    1300.00    1.17000    5.00000E-02
     7.81000    1280.00    1.15000    6.00000E-02
     7.94000    1260.00    1.13000    8.00000E-02
     8.00000    1250.00    1.12000    9.00000E-02
     8.07000    1240.00    1.11000   0.110000
     8.13000    1230.00    1.07000   0.120000
     8.20000    1220.00    1.04000   0.140000
     8.26000    1210.00    1.01000   0.140000
     8.33000    1200.00   0.970000   0.140000
     8.40000    1190.00   0.890000   0.150000
     8.48000    1180.00   0.790000   0.230000
     8.55000    1170.00   0.790000   0.300000
     8.62000    1160.00   0.720000   0.370000
     8.70000    1150.00   0.690000   0.490000
     8.77000    1140.00   0.700000   0.640000
     8.85000    1130.00   0.800000   0.750000
     8.93000    1120.00   0.980000   0.760000
     9.01000    1110.00   0.890000   0.690000
     9.09000    1100.00   0.740000   0.790000
     9.17000    1090.00   0.710000   0.990000
     9.26000    1080.00   0.780000    1.22000
     9.35000    1070.00   0.930000    1.45000
     9.40000    1060.00    1.19000    1.62000
     9.50000    1050.00    1.55000    1.70000
     9.60000    1040.00    1.92000    1.56000
     9.70000    1030.00    2.14000    1.37000
     9.80000    1020.00    2.28000    1.11000
     9.90000    1010.00    2.35000   0.910000
    10.00000   1000.000    2.40000   0.660000
    10.10000    990.000    2.25000   0.400000
    10.20000    980.000    2.12000   0.340000
    10.30000    970.000    2.07000   0.300000
    10.40000    960.000    1.96000   0.220000
    10.50000    950.000    1.89000   0.220000
     10.6000    940.000    1.82000   0.220000
     10.8000    930.000    1.81000   0.240000
     10.9000    920.000    1.74000   0.230000
     11.0000    910.000    1.79000   0.290000
     11.1000    900.000    1.82000   0.230000
     11.2000    890.000    1.77000   0.160000
     11.4000    880.000    1.70000   0.160000
     11.5000    870.000    1.68000   0.200000
     11.6000    860.000    1.69000   0.190000
     11.7000    850.000    1.69000   0.190000
     11.9000    840.000    1.69000   0.160000
     12.1000    830.000    1.66000   0.150000
     12.2000    820.000    1.63000   0.150000
     12.4000    810.000    1.63000   0.130000
     12.5000    800.000    1.63000    1.00000E-01
     12.7000    790.000    1.57000   0.140000
     12.8000    780.000    1.55000   0.140000
     13.0000    770.000    1.55000   0.110000
     13.2000    760.000    1.56000    8.00000E-02
     13.3000    750.000    1.49000    1.00000E-01
     13.5000    740.000    1.41000    9.00000E-02
     13.7000    730.000    1.31000   0.140000
     13.9000    720.000    1.38000   0.160000
     14.1000    710.000    1.37000   0.180000
     14.3000    700.000    1.37000   0.190000
     14.5000    690.000    1.37000   0.180000
     14.7000    680.000    1.29000   0.140000
     14.9000    670.000    1.25000   0.200000
     15.2000    660.000    1.22000   0.220000
     15.4000    650.000    1.19000   0.250000
     15.6000    640.000    1.14000   0.270000
     15.9000    630.000    1.09000   0.360000
     16.1000    620.000    1.08000   0.420000
     16.4000    610.000    1.07000   0.470000
     16.7000    600.000    1.05000   0.520000
     17.0000    590.000    1.00000   0.590000
     17.2000    580.000   0.980000   0.730000
     17.5000    570.000    1.02000   0.850000
     17.9000    560.000    1.06000   0.960000
     18.2000    550.000    1.12000    1.08000
     18.5000    540.000    1.22000    1.26000
     18.9000    530.000    1.46000    1.40000
     19.2000    520.000    1.80000    1.33000
     19.6000    510.000    1.91000   0.980000
     20.0000    500.000    1.68000   0.800000
     20.4000    490.000    1.46000   0.990000
     20.8000    480.000    1.45000    1.35000
     21.3000    470.000    1.81000    1.71000
     21.7000    460.000    2.45000    1.58000
     22.2000    450.000    2.64000    1.10000
     22.7000    440.000    2.58000   0.870000
     23.3000    430.000    2.53000   0.720000
     23.8000    420.000    2.51000   0.630000
     24.4000    410.000    2.50000   0.510000
     25.0000    400.000    2.40000   0.390000
     25.6000    390.000    2.33000   0.370000
     26.3000    380.000    2.27000   0.330000
     27.0000    370.000    2.20000   0.320000
     27.8000    360.000    2.20000   0.340000
     28.6000    350.000    2.13000   0.340000
     29.4000    340.000    2.16000   0.420000
     30.3000    330.000    2.24000   0.410000
     31.3000    320.000    2.27000   0.330000
     32.3000    310.000    2.22000   0.270000
     33.3000    300.000    2.22000   0.280000
     34.5000    290.000    2.23000   0.260000
     35.7000    280.000    2.24000   0.210000
     37.0000    270.000    2.18000   0.170000
     38.5000    260.000    2.17000   0.190000
     40.0000    250.000    2.18000   0.160000
