#Wyoming Montmorillonite - subtractive K-K analysis of imaginary
#index data from Roush 2005, Icarus 179, 259-264 (0.66-25 microns)
#and Egan & Hilgeman 1979, Optical Properties of Inhomogeneous
#Materials: Applications to Geology, Astronomy, Chemistry, and
#Engineering, Academic Press, San Diego, CA, 235 pp.
#(0.18-0.56 microns), to determine the real index.  The
#subtractive K-K analysis assumed n=1.405 at 0.589 microns.
#      wavelength       frequency          real       imaginary
#       (microns)        (cm-1)           index        index
      0.18500000       54054.055       1.4030499    0.0019055000
      0.19000000       52631.578       1.4037200    0.0016595999
      0.20000000       50000.000       1.4039700    0.0020893000
      0.20999999       47619.047       1.4039800    0.0021877999
      0.21500000       46511.629       1.4048200    0.0022386999
      0.22000000       45454.547       1.4050300    0.0025704000
      0.22499999       44444.445       1.4056600    0.0020417001
      0.23300000       42918.453       1.4052000    0.0019497999
      0.23999999       41666.668       1.4063100    0.0019055000
      0.25999999       38461.539       1.4058900    0.0011749000
      0.28000000       35714.285       1.4059300   0.00083176000
      0.30000001       33333.332       1.4059200   0.00058883999
      0.32499999       30769.230       1.4058200   0.00046774000
      0.36000001       27777.777       1.4055400   0.00035481001
      0.37000000       27027.027       1.4058700   0.00025119001
      0.40000001       25000.000       1.4055700   0.00020417001
      0.43300000       23094.688       1.4054500   0.00012303000
      0.46599999       21459.227       1.4053400   0.00010715000
      0.50000000       20000.000       1.4052300  5.2480998e-005
      0.53299999       18761.727       1.4051100  4.2658001e-005
      0.56599998       17667.846       1.4050100  3.3884000e-005
      0.66119999       15124.017       1.4046600  2.7802000e-005
      0.67309999       14856.633       1.4046600  2.7709000e-005
      0.68500000       14598.540       1.4046000  2.6870999e-005
      0.69700003       14347.202       1.4045500  2.8162000e-005
      0.70899999       14104.372       1.4045100  2.7454000e-005
      0.72100002       13869.626       1.4044600  2.8185999e-005
      0.73310000       13640.704       1.4044200  2.8275001e-005
      0.74519998       13419.216       1.4043700  2.8562999e-005
      0.75739998       13203.063       1.4043300  2.8582001e-005
      0.76959997       12993.763       1.4042799  2.8970000e-005
      0.78179997       12790.995       1.4042300  2.8983000e-005
      0.79400003       12594.458       1.4041800  2.9803001e-005
      0.80629998       12402.332       1.4041400  3.0171999e-005
      0.81849998       12217.471       1.4040900  3.0875999e-005
      0.83080000       12036.591       1.4040400  3.1176001e-005
      0.84310001       11860.989       1.4039900  3.1783999e-005
      0.85540003       11690.437       1.4039400  3.2532000e-005
      0.86780000       11523.392       1.4038800  3.2395001e-005
      0.88010001       11362.345       1.4038301  3.3470998e-005
      0.89240003       11205.737       1.4037800  3.3425000e-005
      0.90480000       11052.166       1.4037200  3.4005003e-005
      0.91710001       10903.936       1.4036700  3.4408000e-005
      0.92949998       10758.472       1.4036100  3.4913999e-005
      0.94180000       10617.966       1.4035600  3.4556000e-005
      0.95420003       10479.983       1.4035000  3.4831999e-005
      0.96649998       10346.611       1.4034400  3.5865000e-005
      0.97890002       10215.548       1.4033800  3.6070000e-005
      0.99119997       10088.781       1.4033300  3.6024001e-005
       1.0036000       9964.1289       1.4032700  3.6484002e-005
       1.0160000       9842.5195       1.4032000  3.6394002e-005
       1.0283000       9724.7881       1.4031399  3.7534999e-005
       1.0407000       9608.9170       1.4030800  3.8348000e-005
       1.0530000       9496.6758       1.4030200  3.8233000e-005
       1.0654000       9386.1465       1.4029599  3.7867001e-005
       1.0778000       9278.1592       1.4028900  3.8047001e-005
       1.0901000       9173.4697       1.4028300  3.8327002e-005
       1.1025000       9070.2949       1.4027600  3.8744001e-005
       1.1149000       8969.4141       1.4026901  3.9598999e-005
       1.1273000       8870.7529       1.4026200  3.9847000e-005
       1.1397001       8774.2393       1.4025500  4.0446001e-005
       1.1521000       8679.8018       1.4024900  4.0663999e-005
       1.1646000       8586.6387       1.4024100  4.1671999e-005
       1.1770000       8496.1768       1.4023401  4.0907998e-005
       1.1895000       8406.8936       1.4022700  4.1210998e-005
       1.2020000       8319.4678       1.4022000  4.1284999e-005
       1.2146000       8233.1631       1.4021200  4.1266001e-005
       1.2271000       8149.2949       1.4020500  4.1144001e-005
       1.2397000       8066.4678       1.4019700  4.1443000e-005
       1.2523000       7985.3071       1.4018900  4.1291001e-005
       1.2650000       7905.1382       1.4018101  4.1626001e-005
       1.2776999       7826.5630       1.4017299  4.2626001e-005
       1.2905000       7748.9351       1.4016500  4.3491000e-005
       1.3034000       7672.2422       1.4015700  4.3855998e-005
       1.3276000       7532.3892       1.4014000  4.6484001e-005
       1.3477000       7420.0488       1.4012700  4.7972000e-005
       1.3681999       7308.8730       1.4011300  5.2384999e-005
       1.3890001       7199.4238       1.4009800  6.4815998e-005
       1.4102000       7091.1929       1.4008400  7.5137999e-005
       1.4316000       6985.1909       1.4007000  6.9929003e-005
       1.4533000       6880.8921       1.4005400  6.3450003e-005
       1.4753000       6778.2822       1.4003800  6.0871000e-005
       1.4974999       6677.7959       1.4002100  5.7379999e-005
       1.5199000       6579.3799       1.4000400  5.6051998e-005
       1.5425000       6482.9819       1.3998600  5.5363998e-005
       1.5653000       6388.5518       1.3996800  5.5164001e-005
       1.5882000       6296.4360       1.3994900  5.4401000e-005
       1.6112000       6206.5542       1.3992900  5.3648000e-005
       1.6344000       6118.4531       1.3990901  5.5326000e-005
       1.6576999       6032.4551       1.3988900  5.5590001e-005
       1.6811000       5948.4858       1.3986800  5.4089000e-005
       1.7045000       5866.8232       1.3984700  5.4556000e-005
       1.7280000       5787.0371       1.3982500  5.6591001e-005
       1.7515000       5709.3921       1.3980200  5.9065002e-005
       1.7751000       5633.4849       1.3977900  6.0824001e-005
       1.7986000       5559.8799       1.3975600  6.2558000e-005
       1.8221999       5487.8721       1.3973200  6.5170003e-005
       1.8458000       5417.7051       1.3970600  6.9078000e-005
       1.8693000       5349.5962       1.3968000  8.2391001e-005
       1.8928000       5283.1782       1.3965400   0.00014216000
       1.9162000       5218.6621       1.3963300   0.00022221000
       1.9396000       5155.7021       1.3961300   0.00019532000
       1.9629000       5094.5029       1.3958900   0.00016069000
       1.9862000       5034.7402       1.3956300   0.00013361000
       2.0093999       4976.6099       1.3953500   0.00011160000
       2.0323999       4920.2910       1.3950700   0.00010348000
       2.0553999       4865.2329       1.3947700  9.7989003e-005
       2.0783000       4811.6250       1.3944800  9.4718998e-005
       2.1010001       4759.6382       1.3941801  9.4837000e-005
       2.1236000       4708.9849       1.3938700  9.4206996e-005
       2.1461000       4659.6152       1.3935500  9.7955002e-005
       2.1684999       4611.4829       1.3932300   0.00010715000
       2.1907001       4564.7510       1.3929000   0.00012266000
       2.2128000       4519.1611       1.3925800   0.00015384999
       2.2347000       4474.8740       1.3922600   0.00013987000
       2.2565999       4431.4458       1.3919100   0.00012090000
       2.2781999       4389.4302       1.3915499   0.00011978000
       2.2997000       4348.3931       1.3911600   0.00012635000
       2.3210001       4308.4878       1.3907800   0.00014879000
       2.3422000       4269.4902       1.3903900   0.00017677000
       2.3633001       4231.3711       1.3899800   0.00020116000
       2.3842001       4194.2788       1.3895700   0.00022951000
       2.4049001       4158.1768       1.3891500   0.00025806000
       2.4254999       4122.8608       1.3887100   0.00029125001
       2.4459000       4088.4751       1.3882600   0.00032866999
       2.4663000       4054.6570       1.3876600   0.00036763001
       2.4777999       4035.8379       1.3876899   0.00038919001
       2.5160000       3974.5630       1.3865100   0.00042252001
       2.5541000       3915.2729       1.3853600   0.00049218000
       2.5922000       3857.7271       1.3839700   0.00059284002
       2.6301000       3802.1370       1.3821900   0.00066260999
       2.6679001       3748.2661       1.3796099   0.00084949000
       2.7058001       3695.7649       1.3756900    0.0021589999
       2.7435999       3644.8459       1.3724101    0.0096247001
       2.7815001       3595.1821       1.3785800     0.026962001
       2.8192999       3546.9800       1.3857599     0.015493000
       2.8571000       3500.0530       1.3854800     0.014226000
       2.8949001       3454.3511       1.3856900     0.015126000
       2.9326000       3409.9431       1.3870000     0.016179999
       2.9705000       3366.4370       1.3885400     0.015734000
       3.0084000       3324.0259       1.3906100     0.016112000
       3.0464001       3282.5630       1.3917600     0.012202000
       3.0843000       3242.2271       1.3917300     0.011518000
       3.1224000       3202.6650       1.3923301     0.010737000
       3.1605999       3163.9561       1.3925700    0.0080971997
       3.1989000       3126.0750       1.3918500    0.0060991002
       3.2372000       3089.0891       1.3908200    0.0047193002
       3.2757001       3052.7830       1.3896300    0.0035892001
       3.3143001       3017.2280       1.3884100    0.0028723001
       3.3529999       2982.4041       1.3872800    0.0022890000
       3.3919001       2948.2000       1.3860600    0.0015613000
       3.4310000       2914.6021       1.3847100    0.0011564000
       3.4702001       2881.6780       1.3834701    0.0010873000
       3.5095999       2849.3279       1.3823299   0.00094087003
       3.5492001       2817.5359       1.3812400   0.00090141001
       3.5890000       2786.2910       1.3801700   0.00075851998
       3.6291001       2755.5039       1.3791000   0.00073402998
       3.6693001       2725.3149       1.3780500   0.00064526999
       3.7097001       2695.6360       1.3769900   0.00062389002
