Data created using the Lorentz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  Data are for measurements perpendicular to the a and
b crystallographic axes, close to being parallel to the c
crystallographic axis.  These could be recalculated at any spectral 
resolution.  Range of validity is given as 1500-300 inverse centimeters.

high frq. dielec. const=  2.243
Lorentz line parameters
center  width  strength
1008.0  0.0393  0.0210
 972.7  0.0507  0.1500
 915.7  0.0519  0.3240
 821.8  0.0206  0.0670
 752.2  0.0358  0.0360
 519.5  0.0332  0.2070
 505.9  0.0512  0.4250
 347.3  0.0313  0.0420

 wave.    freq.   calc.       real       imag.
micron    (cm-1)  refl.       index     index
33.3333   300.0  0.1127       2.011     0.01702
33.1126   302.0  0.1133       2.014     0.01761
32.8947   304.0  0.1138       2.018     0.01826
32.6797   306.0  0.1144       2.022     0.01898
32.4675   308.0  0.1150       2.026     0.01977
32.2581   310.0  0.1157       2.031     0.02066
32.0513   312.0  0.1164       2.035     0.02166
31.8471   314.0  0.1171       2.040     0.02280
31.6456   316.0  0.1180       2.046     0.02412
31.4465   318.0  0.1188       2.052     0.02565
31.2500   320.0  0.1198       2.058     0.02746
31.0559   322.0  0.1208       2.065     0.02962
30.8642   324.0  0.1219       2.072     0.03226
30.6748   326.0  0.1232       2.081     0.03554
30.4878   328.0  0.1246       2.090     0.03969
30.3030   330.0  0.1262       2.101     0.04508
30.1205   332.0  0.1281       2.113     0.05227
29.9401   334.0  0.1302       2.127     0.06215
29.7619   336.0  0.1327       2.143     0.07619
29.5858   338.0  0.1356       2.160     0.09684
29.4118   340.0  0.1388       2.178      0.1282
29.2398   342.0  0.1418       2.190      0.1760
29.0698   344.0  0.1430       2.182      0.2445
28.9017   346.0  0.1386       2.125      0.3188
28.7356   348.0  0.1254       2.018      0.3470
28.5714   350.0  0.1091       1.923      0.3003
28.4091   352.0  0.0993       1.883      0.2255
28.2486   354.0  0.0967       1.883      0.1641
28.0899   356.0  0.0976       1.898      0.1227
27.9330   358.0  0.0997       1.916     0.09584
27.7778   360.0  0.1019       1.934     0.07826
27.6243   362.0  0.1041       1.950     0.06644
27.4725   364.0  0.1061       1.964     0.05830
27.3224   366.0  0.1080       1.977     0.05255
27.1739   368.0  0.1097       1.989     0.04844
27.0270   370.0  0.1112       1.999     0.04546
26.8817   372.0  0.1126       2.009     0.04331
26.7380   374.0  0.1140       2.018     0.04176
26.5957   376.0  0.1153       2.027     0.04067
26.4550   378.0  0.1165       2.035     0.03995
26.3158   380.0  0.1177       2.043     0.03950
26.1780   382.0  0.1188       2.051     0.03929
26.0417   384.0  0.1200       2.059     0.03927
25.9067   386.0  0.1211       2.066     0.03942
25.7732   388.0  0.1222       2.074     0.03971
25.6410   390.0  0.1233       2.081     0.04013
25.5102   392.0  0.1244       2.089     0.04066
25.3807   394.0  0.1255       2.096     0.04129
25.2525   396.0  0.1266       2.103     0.04203
25.1256   398.0  0.1277       2.111     0.04286
25.0000   400.0  0.1288       2.119     0.04379
24.8756   402.0  0.1300       2.126     0.04481
24.7525   404.0  0.1311       2.134     0.04592
24.6305   406.0  0.1323       2.142     0.04712
24.5098   408.0  0.1335       2.150     0.04842
24.3902   410.0  0.1348       2.159     0.04982
24.2718   412.0  0.1360       2.167     0.05132
24.1546   414.0  0.1373       2.176     0.05293
24.0385   416.0  0.1386       2.185     0.05465
23.9234   418.0  0.1400       2.194     0.05650
23.8095   420.0  0.1414       2.203     0.05847
23.6967   422.0  0.1429       2.213     0.06058
23.5849   424.0  0.1444       2.223     0.06284
23.4742   426.0  0.1459       2.234     0.06526
23.3645   428.0  0.1475       2.245     0.06785
23.2558   430.0  0.1492       2.256     0.07063
23.1481   432.0  0.1509       2.268     0.07361
23.0415   434.0  0.1527       2.280     0.07682
22.9358   436.0  0.1546       2.292     0.08027
22.8311   438.0  0.1565       2.306     0.08399
22.7273   440.0  0.1586       2.319     0.08800
22.6244   442.0  0.1607       2.334     0.09235
22.5225   444.0  0.1629       2.349     0.09706
22.4215   446.0  0.1652       2.364      0.1022
22.3214   448.0  0.1677       2.381      0.1077
22.2222   450.0  0.1702       2.398      0.1138
22.1239   452.0  0.1729       2.416      0.1204
22.0264   454.0  0.1757       2.435      0.1277
21.9298   456.0  0.1787       2.456      0.1357
21.8341   458.0  0.1819       2.477      0.1445
21.7391   460.0  0.1852       2.500      0.1543
21.6450   462.0  0.1887       2.524      0.1651
21.5517   464.0  0.1925       2.549      0.1772
21.4592   466.0  0.1965       2.576      0.1907
21.3675   468.0  0.2008       2.604      0.2059
21.2766   470.0  0.2053       2.635      0.2231
21.1864   472.0  0.2102       2.667      0.2425
21.0970   474.0  0.2154       2.702      0.2646
21.0084   476.0  0.2210       2.739      0.2900
20.9205   478.0  0.2271       2.778      0.3192
20.8333   480.0  0.2336       2.820      0.3530
20.7469   482.0  0.2406       2.865      0.3924
20.6612   484.0  0.2483       2.911      0.4385
20.5761   486.0  0.2565       2.960      0.4928
20.4918   488.0  0.2655       3.010      0.5571
20.4082   490.0  0.2752       3.061      0.6333
20.3252   492.0  0.2856       3.109      0.7236
20.2429   494.0  0.2967       3.152      0.8302
20.1613   496.0  0.3085       3.184      0.9547
20.0803   498.0  0.3207       3.200       1.097
20.0000   500.0  0.3330       3.191       1.253
19.9203   502.0  0.3448       3.150       1.416
19.8413   504.0  0.3553       3.075       1.573
19.7628   506.0  0.3641       2.970       1.709
19.6850   508.0  0.3709       2.851       1.816
19.6078   510.0  0.3763       2.734       1.895
19.5312   512.0  0.3825       2.633       1.964
19.4553   514.0  0.3920       2.544       2.044
19.3798   516.0  0.4071       2.445       2.151
19.3050   518.0  0.4275       2.302       2.276
19.2308   520.0  0.4507       2.097       2.383
19.1571   522.0  0.4726       1.848       2.430
19.0840   524.0  0.4899       1.597       2.404
19.0114   526.0  0.5014       1.376       2.322
18.9394   528.0  0.5071       1.194       2.208
18.8679   530.0  0.5075       1.050       2.080
18.7970   532.0  0.5032      0.9381       1.949
18.7266   534.0  0.4950      0.8505       1.820
18.6567   536.0  0.4831      0.7819       1.696
18.5874   538.0  0.4677      0.7283       1.577
18.5185   540.0  0.4491      0.6866       1.463
18.4502   542.0  0.4271      0.6548       1.354
18.3824   544.0  0.4017      0.6314       1.249
18.3150   546.0  0.3730      0.6156       1.148
18.2482   548.0  0.3411      0.6069       1.050
18.1818   550.0  0.3061      0.6052      0.9550
18.1159   552.0  0.2687      0.6104      0.8632
18.0505   554.0  0.2297      0.6229      0.7750
17.9856   556.0  0.1906      0.6427      0.6912
17.9211   558.0  0.1533      0.6696      0.6129
17.8571   560.0  0.1196      0.7027      0.5416
17.7936   562.0  0.0909      0.7406      0.4783
17.7305   564.0  0.0677      0.7812      0.4233
17.6678   566.0  0.0499      0.8229      0.3763
17.6056   568.0  0.0367      0.8641      0.3365
17.5439   570.0  0.0271      0.9042      0.3028
17.4825   572.0  0.0204      0.9424      0.2742
17.4216   574.0  0.0158      0.9785      0.2498
17.3611   576.0  0.0128       1.013      0.2289
17.3010   578.0  0.0110       1.045      0.2109
17.2414   580.0  0.0101       1.075      0.1952
17.1821   582.0  0.0098       1.103      0.1814
17.1233   584.0  0.0100       1.130      0.1693
17.0648   586.0  0.0105       1.155      0.1586
17.0068   588.0  0.0113       1.178      0.1491
16.9492   590.0  0.0124       1.201      0.1406
16.8919   592.0  0.0135       1.222      0.1330
16.8350   594.0  0.0148       1.242      0.1261
16.7785   596.0  0.0161       1.261      0.1199
16.7224   598.0  0.0175       1.279      0.1142
16.6667   600.0  0.0189       1.297      0.1091
16.6113   602.0  0.0203       1.313      0.1044
16.5563   604.0  0.0218       1.329      0.1002
16.5017   606.0  0.0232       1.344     0.09627
16.4474   608.0  0.0246       1.359     0.09268
16.3934   610.0  0.0260       1.373     0.08939
16.3399   612.0  0.0275       1.386     0.08636
16.2866   614.0  0.0289       1.399     0.08357
16.2338   616.0  0.0302       1.412     0.08099
16.1812   618.0  0.0316       1.424     0.07861
16.1290   620.0  0.0329       1.435     0.07642
16.0772   622.0  0.0342       1.447     0.07439
16.0256   624.0  0.0355       1.458     0.07252
15.9744   626.0  0.0368       1.469     0.07078
15.9236   628.0  0.0381       1.479     0.06918
15.8730   630.0  0.0393       1.489     0.06770
15.8228   632.0  0.0405       1.499     0.06634
15.7729   634.0  0.0417       1.509     0.06508
15.7233   636.0  0.0429       1.518     0.06392
15.6740   638.0  0.0441       1.527     0.06285
15.6250   640.0  0.0453       1.536     0.06187
15.5763   642.0  0.0464       1.545     0.06098
15.5280   644.0  0.0476       1.554     0.06016
15.4799   646.0  0.0487       1.562     0.05943
15.4321   648.0  0.0498       1.571     0.05876
15.3846   650.0  0.0509       1.579     0.05816
15.3374   652.0  0.0520       1.587     0.05763
15.2905   654.0  0.0531       1.595     0.05716
15.2439   656.0  0.0541       1.603     0.05676
15.1976   658.0  0.0552       1.611     0.05641
15.1515   660.0  0.0563       1.619     0.05613
15.1057   662.0  0.0573       1.626     0.05591
15.0602   664.0  0.0584       1.634     0.05574
15.0150   666.0  0.0594       1.642     0.05563
14.9701   668.0  0.0605       1.649     0.05558
14.9254   670.0  0.0615       1.657     0.05559
14.8810   672.0  0.0626       1.664     0.05566
14.8368   674.0  0.0636       1.672     0.05578
14.7929   676.0  0.0647       1.679     0.05597
14.7493   678.0  0.0657       1.687     0.05622
14.7059   680.0  0.0668       1.694     0.05654
14.6628   682.0  0.0678       1.701     0.05692
14.6199   684.0  0.0689       1.709     0.05738
14.5773   686.0  0.0700       1.717     0.05791
14.5349   688.0  0.0711       1.724     0.05852
14.4928   690.0  0.0722       1.732     0.05922
14.4509   692.0  0.0733       1.739     0.06001
14.4092   694.0  0.0744       1.747     0.06090
14.3678   696.0  0.0756       1.755     0.06190
14.3266   698.0  0.0767       1.763     0.06303
14.2857   700.0  0.0779       1.771     0.06428
14.2450   702.0  0.0791       1.779     0.06568
14.2045   704.0  0.0804       1.788     0.06725
14.1643   706.0  0.0817       1.796     0.06900
14.1243   708.0  0.0830       1.805     0.07097
14.0845   710.0  0.0843       1.814     0.07318
14.0449   712.0  0.0857       1.823     0.07567
14.0056   714.0  0.0871       1.832     0.07847
13.9665   716.0  0.0885       1.842     0.08166
13.9276   718.0  0.0901       1.852     0.08528
13.8889   720.0  0.0916       1.862     0.08943
13.8504   722.0  0.0933       1.873     0.09419
13.8122   724.0  0.0950       1.884     0.09969
13.7741   726.0  0.0967       1.895      0.1061
13.7363   728.0  0.0986       1.906      0.1135
13.6986   730.0  0.1005       1.918      0.1223
13.6612   732.0  0.1025       1.929      0.1326
13.6240   734.0  0.1045       1.941      0.1448
13.5870   736.0  0.1065       1.951      0.1592
13.5501   738.0  0.1085       1.961      0.1762
13.5135   740.0  0.1104       1.969      0.1960
13.4771   742.0  0.1120       1.973      0.2188
13.4409   744.0  0.1131       1.973      0.2440
13.4048   746.0  0.1136       1.967      0.2704
13.3690   748.0  0.1130       1.952      0.2957
13.3333   750.0  0.1111       1.930      0.3163
13.2979   752.0  0.1080       1.902      0.3287
13.2626   754.0  0.1040       1.871      0.3304
13.2275   756.0  0.0995       1.843      0.3213
13.1926   758.0  0.0953       1.822      0.3039
13.1579   760.0  0.0920       1.808      0.2818
13.1234   762.0  0.0898       1.803      0.2584
13.0890   764.0  0.0887       1.804      0.2362
13.0548   766.0  0.0886       1.811      0.2164
13.0208   768.0  0.0893       1.821      0.1996
12.9870   770.0  0.0905       1.834      0.1858
12.9534   772.0  0.0921       1.848      0.1746
12.9199   774.0  0.0941       1.864      0.1659
12.8866   776.0  0.0962       1.880      0.1592
12.8535   778.0  0.0985       1.897      0.1544
12.8205   780.0  0.1009       1.915      0.1512
12.7877   782.0  0.1035       1.933      0.1494
12.7551   784.0  0.1062       1.951      0.1489
12.7226   786.0  0.1090       1.970      0.1496
12.6904   788.0  0.1119       1.990      0.1516
12.6582   790.0  0.1150       2.010      0.1549
12.6263   792.0  0.1182       2.032      0.1596
12.5945   794.0  0.1217       2.054      0.1658
12.5628   796.0  0.1254       2.078      0.1739
12.5313   798.0  0.1294       2.103      0.1840
12.5000   800.0  0.1337       2.129      0.1969
12.4688   802.0  0.1384       2.158      0.2131
12.4378   804.0  0.1436       2.189      0.2337
12.4069   806.0  0.1493       2.221      0.2602
12.3762   808.0  0.1556       2.255      0.2944
12.3457   810.0  0.1626       2.290      0.3392
12.3153   812.0  0.1704       2.323      0.3982
12.2850   814.0  0.1786       2.348      0.4752
12.2549   816.0  0.1868       2.355      0.5730
