Pyrophyllite powder pellet
from Roush, Pollack, and Orenberg, Icarus, 94, 191-208, 1991
  Wave.   real   imag.
  (um)   index  index
  5.000  1.280  0.003
  5.010  1.280  0.003
  5.020  1.279  0.003
  5.030  1.279  0.003
  5.040  1.278  0.003
  5.050  1.278  0.003
  5.061  1.278  0.003
  5.071  1.277  0.003
  5.081  1.277  0.003
  5.092  1.276  0.003
  5.102  1.276  0.003
  5.113  1.276  0.003
  5.123  1.275  0.003
  5.134  1.275  0.003
  5.144  1.274  0.003
  5.155  1.274  0.003
  5.165  1.273  0.003
  5.176  1.273  0.003
  5.187  1.272  0.003
  5.198  1.272  0.003
  5.208  1.271  0.003
  5.219  1.271  0.003
  5.230  1.270  0.003
  5.241  1.270  0.003
  5.252  1.270  0.003
  5.263  1.269  0.003
  5.274  1.269  0.003
  5.285  1.268  0.003
  5.297  1.268  0.004
  5.308  1.267  0.004
  5.319  1.266  0.004
  5.331  1.266  0.004
  5.342  1.265  0.004
  5.353  1.265  0.004
  5.365  1.264  0.004
  5.376  1.264  0.004
  5.388  1.263  0.004
  5.400  1.263  0.004
  5.411  1.262  0.004
  5.423  1.262  0.004
  5.435  1.261  0.004
  5.447  1.260  0.004
  5.458  1.260  0.004
  5.470  1.259  0.004
  5.483  1.259  0.004
  5.495  1.258  0.004
  5.507  1.258  0.004
  5.519  1.257  0.004
  5.531  1.256  0.004
  5.543  1.256  0.004
  5.556  1.255  0.004
  5.568  1.254  0.004
  5.580  1.254  0.004
  5.593  1.253  0.005
  5.605  1.252  0.005
  5.618  1.252  0.005
  5.631  1.251  0.005
  5.643  1.250  0.005
  5.656  1.250  0.005
  5.669  1.249  0.005
  5.682  1.248  0.005
  5.695  1.247  0.005
  5.708  1.247  0.005
  5.721  1.246  0.005
  5.734  1.245  0.005
  5.747  1.245  0.005
  5.760  1.244  0.005
  5.774  1.243  0.005
  5.787  1.242  0.005
  5.800  1.241  0.005
  5.814  1.241  0.005
  5.827  1.240  0.006
  5.841  1.239  0.006
  5.855  1.238  0.006
  5.869  1.237  0.006
  5.882  1.237  0.006
  5.896  1.236  0.006
  5.910  1.235  0.006
  5.924  1.234  0.006
  5.938  1.233  0.006
  5.952  1.232  0.006
  5.967  1.231  0.006
  5.981  1.230  0.006
  5.995  1.229  0.006
  6.010  1.228  0.006
  6.024  1.227  0.007
  6.039  1.226  0.007
  6.053  1.225  0.007
  6.068  1.224  0.007
  6.083  1.223  0.007
  6.098  1.222  0.007
  6.113  1.221  0.007
  6.128  1.220  0.007
  6.142  1.219  0.007
  6.158  1.218  0.007
  6.173  1.217  0.007
  6.188  1.216  0.008
  6.203  1.215  0.008
  6.219  1.213  0.008
  6.234  1.212  0.008
  6.250  1.211  0.008
  6.266  1.210  0.008
  6.281  1.209  0.008
  6.297  1.207  0.008
  6.313  1.206  0.008
  6.329  1.205  0.009
  6.345  1.204  0.009
  6.361  1.202  0.009
  6.378  1.201  0.009
  6.394  1.199  0.009
  6.410  1.198  0.009
  6.427  1.197  0.009
  6.443  1.195  0.009
  6.460  1.194  0.010
  6.477  1.192  0.010
  6.494  1.191  0.010
  6.510  1.189  0.010
  6.527  1.188  0.010
  6.544  1.186  0.010
  6.562  1.184  0.011
  6.579  1.183  0.011
  6.596  1.181  0.011
  6.614  1.179  0.011
  6.631  1.177  0.011
  6.649  1.176  0.011
  6.667  1.174  0.012
  6.685  1.172  0.012
  6.702  1.170  0.012
  6.720  1.168  0.012
  6.739  1.166  0.013
  6.757  1.164  0.013
  6.775  1.162  0.013
  6.793  1.160  0.013
  6.812  1.158  0.013
  6.831  1.156  0.014
  6.849  1.153  0.014
  6.868  1.151  0.014
  6.887  1.149  0.015
  6.906  1.146  0.015
  6.925  1.144  0.015
  6.944  1.142  0.015
  6.964  1.139  0.016
  6.983  1.136  0.016
  7.003  1.134  0.016
  7.023  1.131  0.017
  7.042  1.128  0.017
  7.062  1.125  0.017
  7.082  1.122  0.018
  7.102  1.120  0.018
  7.122  1.116  0.019
  7.143  1.113  0.019
  7.163  1.110  0.020
  7.184  1.107  0.020
  7.205  1.103  0.020
  7.225  1.100  0.021
  7.246  1.096  0.021
  7.267  1.092  0.022
  7.289  1.089  0.023
  7.310  1.085  0.023
  7.331  1.081  0.024
  7.353  1.076  0.024
  7.375  1.072  0.025
  7.396  1.068  0.026
  7.418  1.063  0.027
  7.440  1.058  0.027
  7.463  1.053  0.028
  7.485  1.048  0.029
  7.508  1.043  0.030
  7.530  1.038  0.031
  7.553  1.032  0.032
  7.576  1.026  0.033
  7.599  1.020  0.034
  7.622  1.014  0.035
  7.645  1.007  0.037
  7.669  1.000  0.038
  7.692  0.993  0.039
  7.716  0.986  0.041
  7.740  0.978  0.043
  7.764  0.970  0.045
  7.788  0.961  0.046
  7.813  0.952  0.049
  7.837  0.943  0.051
  7.862  0.933  0.053
  7.886  0.923  0.056
  7.911  0.912  0.059
  7.937  0.900  0.062
  7.962  0.888  0.065
  7.987  0.875  0.069
  8.013  0.861  0.074
  8.039  0.847  0.078
  8.064  0.831  0.084
  8.091  0.814  0.090
  8.117  0.797  0.097
  8.143  0.777  0.105
  8.170  0.757  0.114
  8.197  0.735  0.125
  8.224  0.711  0.137
  8.251  0.685  0.152
  8.278  0.657  0.170
  8.306  0.627  0.192
  8.333  0.596  0.218
  8.361  0.564  0.250
  8.389  0.532  0.289
  8.417  0.503  0.336
  8.446  0.478  0.391
  8.475  0.459  0.451
  8.503  0.449  0.516
  8.532  0.447  0.582
  8.562  0.453  0.650
  8.591  0.465  0.716
  8.621  0.484  0.782
  8.651  0.507  0.845
  8.681  0.534  0.907
  8.711  0.563  0.972
  8.741  0.598  1.044
  8.772  0.649  1.126
  8.803  0.731  1.206
  8.834  0.839  1.254
  8.865  0.928  1.288
  8.897  1.105  1.368
  8.929  1.377  1.130
  8.961  1.210  0.866
  8.993  0.995  0.881
  9.025  0.868  1.020
  9.058  0.835  1.212
  9.091  0.894  1.419
  9.124  1.055  1.602
  9.158  1.289  1.683
  9.191  1.466  1.671
  9.225  1.610  1.708
  9.259  1.848  1.752
  9.294  2.163  1.673
  9.328  2.423  1.431
  9.363  2.532  1.121
  9.399  2.516  0.850
  9.434  2.441  0.650
  9.470  2.349  0.509
  9.506  2.258  0.411
  9.542  2.175  0.341
  9.578  2.101  0.290
  9.615  2.036  0.252
  9.653  1.978  0.223
  9.690  1.926  0.201
  9.728  1.879  0.184
  9.766  1.837  0.171
  9.804  1.798  0.160
  9.842  1.763  0.152
  9.881  1.730  0.146
  9.921  1.698  0.142
  9.960  1.669  0.139
 10.000  1.640  0.138
 10.040  1.612  0.138
 10.081  1.585  0.140
 10.121  1.557  0.144
 10.163  1.528  0.150
 10.204  1.497  0.160
 10.246  1.464  0.176
 10.288  1.428  0.202
 10.331  1.390  0.246
 10.373  1.359  0.322
 10.417  1.372  0.442
 10.460  1.497  0.560
 10.504  1.694  0.532
 10.549  1.781  0.390
 10.593  1.767  0.278
 10.638  1.729  0.215
 10.684  1.691  0.180
 10.730  1.659  0.160
 10.776  1.632  0.148
 10.823  1.609  0.140
 10.870  1.590  0.136
 10.917  1.573  0.132
 10.965  1.558  0.130
 11.013  1.545  0.129
 11.062  1.533  0.128
 11.111  1.522  0.128
 11.161  1.511  0.128
 11.211  1.501  0.128
 11.261  1.491  0.128
 11.312  1.482  0.129
 11.364  1.472  0.129
 11.416  1.462  0.131
 11.468  1.451  0.133
 11.521  1.439  0.136
 11.574  1.425  0.143
 11.628  1.411  0.158
 11.682  1.408  0.189
 11.737  1.442  0.202
 11.792  1.447  0.176
 11.848  1.422  0.172
 11.905  1.397  0.209
 11.962  1.459  0.276
 12.019  1.527  0.201
 12.077  1.500  0.153
 12.136  1.472  0.141
 12.195  1.452  0.147
 12.255  1.451  0.165
 12.315  1.475  0.159
 12.376  1.475  0.132
 12.438  1.461  0.117
 12.500  1.448  0.109
 12.563  1.436  0.105
 12.626  1.425  0.102
 12.690  1.415  0.100
 12.755  1.406  0.098
 12.821  1.397  0.096
 12.887  1.388  0.095
 12.953  1.380  0.093
 13.021  1.371  0.092
 13.089  1.362  0.091
 13.158  1.354  0.090
 13.228  1.345  0.089
 13.298  1.336  0.089
 13.369  1.327  0.088
 13.441  1.317  0.087
 13.514  1.308  0.087
 13.587  1.298  0.087
 13.661  1.287  0.087
 13.736  1.277  0.087
 13.812  1.266  0.087
 13.889  1.254  0.087
 13.966  1.243  0.088
 14.045  1.230  0.088
 14.124  1.217  0.089
 14.205  1.204  0.091
 14.286  1.190  0.092
 14.368  1.175  0.094
 14.451  1.159  0.096
 14.535  1.143  0.098
 14.620  1.125  0.101
 14.706  1.107  0.105
 14.793  1.087  0.109
 14.881  1.066  0.114
 14.970  1.043  0.120
 15.060  1.019  0.127
 15.152  0.992  0.135
 15.244  0.963  0.146
 15.337  0.932  0.159
 15.432  0.898  0.175
 15.528  0.861  0.196
 15.625  0.823  0.224
 15.723  0.784  0.260
 15.823  0.750  0.306
 15.924  0.726  0.357
 16.026  0.713  0.402
 16.129  0.696  0.436
 16.234  0.662  0.472
 16.340  0.617  0.527
 16.447  0.578  0.606
 16.556  0.557  0.704
 16.667  0.559  0.810
 16.779  0.588  0.914
 16.892  0.643  1.003
 17.007  0.712  1.061
 17.123  0.766  1.083
 17.241  0.776  1.095
 17.361  0.752  1.139
 17.483  0.729  1.229
 17.606  0.730  1.355
 17.731  0.768  1.503
 17.857  0.847  1.663
 17.986  0.977  1.826
 18.116  1.170  1.975
 18.248  1.438  2.078
 18.382  1.765  2.081
 18.519  2.085  1.936
 18.657  2.293  1.668
 18.797  2.343  1.381
 18.939  2.271  1.171
 19.084  2.172  1.107
 19.231  2.274  1.038
 19.380  2.170  0.781
 19.531  1.958  0.706
 19.685  1.762  0.736
 19.841  1.589  0.852
 20.000  1.467  1.065
 20.161  1.457  1.368
 20.325  1.624  1.707
 20.492  2.018  1.967
 20.661  2.579  1.942
 20.833  2.990  1.558
 21.008  3.062  1.114
 21.186  2.955  0.823
 21.368  2.822  0.683
 21.552  2.753  0.635
 21.739  2.764  0.563
 21.930  2.745  0.431
 22.124  2.670  0.321
 22.321  2.583  0.251
 22.523  2.501  0.206
 22.727  2.426  0.179
 22.936  2.355  0.164
 23.148  2.283  0.163
 23.364  2.205  0.188
 23.585  2.134  0.288
 23.810  2.276  0.461
 24.038  2.446  0.280
 24.272  2.385  0.152
 24.510  2.321  0.105
 24.752  2.272  0.084
 25.000  2.234  0.072
