Saponite powder pellet
from Roush, Pollack, and Orenberg, Icarus, 94, 191-208, 1991
  Wave.   real   imag.
  (um)   index  index
  5.000  1.262  0.002
  5.010  1.262  0.002
  5.020  1.262  0.002
  5.030  1.261  0.002
  5.040  1.261  0.002
  5.050  1.261  0.002
  5.061  1.260  0.002
  5.071  1.260  0.002
  5.081  1.260  0.002
  5.092  1.260  0.002
  5.102  1.259  0.002
  5.113  1.259  0.002
  5.123  1.259  0.002
  5.134  1.258  0.002
  5.144  1.258  0.002
  5.155  1.258  0.002
  5.165  1.258  0.002
  5.176  1.257  0.002
  5.187  1.257  0.002
  5.198  1.257  0.002
  5.208  1.256  0.002
  5.219  1.256  0.002
  5.230  1.256  0.002
  5.241  1.255  0.002
  5.252  1.255  0.002
  5.263  1.255  0.002
  5.274  1.254  0.002
  5.285  1.254  0.002
  5.297  1.254  0.002
  5.308  1.253  0.002
  5.319  1.253  0.002
  5.331  1.253  0.002
  5.342  1.252  0.002
  5.353  1.252  0.002
  5.365  1.251  0.002
  5.376  1.251  0.002
  5.388  1.251  0.002
  5.400  1.250  0.003
  5.411  1.250  0.003
  5.423  1.250  0.003
  5.435  1.249  0.003
  5.447  1.249  0.003
  5.458  1.248  0.003
  5.470  1.248  0.003
  5.483  1.247  0.003
  5.495  1.247  0.003
  5.507  1.247  0.003
  5.519  1.246  0.003
  5.531  1.246  0.003
  5.543  1.245  0.003
  5.556  1.245  0.003
  5.568  1.245  0.003
  5.580  1.244  0.003
  5.593  1.244  0.003
  5.605  1.243  0.003
  5.618  1.243  0.003
  5.631  1.242  0.003
  5.643  1.242  0.003
  5.656  1.241  0.003
  5.669  1.241  0.003
  5.682  1.240  0.003
  5.695  1.240  0.004
  5.708  1.239  0.004
  5.721  1.238  0.004
  5.734  1.238  0.004
  5.747  1.237  0.004
  5.760  1.237  0.004
  5.774  1.236  0.004
  5.787  1.236  0.004
  5.800  1.235  0.004
  5.814  1.235  0.004
  5.827  1.234  0.004
  5.841  1.233  0.005
  5.855  1.232  0.005
  5.869  1.232  0.005
  5.882  1.231  0.005
  5.896  1.230  0.005
  5.910  1.230  0.006
  5.924  1.229  0.006
  5.938  1.228  0.006
  5.952  1.227  0.006
  5.967  1.227  0.007
  5.981  1.226  0.007
  5.995  1.225  0.008
  6.010  1.224  0.008
  6.024  1.223  0.009
  6.039  1.222  0.009
  6.053  1.221  0.010
  6.068  1.220  0.011
  6.083  1.220  0.013
  6.098  1.219  0.014
  6.113  1.219  0.016
  6.128  1.219  0.018
  6.142  1.221  0.020
  6.158  1.223  0.022
  6.173  1.225  0.022
  6.188  1.227  0.020
  6.203  1.229  0.019
  6.219  1.229  0.017
  6.234  1.229  0.015
  6.250  1.229  0.014
  6.266  1.228  0.013
  6.281  1.227  0.012
  6.297  1.226  0.011
  6.313  1.225  0.011
  6.329  1.224  0.010
  6.345  1.223  0.010
  6.361  1.222  0.009
  6.378  1.221  0.009
  6.394  1.220  0.009
  6.410  1.219  0.008
  6.427  1.218  0.008
  6.443  1.217  0.008
  6.460  1.216  0.008
  6.477  1.215  0.008
  6.494  1.214  0.008
  6.510  1.213  0.007
  6.527  1.212  0.007
  6.544  1.211  0.007
  6.562  1.210  0.007
  6.579  1.209  0.007
  6.596  1.208  0.007
  6.614  1.207  0.007
  6.631  1.206  0.007
  6.649  1.204  0.007
  6.667  1.203  0.007
  6.685  1.202  0.008
  6.702  1.201  0.008
  6.720  1.200  0.008
  6.739  1.199  0.008
  6.757  1.197  0.008
  6.775  1.196  0.008
  6.793  1.195  0.008
  6.812  1.194  0.008
  6.831  1.193  0.008
  6.849  1.191  0.008
  6.868  1.190  0.008
  6.887  1.189  0.008
  6.906  1.188  0.009
  6.925  1.186  0.009
  6.944  1.185  0.009
  6.964  1.184  0.009
  6.983  1.182  0.009
  7.003  1.181  0.009
  7.023  1.179  0.009
  7.042  1.178  0.010
  7.062  1.176  0.010
  7.082  1.175  0.010
  7.102  1.173  0.010
  7.122  1.172  0.010
  7.143  1.170  0.011
  7.163  1.168  0.011
  7.184  1.167  0.011
  7.205  1.165  0.011
  7.225  1.163  0.011
  7.246  1.161  0.012
  7.267  1.160  0.012
  7.289  1.158  0.012
  7.310  1.156  0.012
  7.331  1.154  0.013
  7.353  1.152  0.013
  7.375  1.150  0.013
  7.396  1.148  0.013
  7.418  1.146  0.014
  7.440  1.143  0.014
  7.463  1.141  0.014
  7.485  1.139  0.015
  7.508  1.137  0.015
  7.530  1.134  0.016
  7.553  1.132  0.016
  7.576  1.129  0.016
  7.599  1.127  0.017
  7.622  1.124  0.017
  7.645  1.121  0.018
  7.669  1.119  0.018
  7.692  1.116  0.019
  7.716  1.113  0.019
  7.740  1.110  0.020
  7.764  1.107  0.020
  7.788  1.103  0.021
  7.813  1.100  0.022
  7.837  1.097  0.022
  7.862  1.093  0.023
  7.886  1.089  0.024
  7.911  1.086  0.025
  7.937  1.082  0.026
  7.962  1.078  0.026
  7.987  1.074  0.027
  8.013  1.069  0.028
  8.039  1.065  0.029
  8.064  1.060  0.031
  8.091  1.055  0.032
  8.117  1.050  0.033
  8.143  1.045  0.034
  8.170  1.040  0.036
  8.197  1.034  0.037
  8.224  1.028  0.039
  8.251  1.022  0.041
  8.278  1.016  0.043
  8.306  1.009  0.045
  8.333  1.002  0.047
  8.361  0.995  0.050
  8.389  0.987  0.052
  8.417  0.979  0.055
  8.446  0.970  0.058
  8.475  0.962  0.062
  8.503  0.952  0.066
  8.532  0.942  0.070
  8.562  0.932  0.075
  8.591  0.920  0.080
  8.621  0.908  0.086
  8.651  0.896  0.092
  8.681  0.883  0.100
  8.711  0.868  0.108
  8.741  0.853  0.118
  8.772  0.837  0.129
  8.803  0.821  0.143
  8.834  0.803  0.158
  8.865  0.785  0.177
  8.897  0.767  0.198
  8.929  0.750  0.224
  8.961  0.734  0.254
  8.993  0.722  0.288
  9.025  0.716  0.325
  9.058  0.716  0.362
  9.091  0.722  0.397
  9.124  0.732  0.425
  9.158  0.741  0.446
  9.191  0.743  0.463
  9.225  0.738  0.481
  9.259  0.726  0.505
  9.294  0.711  0.538
  9.328  0.697  0.582
  9.363  0.687  0.636
  9.399  0.685  0.698
  9.434  0.693  0.766
  9.470  0.711  0.840
  9.506  0.741  0.916
  9.542  0.784  0.995
  9.578  0.842  1.073
  9.615  0.917  1.149
  9.653  1.009  1.218
  9.690  1.122  1.276
  9.728  1.253  1.315
  9.766  1.400  1.327
  9.804  1.553  1.304
  9.842  1.699  1.243
  9.881  1.824  1.149
  9.921  1.917  1.032
  9.960  1.975  0.908
 10.000  2.003  0.788
 10.040  2.006  0.679
 10.081  1.994  0.584
 10.121  1.972  0.504
 10.163  1.944  0.438
 10.204  1.914  0.382
 10.246  1.883  0.336
 10.288  1.853  0.297
 10.331  1.824  0.265
 10.373  1.796  0.237
 10.417  1.770  0.214
 10.460  1.745  0.194
 10.504  1.722  0.177
 10.549  1.700  0.163
 10.593  1.679  0.150
 10.638  1.660  0.139
 10.684  1.642  0.129
 10.730  1.625  0.121
 10.776  1.609  0.113
 10.823  1.594  0.107
 10.870  1.579  0.101
 10.917  1.566  0.096
 10.965  1.553  0.091
 11.013  1.540  0.087
 11.062  1.528  0.084
 11.111  1.517  0.080
 11.161  1.506  0.078
 11.211  1.495  0.075
 11.261  1.485  0.073
 11.312  1.476  0.071
 11.364  1.466  0.069
 11.416  1.457  0.068
 11.468  1.448  0.067
 11.521  1.439  0.066
 11.574  1.431  0.065
 11.628  1.423  0.064
 11.682  1.415  0.064
 11.737  1.407  0.063
 11.792  1.400  0.063
 11.848  1.392  0.063
 11.905  1.385  0.064
 11.962  1.378  0.064
 12.019  1.370  0.065
 12.077  1.363  0.065
 12.136  1.357  0.066
 12.195  1.350  0.067
 12.255  1.343  0.068
 12.315  1.336  0.070
 12.376  1.330  0.071
 12.438  1.324  0.073
 12.500  1.317  0.074
 12.563  1.311  0.076
 12.626  1.305  0.078
 12.690  1.299  0.081
 12.755  1.293  0.083
 12.821  1.287  0.086
 12.887  1.282  0.088
 12.953  1.276  0.091
 13.021  1.270  0.094
 13.089  1.265  0.097
 13.158  1.260  0.099
 13.228  1.254  0.102
 13.298  1.249  0.105
 13.369  1.244  0.108
 13.441  1.238  0.111
 13.514  1.233  0.114
 13.587  1.227  0.117
 13.661  1.221  0.120
 13.736  1.214  0.122
 13.812  1.207  0.126
 13.889  1.200  0.129
 13.966  1.191  0.132
 14.045  1.182  0.137
 14.124  1.172  0.142
 14.205  1.160  0.148
 14.286  1.147  0.156
 14.368  1.133  0.167
 14.451  1.118  0.180
 14.535  1.101  0.199
 14.620  1.085  0.225
 14.706  1.071  0.260
 14.793  1.066  0.306
 14.881  1.077  0.363
 14.970  1.116  0.422
 15.060  1.187  0.462
 15.152  1.274  0.460
 15.244  1.345  0.416
 15.337  1.380  0.351
 15.432  1.384  0.291
 15.528  1.370  0.244
 15.625  1.348  0.210
 15.723  1.323  0.187
 15.823  1.297  0.170
 15.924  1.272  0.159
 16.026  1.248  0.152
 16.129  1.224  0.148
 16.234  1.201  0.147
 16.340  1.177  0.147
 16.447  1.154  0.149
 16.556  1.130  0.153
 16.667  1.106  0.158
 16.779  1.081  0.166
 16.892  1.055  0.175
 17.007  1.028  0.185
 17.123  1.001  0.199
 17.241  0.972  0.215
 17.361  0.941  0.234
 17.483  0.910  0.257
