Serpentine powder pellet
from Roush, Pollack, and Orenberg, Icarus, 94, 191-208, 1991
  Wave.   real   imag.
  (um)   index  index
  5.000  1.344  0.002
  5.010  1.343  0.002
  5.020  1.343  0.002
  5.030  1.343  0.002
  5.040  1.343  0.002
  5.050  1.342  0.002
  5.061  1.342  0.002
  5.071  1.342  0.002
  5.081  1.341  0.002
  5.092  1.341  0.002
  5.102  1.341  0.002
  5.113  1.340  0.002
  5.123  1.340  0.002
  5.134  1.340  0.002
  5.144  1.340  0.002
  5.155  1.339  0.002
  5.165  1.339  0.002
  5.176  1.339  0.002
  5.187  1.338  0.002
  5.198  1.338  0.002
  5.208  1.338  0.002
  5.219  1.337  0.002
  5.230  1.337  0.002
  5.241  1.337  0.002
  5.252  1.336  0.002
  5.263  1.336  0.002
  5.274  1.336  0.002
  5.285  1.335  0.002
  5.297  1.335  0.002
  5.308  1.335  0.002
  5.319  1.334  0.002
  5.331  1.334  0.002
  5.342  1.334  0.002
  5.353  1.333  0.002
  5.365  1.333  0.002
  5.376  1.333  0.002
  5.388  1.332  0.002
  5.400  1.332  0.002
  5.411  1.332  0.002
  5.423  1.331  0.002
  5.435  1.331  0.002
  5.447  1.330  0.002
  5.458  1.330  0.002
  5.470  1.329  0.002
  5.483  1.329  0.002
  5.495  1.329  0.002
  5.507  1.328  0.002
  5.519  1.328  0.002
  5.531  1.327  0.002
  5.543  1.327  0.002
  5.556  1.327  0.002
  5.568  1.326  0.002
  5.580  1.326  0.002
  5.593  1.325  0.002
  5.605  1.325  0.002
  5.618  1.324  0.002
  5.631  1.324  0.002
  5.643  1.324  0.003
  5.656  1.323  0.003
  5.669  1.323  0.003
  5.682  1.322  0.003
  5.695  1.322  0.003
  5.708  1.321  0.003
  5.721  1.321  0.003
  5.734  1.320  0.003
  5.747  1.320  0.003
  5.760  1.319  0.003
  5.774  1.319  0.003
  5.787  1.318  0.003
  5.800  1.318  0.003
  5.814  1.317  0.003
  5.827  1.317  0.003
  5.841  1.316  0.003
  5.855  1.316  0.003
  5.869  1.315  0.003
  5.882  1.315  0.003
  5.896  1.314  0.003
  5.910  1.314  0.003
  5.924  1.313  0.003
  5.938  1.313  0.003
  5.952  1.312  0.003
  5.967  1.311  0.003
  5.981  1.311  0.003
  5.995  1.310  0.003
  6.010  1.309  0.003
  6.024  1.309  0.003
  6.039  1.308  0.003
  6.053  1.308  0.003
  6.068  1.307  0.003
  6.083  1.306  0.004
  6.098  1.306  0.004
  6.113  1.305  0.004
  6.128  1.304  0.004
  6.142  1.304  0.004
  6.158  1.303  0.004
  6.173  1.303  0.004
  6.188  1.302  0.004
  6.203  1.301  0.004
  6.219  1.300  0.004
  6.234  1.300  0.004
  6.250  1.299  0.004
  6.266  1.298  0.004
  6.281  1.298  0.004
  6.297  1.297  0.004
  6.313  1.296  0.004
  6.329  1.295  0.004
  6.345  1.294  0.004
  6.361  1.294  0.004
  6.378  1.293  0.004
  6.394  1.292  0.004
  6.410  1.291  0.005
  6.427  1.291  0.005
  6.443  1.290  0.005
  6.460  1.289  0.005
  6.477  1.288  0.005
  6.494  1.287  0.005
  6.510  1.286  0.005
  6.527  1.285  0.005
  6.544  1.284  0.005
  6.562  1.283  0.005
  6.579  1.283  0.005
  6.596  1.282  0.005
  6.614  1.281  0.005
  6.631  1.280  0.005
  6.649  1.279  0.006
  6.667  1.278  0.006
  6.685  1.277  0.006
  6.702  1.276  0.006
  6.720  1.275  0.006
  6.739  1.273  0.006
  6.757  1.272  0.006
  6.775  1.271  0.006
  6.793  1.270  0.006
  6.812  1.269  0.006
  6.831  1.268  0.006
  6.849  1.267  0.006
  6.868  1.266  0.007
  6.887  1.264  0.007
  6.906  1.263  0.007
  6.925  1.262  0.007
  6.944  1.261  0.007
  6.964  1.259  0.007
  6.983  1.258  0.007
  7.003  1.257  0.007
  7.023  1.255  0.008
  7.042  1.254  0.008
  7.062  1.253  0.008
  7.082  1.251  0.008
  7.102  1.250  0.008
  7.122  1.248  0.008
  7.143  1.247  0.008
  7.163  1.245  0.009
  7.184  1.244  0.009
  7.205  1.242  0.009
  7.225  1.240  0.009
  7.246  1.239  0.009
  7.267  1.237  0.009
  7.289  1.235  0.010
  7.310  1.234  0.010
  7.331  1.232  0.010
  7.353  1.230  0.010
  7.375  1.228  0.010
  7.396  1.226  0.011
  7.418  1.224  0.011
  7.440  1.222  0.011
  7.463  1.220  0.011
  7.485  1.218  0.012
  7.508  1.216  0.012
  7.530  1.214  0.012
  7.553  1.212  0.012
  7.576  1.209  0.013
  7.599  1.207  0.013
  7.622  1.205  0.013
  7.645  1.202  0.014
  7.669  1.200  0.014
  7.692  1.197  0.014
  7.716  1.195  0.015
  7.740  1.192  0.015
  7.764  1.189  0.015
  7.788  1.186  0.016
  7.813  1.184  0.016
  7.837  1.181  0.017
  7.862  1.178  0.017
  7.886  1.174  0.018
  7.911  1.171  0.018
  7.937  1.168  0.019
  7.962  1.164  0.019
  7.987  1.161  0.020
  8.013  1.157  0.020
  8.039  1.153  0.021
  8.064  1.150  0.022
  8.091  1.146  0.023
  8.117  1.141  0.023
  8.143  1.137  0.024
  8.170  1.133  0.025
  8.197  1.128  0.026
  8.224  1.123  0.027
  8.251  1.118  0.028
  8.278  1.113  0.029
  8.306  1.108  0.030
  8.333  1.102  0.032
  8.361  1.097  0.033
  8.389  1.091  0.034
  8.417  1.084  0.036
  8.446  1.078  0.038
  8.475  1.071  0.040
  8.503  1.064  0.042
  8.532  1.056  0.044
  8.562  1.048  0.046
  8.591  1.040  0.049
  8.621  1.031  0.052
  8.651  1.022  0.055
  8.681  1.012  0.059
  8.711  1.002  0.063
  8.741  0.991  0.067
  8.772  0.979  0.073
  8.803  0.967  0.079
  8.834  0.954  0.085
  8.865  0.940  0.094
  8.897  0.925  0.103
  8.929  0.909  0.114
  8.961  0.892  0.128
  8.993  0.875  0.144
  9.025  0.858  0.164
  9.058  0.841  0.188
  9.091  0.828  0.218
  9.124  0.819  0.252
  9.158  0.819  0.289
  9.191  0.830  0.325
  9.225  0.851  0.352
  9.259  0.875  0.366
  9.294  0.893  0.366
  9.328  0.899  0.358
  9.363  0.891  0.351
  9.399  0.873  0.351
  9.434  0.848  0.361
  9.470  0.821  0.381
  9.506  0.795  0.412
  9.542  0.772  0.453
  9.578  0.756  0.503
  9.615  0.750  0.560
  9.653  0.754  0.621
  9.690  0.771  0.684
  9.728  0.800  0.744
  9.766  0.840  0.798
  9.804  0.889  0.843
  9.842  0.942  0.876
  9.881  0.994  0.897
  9.921  1.040  0.910
  9.960  1.077  0.920
 10.000  1.107  0.935
 10.040  1.135  0.959
 10.081  1.171  0.992
 10.121  1.220  1.030
 10.163  1.285  1.063
 10.204  1.362  1.082
 10.246  1.441  1.086
 10.288  1.514  1.079
 10.331  1.582  1.075
 10.373  1.661  1.079
 10.417  1.769  1.077
 10.460  1.907  1.033
 10.504  2.033  0.925
 10.549  2.105  0.776
 10.593  2.118  0.628
 10.638  2.093  0.506
 10.684  2.050  0.412
 10.730  2.003  0.342
 10.776  1.956  0.289
 10.823  1.912  0.248
 10.870  1.872  0.217
 10.917  1.836  0.191
 10.965  1.802  0.171
 11.013  1.771  0.155
 11.062  1.743  0.141
 11.111  1.718  0.129
 11.161  1.694  0.119
 11.211  1.672  0.111
 11.261  1.651  0.104
 11.312  1.632  0.098
 11.364  1.613  0.093
 11.416  1.596  0.088
 11.468  1.580  0.084
 11.521  1.564  0.080
 11.574  1.550  0.077
 11.628  1.535  0.075
 11.682  1.522  0.073
 11.737  1.508  0.071
 11.792  1.495  0.069
 11.848  1.483  0.068
 11.905  1.471  0.066
 11.962  1.459  0.066
 12.019  1.447  0.065
 12.077  1.436  0.064
 12.136  1.425  0.064
 12.195  1.414  0.064
 12.255  1.403  0.064
 12.315  1.392  0.064
 12.376  1.381  0.064
 12.438  1.370  0.065
 12.500  1.359  0.066
 12.563  1.348  0.067
 12.626  1.337  0.068
 12.690  1.327  0.069
 12.755  1.315  0.070
 12.821  1.304  0.072
 12.887  1.293  0.074
 12.953  1.281  0.076
 13.021  1.270  0.079
 13.089  1.258  0.081
 13.158  1.245  0.084
 13.228  1.233  0.088
 13.298  1.220  0.092
 13.369  1.206  0.096
 13.441  1.193  0.100
 13.514  1.179  0.106
 13.587  1.164  0.111
 13.661  1.149  0.118
 13.736  1.133  0.125
 13.812  1.117  0.133
 13.889  1.100  0.142
 13.966  1.082  0.152
 14.045  1.064  0.164
 14.124  1.045  0.177
 14.205  1.025  0.192
 14.286  1.005  0.209
 14.368  0.984  0.229
 14.451  0.963  0.251
 14.535  0.942  0.277
 14.620  0.922  0.307
 14.706  0.902  0.340
 14.793  0.885  0.379
 14.881  0.870  0.422
 14.970  0.860  0.470
 15.060  0.855  0.522
 15.152  0.857  0.577
 15.244  0.866  0.635
