Serpentine optical constants used in Bauer et al. 2003 (Icarus
158, 178-190, 2002).  They were Derived from reflectance data
using SEM imaging to determine grain size and an inversion of
Hapke theory.  Initial assumption was that the real index had
a constant value of 1.55 over the wavelength domain.  This
resulted in initial estimates of the imaginary index.  These
values of the imginary index were used in a subtractive
Krammers-Kronig analysis (KK)to determine the wavelength
dependence of the real index.  This Hapke-KK process was
iterated until neither the real or imaginary index changed
significantly.
  Wavelenth  Inverse     Real    Imaginary
  (microns)    cm       Index    Index
    4.5319   2206.60   1.58269  1.8288E-02
    4.4705   2236.90   1.58033  1.6040E-02
    4.4090   2268.10   1.57060  1.5229E-02
    4.2624   2346.10   1.57731  1.4768E-02
    4.2178   2370.90   1.56909  1.3900E-02
    4.1736   2396.00   1.57005  1.5183E-02
    4.1298   2421.40   1.57026  1.3348E-02
    4.0865   2447.10   1.56986  1.5957E-02
    4.0433   2473.20   1.56915  1.3823E-02
    4.0006   2499.60   1.56958  1.3787E-02
    3.9582   2526.40   1.56968  1.4535E-02
    3.9160   2553.60   1.56903  1.5423E-02
    3.8743   2581.10   1.56880  1.3733E-02
    3.8327   2609.10   1.56962  1.3762E-02
    3.7915   2637.50   1.56971  1.5383E-02
    3.7505   2666.30   1.56939  1.5155E-02
    3.7097   2695.60   1.56954  1.5255E-02
    3.6693   2725.30   1.56981  1.5564E-02
    3.6291   2755.50   1.56968  1.6815E-02
    3.5890   2786.30   1.56912  1.7151E-02
    3.5492   2817.50   1.56895  1.6279E-02
    3.5096   2849.30   1.56947  1.5975E-02
    3.4702   2881.70   1.57049  1.5662E-02
    3.4310   2914.60   1.57182  1.6303E-02
    3.3919   2948.20   1.57307  1.7923E-02
    3.3530   2982.40   1.57363  2.0397E-02
    3.3143   3017.20   1.57348  2.2372E-02
    3.2757   3052.80   1.57355  2.3609E-02
    3.2372   3089.10   1.57347  2.6176E-02
    3.1989   3126.10   1.57255  2.8676E-02
    3.1606   3164.00   1.57182  2.9702E-02
    3.1224   3202.70   1.57082  3.2542E-02
    3.0843   3242.20   1.56993  3.2902E-02
    3.0464   3282.60   1.56972  3.5180E-02
    3.0084   3324.00   1.56877  3.8827E-02
    2.9705   3366.40   1.56641  4.2549E-02
    2.9326   3409.90   1.56464  4.2941E-02
    2.8949   3454.40   1.56455  4.5428E-02
    2.8571   3500.10   1.56336  5.3633E-02
    2.8193   3547.00   1.56194  6.0570E-02
    2.7815   3595.20   1.54462  9.7948E-02
    2.7436   3644.80   1.49675  1.1215E-01
    2.7058   3695.80   1.48145  1.4311E-02
    2.6679   3748.30   1.50414  5.4683E-03
    2.6301   3802.10   1.51609  5.0616E-03
    2.5922   3857.70   1.52268  5.1794E-03
    2.5541   3915.30   1.52742  5.1877E-03
    2.5263   3958.40   1.52963  5.0138E-03
    2.5064   3989.80   1.53033  4.9188E-03
    2.4864   4021.90   1.53159  4.6382E-03
    2.4663   4054.70   1.53273  4.4143E-03
