Data created using the Lorantz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  These could be recalculated at any spectral resolution.
Range of validity is given as 1600-250 inverse centimeters.  Be sure to
check the reference for a description of the sample.

high frq. dielec. const=  1.982
Lorentz line parameters
center  width  strength
1548.0  0.1848  0.1870
1357.7  0.0985  0.0490
1155.8  0.0442  0.0100
1077.4  0.0862  0.1180
 979.7  0.1022  0.2080
 919.8  0.1019  0.4950
 723.2  0.1681  0.2140
 585.8  0.1466  0.4100
 528.9  0.0704  0.1970
 491.3  0.0979  0.1240
 392.6  0.2232  1.2910
 330.4  0.1044  0.1890

 wave.    freq.   refl.    real   imag.
40.0000   250.0  0.1990   2.603  0.1302
39.6825   252.0  0.1999   2.609  0.1336
39.3701   254.0  0.2008   2.616  0.1372
39.0625   256.0  0.2018   2.622  0.1409
38.7597   258.0  0.2028   2.629  0.1447
38.4615   260.0  0.2038   2.636  0.1487
38.1679   262.0  0.2049   2.644  0.1529
37.8788   264.0  0.2060   2.651  0.1573
37.5940   266.0  0.2071   2.659  0.1619
37.3134   268.0  0.2083   2.667  0.1667
37.0370   270.0  0.2095   2.675  0.1717
36.7647   272.0  0.2107   2.683  0.1770
36.4964   274.0  0.2120   2.692  0.1826
36.2319   276.0  0.2133   2.701  0.1885
35.9712   278.0  0.2146   2.710  0.1947
35.7143   280.0  0.2160   2.720  0.2013
35.4610   282.0  0.2175   2.729  0.2083
35.2113   284.0  0.2190   2.739  0.2158
34.9650   286.0  0.2205   2.750  0.2237
34.7222   288.0  0.2221   2.760  0.2322
34.4828   290.0  0.2238   2.772  0.2412
34.2466   292.0  0.2255   2.783  0.2510
34.0136   294.0  0.2273   2.795  0.2616
33.7838   296.0  0.2292   2.807  0.2730
33.5570   298.0  0.2312   2.819  0.2853
33.3333   300.0  0.2332   2.832  0.2988
33.1126   302.0  0.2353   2.845  0.3136
32.8947   304.0  0.2375   2.858  0.3299
32.6797   306.0  0.2398   2.871  0.3477
32.4675   308.0  0.2421   2.884  0.3675
32.2581   310.0  0.2445   2.897  0.3894
32.0513   312.0  0.2469   2.909  0.4137
31.8471   314.0  0.2493   2.919  0.4405
31.6456   316.0  0.2516   2.928  0.4700
31.4465   318.0  0.2538   2.934  0.5020
31.2500   320.0  0.2557   2.936  0.5363
31.0559   322.0  0.2573   2.933  0.5720
30.8642   324.0  0.2584   2.925  0.6079
30.6748   326.0  0.2588   2.911  0.6421
30.4878   328.0  0.2584   2.892  0.6726
30.3030   330.0  0.2574   2.868  0.6975
30.1205   332.0  0.2558   2.843  0.7158
29.9401   334.0  0.2538   2.818  0.7271
29.7619   336.0  0.2518   2.796  0.7327
29.5858   338.0  0.2500   2.779  0.7343
29.4118   340.0  0.2486   2.767  0.7338
29.2398   342.0  0.2477   2.760  0.7331
29.0698   344.0  0.2474   2.757  0.7335
28.9017   346.0  0.2476   2.757  0.7361
28.7356   348.0  0.2483   2.760  0.7413
28.5714   350.0  0.2494   2.764  0.7493
28.4091   352.0  0.2508   2.769  0.7602
28.2486   354.0  0.2524   2.774  0.7740
28.0899   356.0  0.2543   2.779  0.7905
27.9330   358.0  0.2562   2.783  0.8095
27.7778   360.0  0.2582   2.786  0.8308
27.6243   362.0  0.2603   2.787  0.8542
27.4725   364.0  0.2624   2.786  0.8795
27.3224   366.0  0.2645   2.784  0.9064
27.1739   368.0  0.2665   2.779  0.9346
27.0270   370.0  0.2684   2.771  0.9640
26.8817   372.0  0.2702   2.761  0.9941
26.7380   374.0  0.2719   2.748   1.025
26.5957   376.0  0.2735   2.732   1.055
26.4550   378.0  0.2748   2.713   1.086
26.3158   380.0  0.2760   2.691   1.115
26.1780   382.0  0.2768   2.665   1.144
26.0417   384.0  0.2774   2.637   1.171
25.9067   386.0  0.2777   2.606   1.196
25.7732   388.0  0.2777   2.572   1.218
25.6410   390.0  0.2773   2.536   1.238
25.5102   392.0  0.2765   2.497   1.255
25.3807   394.0  0.2752   2.458   1.268
25.2525   396.0  0.2736   2.417   1.278
25.1256   398.0  0.2715   2.375   1.285
25.0000   400.0  0.2690   2.333   1.287
24.8756   402.0  0.2660   2.291   1.286
24.7525   404.0  0.2626   2.250   1.282
24.6305   406.0  0.2587   2.210   1.273
24.5098   408.0  0.2545   2.171   1.262
24.3902   410.0  0.2498   2.134   1.247
24.2718   412.0  0.2448   2.099   1.230
24.1546   414.0  0.2394   2.067   1.210
24.0385   416.0  0.2339   2.037   1.188
23.9234   418.0  0.2280   2.009   1.164
23.8095   420.0  0.2221   1.984   1.139
23.6967   422.0  0.2161   1.963   1.112
23.5849   424.0  0.2100   1.944   1.085
23.4742   426.0  0.2040   1.928   1.056
23.3645   428.0  0.1982   1.914   1.028
23.2558   430.0  0.1925   1.904  0.9992
23.1481   432.0  0.1871   1.896  0.9707
23.0415   434.0  0.1820   1.891  0.9427
22.9358   436.0  0.1773   1.889  0.9153
22.8311   438.0  0.1729   1.889  0.8887
22.7273   440.0  0.1691   1.891  0.8631
22.6244   442.0  0.1657   1.895  0.8387
22.5225   444.0  0.1627   1.902  0.8157
22.4215   446.0  0.1603   1.910  0.7940
22.3214   448.0  0.1584   1.920  0.7740
22.2222   450.0  0.1569   1.931  0.7555
22.1239   452.0  0.1559   1.944  0.7389
22.0264   454.0  0.1554   1.957  0.7240
21.9298   456.0  0.1553   1.972  0.7110
21.8341   458.0  0.1557   1.988  0.7000
21.7391   460.0  0.1564   2.004  0.6910
21.6450   462.0  0.1575   2.021  0.6841
21.5517   464.0  0.1589   2.039  0.6794
21.4592   466.0  0.1606   2.056  0.6768
21.3675   468.0  0.1626   2.074  0.6766
21.2766   470.0  0.1648   2.091  0.6786
21.1864   472.0  0.1672   2.107  0.6828
21.0970   474.0  0.1697   2.122  0.6893
21.0084   476.0  0.1722   2.136  0.6977
20.9205   478.0  0.1748   2.149  0.7079
20.8333   480.0  0.1773   2.159  0.7196
20.7469   482.0  0.1796   2.167  0.7322
20.6612   484.0  0.1817   2.172  0.7451
20.5761   486.0  0.1835   2.175  0.7577
20.4918   488.0  0.1850   2.176  0.7694
20.4082   490.0  0.1861   2.176  0.7794
20.3252   492.0  0.1869   2.174  0.7875
20.2429   494.0  0.1875   2.173  0.7936
20.1613   496.0  0.1880   2.173  0.7978
20.0803   498.0  0.1885   2.174  0.8008
20.0000   500.0  0.1892   2.178  0.8033
19.9203   502.0  0.1902   2.184  0.8062
19.8413   504.0  0.1917   2.193  0.8107
19.7628   506.0  0.1937   2.204  0.8176
19.6850   508.0  0.1964   2.217  0.8280
19.6078   510.0  0.1996   2.231  0.8425
19.5312   512.0  0.2033   2.244  0.8620
19.4553   514.0  0.2076   2.256  0.8866
19.3798   516.0  0.2122   2.265  0.9166
19.3050   518.0  0.2171   2.269  0.9514
19.2308   520.0  0.2219   2.267  0.9903
19.1571   522.0  0.2265   2.256   1.032
19.0840   524.0  0.2305   2.236   1.073
19.0114   526.0  0.2336   2.207   1.111
18.9394   528.0  0.2355   2.168   1.143
18.8679   530.0  0.2359   2.123   1.166
18.7970   532.0  0.2348   2.075   1.179
18.7266   534.0  0.2320   2.026   1.181
18.6567   536.0  0.2279   1.981   1.174
18.5874   538.0  0.2228   1.941   1.158
18.5185   540.0  0.2171   1.908   1.137
18.4502   542.0  0.2112   1.882   1.112
18.3824   544.0  0.2055   1.864   1.087
18.3150   546.0  0.2003   1.852   1.062
18.2482   548.0  0.1958   1.846   1.040
18.1818   550.0  0.1921   1.844   1.021
18.1159   552.0  0.1893   1.845   1.005
18.0505   554.0  0.1874   1.849  0.9923
17.9856   556.0  0.1861   1.853  0.9835
17.9211   558.0  0.1855   1.858  0.9780
17.8571   560.0  0.1855   1.863  0.9757
17.7936   562.0  0.1859   1.867  0.9763
17.7305   564.0  0.1866   1.870  0.9794
17.6678   566.0  0.1876   1.872  0.9846
17.6056   568.0  0.1888   1.871  0.9916
17.5439   570.0  0.1901   1.869   1.000
17.4825   572.0  0.1914   1.864   1.009
17.4216   574.0  0.1927   1.857   1.019
17.3611   576.0  0.1939   1.848   1.029
17.3010   578.0  0.1949   1.837   1.039
17.2414   580.0  0.1957   1.823   1.048
17.1821   582.0  0.1963   1.807   1.055
17.1233   584.0  0.1965   1.789   1.062
17.0648   586.0  0.1964   1.770   1.067
17.0068   588.0  0.1960   1.749   1.070
16.9492   590.0  0.1951   1.728   1.070
16.8919   592.0  0.1939   1.705   1.069
16.8350   594.0  0.1922   1.682   1.065
16.7785   596.0  0.1900   1.660   1.059
16.7224   598.0  0.1875   1.637   1.051
16.6667   600.0  0.1845   1.615   1.041
16.6113   602.0  0.1811   1.594   1.028
16.5563   604.0  0.1774   1.575   1.014
16.5017   606.0  0.1733   1.556  0.9979
16.4474   608.0  0.1690   1.539  0.9805
16.3934   610.0  0.1644   1.524  0.9617
16.3399   612.0  0.1597   1.510  0.9420
16.2866   614.0  0.1548   1.499  0.9215
16.2338   616.0  0.1498   1.489  0.9004
16.1812   618.0  0.1449   1.481  0.8790
16.1290   620.0  0.1400   1.474  0.8574
16.0772   622.0  0.1352   1.470  0.8358
16.0256   624.0  0.1306   1.467  0.8144
15.9744   626.0  0.1261   1.465  0.7934
15.9236   628.0  0.1219   1.466  0.7729
15.8730   630.0  0.1180   1.467  0.7530
15.8228   632.0  0.1144   1.470  0.7338
15.7729   634.0  0.1110   1.474  0.7154
15.7233   636.0  0.1080   1.479  0.6978
15.6740   638.0  0.1053   1.485  0.6812
15.6250   640.0  0.1029   1.492  0.6654
15.5763   642.0  0.1009   1.500  0.6507
15.5280   644.0  0.0991   1.508  0.6369
15.4799   646.0  0.0976   1.517  0.6241
15.4321   648.0  0.0964   1.526  0.6122
15.3846   650.0  0.0955   1.535  0.6014
15.3374   652.0  0.0948   1.545  0.5915
15.2905   654.0  0.0943   1.555  0.5825
15.2439   656.0  0.0940   1.565  0.5744
15.1976   658.0  0.0939   1.575  0.5672
15.1515   660.0  0.0939   1.586  0.5609
15.1057   662.0  0.0941   1.596  0.5554
15.0602   664.0  0.0945   1.606  0.5507
15.0150   666.0  0.0950   1.616  0.5467
