alpha-SiO2 extraordinary ray from Handbook of optical constants of 
solids, edited by E.D. Palik (1985) Academic Press.  Values set to 
-1.e+32 where data is not provided.  Values between 4.99 and 32.001
microns come from application of dispersion calculations using the
oscillator parameters from Spitzer and Kleinman, Phys. Rev., 121, 1324,
1961.  Data beyond 32.001 microns is from the Palik reference.
Wavel.    real imag.
microns  index index
--------------------
0.1851 1.68988 -1.e+32
0.185467 1.68997 -1.e+32
0.193583 1.67343 -1.e+32
0.1980 1.66394 -1.e+32
0.20006 1.66227 -1.e+32
0.20255 1.65842 -1.e+32
0.204448 1.65562 -1.e+32
0.21107 1.64671 -1.e+32
0.214439 1.64262 -1.e+32
0.2194621.63698 -1.e+32
0.226503 1.62992 -1.e+32
0.2310 1.62555 -1.e+32
0.2312881.62559 -1.e+32
0.242796 1.61650 -1.e+32
0.250329 1.61139 -1.e+32
0.257304 1.60714 -1.e+32
0.263155 1.60389 -1.e+32
0.274867 1.59813 -1.e+32
0.291358 1.59136 -1.e+32
0.303412 1.58720 -1.e+32
0.312279 1.584485 -1.e+32
0.325253 1.58095 -1.e+32
0.3400 1.57737 -1.e+32
0.340365 1.577385 -1.e+32
0.35868 1.573705 -1.e+32
0.3940 1.56805 -1.e+32
0.396848 1.56772 -1.e+32
0.404656 1.56671 -1.e+32
0.410174 1.566031 -1.e+32
0.4340 1.56339 -1.e+32
0.434047 1.563405 -1.e+32
0.435834 1.563225 -1.e+32
0.467815 1.560368 -1.e+32
0.479991 1.550118 -1.e+32
0.486133 1.558979 -1.e+32
0.5080 1.55746 -1.e+32
0.508582 1.557475 -1.e+32
0.518362 1.55687 -1.e+32
0.53385 1.555996 -1.e+32
0.546072 1.555350 -1.e+32
0.579066 1.553791 -1.e+32
0.587563 1.553428 -1.e+32
0.58929 1.553355 -1.e+32
0.5893 1.55335 -1.e+32
0.62782 1.551880 -1.e+32
0.643847 1.551332 -1.e+32
0.656278 1.550929 -1.e+32
0.667815 1.550573 -1.e+32
0.670786 1.550483 -1.e+32
0.706520 1.549472 -1.e+32
0.728135 1.548913 -1.e+32
0.766494 1.548005 -1.e+32
0.7680 1.54794 -1.e+32
0.794763 1.547392 -1.e+32
0.8325 1.54661 -1.e+32
0.84467 1.54640 -1.e+32
0.9914 1.54392 -1.e+32
1.00000 1.54381 -1.e+32
1.01406 1.54360 -1.e+32
1.08303 1.54260 -1.e+32
1.1592 1.54152 -1.e+32
1.20000 1.54098 -1.e+32
1.30000 1.53962 -1.e+32
1.3070 1.53951 -1.e+32
1.3958 1.53832 -1.e+32
1.40000 1.53826 -1.e+32
1.4792 1.53716 -1.e+32
1.52961 1.53646 -1.e+32
1.5414 1.53630 -1.e+32
1.60000 1.53545 -1.e+32
1.6815 1.53422 -1.e+32
1.7614 1.53301 -1.e+32
1.80000  1.53242 -1.e+32
1.9457 1.53004 -1.e+32
2.0531 1.52823 -1.e+32
2.05820 1.52814 -1.e+32
2.50000 1.5195 -1.e+32
3.000 1.507 -1.e+32
3.500 1.492 -1.e+32
4.000 1.473 -1.e+32
4.200 1.465 -1.e+32
4.400 1.455 -1.e+32
4.600 1.444 -1.e+32
4.800 1.432 -1.e+32
   4.999   1.4208    6.3567E-04
   5.004   1.4204    6.3858E-04
   5.009   1.4201    6.4151E-04
   5.014   1.4198    6.4446E-04
   5.019   1.4194    6.4743E-04
   5.023   1.4191    6.5042E-04
   5.028   1.4188    6.5344E-04
   5.033   1.4184    6.5645E-04
   5.038   1.4181    6.5950E-04
   5.043   1.4178    6.6258E-04
   5.048   1.4174    6.6567E-04
   5.053   1.4171    6.6878E-04
   5.058   1.4167    6.7192E-04
   5.063   1.4164    6.7508E-04
   5.068   1.4160    6.7826E-04
   5.073   1.4157    6.8146E-04
   5.077   1.4153    6.8466E-04
   5.083   1.4150    6.8791E-04
   5.088   1.4146    6.9117E-04
   5.092   1.4142    6.9446E-04
   5.098   1.4139    6.9778E-04
   5.103   1.4135    7.0111E-04
   5.108   1.4132    7.0447E-04
   5.113   1.4128    7.0785E-04
   5.118   1.4124    7.1126E-04
   5.123   1.4121    7.1469E-04
   5.128   1.4117    7.1813E-04
   5.133   1.4113    7.2160E-04
   5.138   1.4109    7.2511E-04
   5.143   1.4106    7.2863E-04
   5.148   1.4102    7.3219E-04
   5.153   1.4098    7.3577E-04
   5.158   1.4094    7.3937E-04
   5.163   1.4090    7.4300E-04
   5.169   1.4087    7.4665E-04
   5.174   1.4083    7.5032E-04
   5.179   1.4079    7.5403E-04
   5.184   1.4075    7.5776E-04
   5.189   1.4071    7.6152E-04
   5.195   1.4067    7.6531E-04
   5.200   1.4063    7.6913E-04
   5.205   1.4059    7.7298E-04
   5.210   1.4055    7.7685E-04
   5.215   1.4051    7.8075E-04
   5.221   1.4047    7.8466E-04
   5.226   1.4043    7.8862E-04
   5.231   1.4039    7.9261E-04
   5.236   1.4035    7.9663E-04
   5.242   1.4031    8.0067E-04
   5.247   1.4027    8.0475E-04
   5.252   1.4023    8.0886E-04
   5.258   1.4018    8.1300E-04
   5.263   1.4014    8.1717E-04
   5.268   1.4010    8.2137E-04
   5.274   1.4006    8.2558E-04
   5.279   1.4001    8.2985E-04
   5.285   1.3997    8.3414E-04
   5.290   1.3993    8.3847E-04
   5.295   1.3988    8.4284E-04
   5.301   1.3984    8.4723E-04
   5.306   1.3980    8.5166E-04
   5.312   1.3975    8.5613E-04
   5.317   1.3971    8.6063E-04
   5.323   1.3967    8.6514E-04
   5.328   1.3962    8.6970E-04
   5.334   1.3958    8.7431E-04
   5.339   1.3953    8.7895E-04
   5.344   1.3949    8.8362E-04
   5.350   1.3944    8.8833E-04
   5.356   1.3939    8.9308E-04
   5.361   1.3935    8.9787E-04
   5.367   1.3930    9.0269E-04
   5.372   1.3926    9.0756E-04
   5.378   1.3921    9.1243E-04
   5.383   1.3916    9.1737E-04
   5.389   1.3911    9.2235E-04
   5.395   1.3907    9.2737E-04
   5.400   1.3902    9.3243E-04
   5.406   1.3897    9.3753E-04
   5.412   1.3892    9.4267E-04
   5.417   1.3887    9.4785E-04
   5.423   1.3883    9.5307E-04
   5.429   1.3878    9.5831E-04
   5.434   1.3873    9.6362E-04
   5.440   1.3868    9.6897E-04
   5.446   1.3863    9.7437E-04
   5.451   1.3858    9.7981E-04
   5.457   1.3853    9.8530E-04
   5.463   1.3848    9.9083E-04
   5.469   1.3843    9.9640E-04
   5.474   1.3837    1.0020E-03
   5.480   1.3832    1.0077E-03
   5.486   1.3827    1.0134E-03
   5.492   1.3822    1.0191E-03
   5.498   1.3817    1.0250E-03
   5.503   1.3811    1.0308E-03
   5.509   1.3806    1.0367E-03
   5.515   1.3801    1.0427E-03
   5.521   1.3795    1.0487E-03
   5.527   1.3790    1.0548E-03
   5.533   1.3785    1.0609E-03
   5.539   1.3779    1.0670E-03
   5.544   1.3774    1.0732E-03
   5.551   1.3768    1.0795E-03
   5.556   1.3763    1.0859E-03
   5.562   1.3757    1.0922E-03
   5.569   1.3752    1.0987E-03
   5.574   1.3746    1.1052E-03
   5.580   1.3740    1.1117E-03
   5.587   1.3734    1.1183E-03
   5.593   1.3729    1.1250E-03
   5.598   1.3723    1.1317E-03
   5.604   1.3717    1.1385E-03
   5.611   1.3711    1.1453E-03
   5.617   1.3706    1.1522E-03
   5.623   1.3700    1.1592E-03
   5.629   1.3694    1.1662E-03
   5.635   1.3688    1.1733E-03
   5.641   1.3682    1.1805E-03
   5.647   1.3676    1.1877E-03
   5.654   1.3670    1.1950E-03
   5.660   1.3663    1.2023E-03
   5.666   1.3657    1.2097E-03
   5.672   1.3651    1.2172E-03
   5.678   1.3645    1.2248E-03
   5.684   1.3639    1.2324E-03
   5.691   1.3632    1.2401E-03
   5.697   1.3626    1.2479E-03
   5.703   1.3620    1.2557E-03
   5.709   1.3613    1.2636E-03
   5.716   1.3607    1.2716E-03
   5.722   1.3600    1.2797E-03
   5.728   1.3594    1.2878E-03
   5.735   1.3587    1.2960E-03
   5.741   1.3581    1.3043E-03
   5.747   1.3574    1.3127E-03
   5.754   1.3567    1.3212E-03
