lambda	E-ray n	E-ray k (Wenrich and Christensen, 1996)
50.3	2.23	4.86E-03
49.8	2.24	4.97E-03
49.3	2.24	5.07E-03
49	2.24	5.19E-03
48.5	2.24	5.30E-03
48.1	2.25	5.42E-03
47.6	2.25	5.54E-03
47.2	2.25	5.67E-03
46.7	2.26	5.80E-03
46.3	2.26	5.93E-03
45.9	2.26	6.07E-03
45.5	2.27	6.21E-03
45	2.27	6.36E-03
44.6	2.27	6.51E-03
44.2	2.28	6.67E-03
43.9	2.28	6.84E-03
43.5	2.28	7.01E-03
43.3	2.29	7.18E-03
42.9	2.29	7.36E-03
42.6	2.3	7.55E-03
42.2	2.3	7.75E-03
41.8	2.3	7.95E-03
41.5	2.31	8.16E-03
41.2	2.31	8.38E-03
40.8	2.32	8.61E-03
40.5	2.32	8.85E-03
40.2	2.33	9.10E-03
39.8	2.33	9.36E-03
39.5	2.34	9.63E-03
39.2	2.34	9.91E-03
38.9	2.35	1.02E-02
38.8	2.35	1.05E-02
38.5	2.36	1.08E-02
38.2	2.37	1.12E-02
37.9	2.37	1.15E-02
37.6	2.38	1.19E-02
37.3	2.39	1.23E-02
37	2.39	1.27E-02
36.8	2.4	1.32E-02
36.5	2.41	1.36E-02
36.2	2.42	1.41E-02
36	2.42	1.47E-02
35.7	2.43	1.52E-02
35.5	2.44	1.58E-02
35.2	2.45	1.64E-02
35.1	2.46	1.71E-02
34.8	2.47	1.78E-02
34.6	2.48	1.85E-02
34.4	2.49	1.94E-02
34.1	2.5	2.02E-02
33.9	2.51	2.12E-02
33.7	2.52	2.22E-02
33.4	2.53	2.33E-02
33.2	2.55	2.44E-02
33	2.56	2.57E-02
32.8	2.58	2.71E-02
32.6	2.59	2.86E-02
32.4	2.61	3.03E-02
32.2	2.62	3.21E-02
32.1	2.64	3.41E-02
31.8	2.66	3.63E-02
31.6	2.68	3.88E-02
31.4	2.71	4.15E-02
31.3	2.73	4.46E-02
31.1	2.75	4.80E-02
30.9	2.78	5.19E-02
30.7	2.81	5.64E-02
30.5	2.84	6.15E-02
30.3	2.88	6.73E-02
30.1	2.92	7.41E-02
29.9	2.96	8.21E-02
29.8	3.01	9.15E-02
29.6	3.06	0.103
29.5	3.12	0.116
29.3	3.19	0.133
29.2	3.26	0.154
29	3.35	0.181
28.8	3.46	0.215
28.7	3.58	0.262
28.5	3.73	0.325
28.3	3.91	0.416
28.2	4.14	0.554
28	4.42	0.774
27.9	4.77	1.15
27.7	5.13	1.85
27.5	5.11	3.05
27.4	4.13	4.21
27.3	2.68	4.39
27.2	1.73	3.91
27	1.21	3.38
26.9	0.917	2.91
26.7	0.74	2.51
26.6	0.629	2.16
26.5	0.561	1.86
26.3	0.522	1.57
26.2	0.51	1.31
26	0.529	1.04
25.9	0.591	0.789
25.8	0.711	0.564
25.6	0.866	0.403
25.5	1.02	0.302
25.4	1.15	0.239
25.3	1.26	0.196
25.2	1.35	0.166
25.1	1.43	0.144
24.9	1.5	0.126
24.8	1.57	0.113
24.7	1.63	0.102
24.6	1.68	9.33E-02
24.4	1.73	8.62E-02
24.3	1.77	8.03E-02
24.2	1.82	7.55E-02
24.1	1.86	7.15E-02
24	1.89	6.83E-02
23.9	1.93	6.56E-02
23.8	1.97	6.34E-02
23.7	2	6.17E-02
23.6	2.03	6.04E-02
23.5	2.07	5.95E-02
23.4	2.1	5.89E-02
23.3	2.13	5.86E-02
23.1	2.16	5.87E-02
23	2.2	5.90E-02
22.9	2.23	5.97E-02
22.8	2.26	6.06E-02
22.7	2.3	6.19E-02
22.6	2.33	6.35E-02
22.5	2.37	6.55E-02
22.4	2.4	6.78E-02
22.3	2.44	7.06E-02
22.2	2.52	7.77E-02
22.1	2.57	8.21E-02
22	2.61	8.73E-02
21.9	2.66	9.32E-02
21.8	2.71	0.1
21.7	2.77	0.108
21.6	2.83	0.118
21.5	2.9	0.129
21.4	2.98	0.143
21.3	3.06	0.159
21.2	3.15	0.179
21.1	3.25	0.204
21	3.5	0.275
20.9	3.66	0.327
20.8	3.85	0.397
20.7	4.07	0.496
20.6	4.69	0.865
20.5	5.11	1.24
20.4	5.59	1.9
20.3	5.9	3.1
20.2	5.28	4.73
20.1	2.27	5.2
20	1.51	4.63
19.9	1.09	4.11
19.8	0.716	3.33
19.7	0.651	3.06
19.6	0.589	2.88
19.5	0.407	2.55
19.4	0.344	2.37
