alpha-SiO2 ordinary ray from Handbook of optical constants of solids, 
edited by E.D. Palik (1985) Academic Press.  Values set to -1.e+32 
where data is not provided.  Values between 4.99 and 29.966 microns are
from a dispersion calculation using the oscillator parameters of Spitzer
and Kleinman, Phys. Rev., 121, 1324, 1961.  Data beyond 29.966 are from
the Palik reference
Wavel.    real imag.
microns  index index
--------------------
0.04769 0.6285 0.3243
0.04862 0.6432 0.3609
0.04959 0.6517 0.3907
0.05061 0.6591 0.4231
0.05166 0.6723 0.4540
0.05276 0.6862 0.4822
0.05391 0.6998 0.5097
0.05510 0.7138 0.5387
0.5636 0.7304 0.5667
0.05767 0.7470 0.5959
0.05904 0.7664 0.6272
0.06048 0.7900 0.6559
0.06199 0.8131 0.6844
0.06358 0.8371 0.7154
0.06526 0.8642 0.7488
0.06702 0.8949 0.7847
0.06888 0.9289 0.8273
0.06985 0.9499 0.8619
0.07085 0.9894 0.8987
0.07125 1.013 0.9108
0.07187 1.052 0.9236
0.07293 1.118 0.9153
0.07402 1.169 0.8917
0.07514 1.205 0.8599
0.07629 1.224 0.8223
0.07749 1.221 0.7896
0.07872 1.210 0.7848
0.07999 1.202 0.7841
0.08130 1.191 0.7968
0.08266 1.184 0.8265
0.08377 1.187 0.8694
0.08492 1.217 0.9290
0.08610 1.285 0.9724
0.08670 1.335 0.9829
0.08731 1.386 0.9709
0.08856 1.457 0.9187
0.08984 1.484 0.8462
0.09116 1.469 0.7910
0.09252 1.447 0.7761
0.09392 1.430 0.7715
0.09537 1.410 0.7753
0.09686 1.394 0.8017
0.09839 1.390 0.8406
0.09998 1.400 0.8908
0.1016 1.435 0.9573
0.1033 1.504 1.015
0.1042 1.551 1.035
0.1051 1.602 1.048
0.1060 1.661 1.056
0.1069 1.722 1.046
0.1078 1.782 1.027
0.1088 1.839 0.9939
0.1097 1.892 0.9452
0.1107 1.924 0.8730
0.1117 1.925 0.7958
0.1127 1.891 0.7210
0.1137 1.805 0.6597
0.1143 1.738 0.6418
0.1145 1.688 0.6356
0.1148 1.626 0.6732
0.1153 1.569 0.7594
0.1159 1.528 0.8463
0.1164 1.506 0.9666
0.1170 1.521 1.114
0.1175 1.607 1.289
0.1181 1.769 1.400
0.1186 1.959 1.454
0.1192 2.159 1.452
0.1196 2.289 1.423
0.1198 2.373 1.378
0.1204 2.515 1.229
0.1210 2.590 1.072
0.1215 2.619 0.9326
0.1227 2.621 0.7123
0.1240 2.581 0.5441
0.1252 2.529 0.4161
0.1265 2.464 0.3148
0.1278 2.397 0.2402
0.1291 2.335 0.17
0.1305 2.275 0.12
0.1319 2.222 0.082
0.1333 2.174 0.056
0.1348 2.133 0.036
0.1362 2.095 0.023
0.1378 2.060 0.013
0.1393 2.028 7.0e-3
0.1409 1.999 3.1e-3
0.1425 1.971 1.0e-3
0.1442 1.946 2.3e-4
0.1459 1.922 3.5e-5
0.1476 1.899 2.7e-6
0.1494 1.877 -1.e+32
0.1512 1.856 -1.e+32
0.1531 1.838 -1.e+32
0.1550 1.820 -1.e+32
0.1590 1.789 -1.e+32
0.1631 1.761 -1.e+32
0.1675 1.737 -1.e+32
0.1722 1.716 -1.e+32
0.1771 1.698 -1.e+32
0.1837 1.679 -1.e+32
0.1851 1.6775 -1.e+32
0.185467 1.67578 -1.e+32
0.193583 1.65999 -1.e+32
0.1980 1.65087 -1.e+32
0.20006 1.64927 -1.e+32
0.20255 1.64557 -1.e+32
0.204448 1.64288 -1.e+32
0.21107 1.63432  -1.e+32
0.214439 1.63039 -1.e+32
0.219462 1.62497 -1.e+32
0.226503 1.61818  -1.e+32
0.2310 1.61395 -1.e+32
0.231288 1.61401 -1.e+32
0.242796 1.60525 -1.e+32
0.250329 1.60032 -1.e+32
0.257304 1.59622 -1.e+32
0.263155 1.59309 -1.e+32
0.274867 1.58752 -1.e+32
0.291358 1.58098 -1.e+32
0.303412 1.57955 -1.e+32
0.312279 1.57433 -1.e+32
0.325253 1.570915 -1.e+32
0.3400 1.56747 -1.e+32
0.340365 1.56747 -1.e+32
0.35868 1.563915 -1.e+32
0.3940 1.55846 -1.e+32
0.396848 1.55813 -1.e+32
0.404656 1.557156 -1.e+32
0.410174 1.556502 -1.e+32
0.4340 1.55396 -1.e+32
0.434047 1.553963 -1.e+32
0.435834 1.553790 -1.e+32
0.467815 1.551027 -1.e+32
0.479991 1.550118 -1.e+32
0.486133 1.549683 -1.e+32
0.5080 1.54822 -1.e+32
0.508582 1.548229 -1.e+32
0.518362 1.547651 -1.e+32
0.53385 1.54679 -1.e+32
0.546072 1.546174 -1.e+32
0.579066 1.544667 -1.e+32
0.587563 1.544316 -1.e+32
0.58929 1.544246 -1.e+32
0.5893 1.54424 -1.e+32
0.62782 1.542819 -1.e+32
0.643847 1.542288 -1.e+32
0.656278 1.541899 -1.e+32
0.667815 1.541553 -1.e+32
0.670786 1.541466 -1.e+32
0.706520 1.540488 -1.e+32
0.728135 1.539948 -1.e+32
0.766494 1.539071 -1.e+32
0.7680 1.53903 -1.e+32
0.794763 1.538478 -1.e+32
0.8325 1.53773 -1.e+32
0.84467 1.537525 -1.e+32
0.9914 1.53514 -1.e+32
1.00000 1.53503 -1.e+32
1.01406 1.53483 -1.e+32
1.08303 1.53387 -1.e+32
1.1592 1.53283 -1.e+32
1.20000 1.53232 -1.e+32
1.30000 1.53102 -1.e+32
1.3070 1.53090 -1.e+32
1.3958 1.52977 -1.e+32
1.40000 1.52972 -1.e+32
