lambda	O-ray n	O-ray k (Wenrich and Christensen, 1996)
50.3	2.18	3.34E-03
49.8	2.19	3.40E-03
49.3	2.19	3.46E-03
49	2.19	3.52E-03
48.5	2.19	3.59E-03
48.1	2.19	3.65E-03
47.6	2.2	3.72E-03
47.2	2.2	3.78E-03
46.7	2.2	3.85E-03
46.3	2.2	3.92E-03
45.9	2.21	3.99E-03
45.5	2.21	4.06E-03
45	2.21	4.14E-03
44.6	2.21	4.21E-03
44.2	2.22	4.29E-03
43.9	2.22	4.37E-03
43.5	2.22	4.45E-03
43.3	2.23	4.54E-03
42.9	2.23	4.62E-03
42.6	2.23	4.71E-03
42.2	2.23	4.80E-03
41.8	2.24	4.90E-03
41.5	2.24	4.99E-03
41.2	2.24	5.09E-03
40.8	2.25	5.19E-03
40.5	2.25	5.30E-03
40.2	2.25	5.40E-03
39.8	2.26	5.51E-03
39.5	2.26	5.63E-03
39.2	2.26	5.74E-03
38.9	2.27	5.86E-03
38.8	2.27	5.99E-03
38.5	2.28	6.12E-03
38.2	2.28	6.25E-03
37.9	2.28	6.39E-03
37.6	2.29	6.53E-03
37.3	2.29	6.67E-03
37	2.3	6.82E-03
36.8	2.3	6.98E-03
36.5	2.31	7.14E-03
36.2	2.31	7.31E-03
36	2.32	7.49E-03
35.7	2.32	7.67E-03
35.5	2.33	7.85E-03
35.2	2.33	8.05E-03
35.1	2.34	8.25E-03
34.8	2.34	8.47E-03
34.6	2.35	8.69E-03
34.4	2.36	8.92E-03
34.1	2.36	9.16E-03
33.9	2.37	9.41E-03
33.7	2.38	9.67E-03
33.4	2.38	9.95E-03
33.2	2.39	1.02E-02
33	2.4	1.05E-02
32.8	2.4	1.09E-02
32.6	2.41	1.12E-02
32.4	2.42	1.15E-02
32.2	2.43	1.19E-02
32.1	2.44	1.23E-02
31.8	2.45	1.27E-02
31.6	2.45	1.32E-02
31.4	2.46	1.36E-02
31.3	2.47	1.41E-02
31.1	2.48	1.46E-02
30.9	2.5	1.52E-02
30.7	2.51	1.58E-02
30.5	2.52	1.64E-02
30.3	2.53	1.71E-02
30.1	2.54	1.78E-02
29.9	2.56	1.86E-02
29.8	2.57	1.95E-02
29.6	2.59	2.04E-02
29.5	2.6	2.14E-02
