From Roush 1995, Optical constants of amorphous carbon
in the mid-IR (2.5-25 mm, 4000-400 cm-1), Planet. Space
Sci., 43 (10/11), 1297-1301.

 wavelength  calculated     real      imaginary
  (microns) reflectance     index       index
 2.5002E+00  8.2386E-02  1.7291E+00   2.9850E-01
 2.5014E+00  8.2409E-02  1.7291E+00   2.9884E-01
 2.5026E+00  8.2433E-02  1.7291E+00   2.9918E-01
 2.5038E+00  8.2456E-02  1.7291E+00   2.9953E-01
 2.5051E+00  8.2480E-02  1.7291E+00   2.9987E-01
 2.5063E+00  8.2504E-02  1.7291E+00   3.0022E-01
 2.5075E+00  8.2528E-02  1.7291E+00   3.0057E-01
 2.5087E+00  8.2552E-02  1.7291E+00   3.0091E-01
 2.5099E+00  8.2576E-02  1.7290E+00   3.0126E-01
 2.5111E+00  8.2600E-02  1.7290E+00   3.0161E-01
 2.5123E+00  8.2625E-02  1.7290E+00   3.0196E-01
 2.5136E+00  8.2649E-02  1.7290E+00   3.0231E-01
 2.5148E+00  8.2674E-02  1.7290E+00   3.0266E-01
 2.5160E+00  8.2699E-02  1.7290E+00   3.0301E-01
 2.5172E+00  8.2724E-02  1.7290E+00   3.0336E-01
 2.5184E+00  8.2749E-02  1.7290E+00   3.0371E-01
 2.5197E+00  8.2774E-02  1.7290E+00   3.0406E-01
 2.5209E+00  8.2799E-02  1.7290E+00   3.0441E-01
 2.5221E+00  8.2824E-02  1.7290E+00   3.0477E-01
 2.5234E+00  8.2850E-02  1.7290E+00   3.0512E-01
 2.5246E+00  8.2875E-02  1.7290E+00   3.0548E-01
 2.5258E+00  8.2901E-02  1.7289E+00   3.0583E-01
 2.5270E+00  8.2927E-02  1.7289E+00   3.0619E-01
 2.5283E+00  8.2953E-02  1.7289E+00   3.0655E-01
 2.5295E+00  8.2979E-02  1.7289E+00   3.0690E-01
 2.5307E+00  8.3006E-02  1.7289E+00   3.0726E-01
 2.5320E+00  8.3032E-02  1.7289E+00   3.0762E-01
 2.5332E+00  8.3058E-02  1.7289E+00   3.0797E-01
 2.5344E+00  8.3085E-02  1.7289E+00   3.0833E-01
 2.5357E+00  8.3112E-02  1.7289E+00   3.0870E-01
 2.5369E+00  8.3139E-02  1.7289E+00   3.0906E-01
 2.5382E+00  8.3166E-02  1.7289E+00   3.0942E-01
 2.5394E+00  8.3193E-02  1.7289E+00   3.0978E-01
 2.5406E+00  8.3220E-02  1.7289E+00   3.1014E-01
 2.5419E+00  8.3248E-02  1.7289E+00   3.1051E-01
 2.5431E+00  8.3275E-02  1.7289E+00   3.1087E-01
 2.5444E+00  8.3303E-02  1.7289E+00   3.1124E-01
 2.5456E+00  8.3331E-02  1.7289E+00   3.1160E-01
 2.5469E+00  8.3359E-02  1.7289E+00   3.1197E-01
 2.5481E+00  8.3387E-02  1.7289E+00   3.1233E-01
 2.5494E+00  8.3415E-02  1.7289E+00   3.1270E-01
 2.5507E+00  8.3444E-02  1.7289E+00   3.1307E-01
 2.5519E+00  8.3472E-02  1.7289E+00   3.1344E-01
 2.5532E+00  8.3501E-02  1.7289E+00   3.1381E-01
 2.5544E+00  8.3530E-02  1.7289E+00   3.1418E-01
 2.5557E+00  8.3559E-02  1.7290E+00   3.1455E-01
 2.5569E+00  8.3588E-02  1.7290E+00   3.1492E-01
 2.5582E+00  8.3617E-02  1.7290E+00   3.1529E-01
 2.5595E+00  8.3647E-02  1.7290E+00   3.1566E-01
 2.5607E+00  8.3676E-02  1.7290E+00   3.1604E-01
 2.5620E+00  8.3706E-02  1.7290E+00   3.1641E-01
 2.5633E+00  8.3736E-02  1.7290E+00   3.1679E-01
 2.5645E+00  8.3765E-02  1.7290E+00   3.1716E-01
 2.5658E+00  8.3796E-02  1.7290E+00   3.1753E-01
 2.5671E+00  8.3826E-02  1.7290E+00   3.1791E-01
 2.5683E+00  8.3857E-02  1.7290E+00   3.1829E-01
 2.5696E+00  8.3887E-02  1.7290E+00   3.1867E-01
 2.5709E+00  8.3918E-02  1.7290E+00   3.1905E-01
 2.5722E+00  8.3949E-02  1.7291E+00   3.1943E-01
 2.5734E+00  8.3980E-02  1.7291E+00   3.1980E-01
 2.5747E+00  8.4011E-02  1.7291E+00   3.2018E-01
 2.5760E+00  8.4042E-02  1.7291E+00   3.2057E-01
 2.5773E+00  8.4074E-02  1.7291E+00   3.2095E-01
 2.5786E+00  8.4106E-02  1.7291E+00   3.2133E-01
 2.5798E+00  8.4137E-02  1.7291E+00   3.2172E-01
 2.5811E+00  8.4169E-02  1.7292E+00   3.2210E-01
 2.5824E+00  8.4201E-02  1.7292E+00   3.2248E-01
 2.5837E+00  8.4234E-02  1.7292E+00   3.2287E-01
 2.5850E+00  8.4266E-02  1.7292E+00   3.2325E-01
 2.5863E+00  8.4299E-02  1.7292E+00   3.2364E-01
 2.5876E+00  8.4332E-02  1.7292E+00   3.2403E-01
 2.5889E+00  8.4365E-02  1.7293E+00   3.2442E-01
 2.5901E+00  8.4398E-02  1.7293E+00   3.2480E-01
 2.5914E+00  8.4431E-02  1.7293E+00   3.2519E-01
 2.5927E+00  8.4465E-02  1.7293E+00   3.2559E-01
 2.5940E+00  8.4498E-02  1.7293E+00   3.2597E-01
 2.5953E+00  8.4532E-02  1.7294E+00   3.2637E-01
 2.5966E+00  8.4566E-02  1.7294E+00   3.2676E-01
 2.5979E+00  8.4600E-02  1.7294E+00   3.2715E-01
 2.5992E+00  8.4634E-02  1.7294E+00   3.2754E-01
 2.6005E+00  8.4669E-02  1.7295E+00   3.2794E-01
 2.6018E+00  8.4703E-02  1.7295E+00   3.2833E-01
 2.6031E+00  8.4738E-02  1.7295E+00   3.2873E-01
 2.6045E+00  8.4773E-02  1.7295E+00   3.2913E-01
 2.6058E+00  8.4809E-02  1.7296E+00   3.2952E-01
 2.6071E+00  8.4844E-02  1.7296E+00   3.2992E-01
 2.6084E+00  8.4879E-02  1.7296E+00   3.3032E-01
 2.6097E+00  8.4915E-02  1.7296E+00   3.3072E-01
 2.6110E+00  8.4951E-02  1.7297E+00   3.3112E-01
 2.6123E+00  8.4987E-02  1.7297E+00   3.3152E-01
 2.6136E+00  8.5024E-02  1.7297E+00   3.3192E-01
 2.6150E+00  8.5060E-02  1.7298E+00   3.3232E-01
 2.6163E+00  8.5096E-02  1.7298E+00   3.3272E-01
 2.6176E+00  8.5133E-02  1.7298E+00   3.3313E-01
 2.6189E+00  8.5170E-02  1.7299E+00   3.3353E-01
 2.6202E+00  8.5208E-02  1.7299E+00   3.3394E-01
 2.6216E+00  8.5245E-02  1.7299E+00   3.3434E-01
 2.6229E+00  8.5283E-02  1.7300E+00   3.3475E-01
 2.6242E+00  8.5320E-02  1.7300E+00   3.3515E-01
 2.6256E+00  8.5358E-02  1.7300E+00   3.3556E-01
 2.6269E+00  8.5397E-02  1.7301E+00   3.3597E-01
 2.6282E+00  8.5435E-02  1.7301E+00   3.3638E-01
 2.6296E+00  8.5473E-02  1.7302E+00   3.3679E-01
 2.6309E+00  8.5512E-02  1.7302E+00   3.3720E-01
 2.6322E+00  8.5551E-02  1.7302E+00   3.3761E-01
 2.6336E+00  8.5590E-02  1.7303E+00   3.3802E-01
 2.6349E+00  8.5629E-02  1.7303E+00   3.3843E-01
 2.6362E+00  8.5669E-02  1.7304E+00   3.3884E-01
 2.6376E+00  8.5709E-02  1.7304E+00   3.3926E-01
 2.6389E+00  8.5749E-02  1.7305E+00   3.3967E-01
 2.6403E+00  8.5789E-02  1.7305E+00   3.4009E-01
 2.6416E+00  8.5829E-02  1.7306E+00   3.4050E-01
 2.6429E+00  8.5870E-02  1.7306E+00   3.4092E-01
 2.6443E+00  8.5910E-02  1.7306E+00   3.4134E-01
 2.6456E+00  8.5951E-02  1.7307E+00   3.4175E-01
 2.6470E+00  8.5993E-02  1.7307E+00   3.4217E-01
 2.6484E+00  8.6034E-02  1.7308E+00   3.4259E-01
 2.6497E+00  8.6076E-02  1.7309E+00   3.4301E-01
 2.6511E+00  8.6117E-02  1.7309E+00   3.4343E-01
 2.6524E+00  8.6159E-02  1.7310E+00   3.4385E-01
 2.6538E+00  8.6201E-02  1.7310E+00   3.4427E-01
 2.6551E+00  8.6244E-02  1.7311E+00   3.4469E-01
 2.6565E+00  8.6287E-02  1.7311E+00   3.4512E-01
 2.6579E+00  8.6330E-02  1.7312E+00   3.4554E-01
 2.6592E+00  8.6372E-02  1.7312E+00   3.4596E-01
 2.6606E+00  8.6416E-02  1.7313E+00   3.4639E-01
 2.6620E+00  8.6460E-02  1.7314E+00   3.4682E-01
 2.6633E+00  8.6503E-02  1.7314E+00   3.4724E-01
 2.6647E+00  8.6547E-02  1.7315E+00   3.4767E-01
 2.6661E+00  8.6592E-02  1.7316E+00   3.4810E-01
 2.6674E+00  8.6636E-02  1.7316E+00   3.4853E-01
 2.6688E+00  8.6680E-02  1.7317E+00   3.4895E-01
 2.6702E+00  8.6725E-02  1.7318E+00   3.4938E-01
 2.6715E+00  8.6770E-02  1.7318E+00   3.4981E-01
 2.6729E+00  8.6815E-02  1.7319E+00   3.5024E-01
 2.6743E+00  8.6861E-02  1.7320E+00   3.5067E-01
 2.6757E+00  8.6907E-02  1.7320E+00   3.5111E-01
 2.6771E+00  8.6953E-02  1.7321E+00   3.5153E-01
 2.6784E+00  8.6999E-02  1.7322E+00   3.5197E-01
 2.6798E+00  8.7045E-02  1.7323E+00   3.5240E-01
 2.6812E+00  8.7092E-02  1.7323E+00   3.5284E-01
 2.6826E+00  8.7139E-02  1.7324E+00   3.5327E-01
 2.6840E+00  8.7186E-02  1.7325E+00   3.5371E-01
 2.6854E+00  8.7234E-02  1.7326E+00   3.5414E-01
 2.6868E+00  8.7281E-02  1.7326E+00   3.5458E-01
 2.6882E+00  8.7329E-02  1.7327E+00   3.5501E-01
 2.6896E+00  8.7377E-02  1.7328E+00   3.5545E-01
 2.6910E+00  8.7426E-02  1.7329E+00   3.5589E-01
 2.6924E+00  8.7474E-02  1.7330E+00   3.5633E-01
 2.6938E+00  8.7523E-02  1.7331E+00   3.5677E-01
 2.6951E+00  8.7572E-02  1.7331E+00   3.5721E-01
 2.6965E+00  8.7621E-02  1.7332E+00   3.5764E-01
 2.6980E+00  8.7671E-02  1.7333E+00   3.5809E-01
 2.6994E+00  8.7720E-02  1.7334E+00   3.5853E-01
 2.7008E+00  8.7770E-02  1.7335E+00   3.5897E-01
 2.7022E+00  8.7821E-02  1.7336E+00   3.5941E-01
 2.7036E+00  8.7871E-02  1.7337E+00   3.5985E-01
 2.7050E+00  8.7922E-02  1.7338E+00   3.6029E-01
 2.7064E+00  8.7972E-02  1.7339E+00   3.6074E-01
 2.7078E+00  8.8024E-02  1.7340E+00   3.6118E-01
 2.7092E+00  8.8075E-02  1.7341E+00   3.6162E-01
 2.7106E+00  8.8127E-02  1.7342E+00   3.6207E-01
 2.7121E+00  8.8179E-02  1.7343E+00   3.6252E-01
 2.7135E+00  8.8231E-02  1.7344E+00   3.6296E-01
 2.7149E+00  8.8284E-02  1.7345E+00   3.6341E-01
 2.7163E+00  8.8336E-02  1.7346E+00   3.6385E-01
 2.7178E+00  8.8389E-02  1.7347E+00   3.6430E-01
