From:	IO::"memilham@CRDEC-VAX4.ARPA" 15-JUN-1988 13:38
To:	HAL::DALTON
Subj:	Optical Constants: Dixon KS-2 Graphite

Received: from CRDEC-VAX4.ARPA by ames-io.ARPA with INTERNET ;
          Wed, 15 Jun 88 10:29:11 PDT
Date:     Wed, 15 Jun 88 9:16:25 EDT
From:     "Merrill E. Milham" <memilham@CRDEC-VAX4.ARPA>
To:       dalton%hal@AMES-IO.ARPA
Subject:  Optical Constants: Dixon KS-2 Graphite
Message-ID:  <8806150916.aa10235@CRDEC-VAX4.CRDEC-VAX4.ARPA>
 
DIXON KS-2 GRAPHITE PELLET    M.R.QUERRY
        wn      wl       n       k       Dn      Dk     R
      (cm-1)   (um)
      180.00 55.5556  12.972   9.768   0.854   1.415 0.82250 NKDKS2
      190.00 52.6316  12.172   9.771   0.770   1.323 0.82004 NKDKS2
      200.00 50.0000  11.393   9.614   0.689   1.200 0.81583 NKDKS2
      210.00 47.6190  10.808   9.430   0.634   1.105 0.81177 NKDKS2
      220.00 45.4545  10.256   9.141   0.588   1.009 0.80601 NKDKS2
      230.00 43.4783   9.937   8.853   0.566   0.948 0.80041 NKDKS2
      240.00 41.6667   9.608   8.714   0.539   0.896 0.79724 NKDKS2
      250.00 40.0000   9.220   8.502   0.510   0.833 0.79252 NKDKS2
      260.00 38.4615   8.938   8.265   0.492   0.784 0.78723 NKDKS2
      270.00 37.0370   8.712   8.068   0.478   0.746 0.78264 NKDKS2
      280.00 35.7143   8.495   7.897   0.464   0.711 0.77847 NKDKS2
      290.00 34.4828   8.307   7.717   0.453   0.681 0.77396 NKDKS2
      300.00 33.3333   8.146   7.612   0.442   0.656 0.77117 NKDKS2
      310.00 32.2581   7.909   7.502   0.425   0.623 0.76809 NKDKS2
      320.00 31.2500   7.699   7.334   0.413   0.591 0.76347 NKDKS2
      330.00 30.3030   7.545   7.177   0.404   0.568 0.75899 NKDKS2
      340.00 29.4118   7.384   7.040   0.394   0.544 0.75495 NKDKS2
      350.00 28.5714   7.242   6.881   0.387   0.523 0.75012 NKDKS2
      360.00 27.7778   7.117   6.754   0.380   0.505 0.74611 NKDKS2
      370.00 27.0270   6.991   6.620   0.373   0.487 0.74175 NKDKS2
      380.00 26.3158   6.888   6.490   0.367   0.472 0.73741 NKDKS2
      390.00 25.6410   6.783   6.372   0.361   0.458 0.73330 NKDKS2
      400.00 25.0000   6.690   6.252   0.356   0.445 0.72906 NKDKS2
      410.00 24.3902   6.611   6.135   0.352   0.434 0.72482 NKDKS2
      420.00 23.8095   6.537   6.033   0.348   0.424 0.72100 NKDKS2
      430.00 23.2558   6.461   5.946   0.343   0.414 0.71761 NKDKS2
      440.00 22.7273   6.372   5.853   0.338   0.402 0.71391 NKDKS2
      450.00 22.2222   6.306   5.748   0.334   0.394 0.70971 NKDKS2
      460.00 21.7391   6.253   5.663   0.331   0.387 0.70622 NKDKS2
      470.00 21.2766   6.182   5.581   0.327   0.378 0.70269 NKDKS2
      480.00 20.8333   6.124   5.490   0.324   0.370 0.69880 NKDKS2
      490.00 20.4082   6.068   5.410   0.320   0.363 0.69528 NKDKS2
      500.00 20.0000   6.023   5.326   0.317   0.357 0.69154 NKDKS2
      510.00 19.6078   5.981   5.261   0.315   0.352 0.68857 NKDKS2
      520.00 19.2308   5.926   5.193   0.311   0.346 0.68536 NKDKS2
      530.00 18.8679   5.884   5.115   0.309   0.340 0.68169 NKDKS2
      540.00 18.5185   5.848   5.049   0.306   0.336 0.67854 NKDKS2
      550.00 18.1818   5.817   4.984   0.304   0.332 0.67542 NKDKS2
      560.00 17.8571   5.781   4.936   0.302   0.328 0.67303 NKDKS2
      570.00 17.5439   5.738   4.874   0.299   0.323 0.66986 NKDKS2
      580.00 17.2414   5.708   4.813   0.296   0.319 0.66677 NKDKS2
      590.00 16.9492   5.681   4.762   0.295   0.316 0.66417 NKDKS2
      600.00 16.6667   5.652   4.719   0.293   0.312 0.66187 NKDKS2
      610.00 16.3934   5.614   4.664   0.290   0.308 0.65895 NKDKS2
      620.00 16.1290   5.596   4.616   0.288   0.306 0.65642 NKDKS2
      630.00 15.8730   5.572   4.579   0.287   0.303 0.65442 NKDKS2
      640.00 15.6250   5.535   4.544   0.284   0.299 0.65236 NKDKS2
      650.00 15.3846   5.501   4.491   0.282   0.295 0.64937 NKDKS2
      660.00 15.1515   5.480   4.449   0.280   0.293 0.64706 NKDKS2
      670.00 14.9254   5.457   4.405   0.278   0.290 0.64457 NKDKS2
      680.00 14.7059   5.441   4.365   0.277   0.288 0.64233 NKDKS2
      690.00 14.4928   5.422   4.328   0.275   0.286 0.64026 NKDKS2
      700.00 14.2857   5.408   4.301   0.274   0.284 0.63869 NKDKS2
      710.00 14.0845   5.381   4.279   0.273   0.282 0.63723 NKDKS2
      720.00 13.8889   5.352   4.243   0.270   0.278 0.63496 NKDKS2
      730.00 13.6986   5.336   4.211   0.269   0.277 0.63311 NKDKS2
      740.00 13.5135   5.311   4.186   0.268   0.274 0.63146 NKDKS2
      750.00 13.3333   5.291   4.152   0.266   0.272 0.62939 NKDKS2
      760.00 13.1579   5.275   4.125   0.265   0.270 0.62773 NKDKS2
      770.00 12.9870   5.255   4.103   0.263   0.268 0.62630 NKDKS2
      780.00 12.8205   5.228   4.077   0.262   0.266 0.62448 NKDKS2
      790.00 12.6582   5.211   4.046   0.260   0.264 0.62256 NKDKS2
      800.00 12.5000   5.196   4.026   0.259   0.262 0.62124 NKDKS2
      810.00 12.3457   5.177   4.001   0.258   0.260 0.61958 NKDKS2
      820.00 12.1951   5.158   3.978   0.256   0.258 0.61804 NKDKS2
      830.00 12.0482   5.140   3.954   0.255   0.257 0.61646 NKDKS2
      840.00 11.9048   5.126   3.933   0.254   0.255 0.61503 NKDKS2
      850.00 11.7647   5.116   3.917   0.253   0.254 0.61396 NKDKS2
      860.00 11.6279   5.099   3.913   0.252   0.253 0.61348 NKDKS2
      870.00 11.4943   5.059   3.888   0.250   0.249 0.61152 NKDKS2
      880.00 11.3636   5.049   3.854   0.249   0.248 0.60936 NKDKS2
      890.00 11.2360   5.035   3.842   0.248   0.247 0.60845 NKDKS2
      900.00 11.1111   5.019   3.825   0.247   0.245 0.60723 NKDKS2
      910.00 10.9890   5.003   3.807   0.246   0.243 0.60594 NKDKS2
      920.00 10.8696   4.986   3.794   0.245   0.242 0.60488 NKDKS2
      930.00 10.7527   4.969   3.779   0.244   0.240 0.60372 NKDKS2
      940.00 10.6383   4.948   3.770   0.243   0.239 0.60285 NKDKS2
      950.00 10.5263   4.924   3.749   0.241   0.237 0.60128 NKDKS2
      960.00 10.4167   4.911   3.732   0.240   0.235 0.60003 NKDKS2
      970.00 10.3093   4.892   3.716   0.239   0.234 0.59871 NKDKS2
      980.00 10.2041   4.878   3.700   0.238   0.232 0.59755 NKDKS2
      990.00 10.1010   4.859   3.686   0.237   0.231 0.59637 NKDKS2
     1000.00 10.0000   4.843   3.670   0.236   0.229 0.59513 NKDKS2
     1010.00  9.9010   4.825   3.653   0.235   0.228 0.59378 NKDKS2
     1020.00  9.8039   4.814   3.638   0.234   0.227 0.59267 NKDKS2
     1030.00  9.7087   4.798   3.630   0.233   0.225 0.59185 NKDKS2
     1040.00  9.6154   4.779   3.620   0.232   0.224 0.59092 NKDKS2
     1050.00  9.5238   4.758   3.601   0.231   0.222 0.58937 NKDKS2
     1060.00  9.4340   4.745   3.585   0.230   0.221 0.58813 NKDKS2
     1070.00  9.3458   4.729   3.569   0.229   0.219 0.58687 NKDKS2
     1080.00  9.2593   4.723   3.558   0.228   0.219 0.58601 NKDKS2
     1090.00  9.1743   4.703   3.553   0.227   0.217 0.58538 NKDKS2
     1100.00  9.0909   4.684   3.538   0.226   0.215 0.58407 NKDKS2
     1110.00  9.0090   4.664   3.523   0.225   0.214 0.58274 NKDKS2
     1120.00  8.9286   4.651   3.501   0.224   0.213 0.58103 NKDKS2
     1130.00  8.8496   4.647   3.490   0.223   0.212 0.58027 NKDKS2
     1140.00  8.7719   4.634   3.486   0.223   0.211 0.57974 NKDKS2
     1150.00  8.6957   4.612   3.474   0.222   0.209 0.57859 NKDKS2
     1160.00  8.6207   4.600   3.457   0.221   0.208 0.57723 NKDKS2
     1170.00  8.5470   4.588   3.449   0.220   0.207 0.57644 NKDKS2
     1180.00  8.4746   4.576   3.437   0.219   0.206 0.57542 NKDKS2
     1190.00  8.4034   4.564   3.427   0.219   0.205 0.57453 NKDKS2
     1200.00  8.3333   4.547   3.417   0.218   0.204 0.57360 NKDKS2
     1210.00  8.2645   4.533   3.401   0.217   0.203 0.57223 NKDKS2
