Basaltic glass data from Pollack et al., Icarus, 19, 372-389, 1973
and Lamy, Icarus, 34, 68-75, 1977
0.1 <= wavelength < 0.42 microns, from Lamy
0.42 < wavelength < 5 micrometers from Pollack Table II
wavelengths > 5 micrometers calculated from Pollack oscillator paramters
  wavelength  real index  imag. index
 0.1000E+00  1.4200E+00   6.5000E-01
 0.1050E+00  1.4800E+00   6.8000E-01
 0.1100E+00  1.5800E+00   6.6000E-01
 0.1150E+00  1.6200E+00   6.0000E-01
 0.1200E+00  1.6200E+00   5.9000E-01
 0.1250E+00  1.6800E+00   6.1000E-01
 0.1300E+00  1.7900E+00   6.0000E-01
 0.1350E+00  1.8900E+00   5.1000E-01
 0.1400E+00  1.9400E+00   3.9000E-01
 0.1450E+00  1.9200E+00   2.6000E-01
 0.1500E+00  1.8700E+00   1.8000E-01
 0.1550E+00  1.8100E+00   1.4000E-01
 0.1600E+00  1.7600E+00   1.3000E-01
 0.1650E+00  1.7400E+00   1.2000E-01
 0.1700E+00  1.7200E+00   1.1000E-01
 0.1750E+00  1.7000E+00   1.1000E-01
 0.1800E+00  1.6800E+00   1.1000E-01
 0.1850E+00  1.6800E+00   1.0000E-01
 0.1900E+00  1.6700E+00   9.6000E-02
 0.1950E+00  1.6600E+00   9.3000E-02
 0.2000E+00  1.6500E+00   9.0000E-02
 0.2100E+00  1.6300E+00   8.7000E-02
 0.2200E+00  1.6300E+00   8.6000E-02
 0.2300E+00  1.6200E+00   8.3000E-02
 0.2400E+00  1.6200E+00   7.8000E-02
 0.2500E+00  1.6200E+00   7.3000E-02
 0.2600E+00  1.6200E+00   6.8000E-02
 0.2700E+00  1.6100E+00   5.8000E-02
 0.2800E+00  1.6100E+00   5.0000E-02
 0.2900E+00  1.6100E+00   4.2000E-02
 0.3000E+00  1.6000E+00   3.0000E-02
 0.3100E+00  1.6000E+00   2.0000E-02
 0.3200E+00  1.6000E+00   1.4000E-02
 0.3300E+00  1.6000E+00   9.0000E-03
 0.3400E+00  1.5900E+00   5.8000E-03
 0.3500E+00  1.5900E+00   3.9000E-03
