Basalt optical constant data from Pollack et al., Icarus, 19, 372-389, 1973
and Lamy, Icarus, 34, 68-75, 1977
0.1 <= wavelength < 0.42 microns, from Lamy
0.42 < wavelength < 5 microns, from Pollack Table II
Wavelengths >= 5 microns, calculated from Pollack oscillator parameters 
  wavelength  real index  imag. index
 0.1000E+00  1.3500E+00   5.4000E-01
 0.1050E+00  1.4000E+00   5.7000E-01
 0.1100E+00  1.4700E+00   5.5000E-01
 0.1150E+00  1.5200E+00   5.1000E-01
 0.1200E+00  1.5300E+00   4.8000E-01
 0.1250E+00  1.5600E+00   4.8000E-01
 0.1300E+00  1.6200E+00   4.6000E-01
 0.1350E+00  1.6700E+00   4.2000E-01
 0.1400E+00  1.6900E+00   3.5000E-01
 0.1450E+00  1.7000E+00   3.0000E-01
 0.1500E+00  1.6900E+00   2.5000E-01
 0.1550E+00  1.6700E+00   2.1000E-01
 0.1600E+00  1.6500E+00   1.9000E-01
 0.1650E+00  1.6400E+00   1.7000E-01
 0.1700E+00  1.6300E+00   1.5000E-01
 0.1750E+00  1.6100E+00   1.4000E-01
 0.1800E+00  1.6000E+00   1.4000E-01
 0.1850E+00  1.5900E+00   1.3000E-01
 0.1900E+00  1.5800E+00   1.2000E-01
 0.1950E+00  1.5800E+00   1.2000E-01
 0.2000E+00  1.5700E+00   1.2000E-01
 0.2100E+00  1.5600E+00   1.1000E-01
 0.2200E+00  1.5600E+00   8.4000E-02
 0.2300E+00  1.5500E+00   7.6000E-02
 0.2400E+00  1.5500E+00   4.6000E-02
 0.2500E+00  1.5500E+00   2.4000E-02
 0.2600E+00  1.5500E+00   1.8000E-02
 0.2700E+00  1.5400E+00   7.0000E-03
 0.2800E+00  1.5400E+00   4.0000E-03
 0.2900E+00  1.5400E+00   2.8000E-03
 0.3000E+00  1.5300E+00   2.0000E-03
 0.3100E+00  1.5300E+00   1.7000E-03
 0.3200E+00  1.5300E+00   1.5000E-03
 0.3300E+00  1.5200E+00   1.3000E-03
 0.3400E+00  1.5200E+00   1.2000E-03
 0.3500E+00  1.5200E+00   1.1000E-03
 0.3600E+00  1.5200E+00   1.0000E-03
 0.3700E+00  1.5200E+00   1.0000E-03
 0.3800E+00  1.5200E+00   9.6000E-04
 0.3900E+00  1.5200E+00   9.8000E-04
 0.4000E+00  1.5200E+00   9.0000E-04
 0.4200E+00  1.5200E+00   8.8000E-04
 0.4400E+00  1.5200E+00   8.8000E-04
 0.4600E+00  1.5200E+00   8.8000E-04
 0.4800E+00  1.5200E+00   9.1000E-04
 0.5000E+00  1.5200E+00   9.2000E-04
 0.5200E+00  1.5196E+00   9.2000E-04
 0.5400E+00  1.5192E+00   9.3000E-04
 0.5600E+00  1.5188E+00   9.5000E-04
 0.5800E+00  1.5184E+00   9.5000E-04
 0.6000E+00  1.5180E+00   9.9000E-04
 0.7000E+00  1.5160E+00   1.1000E-03
 0.8000E+00  1.5140E+00   1.3000E-03
 0.9000E+00  1.5120E+00   1.4000E-03
 1.0000E+00  1.5100E+00   1.6000E-03
 1.1000E+00  1.5100E+00   1.7000E-03
 1.2000E+00  1.5100E+00   1.8000E-03
 1.3000E+00  1.5100E+00   1.9000E-03
 1.4000E+00  1.5100E+00   2.1000E-03
 1.5000E+00  1.5100E+00   2.2000E-03
 1.6000E+00  1.5100E+00   2.2000E-03
 1.7000E+00  1.5100E+00   2.4000E-03
 1.8000E+00  1.5100E+00   2.5000E-03
 1.9000E+00  1.5100E+00   2.6000E-03
 2.0000E+00  1.5100E+00   2.7000E-03
 2.1000E+00  1.5080E+00   2.8000E-03
 2.2000E+00  1.5060E+00   2.8000E-03
 2.3000E+00  1.5040E+00   2.9000E-03
 2.4000E+00  1.5020E+00   3.0000E-03
 2.5000E+00  1.5000E+00   3.1000E-03
 2.5500E+00  1.4980E+00   3.1000E-03
 2.6000E+00  1.4960E+00   3.2000E-03
 2.6500E+00  1.4940E+00   3.2000E-03
 2.7000E+00  1.4920E+00   3.3000E-03
 2.7500E+00  1.4900E+00   3.5000E-03
 2.8000E+00  1.4880E+00   3.8000E-03
 2.8500E+00  1.4860E+00   4.0000E-03
 2.9000E+00  1.4840E+00   4.1000E-03
 2.9500E+00  1.4820E+00   4.1000E-03
 3.0000E+00  1.4800E+00   4.3000E-03
 3.0500E+00  1.4795E+00   4.4000E-03
 3.1000E+00  1.4790E+00   4.2000E-03
 3.1500E+00  1.4785E+00   4.2000E-03
 3.2000E+00  1.4780E+00   4.2000E-03
 3.2500E+00  1.4775E+00   4.2000E-03
 3.3000E+00  1.4770E+00   4.0000E-03
 3.3500E+00  1.4765E+00   4.1000E-03
 3.4000E+00  1.4760E+00   4.0000E-03
 3.4500E+00  1.4755E+00   4.1000E-03
 3.5000E+00  1.4750E+00   4.1000E-03
 3.6000E+00  1.4740E+00   4.1000E-03
 3.7000E+00  1.4730E+00   4.0000E-03
 3.8000E+00  1.4720E+00   4.2000E-03
 3.9000E+00  1.4710E+00   3.8000E-03
 4.0000E+00  1.4700E+00   3.9000E-03
 4.2500E+00  1.4600E+00   4.1000E-03
 4.5000E+00  1.4500E+00   4.4000E-03
 4.7500E+00  1.4400E+00   5.1000E-03
 5.0000E+00  1.4322E+00   5.2534E-03
 5.2500E+00  1.4200E+00   6.5296E-03
 5.5000E+00  1.4063E+00   8.1212E-03
 5.7500E+00  1.3907E+00   1.0124E-02
 6.0000E+00  1.3731E+00   1.2671E-02
 6.2500E+00  1.3528E+00   1.5955E-02
 6.5000E+00  1.3293E+00   2.0262E-02
 6.7500E+00  1.3018E+00   2.6025E-02
 7.0000E+00  1.2693E+00   3.3937E-02
 7.2500E+00  1.2300E+00   4.5148E-02
 7.5000E+00  1.1819E+00   6.1689E-02
 7.7500E+00  1.1218E+00   8.7401E-02
 8.0000E+00  1.0454E+00   1.3017E-01
 8.2500E+00  9.4959E-01   2.0741E-01
 8.5000E+00  8.4758E-01   3.5528E-01
 8.7500E+00  8.1346E-01   6.0215E-01
 9.0000E+00  9.4249E-01   8.6442E-01
 9.2500E+00  1.1858E+00   9.7788E-01
 9.5000E+00  1.3215E+00   9.6386E-01
 9.7500E+00  1.3991E+00   1.0630E+00
 1.0000E+01  1.6517E+00   1.1782E+00
 1.0250E+01  1.9447E+00   1.0983E+00
 1.0500E+01  2.1838E+00   9.3363E-01
 1.0750E+01  2.2965E+00   6.1973E-01
 1.1000E+01  2.2167E+00   3.8815E-01
 1.1250E+01  2.1136E+00   2.6908E-01
 1.1500E+01  2.0273E+00   2.0405E-01
 1.1750E+01  1.9573E+00   1.6515E-01
 1.2000E+01  1.8994E+00   1.4040E-01
 1.2250E+01  1.8500E+00   1.2414E-01
 1.2500E+01  1.8066E+00   1.1347E-01
 1.2750E+01  1.7673E+00   1.0678E-01
 1.3000E+01  1.7309E+00   1.0318E-01
 1.3250E+01  1.6962E+00   1.0220E-01
 1.3500E+01  1.6624E+00   1.0365E-01
 1.3750E+01  1.6289E+00   1.0757E-01
 1.4000E+01  1.5949E+00   1.1423E-01
 1.4250E+01  1.5599E+00   1.2418E-01
 1.4500E+01  1.5233E+00   1.3831E-01
 1.4750E+01  1.4846E+00   1.5806E-01
 1.5000E+01  1.4438E+00   1.8562E-01
 1.5250E+01  1.4017E+00   2.2434E-01
 1.5500E+01  1.3611E+00   2.7889E-01
 1.5750E+01  1.3297E+00   3.5433E-01
 1.6000E+01  1.3223E+00   4.5154E-01
 1.6250E+01  1.3584E+00   5.5688E-01
 1.6500E+01  1.4431E+00   6.3658E-01
 1.6750E+01  1.5467E+00   6.5881E-01
 1.7000E+01  1.6220E+00   6.3163E-01
 1.7250E+01  1.6519E+00   5.9544E-01
 1.7500E+01  1.6541E+00   5.8045E-01
 1.7750E+01  1.6552E+00   5.9281E-01
 1.8000E+01  1.6750E+00   6.2173E-01
 1.8250E+01  1.7213E+00   6.4669E-01
 1.8500E+01  1.7845E+00   6.4756E-01
 1.8750E+01  1.8435E+00   6.1787E-01
 1.9000E+01  1.8809E+00   5.6808E-01
 1.9250E+01  1.8927E+00   5.1453E-01
 1.9500E+01  1.8845E+00   4.6860E-01
 1.9750E+01  1.8640E+00   4.3479E-01
 2.0000E+01  1.8374E+00   4.1348E-01
 2.0250E+01  1.8087E+00   4.0345E-01
 2.0500E+01  1.7804E+00   4.0324E-01
 2.0750E+01  1.7540E+00   4.1154E-01
 2.1000E+01  1.7309E+00   4.2726E-01
 2.1250E+01  1.7121E+00   4.4946E-01
 2.1500E+01  1.6986E+00   4.7715E-01
 2.1750E+01  1.6916E+00   5.0919E-01
 2.2000E+01  1.6918E+00   5.4416E-01
 2.2250E+01  1.7001E+00   5.8032E-01
 2.2500E+01  1.7166E+00   6.1564E-01
 2.2750E+01  1.7409E+00   6.4797E-01
 2.3000E+01  1.7719E+00   6.7527E-01
 2.3250E+01  1.8080E+00   6.9587E-01
 2.3500E+01  1.8469E+00   7.0876E-01
 2.3750E+01  1.8862E+00   7.1374E-01
 2.4000E+01  1.9233E+00   7.1150E-01
 2.4250E+01  1.9563E+00   7.0351E-01
 2.4500E+01  1.9838E+00   6.9190E-01
 2.4750E+01  2.0051E+00   6.7930E-01
 2.5000E+01  2.0205E+00   6.6875E-01
 2.5250E+01  2.0317E+00   6.6375E-01
 2.5500E+01  2.0432E+00   6.6794E-01
 2.5750E+01  2.0640E+00   6.8266E-01
 2.6000E+01  2.1078E+00   6.9846E-01
 2.6250E+01  2.1736E+00   6.8847E-01
 2.6500E+01  2.2281E+00   6.3983E-01
 2.6750E+01  2.2482E+00   5.7943E-01
 2.7000E+01  2.2449E+00   5.3084E-01
 2.7250E+01  2.2332E+00   4.9717E-01
 2.7500E+01  2.2205E+00   4.7458E-01
 2.7750E+01  2.2093E+00   4.5936E-01
 2.8000E+01  2.2003E+00   4.4900E-01
 2.8250E+01  2.1938E+00   4.4187E-01
 2.8500E+01  2.1896E+00   4.3688E-01
 2.8750E+01  2.1876E+00   4.3324E-01
 2.9000E+01  2.1876E+00   4.3033E-01
 2.9250E+01  2.1893E+00   4.2768E-01
 2.9500E+01  2.1925E+00   4.2491E-01
 2.9750E+01  2.1970E+00   4.2170E-01
 3.0000E+01  2.2026E+00   4.1784E-01
 3.0250E+01  2.2088E+00   4.1317E-01
 3.0500E+01  2.2155E+00   4.0760E-01
 3.0750E+01  2.2223E+00   4.0110E-01
 3.1000E+01  2.2291E+00   3.9370E-01
 3.1250E+01  2.2356E+00   3.8547E-01
 3.1500E+01  2.2417E+00   3.7652E-01
 3.1750E+01  2.2472E+00   3.6697E-01
 3.2000E+01  2.2521E+00   3.5695E-01
 3.2250E+01  2.2563E+00   3.4660E-01
 3.2500E+01  2.2598E+00   3.3605E-01
 3.2750E+01  2.2625E+00   3.2541E-01
 3.3000E+01  2.2646E+00   3.1480E-01
 3.3250E+01  2.2660E+00   3.0429E-01
 3.3500E+01  2.2667E+00   2.9397E-01
 3.3750E+01  2.2669E+00   2.8389E-01
 3.4000E+01  2.2667E+00   2.7410E-01
 3.4250E+01  2.2659E+00   2.6463E-01
 3.4500E+01  2.2648E+00   2.5550E-01
 3.4750E+01  2.2633E+00   2.4673E-01
 3.5000E+01  2.2615E+00   2.3833E-01
 3.5250E+01  2.2595E+00   2.3029E-01
 3.5500E+01  2.2573E+00   2.2261E-01
 3.5750E+01  2.2549E+00   2.1528E-01
 3.6000E+01  2.2524E+00   2.0830E-01
 3.6250E+01  2.2497E+00   2.0165E-01
 3.6500E+01  2.2470E+00   1.9532E-01
 3.6750E+01  2.2441E+00   1.8930E-01
 3.7000E+01  2.2413E+00   1.8356E-01
 3.7250E+01  2.2384E+00   1.7811E-01
 3.7500E+01  2.2355E+00   1.7291E-01
 3.7750E+01  2.2326E+00   1.6797E-01
 3.8000E+01  2.2296E+00   1.6326E-01
 3.8250E+01  2.2267E+00   1.5877E-01
 3.8500E+01  2.2238E+00   1.5449E-01
 3.8750E+01  2.2210E+00   1.5042E-01
 3.9000E+01  2.2182E+00   1.4653E-01
 3.9250E+01  2.2154E+00   1.4281E-01
 3.9500E+01  2.2126E+00   1.3927E-01
 3.9750E+01  2.2099E+00   1.3588E-01
 4.0000E+01  2.2072E+00   1.3264E-01
 4.0250E+01  2.2046E+00   1.2954E-01
 4.0500E+01  2.2020E+00   1.2657E-01
 4.0750E+01  2.1994E+00   1.2373E-01
 4.1000E+01  2.1969E+00   1.2100E-01
 4.1250E+01  2.1945E+00   1.1839E-01
 4.1500E+01  2.1921E+00   1.1588E-01
 4.1750E+01  2.1897E+00   1.1348E-01
 4.2000E+01  2.1874E+00   1.1116E-01
 4.2250E+01  2.1852E+00   1.0894E-01
 4.2500E+01  2.1830E+00   1.0680E-01
 4.2750E+01  2.1808E+00   1.0475E-01
 4.3000E+01  2.1787E+00   1.0276E-01
 4.3250E+01  2.1766E+00   1.0086E-01
 4.3500E+01  2.1745E+00   9.9015E-02
 4.3750E+01  2.1725E+00   9.7241E-02
 4.4000E+01  2.1706E+00   9.5528E-02
 4.4250E+01  2.1687E+00   9.3875E-02
 4.4500E+01  2.1668E+00   9.2278E-02
 4.4750E+01  2.1650E+00   9.0735E-02
 4.5000E+01  2.1632E+00   8.9242E-02
 4.5250E+01  2.1614E+00   8.7799E-02
 4.5500E+01  2.1597E+00   8.6402E-02
 4.5750E+01  2.1580E+00   8.5050E-02
 4.6000E+01  2.1564E+00   8.3740E-02
 4.6250E+01  2.1547E+00   8.2470E-02
 4.6500E+01  2.1532E+00   8.1239E-02
 4.6750E+01  2.1516E+00   8.0046E-02
 4.7000E+01  2.1501E+00   7.8887E-02
 4.7250E+01  2.1486E+00   7.7763E-02
 4.7500E+01  2.1471E+00   7.6672E-02
 4.7750E+01  2.1457E+00   7.5611E-02
 4.8000E+01  2.1443E+00   7.4581E-02
 4.8250E+01  2.1429E+00   7.3579E-02
 4.8500E+01  2.1416E+00   7.2605E-02
 4.8750E+01  2.1403E+00   7.1658E-02
 4.9000E+01  2.1390E+00   7.0735E-02
 4.9250E+01  2.1377E+00   6.9838E-02
 4.9500E+01  2.1364E+00   6.8963E-02
 4.9750E+01  2.1352E+00   6.8112E-02
 5.0000E+01  2.1340E+00   6.7282E-02
