Calcite "pellet" optical constants calculated from Long et al. Infrared
Phys., 34, 191-301, 1993.
    wave.    Freq.      real       imag.
  (microns)  (cm-1)    index       index
    2.5000  4000.00  1.4525E+00  2.7447E-04
    2.5025  3996.00  1.4524E+00  2.7546E-04
    2.5050  3992.00  1.4524E+00  2.7645E-04
    2.5075  3988.00  1.4524E+00  2.7744E-04
    2.5100  3984.00  1.4523E+00  2.7844E-04
    2.5126  3980.00  1.4523E+00  2.7945E-04
    2.5151  3976.00  1.4522E+00  2.8046E-04
    2.5176  3972.00  1.4522E+00  2.8148E-04
    2.5202  3968.00  1.4521E+00  2.8250E-04
    2.5227  3964.00  1.4521E+00  2.8352E-04
    2.5253  3960.00  1.4520E+00  2.8456E-04
    2.5278  3956.00  1.4520E+00  2.8559E-04
    2.5304  3952.00  1.4519E+00  2.8664E-04
    2.5329  3948.00  1.4519E+00  2.8768E-04
    2.5355  3944.00  1.4518E+00  2.8873E-04
    2.5381  3940.00  1.4518E+00  2.8979E-04
    2.5407  3936.00  1.4517E+00  2.9086E-04
    2.5432  3932.00  1.4517E+00  2.9192E-04
    2.5458  3928.00  1.4516E+00  2.9300E-04
    2.5484  3924.00  1.4516E+00  2.9408E-04
    2.5510  3920.00  1.4515E+00  2.9516E-04
    2.5536  3916.00  1.4515E+00  2.9625E-04
    2.5562  3912.00  1.4514E+00  2.9735E-04
    2.5589  3908.00  1.4514E+00  2.9845E-04
    2.5615  3904.00  1.4513E+00  2.9956E-04
    2.5641  3900.00  1.4513E+00  3.0067E-04
    2.5667  3896.00  1.4512E+00  3.0179E-04
    2.5694  3892.00  1.4512E+00  3.0292E-04
    2.5720  3888.00  1.4511E+00  3.0405E-04
    2.5747  3884.00  1.4511E+00  3.0519E-04
    2.5773  3880.00  1.4510E+00  3.0633E-04
    2.5800  3876.00  1.4510E+00  3.0748E-04
    2.5826  3872.00  1.4509E+00  3.0863E-04
    2.5853  3868.00  1.4509E+00  3.0979E-04
    2.5880  3864.00  1.4508E+00  3.1096E-04
    2.5907  3860.00  1.4508E+00  3.1213E-04
    2.5934  3856.00  1.4507E+00  3.1331E-04
    2.5961  3852.00  1.4507E+00  3.1450E-04
    2.5988  3848.00  1.4506E+00  3.1569E-04
    2.6015  3844.00  1.4506E+00  3.1689E-04
    2.6042  3840.00  1.4505E+00  3.1809E-04
    2.6069  3836.00  1.4505E+00  3.1930E-04
    2.6096  3832.00  1.4504E+00  3.2052E-04
    2.6123  3828.00  1.4504E+00  3.2174E-04
    2.6151  3824.00  1.4503E+00  3.2297E-04
    2.6178  3820.00  1.4502E+00  3.2421E-04
    2.6205  3816.00  1.4502E+00  3.2545E-04
    2.6233  3812.00  1.4501E+00  3.2670E-04
    2.6261  3808.00  1.4501E+00  3.2795E-04
    2.6288  3804.00  1.4500E+00  3.2922E-04
    2.6316  3800.00  1.4500E+00  3.3049E-04
    2.6344  3796.00  1.4499E+00  3.3176E-04
    2.6371  3792.00  1.4499E+00  3.3305E-04
    2.6399  3788.00  1.4498E+00  3.3434E-04
    2.6427  3784.00  1.4498E+00  3.3563E-04
    2.6455  3780.00  1.4497E+00  3.3694E-04
    2.6483  3776.00  1.4496E+00  3.3825E-04
    2.6511  3772.00  1.4496E+00  3.3957E-04
    2.6539  3768.00  1.4495E+00  3.4089E-04
    2.6567  3764.00  1.4495E+00  3.4223E-04
    2.6596  3760.00  1.4494E+00  3.4357E-04
    2.6624  3756.00  1.4494E+00  3.4491E-04
    2.6652  3752.00  1.4493E+00  3.4627E-04
    2.6681  3748.00  1.4492E+00  3.4763E-04
    2.6709  3744.00  1.4492E+00  3.4900E-04
    2.6738  3740.00  1.4491E+00  3.5038E-04
    2.6767  3736.00  1.4491E+00  3.5176E-04
    2.6795  3732.00  1.4490E+00  3.5316E-04
    2.6824  3728.00  1.4490E+00  3.5456E-04
    2.6853  3724.00  1.4489E+00  3.5596E-04
    2.6882  3720.00  1.4488E+00  3.5738E-04
    2.6911  3716.00  1.4488E+00  3.5880E-04
    2.6940  3712.00  1.4487E+00  3.6023E-04
    2.6969  3708.00  1.4487E+00  3.6167E-04
    2.6998  3704.00  1.4486E+00  3.6312E-04
    2.7027  3700.00  1.4485E+00  3.6458E-04
    2.7056  3696.00  1.4485E+00  3.6604E-04
    2.7086  3692.00  1.4484E+00  3.6751E-04
    2.7115  3688.00  1.4484E+00  3.6899E-04
    2.7144  3684.00  1.4483E+00  3.7048E-04
    2.7174  3680.00  1.4482E+00  3.7198E-04
    2.7203  3676.00  1.4482E+00  3.7348E-04
    2.7233  3672.00  1.4481E+00  3.7500E-04
    2.7263  3668.00  1.4480E+00  3.7652E-04
    2.7293  3664.00  1.4480E+00  3.7805E-04
    2.7322  3660.00  1.4479E+00  3.7959E-04
