From Roush et al. (2007) J. Geophys. Res.-Planets
Gypsum optical constants from Fresnel measurements.
Frequency  Real    Imaginary
 (cm-1)    index    index
400.1543 1.707927 0.4014287
401.1186 1.704808 0.4015599
402.0828 1.70171 0.4016228
403.047 1.698636 0.4016175
404.0112 1.695587 0.4015455
404.9755 1.692567 0.4014073
405.9397 1.689578 0.4012044
406.9039 1.686623 0.4009378
407.8681 1.683705 0.4006087
408.8324 1.680825 0.4002186
409.7966 1.677986 0.3997692
410.7608 1.675192 0.3992623
411.7251 1.672443 0.3986992
412.6893 1.669743 0.3980823
413.6535 1.667095 0.3974134
414.6177 1.664499 0.3966945
415.582 1.661958 0.3959278
416.5462 1.659475 0.3951159
417.5104 1.657052 0.3942613
418.4746 1.65469 0.3933664
419.4389 1.652392 0.3924337
420.4031 1.650159 0.3914664
421.3673 1.647993 0.3904672
422.3316 1.645896 0.389439
423.2958 1.64387 0.3883853
424.26 1.641916 0.3873092
425.2242 1.640035 0.3862138
426.1885 1.638229 0.3851029
427.1527 1.636499 0.38398
428.1169 1.634846 0.3828491
429.0811 1.633271 0.3817138
430.0454 1.631775 0.380578
431.0096 1.630359 0.3794464
431.9738 1.629023 0.3783227
432.9381 1.627768 0.3772114
433.9023 1.626595 0.3761171
434.8665 1.625503 0.375045
435.8307 1.624492 0.3739992
436.795 1.623562 0.3729854
437.7592 1.622712 0.3720085
438.7234 1.621943 0.3710738
439.6876 1.621253 0.3701874
440.6519 1.620641 0.3693543
441.6161 1.620105 0.3685812
442.5803 1.619644 0.3678738
443.5446 1.619256 0.3672386
444.5088 1.618937 0.3666821
445.473 1.618686 0.3662111
446.4372 1.618498 0.3658327
447.4015 1.61837 0.3655536
448.3657 1.618297 0.3653815
449.3299 1.618274 0.3653241
450.2941 1.618295 0.3653886
451.2584 1.618353 0.3655828
452.2226 1.618441 0.3659149
453.1868 1.618551 0.3663922
454.1511 1.618672 0.367023
455.1153 1.618796 0.3678148
456.0795 1.618908 0.368775
457.0437 1.618998 0.3699107
458.008 1.619049 0.3712288
458.9722 1.619047 0.372735
459.9364 1.618974 0.3744347
460.9006 1.61881 0.3763318
461.8649 1.618536 0.3784296
462.8291 1.618128 0.3807285
463.7933 1.617562 0.383228
464.7576 1.616814 0.3859256
465.7218 1.615855 0.3888142
466.686 1.614658 0.3918856
467.6502 1.613194 0.3951269
468.6145 1.611432 0.3985222
469.5787 1.609344 0.4020494
470.5429 1.606899 0.4056834
471.5071 1.60407 0.4093933
472.4714 1.600831 0.4131435
473.4356 1.597161 0.4168921
474.3998 1.593041 0.4205933
475.3641 1.588458 0.4241966
476.3283 1.583406 0.4276462
477.2925 1.577886 0.4308847
478.2567 1.571906 0.4338523
479.221 1.565485 0.4364886
480.1852 1.558652 0.4387339
481.1494 1.551442 0.4405318
482.1136 1.543901 0.4418305
483.0779 1.536084 0.4425841
484.0421 1.528052 0.4427549
485.0063 1.519873 0.4423148
485.9706 1.511616 0.4412447
486.9348 1.503356 0.4395379
487.899 1.495166 0.4371974
488.8632 1.487116 0.4342376
489.8275 1.479272 0.4306813
490.7917 1.471697 0.4265627
491.7559 1.464447 0.421921
492.7201 1.457567 0.4168027
493.6844 1.451097 0.4112575
494.6486 1.445069 0.40534
495.6128 1.439504 0.3991039
496.5771 1.434415 0.392603
497.5413 1.429812 0.3858917
498.5055 1.425693 0.3790203
499.4697 1.422053 0.3720361
500.434 1.418882 0.3649826
501.3982 1.416166 0.3579012
502.3624 1.413886 0.3508273
503.3266 1.412022 0.3437922
504.2909 1.410554 0.3368226
505.2551 1.409458 0.3299439
506.2193 1.408711 0.323175
507.1836 1.408291 0.3165311
508.1478 1.408173 0.3100273
509.112 1.408336 0.3036728
510.0762 1.408759 0.2974756
511.0405 1.409421 0.2914408
512.0047 1.410303 0.2855732
512.9689 1.411388 0.2798744
513.9331 1.412657 0.274345
514.8974 1.414097 0.2689843
515.8616 1.415692 0.2637915
516.8258 1.41743 0.2587644
517.7901 1.419298 0.2538997
518.7543 1.421286 0.2491948
519.7185 1.423384 0.2446456
520.6827 1.425582 0.2402486
521.647 1.427874 0.2359991
522.6112 1.430251 0.2318938
