Data created using the Lorantz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  These could be recalculated at any spectral resolution.
Range of validity is given as 4000-332 inverse centimeters.

high frq. dielec. const=  2.262
Lorentz line parameters
center  width  strength
 975.0  0.1439  0.7980
 750.0  0.0829  0.0630
 672.0  0.1170  0.0850
 444.6  0.1938  1.4310

 wave.    freq.   refl.       real       imag.
30.1205   332.0  0.1882       2.513      0.2025
29.9401   334.0  0.1894       2.520      0.2083
29.7619   336.0  0.1906       2.528      0.2144
29.5858   338.0  0.1918       2.536      0.2206
29.4118   340.0  0.1930       2.543      0.2272
29.2398   342.0  0.1943       2.551      0.2341
29.0698   344.0  0.1957       2.560      0.2412
28.9017   346.0  0.1970       2.568      0.2487
28.7356   348.0  0.1984       2.576      0.2565
28.5714   350.0  0.1998       2.585      0.2646
28.4091   352.0  0.2013       2.594      0.2732
28.2486   354.0  0.2028       2.603      0.2821
28.0899   356.0  0.2043       2.612      0.2915
27.9330   358.0  0.2059       2.621      0.3013
27.7778   360.0  0.2076       2.631      0.3116
27.6243   362.0  0.2092       2.640      0.3224
27.4725   364.0  0.2110       2.650      0.3337
27.3224   366.0  0.2127       2.660      0.3456
27.1739   368.0  0.2145       2.670      0.3581
27.0270   370.0  0.2164       2.680      0.3712
26.8817   372.0  0.2183       2.690      0.3851
26.7380   374.0  0.2203       2.701      0.3996
26.5957   376.0  0.2223       2.711      0.4149
26.4550   378.0  0.2244       2.721      0.4310
26.3158   380.0  0.2265       2.732      0.4480
26.1780   382.0  0.2287       2.742      0.4659
26.0417   384.0  0.2309       2.752      0.4848
25.9067   386.0  0.2332       2.763      0.5047
25.7732   388.0  0.2356       2.773      0.5256
25.6410   390.0  0.2380       2.782      0.5477
25.5102   392.0  0.2405       2.792      0.5710
25.3807   394.0  0.2431       2.801      0.5956
25.2525   396.0  0.2457       2.810      0.6214
25.1256   398.0  0.2484       2.818      0.6487
25.0000   400.0  0.2511       2.825      0.6773
24.8756   402.0  0.2539       2.832      0.7075
24.7525   404.0  0.2568       2.837      0.7391
24.6305   406.0  0.2597       2.842      0.7723
24.5098   408.0  0.2627       2.845      0.8070
24.3902   410.0  0.2657       2.846      0.8432
24.2718   412.0  0.2688       2.846      0.8810
24.1546   414.0  0.2719       2.844      0.9203
24.0385   416.0  0.2750       2.840      0.9609
23.9234   418.0  0.2781       2.833       1.003
23.8095   420.0  0.2813       2.824       1.046
23.6967   422.0  0.2844       2.811       1.090
23.5849   424.0  0.2875       2.796       1.134
23.4742   426.0  0.2905       2.777       1.179
23.3645   428.0  0.2935       2.755       1.225
23.2558   430.0  0.2964       2.728       1.269
23.1481   432.0  0.2993       2.699       1.313
23.0415   434.0  0.3019       2.665       1.356
22.9358   436.0  0.3044       2.627       1.397
22.8311   438.0  0.3068       2.586       1.436
22.7273   440.0  0.3089       2.541       1.472
22.6244   442.0  0.3108       2.494       1.506
22.5225   444.0  0.3124       2.443       1.536
22.4215   446.0  0.3138       2.390       1.562
22.3214   448.0  0.3148       2.335       1.584
22.2222   450.0  0.3155       2.278       1.602
22.1239   452.0  0.3158       2.220       1.616
22.0264   454.0  0.3157       2.162       1.625
21.9298   456.0  0.3153       2.104       1.630
21.8341   458.0  0.3144       2.046       1.631
21.7391   460.0  0.3131       1.988       1.628
21.6450   462.0  0.3114       1.932       1.621
21.5517   464.0  0.3093       1.878       1.610
21.4592   466.0  0.3067       1.825       1.596
21.3675   468.0  0.3036       1.774       1.580
21.2766   470.0  0.3001       1.725       1.560
21.1864   472.0  0.2962       1.679       1.538
21.0970   474.0  0.2918       1.635       1.514
21.0084   476.0  0.2870       1.593       1.488
20.9205   478.0  0.2818       1.554       1.460
20.8333   480.0  0.2762       1.517       1.431
20.7469   482.0  0.2702       1.482       1.401
20.6612   484.0  0.2638       1.450       1.370
20.5761   486.0  0.2570       1.420       1.337
20.4918   488.0  0.2499       1.393       1.305
20.4082   490.0  0.2425       1.368       1.271
20.3252   492.0  0.2348       1.345       1.238
20.2429   494.0  0.2269       1.324       1.204
20.1613   496.0  0.2187       1.305       1.170
20.0803   498.0  0.2104       1.288       1.136
20.0000   500.0  0.2019       1.274       1.102
19.9203   502.0  0.1934       1.261       1.068
19.8413   504.0  0.1848       1.250       1.035
19.7628   506.0  0.1762       1.240       1.001
19.6850   508.0  0.1676       1.233      0.9688
19.6078   510.0  0.1591       1.227      0.9366
19.5312   512.0  0.1508       1.222      0.9050
19.4553   514.0  0.1427       1.219      0.8740
19.3798   516.0  0.1349       1.217      0.8438
19.3050   518.0  0.1273       1.217      0.8143
19.2308   520.0  0.1200       1.218      0.7856
19.1571   522.0  0.1131       1.220      0.7577
19.0840   524.0  0.1066       1.223      0.7307
19.0114   526.0  0.1005       1.228      0.7047
18.9394   528.0  0.0947       1.233      0.6795
18.8679   530.0  0.0894       1.239      0.6554
18.7970   532.0  0.0845       1.246      0.6322
18.7266   534.0  0.0800       1.253      0.6100
18.6567   536.0  0.0760       1.261      0.5887
18.5874   538.0  0.0723       1.269      0.5684
18.5185   540.0  0.0690       1.278      0.5490
18.4502   542.0  0.0661       1.288      0.5306
18.3824   544.0  0.0635       1.298      0.5131
18.3150   546.0  0.0612       1.308      0.4964
18.2482   548.0  0.0592       1.318      0.4806
18.1818   550.0  0.0576       1.328      0.4656
18.1159   552.0  0.0561       1.339      0.4514
18.0505   554.0  0.0549       1.349      0.4379
17.9856   556.0  0.0540       1.360      0.4252
17.9211   558.0  0.0532       1.371      0.4132
17.8571   560.0  0.0526       1.382      0.4018
17.7936   562.0  0.0522       1.392      0.3911
17.7305   564.0  0.0520       1.403      0.3810
17.6678   566.0  0.0519       1.414      0.3715
17.6056   568.0  0.0519       1.425      0.3625
17.5439   570.0  0.0520       1.435      0.3540
17.4825   572.0  0.0522       1.446      0.3461
17.4216   574.0  0.0526       1.457      0.3387
17.3611   576.0  0.0530       1.467      0.3317
17.3010   578.0  0.0535       1.478      0.3251
17.2414   580.0  0.0540       1.488      0.3190
17.1821   582.0  0.0546       1.498      0.3133
17.1233   584.0  0.0553       1.508      0.3081
17.0648   586.0  0.0560       1.518      0.3032
17.0068   588.0  0.0568       1.528      0.2986
16.9492   590.0  0.0577       1.538      0.2945
16.8919   592.0  0.0585       1.548      0.2907
16.8350   594.0  0.0594       1.558      0.2872
16.7785   596.0  0.0604       1.567      0.2841
16.7224   598.0  0.0613       1.577      0.2814
16.6667   600.0  0.0623       1.587      0.2789
16.6113   602.0  0.0633       1.596      0.2768
16.5563   604.0  0.0644       1.605      0.2750
16.5017   606.0  0.0655       1.614      0.2736
16.4474   608.0  0.0666       1.624      0.2725
16.3934   610.0  0.0677       1.633      0.2717
16.3399   612.0  0.0688       1.642      0.2712
16.2866   614.0  0.0699       1.650      0.2711
16.2338   616.0  0.0711       1.659      0.2713
16.1812   618.0  0.0723       1.668      0.2719
16.1290   620.0  0.0735       1.676      0.2728
16.0772   622.0  0.0747       1.684      0.2740
16.0256   624.0  0.0759       1.693      0.2757
15.9744   626.0  0.0771       1.701      0.2777
15.9236   628.0  0.0783       1.708      0.2800
15.8730   630.0  0.0795       1.716      0.2828
15.8228   632.0  0.0807       1.723      0.2860
15.7729   634.0  0.0819       1.730      0.2895
15.7233   636.0  0.0831       1.737      0.2934
15.6740   638.0  0.0842       1.743      0.2977
15.6250   640.0  0.0854       1.749      0.3024
15.5763   642.0  0.0865       1.755      0.3074
15.5280   644.0  0.0875       1.760      0.3128
15.4799   646.0  0.0885       1.764      0.3184
15.4321   648.0  0.0895       1.768      0.3243
15.3846   650.0  0.0904       1.771      0.3305
15.3374   652.0  0.0912       1.774      0.3367
15.2905   654.0  0.0920       1.776      0.3430
15.2439   656.0  0.0926       1.777      0.3492
15.1976   658.0  0.0931       1.777      0.3552
15.1515   660.0  0.0935       1.776      0.3610
15.1057   662.0  0.0938       1.775      0.3664
15.0602   664.0  0.0940       1.773      0.3713
15.0150   666.0  0.0940       1.770      0.3756
14.9701   668.0  0.0939       1.767      0.3791
14.9254   670.0  0.0937       1.764      0.3818
14.8810   672.0  0.0934       1.760      0.3837
14.8368   674.0  0.0929       1.756      0.3846
14.7929   676.0  0.0925       1.752      0.3847
14.7493   678.0  0.0919       1.749      0.3839
14.7059   680.0  0.0914       1.746      0.3823
14.6628   682.0  0.0908       1.743      0.3799
14.6199   684.0  0.0903       1.741      0.3770
14.5773   686.0  0.0898       1.739      0.3735
14.5349   688.0  0.0893       1.738      0.3697
14.4928   690.0  0.0890       1.739      0.3657
14.4509   692.0  0.0887       1.739      0.3616
14.4092   694.0  0.0886       1.741      0.3575
14.3678   696.0  0.0885       1.743      0.3535
14.3266   698.0  0.0886       1.746      0.3498
14.2857   700.0  0.0888       1.750      0.3464
14.2450   702.0  0.0891       1.754      0.3434
14.2045   704.0  0.0895       1.758      0.3409
14.1643   706.0  0.0900       1.763      0.3389
14.1243   708.0  0.0906       1.769      0.3375
14.0845   710.0  0.0913       1.775      0.3367
14.0449   712.0  0.0921       1.780      0.3366
14.0056   714.0  0.0929       1.786      0.3371
13.9665   716.0  0.0938       1.792      0.3384
13.9276   718.0  0.0948       1.798      0.3405
13.8889   720.0  0.0958       1.804      0.3432
13.8504   722.0  0.0968       1.810      0.3467
13.8122   724.0  0.0978       1.815      0.3509
13.7741   726.0  0.0988       1.820      0.3559
13.7363   728.0  0.0998       1.824      0.3614
13.6986   730.0  0.1008       1.827      0.3676
13.6612   732.0  0.1016       1.829      0.3743
13.6240   734.0  0.1024       1.831      0.3813
13.5870   736.0  0.1030       1.831      0.3885
13.5501   738.0  0.1035       1.830      0.3956
13.5135   740.0  0.1038       1.828      0.4026
13.4771   742.0  0.1040       1.824      0.4090
13.4409   744.0  0.1039       1.820      0.4147
13.4048   746.0  0.1036       1.814      0.4194
13.3690   748.0  0.1031       1.808      0.4229
13.3333   750.0  0.1024       1.800      0.4249
13.2979   752.0  0.1015       1.793      0.4255
13.2626   754.0  0.1005       1.786      0.4245
13.2275   756.0  0.0994       1.779      0.4220
13.1926   758.0  0.0982       1.773      0.4182
13.1579   760.0  0.0970       1.767      0.4132
13.1234   762.0  0.0959       1.763      0.4072
13.0890   764.0  0.0949       1.760      0.4005
13.0548   766.0  0.0939       1.758      0.3933
13.0208   768.0  0.0931       1.757      0.3858
12.9870   770.0  0.0925       1.757      0.3783
12.9534   772.0  0.0920       1.759      0.3709
12.9199   774.0  0.0917       1.761      0.3637
12.8866   776.0  0.0916       1.764      0.3568
12.8535   778.0  0.0916       1.768      0.3504
12.8205   780.0  0.0917       1.773      0.3444
