Orthopyroxene powder pellet
from Roush, Pollack, and Orenberg, Icarus, 94, 191-208, 1991
  Wave.   real   imag.
  (um)   index  index
  5.000  1.277  0.001
  5.010  1.277  0.001
  5.020  1.277  0.001
  5.030  1.276  0.001
  5.040  1.276  0.001
  5.050  1.276  0.001
  5.061  1.276  0.001
  5.071  1.276  0.001
  5.081  1.275  0.001
  5.092  1.275  0.001
  5.102  1.275  0.001
  5.113  1.275  0.001
  5.123  1.274  0.001
  5.134  1.274  0.001
  5.144  1.274  0.001
  5.155  1.274  0.001
  5.165  1.273  0.001
  5.176  1.273  0.001
  5.187  1.273  0.001
  5.198  1.273  0.001
  5.208  1.272  0.001
  5.219  1.272  0.001
  5.230  1.272  0.001
  5.241  1.272  0.001
  5.252  1.271  0.001
  5.263  1.271  0.001
  5.274  1.271  0.001
  5.285  1.270  0.001
  5.297  1.270  0.001
  5.308  1.270  0.001
  5.319  1.270  0.001
  5.331  1.269  0.001
  5.342  1.269  0.002
  5.353  1.269  0.002
  5.365  1.268  0.002
  5.376  1.268  0.002
  5.388  1.268  0.002
  5.400  1.268  0.002
  5.411  1.267  0.002
  5.423  1.267  0.002
  5.435  1.267  0.002
  5.447  1.266  0.002
  5.458  1.266  0.002
  5.470  1.266  0.002
  5.483  1.265  0.002
  5.495  1.265  0.002
  5.507  1.265  0.002
  5.519  1.265  0.002
  5.531  1.264  0.002
  5.543  1.264  0.002
  5.556  1.263  0.002
  5.568  1.263  0.002
  5.580  1.263  0.002
  5.593  1.262  0.002
  5.605  1.262  0.002
  5.618  1.262  0.002
  5.631  1.261  0.002
  5.643  1.261  0.002
  5.656  1.261  0.002
  5.669  1.260  0.002
  5.682  1.260  0.002
  5.695  1.259  0.002
  5.708  1.259  0.002
  5.721  1.259  0.002
  5.734  1.258  0.002
  5.747  1.258  0.002
  5.760  1.258  0.002
  5.774  1.257  0.002
  5.787  1.257  0.002
  5.800  1.256  0.002
  5.814  1.256  0.002
  5.827  1.255  0.002
  5.841  1.255  0.002
  5.855  1.255  0.002
  5.869  1.254  0.002
  5.882  1.254  0.002
  5.896  1.253  0.002
  5.910  1.253  0.003
  5.924  1.252  0.003
  5.938  1.252  0.003
