data provided by Paul Lucey in 2006
derived using techniques of Lucey 1998
Forsterite, Fo= 85.7000
minimum grain size (microns)= 0.000000
maximum grain size=(microns) 45.0000
column 1= wavelength, micrometers
column 2= real index
column 3= imaginary index
 
     0.300000      1.66246  0.000240341
     0.305000      1.66246  0.000236528
     0.310000      1.66246  0.000217481
     0.315000      1.66246  0.000197774
     0.320000      1.66246  0.000180677
     0.325000      1.66246  0.000162805
     0.330000      1.66246  0.000146035
     0.335000      1.66246  0.000132623
     0.340000      1.66246  0.000119083
     0.345000      1.66246  0.000108799
     0.350000      1.66246 9.90653e-005
     0.355000      1.66246 9.11097e-005
     0.360000      1.66246 8.35127e-005
     0.365000      1.66246 7.80111e-005
     0.370000      1.66246 7.28996e-005
     0.375000      1.66246 6.90933e-005
     0.380000      1.66246 6.59372e-005
     0.385000      1.66246 6.38348e-005
     0.390000      1.66246 6.12818e-005
     0.395000      1.66246 5.93814e-005
     0.400000      1.66246 5.80801e-005
     0.405000      1.66246 5.61572e-005
     0.410000      1.66246 5.39008e-005
     0.415000      1.66246 5.26625e-005
     0.420000      1.66246 5.13928e-005
     0.425000      1.66246 5.01495e-005
     0.430000      1.66246 4.91143e-005
     0.435000      1.66246 4.81711e-005
     0.440000      1.66246 4.74445e-005
     0.445000      1.66246 4.70014e-005
     0.450000      1.66246 4.67854e-005
     0.455000      1.66246 4.63693e-005
     0.460000      1.66246 4.55571e-005
     0.465000      1.66246 4.46599e-005
     0.470000      1.66246 4.36747e-005
     0.475000      1.66246 4.20909e-005
     0.480000      1.66246 4.09257e-005
     0.485000      1.66246 4.00575e-005
     0.490000      1.66246 3.97544e-005
     0.495000      1.66246 3.91743e-005
     0.500000      1.66246 3.79191e-005
     0.505000      1.66246 3.69034e-005
     0.510000      1.66246 3.59332e-005
     0.515000      1.66246 3.54791e-005
     0.520000      1.66246 3.48080e-005
     0.525000      1.66246 3.46649e-005
     0.530000      1.66246 3.42388e-005
     0.535000      1.66246 3.39388e-005
     0.540000      1.66246 3.36977e-005
     0.545000      1.66246 3.33767e-005
     0.550000      1.66246 3.31876e-005
     0.555000      1.66246 3.31316e-005
     0.560000      1.66246 3.29986e-005
     0.565000      1.66246 3.30756e-005
     0.570000      1.66246 3.31486e-005
     0.575000      1.66246 3.33657e-005
     0.580000      1.66246 3.35077e-005
     0.585000      1.66246 3.35717e-005
     0.590000      1.66246 3.39338e-005
     0.595000      1.66246 3.40688e-005
     0.600000      1.66246 3.44319e-005
     0.605000      1.66246 3.46419e-005
     0.610000      1.66246 3.50840e-005
     0.615000      1.66246 3.54511e-005
     0.620000      1.66246 3.58982e-005
     0.625000      1.66246 3.62673e-005
     0.630000      1.66246 3.67193e-005
     0.635000      1.66246 3.71734e-005
     0.640000      1.66246 3.73845e-005
     0.645000      1.66246 3.75110e-005
     0.650000      1.66246 3.78851e-005
     0.655000      1.66246 3.81761e-005
     0.660000      1.66246 3.84682e-005
     0.665000      1.66246 3.88443e-005
     0.670000      1.66246 3.94804e-005
     0.675000      1.66246 3.98625e-005
     0.680000      1.66246 4.05066e-005
     0.685000      1.66246 4.09807e-005
     0.690000      1.66246 4.13688e-005
     0.695000      1.66246 4.18469e-005
     0.700000      1.66246 4.24190e-005
     0.705000      1.66246 4.29036e-005
     0.710000      1.66246 4.35737e-005
     0.715000      1.66246 4.42489e-005
     0.720000      1.66246 4.49300e-005
     0.725000      1.66246 4.55231e-005
     0.730000      1.66246 4.57432e-005
     0.735000      1.66246 4.66263e-005
     0.740000      1.66246 4.72304e-005
     0.745000      1.66246 4.81281e-005
     0.750000      1.66246 4.86462e-005
     0.755000      1.66246 4.98515e-005
     0.760000      1.66246 5.08727e-005
     0.765000      1.66246 5.19039e-005
     0.770000      1.66246 5.26445e-005
     0.775000      1.66246 5.32897e-005
     0.780000      1.66246 5.38368e-005
     0.785000      1.66246 5.54121e-005
     0.790000      1.66246 5.58682e-005
     0.795000      1.66246 5.68454e-005
     0.800000      1.66246 5.79371e-005
     0.805000      1.66246 5.86152e-005
     0.810000      1.66246 5.95114e-005
     0.815000      1.66246 6.06286e-005
     0.820000      1.66246 6.19709e-005
     0.825000      1.66246 6.27836e-005
     0.830000      1.66246 6.39308e-005
     0.835000      1.66246 6.53091e-005
     0.840000      1.66246 6.64783e-005
     0.845000      1.66246 6.73215e-005
     0.850000      1.66246 6.83972e-005
     0.855000      1.66246 6.95934e-005
     0.860000      1.66246 7.06866e-005
     0.865000      1.66246 7.12127e-005
     0.870000      1.66246 7.27836e-005
     0.875000      1.66246 7.37858e-005
     0.880000      1.66246 7.50300e-005
     0.885000      1.66246 7.62853e-005
     0.890000      1.66246 7.73115e-005
     0.895000      1.66246 7.88263e-005
     0.900000      1.66246 7.97504e-005
     0.905000      1.66246 8.09237e-005
     0.910000      1.66246 8.13708e-005
     0.915000      1.66246 8.30496e-005
     0.920000      1.66246 8.47449e-005
     0.925000      1.66246 8.64563e-005
     0.930000      1.66246 8.84352e-005
     0.935000      1.66246 9.03076e-005
     0.940000      1.66246 9.28386e-005
     0.945000      1.66246 9.43649e-005
     0.950000      1.66246 9.72044e-005
     0.955000      1.66246 9.95524e-005
     0.960000      1.66246  0.000101660
     0.965000      1.66246  0.000104055
     0.970000      1.66246  0.000107146
     0.975000      1.66246  0.000109732
     0.980000      1.66246  0.000112208
     0.985000      1.66246  0.000115399
     0.990000      1.66246  0.000118348
     0.995000      1.66246  0.000121190
      1.00000      1.66246  0.000124060
      1.00500      1.66246  0.000126390
      1.01000      1.66246  0.000129030
      1.01500      1.66246  0.000131405
      1.02000      1.66246  0.000133948
      1.02500      1.66246  0.000135926
      1.03000      1.66246  0.000137772
      1.03500      1.66246  0.000139630
      1.04000      1.66246  0.000141054
      1.04500      1.66246  0.000142033
      1.05000      1.66246  0.000142713
      1.05500      1.66246  0.000143545
      1.06000      1.66246  0.000144225
      1.06500      1.66246  0.000144138
      1.07000      1.66246  0.000143891
      1.07500      1.66246  0.000143482
      1.08000      1.66246  0.000142446
      1.08500      1.66246  0.000141398
      1.09000      1.66246  0.000140182
      1.09500      1.66246  0.000138642
      1.10000      1.66246  0.000137245
      1.10500      1.66246  0.000135680
      1.11000      1.66246  0.000133944
      1.11500      1.66246  0.000132507
      1.12000      1.66246  0.000130745
      1.12500      1.66246  0.000129439
      1.13000      1.66246  0.000127806
      1.13500      1.66246  0.000126634
      1.14000      1.66246  0.000125609
      1.14500      1.66246  0.000124573
      1.15000      1.66246  0.000123685
      1.15500      1.66246  0.000122310
      1.16000      1.66246  0.000121880
      1.16500      1.66246  0.000121123
      1.17000      1.66246  0.000120197
      1.17500      1.66246  0.000119421
      1.18000      1.66246  0.000118799
      1.18500      1.66246  0.000118492
      1.19000      1.66246  0.000118017
      1.19500      1.66246  0.000117535
      1.20000      1.66246  0.000117209
      1.20500      1.66246  0.000116877
      1.21000      1.66246  0.000116375
      1.21500      1.66246  0.000116031
      1.22000      1.66246  0.000115681
      1.22500      1.66246  0.000114993
      1.23000      1.66246  0.000114630
      1.23500      1.66246  0.000114095
      1.24000      1.66246  0.000113887
      1.24500      1.66246  0.000113338
      1.25000      1.66246  0.000112951
      1.25500      1.66246  0.000112558
      1.26000      1.66246  0.000111482
      1.26500      1.66246  0.000111075
      1.27000      1.66246  0.000109811
      1.27500      1.66246  0.000109902
      1.28000      1.66246  0.000108450
      1.28500      1.66246  0.000108016
      1.29000      1.66246  0.000107060
      1.29500      1.66246  0.000105925
      1.30000      1.66246  0.000104952
      1.30500      1.66246  0.000103798
      1.31000      1.66246  0.000102461
      1.31500      1.66246  0.000101636
      1.32000      1.66246  0.000100107
      1.32500      1.66246 9.92644e-005
      1.33000      1.66246 9.82401e-005
      1.33500      1.66246 9.70324e-005
      1.34000      1.66246 9.59902e-005
      1.34500      1.66246 9.45889e-005
      1.35000      1.66246 9.30026e-005
      1.35500      1.66246 9.22870e-005
      1.36000      1.66246 9.10357e-005
      1.36500      1.66246 8.97745e-005
      1.37000      1.66246 8.90373e-005
      1.37500      1.66246 8.82932e-005
      1.38000      1.66246 8.91503e-005
      1.38500      1.66246 8.83972e-005
      1.39000      1.66246 8.81771e-005
      1.39500      1.66246 8.66923e-005
      1.40000      1.66246 8.46569e-005
      1.40500      1.66246 8.24310e-005
      1.41000      1.66246 8.10967e-005
      1.41500      1.66246 7.97535e-005
      1.42000      1.66246 7.85832e-005
      1.42500      1.66246 7.74055e-005
      1.43000      1.66246 7.64013e-005
      1.43500      1.66246 7.53901e-005
      1.44000      1.66246 7.41888e-005
      1.44500      1.66246 7.31636e-005
      1.45000      1.66246 7.19469e-005
      1.45500      1.66246 7.14578e-005
      1.46000      1.66246 7.04116e-005
      1.46500      1.66246 6.95434e-005
      1.47000      1.66246 6.86682e-005
      1.47500      1.66246 6.77871e-005
      1.48000      1.66246 6.70854e-005
      1.48500      1.66246 6.65653e-005
      1.49000      1.66246 6.56671e-005
      1.49500      1.66246 6.49490e-005
      1.50000      1.66246 6.44149e-005
      1.50500      1.66246 6.40638e-005
      1.51000      1.66246 6.33317e-005
      1.51500      1.66246 6.31626e-005
      1.52000      1.66246 6.22309e-005
      1.52500      1.66246 6.18639e-005
      1.53000      1.66246 6.14938e-005
      1.53500      1.66246 6.11207e-005
      1.54000      1.66246 6.05516e-005
      1.54500      1.66246 6.03636e-005
      1.55000      1.66246 5.95944e-005
      1.55500      1.66246 5.93994e-005
      1.56000      1.66246 5.86202e-005
      1.56500      1.66246 5.82251e-005
      1.57000      1.66246 5.84112e-005
      1.57500      1.66246 5.82061e-005
      1.58000      1.66246 5.79981e-005
      1.58500      1.66246 5.75920e-005
      1.59000      1.66246 5.77741e-005
      1.59500      1.66246 5.73625e-005
      1.60000      1.66246 5.75420e-005
      1.60500      1.66246 5.75230e-005
      1.61000      1.66246 5.75025e-005
      1.61500      1.66246 5.74815e-005
      1.62000      1.66246 5.70574e-005
      1.62500      1.66246 5.76360e-005
      1.63000      1.66246 5.74095e-005
      1.63500      1.66246 5.75850e-005
      1.64000      1.66246 5.77611e-005
      1.64500      1.66246 5.77340e-005
      1.65000      1.66246 5.75015e-005
      1.65500      1.66246 5.76760e-005
      1.66000      1.66246 5.82602e-005
      1.66500      1.66246 5.82301e-005
      1.67000      1.66246 5.84052e-005
      1.67500      1.66246 5.85792e-005
      1.68000      1.66246 5.87543e-005
      1.68500      1.66246 5.89293e-005
      1.69000      1.66246 5.91043e-005
      1.69500      1.66246 5.88593e-005
      1.70000      1.66246 5.90333e-005
      1.70500      1.66246 5.94174e-005
      1.71000      1.66246 5.98035e-005
      1.71500      1.66246 5.97665e-005
      1.72000      1.66246 6.01525e-005
      1.72500      1.66246 6.03286e-005
      1.73000      1.66246 6.05026e-005
      1.73500      1.66246 6.11077e-005
      1.74000      1.66246 6.12838e-005
      1.74500      1.66246 6.14598e-005
      1.75000      1.66246 6.18529e-005
      1.75500      1.66246 6.18119e-005
      1.76000      1.66246 6.22059e-005
      1.76500      1.66246 6.23830e-005
      1.77000      1.66246 6.25595e-005
      1.77500      1.66246 6.27365e-005
      1.78000      1.66246 6.33537e-005
      1.78500      1.66246 6.37527e-005
      1.79000      1.66246 6.37097e-005
      1.79500      1.66246 6.41098e-005
      1.80000      1.66246 6.42889e-005
      1.80500      1.66246 6.44669e-005
      1.81000      1.66246 6.46459e-005
      1.81500      1.66246 6.48240e-005
      1.82000      1.66246 6.50030e-005
      1.82500      1.66246 6.56341e-005
      1.83000      1.66246 6.55871e-005
      1.83500      1.66246 6.57662e-005
      1.84000      1.66246 6.61732e-005
      1.84500      1.66246 6.63533e-005
      1.85000      1.66246 6.65333e-005
      1.85500      1.66246 6.69434e-005
      1.86000      1.66246 6.71234e-005
      1.86500      1.66246 6.75350e-005
      1.87000      1.66246 6.74845e-005
      1.87500      1.66246 6.78971e-005
      1.88000      1.66246 6.85442e-005
      1.88500      1.66246 6.89603e-005
      1.89000      1.66246 6.96124e-005
      1.89500      1.66246 7.00315e-005
      1.90000      1.66246 7.04526e-005
      1.90500      1.66246 7.08747e-005
      1.91000      1.66246 7.12978e-005
      1.91500      1.66246 7.17228e-005
      1.92000      1.66246 7.19099e-005
      1.92500      1.66246 7.23360e-005
      1.93000      1.66246 7.22840e-005
      1.93500      1.66246 7.24710e-005
      1.94000      1.66246 7.28996e-005
      1.94500      1.66246 7.30876e-005
      1.95000      1.66246 7.35177e-005
      1.95500      1.66246 7.39498e-005
      1.96000      1.66246 7.41388e-005
      1.96500      1.66246 7.43279e-005
      1.97000      1.66246 7.47619e-005
      1.97500      1.66246 7.47059e-005
      1.98000      1.66246 7.46489e-005
      1.98500      1.66246 7.48370e-005
      1.99000      1.66246 7.52731e-005
      1.99500      1.66246 7.49670e-005
      2.00000      1.66246 7.51550e-005
      2.00500      1.66246 7.50930e-005
      2.01000      1.66246 7.52801e-005
      2.01500      1.66246 7.52180e-005
      2.02000      1.66246 7.54041e-005
      2.02500      1.66246 7.53391e-005
      2.03000      1.66246 7.55251e-005
      2.03500      1.66246 7.57111e-005
      2.04000      1.66246 7.58972e-005
      2.04500      1.66246 7.58292e-005
      2.05000      1.66246 7.62693e-005
      2.05500      1.66246 7.59452e-005
      2.06000      1.66246 7.63853e-005
      2.06500      1.66246 7.65713e-005
      2.07000      1.66246 7.67564e-005
      2.07500      1.66246 7.69424e-005
      2.08000      1.66246 7.68694e-005
      2.08500      1.66246 7.73125e-005
      2.09000      1.66246 7.74985e-005
      2.09500      1.66246 7.79441e-005
      2.10000      1.66246 7.81301e-005
      2.10500      1.66246 7.83152e-005
      2.11000      1.66246 7.85022e-005
      2.11500      1.66246 7.84252e-005
      2.12000      1.66246 7.83472e-005
      2.12500      1.66246 7.90603e-005
      2.13000      1.66246 7.92463e-005
      2.13500      1.66246 7.96974e-005
      2.14000      1.66246 7.96184e-005
      2.14500      1.66246 8.03366e-005
      2.15000      1.66246 8.05236e-005
      2.15500      1.66246 8.07106e-005
      2.16000      1.66246 8.14348e-005
      2.16500      1.66246 8.10857e-005
      2.17000      1.66246 8.12728e-005
      2.17500      1.66246 8.14608e-005
      2.18000      1.66246 8.16468e-005
      2.18500      1.66246 8.21059e-005
      2.19000      1.66246 8.20219e-005
      2.19500      1.66246 8.19369e-005
      2.20000      1.66246 8.21239e-005
      2.20500      1.66246 8.20359e-005
      2.21000      1.66246 8.24970e-005
      2.21500      1.66246 8.24080e-005
      2.22000      1.66246 8.31456e-005
      2.22500      1.66246 8.27796e-005
      2.23000      1.66246 8.40738e-005
      2.23500      1.66246 8.48190e-005
      2.24000      1.66246 8.52871e-005
      2.24500      1.66246 8.60352e-005
      2.25000      1.66246 8.62272e-005
      2.25500      1.66246 8.64193e-005
      2.26000      1.66246 8.74545e-005
      2.26500      1.66246 8.87763e-005
      2.27000      1.66246 8.95374e-005
      2.27500      1.66246 8.97344e-005
      2.28000      1.66246 9.05006e-005
      2.28500      1.66246 9.09847e-005
      2.29000      1.66246 9.17538e-005
      2.29500      1.66246 9.25275e-005
      2.30000      1.66246 9.38778e-005
      2.30500      1.66246 9.49460e-005
      2.31000      1.66246 9.65953e-005
      2.31500      1.66246 9.82531e-005
      2.32000      1.66246 9.96274e-005
      2.32500      1.66246 9.95504e-005
      2.33000      1.66246 9.91813e-005
      2.33500      1.66246 9.91023e-005
      2.34000      1.66246 9.78501e-005
      2.34500      1.66246 9.60072e-005
      2.35000      1.66246 9.44519e-005
      2.35500      1.66246 9.40648e-005
      2.36000      1.66246 9.36757e-005
      2.36500      1.66246 9.47590e-005
      2.37000      1.66246 9.58472e-005
      2.37500      1.66246 9.63453e-005
      2.38000      1.66246 9.62513e-005
      2.38500      1.66246 9.67514e-005
      2.39000      1.66246 9.72525e-005
      2.39500      1.66246 9.71574e-005
      2.40000      1.66246 9.70604e-005
      2.40500      1.66246 9.72625e-005
      2.41000      1.66246 9.77661e-005
      2.41500      1.66246 9.79681e-005
      2.42000      1.66246 9.78691e-005
      2.42500      1.66246 9.83742e-005
      2.43000      1.66246 9.94874e-005
      2.43500      1.66246 9.96924e-005
      2.44000      1.66246  0.000100507
      2.44500      1.66246  0.000100407
      2.45000      1.66246 9.96944e-005
      2.45500      1.66246 9.98975e-005
      2.46000      1.66246 9.97935e-005
      2.46500      1.66246  0.000100613
      2.47000      1.66246  0.000101434
      2.47500      1.66246  0.000102877
      2.48000      1.66246  0.000103704
      2.48500      1.66246  0.000103914
      2.49000      1.66246  0.000104434
      2.49500      1.66246  0.000105268
      2.50000      1.66246  0.000106731
      2.50500      1.66246  0.000107258
      2.51000      1.66246  0.000108101
      2.51500      1.66246  0.000107056
      2.52000      1.66246  0.000106007
      2.52500      1.66246  0.000106534
      2.53000      1.66246  0.000105795
      2.53500      1.66246  0.000105053
      2.54000      1.66246  0.000106531
      2.54500      1.66246  0.000107059
      2.55000      1.66246  0.000105993
      2.55500      1.66246  0.000108438
      2.56000      1.66246  0.000108651
      2.56500      1.66246  0.000107901
      2.57000      1.66246  0.000108754
      2.57500      1.66246  0.000107354
      2.58000      1.66246  0.000107886
      2.58500      1.66246  0.000105833
      2.59000      1.66246  0.000108304
      2.59500      1.66246  0.000104946
      2.60000      1.66246  0.000109697
