data provided by Paul Lucey in 2006
derived using techniques of Lucey 1998
Forsterite, Fo= 85.6000
minimum grain size (microns)= 0.000000
maximum grain size=(microns) 45.0000
column 1= wavelength, micrometers
column 2= real index
column 3= imaginary index
 
     0.300000      1.66265  0.000183055
     0.305000      1.66265  0.000170637
     0.310000      1.66265  0.000163258
     0.315000      1.66265  0.000146249
     0.320000      1.66265  0.000131656
     0.325000      1.66265  0.000116500
     0.330000      1.66265  0.000101914
     0.335000      1.66265 8.91103e-005
     0.340000      1.66265 7.75600e-005
     0.345000      1.66265 6.80051e-005
     0.350000      1.66265 5.97024e-005
     0.355000      1.66265 5.30886e-005
     0.360000      1.66265 4.82912e-005
     0.365000      1.66265 4.38238e-005
     0.370000      1.66265 4.08047e-005
     0.375000      1.66265 3.79971e-005
     0.380000      1.66265 3.57101e-005
     0.385000      1.66265 3.39998e-005
     0.390000      1.66265 3.26155e-005
     0.395000      1.66265 3.09357e-005
     0.400000      1.66265 3.00615e-005
     0.405000      1.66265 2.81551e-005
     0.410000      1.66265 2.66903e-005
     0.415000      1.66265 2.58342e-005
     0.420000      1.66265 2.49020e-005
     0.425000      1.66265 2.42719e-005
     0.430000      1.66265 2.36787e-005
     0.435000      1.66265 2.29566e-005
     0.440000      1.66265 2.21589e-005
     0.445000      1.66265 2.20159e-005
     0.450000      1.66265 2.18649e-005
     0.455000      1.66265 2.14188e-005
     0.460000      1.66265 2.07276e-005
     0.465000      1.66265 2.01945e-005
     0.470000      1.66265 1.97645e-005
     0.475000      1.66265 1.89073e-005
     0.480000      1.66265 1.82091e-005
     0.485000      1.66265 1.80381e-005
     0.490000      1.66265 1.74335e-005
     0.495000      1.66265 1.74285e-005
     0.500000      1.66265 1.64303e-005
     0.505000      1.66265 1.57241e-005
     0.510000      1.66265 1.53151e-005
     0.515000      1.66265 1.49600e-005
     0.520000      1.66265 1.46589e-005
     0.525000      1.66265 1.43509e-005
     0.530000      1.66265 1.42278e-005
     0.535000      1.66265 1.39048e-005
     0.540000      1.66265 1.35087e-005
     0.545000      1.66265 1.32356e-005
     0.550000      1.66265 1.28886e-005
     0.555000      1.66265 1.27365e-005
     0.560000      1.66265 1.25785e-005
     0.565000      1.66265 1.24170e-005
     0.570000      1.66265 1.23190e-005
     0.575000      1.66265 1.22880e-005
     0.580000      1.66265 1.22549e-005
     0.585000      1.66265 1.22890e-005
     0.590000      1.66265 1.22519e-005
     0.595000      1.66265 1.23550e-005
     0.600000      1.66265 1.23870e-005
     0.605000      1.66265 1.24170e-005
     0.610000      1.66265 1.25195e-005
     0.615000      1.66265 1.26215e-005
     0.620000      1.66265 1.27245e-005
     0.625000      1.66265 1.29026e-005
     0.630000      1.66265 1.30056e-005
     0.635000      1.66265 1.29556e-005
     0.640000      1.66265 1.29796e-005
     0.645000      1.66265 1.28476e-005
     0.650000      1.66265 1.28686e-005
     0.655000      1.66265 1.28096e-005
     0.660000      1.66265 1.29076e-005
     0.665000      1.66265 1.29246e-005
     0.670000      1.66265 1.30216e-005
     0.675000      1.66265 1.32006e-005
     0.680000      1.66265 1.32987e-005
     0.685000      1.66265 1.34787e-005
     0.690000      1.66265 1.38268e-005
     0.695000      1.66265 1.41798e-005
     0.700000      1.66265 1.43659e-005
     0.705000      1.66265 1.47249e-005
     0.710000      1.66265 1.52591e-005
     0.715000      1.66265 1.56271e-005
     0.720000      1.66265 1.59982e-005
     0.725000      1.66265 1.64613e-005
     0.730000      1.66265 1.70174e-005
     0.735000      1.66265 1.74915e-005
     0.740000      1.66265 1.81511e-005
     0.745000      1.66265 1.89093e-005
     0.750000      1.66265 1.95844e-005
     0.755000      1.66265 2.05456e-005
     0.760000      1.66265 2.14248e-005
     0.765000      1.66265 2.23160e-005
     0.770000      1.66265 2.32176e-005
     0.775000      1.66265 2.42258e-005
     0.780000      1.66265 2.52470e-005
     0.785000      1.66265 2.62803e-005
     0.790000      1.66265 2.73255e-005
     0.795000      1.66265 2.84822e-005
     0.800000      1.66265 2.95544e-005
     0.805000      1.66265 3.04386e-005
     0.810000      1.66265 3.13328e-005
     0.815000      1.66265 3.27455e-005
     0.820000      1.66265 3.35597e-005
     0.825000      1.66265 3.45899e-005
     0.830000      1.66265 3.55261e-005
     0.835000      1.66265 3.64723e-005
     0.840000      1.66265 3.74295e-005
     0.845000      1.66265 3.86072e-005
     0.850000      1.66265 3.93714e-005
     0.855000      1.66265 4.03566e-005
     0.860000      1.66265 4.09177e-005
     0.865000      1.66265 4.18109e-005
     0.870000      1.66265 4.26025e-005
     0.875000      1.66265 4.34007e-005
     0.880000      1.66265 4.43169e-005
     0.885000      1.66265 4.53551e-005
     0.890000      1.66265 4.61752e-005
     0.895000      1.66265 4.71174e-005
     0.900000      1.66265 4.79531e-005
     0.905000      1.66265 4.89113e-005
     0.910000      1.66265 5.03426e-005
     0.915000      1.66265 5.19049e-005
     0.920000      1.66265 5.32497e-005
     0.925000      1.66265 5.47249e-005
     0.930000      1.66265 5.64563e-005
     0.935000      1.66265 5.83262e-005
     0.940000      1.66265 6.04606e-005
     0.945000      1.66265 6.23750e-005
     0.950000      1.66265 6.46809e-005
     0.955000      1.66265 6.72634e-005
     0.960000      1.66265 6.94994e-005
     0.965000      1.66265 7.22690e-005
     0.970000      1.66265 7.49440e-005
     0.975000      1.66265 7.77811e-005
     0.980000      1.66265 8.03916e-005
     0.985000      1.66265 8.35587e-005
     0.990000      1.66265 8.64993e-005
     0.995000      1.66265 8.94754e-005
      1.00000      1.66265 9.23520e-005
      1.00500      1.66265 9.51250e-005
      1.01000      1.66265 9.75180e-005
      1.01500      1.66265  0.000100073
      1.02000      1.66265  0.000102376
      1.02500      1.66265  0.000104140
      1.03000      1.66265  0.000106342
      1.03500      1.66265  0.000107997
      1.04000      1.66265  0.000109806
      1.04500      1.66265  0.000110479
      1.05000      1.66265  0.000111731
      1.05500      1.66265  0.000112263
      1.06000      1.66265  0.000112356
      1.06500      1.66265  0.000112593
      1.07000      1.66265  0.000112237
      1.07500      1.66265  0.000111727
      1.08000      1.66265  0.000111357
      1.08500      1.66265  0.000109938
      1.09000      1.66265  0.000108806
      1.09500      1.66265  0.000107065
      1.10000      1.66265  0.000105311
      1.10500      1.66265  0.000103842
      1.11000      1.66265  0.000102511
      1.11500      1.66265  0.000101017
      1.12000      1.66265 9.95114e-005
      1.12500      1.66265 9.73905e-005
      1.13000      1.66265 9.60102e-005
      1.13500      1.66265 9.49200e-005
      1.14000      1.66265 9.38208e-005
      1.14500      1.66265 9.27095e-005
      1.15000      1.66265 9.14368e-005
      1.15500      1.66265 9.04586e-005
      1.16000      1.66265 8.93184e-005
      1.16500      1.66265 8.89343e-005
      1.17000      1.66265 8.77750e-005
      1.17500      1.66265 8.72234e-005
      1.18000      1.66265 8.65103e-005
      1.18500      1.66265 8.57882e-005
      1.19000      1.66265 8.53711e-005
      1.19500      1.66265 8.49480e-005
      1.20000      1.66265 8.48330e-005
      1.20500      1.66265 8.43989e-005
      1.21000      1.66265 8.34857e-005
      1.21500      1.66265 8.33567e-005
      1.22000      1.66265 8.29046e-005
      1.22500      1.66265 8.21289e-005
      1.23000      1.66265 8.18249e-005
      1.23500      1.66265 8.15158e-005
      1.24000      1.66265 8.03996e-005
      1.24500      1.66265 8.02395e-005
      1.25000      1.66265 7.95914e-005
      1.25500      1.66265 7.92604e-005
      1.26000      1.66265 7.79501e-005
      1.26500      1.66265 7.74445e-005
      1.27000      1.66265 7.66053e-005
      1.27500      1.66265 7.59232e-005
      1.28000      1.66265 7.52350e-005
      1.28500      1.66265 7.45399e-005
      1.29000      1.66265 7.40038e-005
      1.29500      1.66265 7.27986e-005
      1.30000      1.66265 7.19169e-005
      1.30500      1.66265 7.10287e-005
      1.31000      1.66265 6.97985e-005
      1.31500      1.66265 6.88943e-005
      1.32000      1.66265 6.78151e-005
      1.32500      1.66265 6.63923e-005
      1.33000      1.66265 6.56321e-005
      1.33500      1.66265 6.41918e-005
      1.34000      1.66265 6.32486e-005
      1.34500      1.66265 6.19599e-005
      1.35000      1.66265 6.06626e-005
      1.35500      1.66265 5.98665e-005
      1.36000      1.66265 5.83822e-005
      1.36500      1.66265 5.72294e-005
      1.37000      1.66265 5.62402e-005
      1.37500      1.66265 5.49020e-005
      1.38000      1.66265 5.33827e-005
      1.38500      1.66265 5.23700e-005
      1.39000      1.66265 5.11787e-005
      1.39500      1.66265 5.01515e-005
      1.40000      1.66265 4.91183e-005
      1.40500      1.66265 4.75560e-005
      1.41000      1.66265 4.66813e-005
      1.41500      1.66265 4.56261e-005
      1.42000      1.66265 4.45629e-005
      1.42500      1.66265 4.33187e-005
      1.43000      1.66265 4.24170e-005
      1.43500      1.66265 4.11577e-005
      1.44000      1.66265 4.00665e-005
      1.44500      1.66265 3.91453e-005
      1.45000      1.66265 3.82181e-005
      1.45500      1.66265 3.72845e-005
      1.46000      1.66265 3.61672e-005
      1.46500      1.66265 3.55781e-005
      1.47000      1.66265 3.46259e-005
      1.47500      1.66265 3.38478e-005
      1.48000      1.66265 3.28846e-005
      1.48500      1.66265 3.19159e-005
      1.49000      1.66265 3.11207e-005
      1.49500      1.66265 3.05016e-005
      1.50000      1.66265 2.98775e-005
      1.50500      1.66265 2.90683e-005
      1.51000      1.66265 2.86182e-005
      1.51500      1.66265 2.79821e-005
      1.52000      1.66265 2.71574e-005
      1.52500      1.66265 2.66953e-005
      1.53000      1.66265 2.60462e-005
      1.53500      1.66265 2.55771e-005
      1.54000      1.66265 2.51050e-005
      1.54500      1.66265 2.46299e-005
      1.55000      1.66265 2.39648e-005
      1.55500      1.66265 2.36687e-005
      1.56000      1.66265 2.33707e-005
      1.56500      1.66265 2.26945e-005
      1.57000      1.66265 2.22029e-005
      1.57500      1.66265 2.18959e-005
      1.58000      1.66265 2.15868e-005
      1.58500      1.66265 2.10857e-005
      1.59000      1.66265 2.11527e-005
      1.59500      1.66265 2.08377e-005
      1.60000      1.66265 2.03286e-005
      1.60500      1.66265 2.01995e-005
      1.61000      1.66265 1.98785e-005
      1.61500      1.66265 1.95544e-005
      1.62000      1.66265 1.96144e-005
      1.62500      1.66265 1.92874e-005
      1.63000      1.66265 1.91513e-005
      1.63500      1.66265 1.90153e-005
      1.64000      1.66265 1.86812e-005
      1.64500      1.66265 1.85432e-005
      1.65000      1.66265 1.82051e-005
      1.65500      1.66265 1.82612e-005
      1.66000      1.66265 1.81171e-005
      1.66500      1.66265 1.81721e-005
      1.67000      1.66265 1.80271e-005
      1.67500      1.66265 1.78811e-005
      1.68000      1.66265 1.77350e-005
      1.68500      1.66265 1.77881e-005
      1.69000      1.66265 1.74385e-005
      1.69500      1.66265 1.74895e-005
      1.70000      1.66265 1.71364e-005
      1.70500      1.66265 1.73895e-005
      1.71000      1.66265 1.72364e-005
      1.71500      1.66265 1.72875e-005
      1.72000      1.66265 1.71334e-005
      1.72500      1.66265 1.71824e-005
      1.73000      1.66265 1.72324e-005
      1.73500      1.66265 1.72825e-005
      1.74000      1.66265 1.73315e-005
      1.74500      1.66265 1.71744e-005
      1.75000      1.66265 1.72224e-005
      1.75500      1.66265 1.72725e-005
      1.76000      1.66265 1.73215e-005
      1.76500      1.66265 1.73705e-005
      1.77000      1.66265 1.74195e-005
      1.77500      1.66265 1.72585e-005
      1.78000      1.66265 1.75180e-005
      1.78500      1.66265 1.75670e-005
      1.79000      1.66265 1.74035e-005
      1.79500      1.66265 1.72384e-005
      1.80000      1.66265 1.75010e-005
      1.80500      1.66265 1.75500e-005
      1.81000      1.66265 1.73825e-005
      1.81500      1.66265 1.74305e-005
      1.82000      1.66265 1.74785e-005
      1.82500      1.66265 1.75260e-005
      1.83000      1.66265 1.75750e-005
      1.83500      1.66265 1.76230e-005
      1.84000      1.66265 1.76710e-005
      1.84500      1.66265 1.77180e-005
      1.85000      1.66265 1.77671e-005
      1.85500      1.66265 1.78151e-005
      1.86000      1.66265 1.78631e-005
      1.86500      1.66265 1.74675e-005
      1.87000      1.66265 1.79591e-005
      1.87500      1.66265 1.82301e-005
      1.88000      1.66265 1.78311e-005
      1.88500      1.66265 1.78781e-005
      1.89000      1.66265 1.79261e-005
      1.89500      1.66265 1.79731e-005
      1.90000      1.66265 1.82471e-005
      1.90500      1.66265 1.85222e-005
      1.91000      1.66265 1.85702e-005
      1.91500      1.66265 1.83912e-005
      1.92000      1.66265 1.84392e-005
      1.92500      1.66265 1.84872e-005
      1.93000      1.66265 1.85352e-005
      1.93500      1.66265 1.83532e-005
      1.94000      1.66265 1.86312e-005
      1.94500      1.66265 1.86792e-005
      1.95000      1.66265 1.84952e-005
      1.95500      1.66265 1.87753e-005
      1.96000      1.66265 1.85902e-005
      1.96500      1.66265 1.86372e-005
      1.97000      1.66265 1.86842e-005
      1.97500      1.66265 1.84972e-005
      1.98000      1.66265 1.85442e-005
      1.98500      1.66265 1.85912e-005
      1.99000      1.66265 1.86382e-005
      1.99500      1.66265 1.86842e-005
      2.00000      1.66265 1.87312e-005
      2.00500      1.66265 1.85402e-005
      2.01000      1.66265 1.85862e-005
      2.01500      1.66265 1.86322e-005
      2.02000      1.66265 1.86782e-005
      2.02500      1.66265 1.87242e-005
      2.03000      1.66265 1.87713e-005
      2.03500      1.66265 1.88173e-005
      2.04000      1.66265 1.88633e-005
      2.04500      1.66265 1.86662e-005
      2.05000      1.66265 1.87122e-005
      2.05500      1.66265 1.90013e-005
      2.06000      1.66265 1.90483e-005
      2.06500      1.66265 1.90943e-005
      2.07000      1.66265 1.91403e-005
      2.07500      1.66265 1.91863e-005
      2.08000      1.66265 1.92333e-005
      2.08500      1.66265 1.90313e-005
      2.09000      1.66265 1.90763e-005
      2.09500      1.66265 1.91223e-005
      2.10000      1.66265 1.91683e-005
      2.10500      1.66265 1.92133e-005
      2.11000      1.66265 1.90093e-005
      2.11500      1.66265 1.93054e-005
      2.12000      1.66265 1.90993e-005
      2.12500      1.66265 1.91433e-005
      2.13000      1.66265 1.91883e-005
      2.13500      1.66265 1.94874e-005
      2.14000      1.66265 1.95334e-005
      2.14500      1.66265 1.98345e-005
      2.15000      1.66265 1.98805e-005
      2.15500      1.66265 1.99265e-005
      2.16000      1.66265 2.02295e-005
      2.16500      1.66265 2.02766e-005
      2.17000      1.66265 2.03236e-005
      2.17500      1.66265 2.01115e-005
      2.18000      1.66265 2.01575e-005
      2.18500      1.66265 2.02035e-005
      2.19000      1.66265 1.99895e-005
      2.19500      1.66265 2.00355e-005
      2.20000      1.66265 2.00805e-005
      2.20500      1.66265 2.01265e-005
      2.21000      1.66265 1.99095e-005
      2.21500      1.66265 2.02175e-005
      2.22000      1.66265 1.99995e-005
      2.22500      1.66265 2.00455e-005
      2.23000      1.66265 2.00895e-005
      2.23500      1.66265 1.98685e-005
      2.24000      1.66265 1.99135e-005
      2.24500      1.66265 2.02245e-005
      2.25000      1.66265 2.00025e-005
      2.25500      1.66265 2.00465e-005
      2.26000      1.66265 2.00905e-005
      2.26500      1.66265 2.01365e-005
      2.27000      1.66265 2.01805e-005
      2.27500      1.66265 2.02245e-005
      2.28000      1.66265 2.02686e-005
      2.28500      1.66265 2.03136e-005
      2.29000      1.66265 2.03576e-005
      2.29500      1.66265 2.01295e-005
      2.30000      1.66265 2.01735e-005
      2.30500      1.66265 2.02175e-005
      2.31000      1.66265 2.05356e-005
      2.31500      1.66265 2.05796e-005
      2.32000      1.66265 2.03496e-005
      2.32500      1.66265 2.06686e-005
      2.33000      1.66265 2.04356e-005
      2.33500      1.66265 2.04806e-005
      2.34000      1.66265 2.05246e-005
      2.34500      1.66265 2.11247e-005
      2.35000      1.66265 2.08907e-005
      2.35500      1.66265 2.12157e-005
      2.36000      1.66265 2.12608e-005
      2.36500      1.66265 2.13058e-005
      2.37000      1.66265 2.13508e-005
      2.37500      1.66265 2.13958e-005
      2.38000      1.66265 2.14408e-005
      2.38500      1.66265 2.14858e-005
      2.39000      1.66265 2.15308e-005
      2.39500      1.66265 2.15758e-005
      2.40000      1.66265 2.13358e-005
      2.40500      1.66265 2.16658e-005
      2.41000      1.66265 2.14248e-005
      2.41500      1.66265 2.17559e-005
      2.42000      1.66265 2.20889e-005
      2.42500      1.66265 2.18459e-005
      2.43000      1.66265 2.18909e-005
      2.43500      1.66265 2.19369e-005
      2.44000      1.66265 2.19819e-005
      2.44500      1.66265 2.20269e-005
      2.45000      1.66265 2.23620e-005
      2.45500      1.66265 2.24080e-005
      2.46000      1.66265 2.21629e-005
      2.46500      1.66265 2.25000e-005
      2.47000      1.66265 2.25455e-005
      2.47500      1.66265 2.25905e-005
      2.48000      1.66265 2.23420e-005
      2.48500      1.66265 2.23870e-005
      2.49000      1.66265 2.24320e-005
      2.49500      1.66265 2.21809e-005
      2.50000      1.66265 2.22239e-005
      2.50500      1.66265 2.22690e-005
      2.51000      1.66265 2.20159e-005
      2.51500      1.66265 2.20599e-005
      2.52000      1.66265 2.24030e-005
      2.52500      1.66265 2.21469e-005
      2.53000      1.66265 2.18899e-005
      2.53500      1.66265 2.19339e-005
      2.54000      1.66265 2.16748e-005
      2.54500      1.66265 2.26245e-005
      2.55000      1.66265 2.35787e-005
      2.55500      1.66265 2.14988e-005
      2.56000      1.66265 2.27576e-005
      2.56500      1.66265 2.34117e-005
      2.57000      1.66265 2.34577e-005
      2.57500      1.66265 2.38108e-005
      2.58000      1.66265 2.32426e-005
      2.58500      1.66265 2.42098e-005
      2.59000      1.66265 2.33327e-005
      2.59500      1.66265 2.43039e-005
      2.60000      1.66265 2.28046e-005
