data provided by Paul Lucey in 2006
derived using techniques of Lucey 1998
Forsterite, Fo= 85.7000
minimum grain size (microns)= 45.0000
maximum grain size=(microns) 90.0000
column 1= wavelength, micrometers
column 2= real index
column 3= imaginary index
 
     0.300000      1.66246  0.000167870
     0.305000      1.66246  0.000162076
     0.310000      1.66246  0.000156456
     0.315000      1.66246  0.000142298
     0.320000      1.66246  0.000125014
     0.325000      1.66246  0.000108475
     0.330000      1.66246 9.42198e-005
     0.335000      1.66246 7.92203e-005
     0.340000      1.66246 6.65673e-005
     0.345000      1.66246 5.63133e-005
     0.350000      1.66246 4.81381e-005
     0.355000      1.66246 4.16068e-005
     0.360000      1.66246 3.65913e-005
     0.365000      1.66246 3.29656e-005
     0.370000      1.66246 3.02956e-005
     0.375000      1.66246 2.83812e-005
     0.380000      1.66246 2.71134e-005
     0.385000      1.66246 2.62593e-005
     0.390000      1.66246 2.53081e-005
     0.395000      1.66246 2.45449e-005
     0.400000      1.66246 2.45459e-005
     0.405000      1.66246 2.27916e-005
     0.410000      1.66246 2.20049e-005
     0.415000      1.66246 2.13478e-005
     0.420000      1.66246 2.09237e-005
     0.425000      1.66246 2.06116e-005
     0.430000      1.66246 2.03736e-005
     0.435000      1.66246 2.01895e-005
     0.440000      1.66246 1.99555e-005
     0.445000      1.66246 2.01395e-005
     0.450000      1.66246 2.04526e-005
     0.455000      1.66246 2.02656e-005
     0.460000      1.66246 1.95884e-005
     0.465000      1.66246 1.90543e-005
     0.470000      1.66246 1.77851e-005
     0.475000      1.66246 1.68764e-005
     0.480000      1.66246 1.61962e-005
     0.485000      1.66246 1.61432e-005
     0.490000      1.66246 1.60872e-005
     0.495000      1.66246 1.59812e-005
     0.500000      1.66246 1.49930e-005
     0.505000      1.66246 1.43079e-005
     0.510000      1.66246 1.39278e-005
     0.515000      1.66246 1.36317e-005
     0.520000      1.66246 1.33507e-005
     0.525000      1.66246 1.32717e-005
     0.530000      1.66246 1.30026e-005
     0.535000      1.66246 1.27746e-005
     0.540000      1.66246 1.24710e-005
     0.545000      1.66246 1.22790e-005
     0.550000      1.66246 1.20819e-005
     0.555000      1.66246 1.20229e-005
     0.560000      1.66246 1.19619e-005
     0.565000      1.66246 1.19719e-005
     0.570000      1.66246 1.20529e-005
     0.575000      1.66246 1.22079e-005
     0.580000      1.66246 1.23900e-005
     0.585000      1.66246 1.25215e-005
     0.590000      1.66246 1.27055e-005
     0.595000      1.66246 1.29156e-005
     0.600000      1.66246 1.31016e-005
     0.605000      1.66246 1.33417e-005
     0.610000      1.66246 1.36367e-005
     0.615000      1.66246 1.39088e-005
     0.620000      1.66246 1.42378e-005
     0.625000      1.66246 1.44609e-005
     0.630000      1.66246 1.47690e-005
     0.635000      1.66246 1.49140e-005
     0.640000      1.66246 1.49200e-005
     0.645000      1.66246 1.50080e-005
     0.650000      1.66246 1.49830e-005
     0.655000      1.66246 1.51270e-005
     0.660000      1.66246 1.51850e-005
     0.665000      1.66246 1.53001e-005
     0.670000      1.66246 1.55311e-005
     0.675000      1.66246 1.57942e-005
     0.680000      1.66246 1.60892e-005
     0.685000      1.66246 1.65063e-005
     0.690000      1.66246 1.68684e-005
     0.695000      1.66246 1.72034e-005
     0.700000      1.66246 1.76960e-005
     0.705000      1.66246 1.81631e-005
     0.710000      1.66246 1.86992e-005
     0.715000      1.66246 1.94314e-005
     0.720000      1.66246 2.01745e-005
     0.725000      1.66246 2.08637e-005
     0.730000      1.66246 2.15948e-005
     0.735000      1.66246 2.23040e-005
     0.740000      1.66246 2.31556e-005
     0.745000      1.66246 2.39858e-005
     0.750000      1.66246 2.55121e-005
     0.755000      1.66246 2.65463e-005
     0.760000      1.66246 2.75970e-005
     0.765000      1.66246 2.86992e-005
     0.770000      1.66246 2.98185e-005
     0.775000      1.66246 3.09917e-005
     0.780000      1.66246 3.22189e-005
     0.785000      1.66246 3.35777e-005
     0.790000      1.66246 3.46189e-005
     0.795000      1.66246 3.60182e-005
     0.800000      1.66246 3.72464e-005
     0.805000      1.66246 3.85322e-005
     0.810000      1.66246 3.99165e-005
     0.815000      1.66246 4.12808e-005
     0.820000      1.66246 4.25855e-005
     0.825000      1.66246 4.39078e-005
     0.830000      1.66246 4.52501e-005
     0.835000      1.66246 4.65273e-005
     0.840000      1.66246 4.80761e-005
     0.845000      1.66246 4.93044e-005
     0.850000      1.66246 5.06786e-005
     0.855000      1.66246 5.17208e-005
     0.860000      1.66246 5.29516e-005
     0.865000      1.66246 5.39738e-005
     0.870000      1.66246 5.55941e-005
     0.875000      1.66246 5.68264e-005
     0.880000      1.66246 5.81181e-005
     0.885000      1.66246 5.94264e-005
     0.890000      1.66246 6.07977e-005
     0.895000      1.66246 6.23760e-005
     0.900000      1.66246 6.44099e-005
     0.905000      1.66246 6.58392e-005
     0.910000      1.66246 6.78801e-005
     0.915000      1.66246 6.98005e-005
     0.920000      1.66246 7.20549e-005
     0.925000      1.66246 7.39328e-005
     0.930000      1.66246 7.68274e-005
     0.935000      1.66246 7.95644e-005
     0.940000      1.66246 8.23500e-005
     0.945000      1.66246 8.55691e-005
     0.950000      1.66246 8.86832e-005
     0.955000      1.66246 9.23090e-005
     0.960000      1.66246 9.56631e-005
     0.965000      1.66246 9.94344e-005
     0.970000      1.66246  0.000102865
     0.975000      1.66246  0.000106847
     0.980000      1.66246  0.000110727
     0.985000      1.66246  0.000114684
     0.990000      1.66246  0.000118850
     0.995000      1.66246  0.000122972
      1.00000      1.66246  0.000126508
      1.00500      1.66246  0.000130650
      1.01000      1.66246  0.000133700
      1.01500      1.66246  0.000136863
      1.02000      1.66246  0.000140431
      1.02500      1.66246  0.000143265
      1.03000      1.66246  0.000146355
      1.03500      1.66246  0.000148091
      1.04000      1.66246  0.000150286
      1.04500      1.66246  0.000150859
      1.05000      1.66246  0.000152555
      1.05500      1.66246  0.000153131
      1.06000      1.66246  0.000153781
      1.06500      1.66246  0.000153367
      1.07000      1.66246  0.000152569
      1.07500      1.66246  0.000151612
      1.08000      1.66246  0.000149970
      1.08500      1.66246  0.000148851
      1.09000      1.66246  0.000146452
      1.09500      1.66246  0.000144280
      1.10000      1.66246  0.000141665
      1.10500      1.66246  0.000139497
      1.11000      1.66246  0.000136892
      1.11500      1.66246  0.000134438
      1.12000      1.66246  0.000132350
      1.12500      1.66246  0.000130335
      1.13000      1.66246  0.000128391
      1.13500      1.66246  0.000126375
      1.14000      1.66246  0.000124217
      1.14500      1.66246  0.000122697
      1.15000      1.66246  0.000121032
      1.15500      1.66246  0.000119364
      1.16000      1.66246  0.000118327
      1.16500      1.66246  0.000117074
      1.17000      1.66246  0.000116026
      1.17500      1.66246  0.000115325
      1.18000      1.66246  0.000113987
      1.18500      1.66246  0.000112994
      1.19000      1.66246  0.000112417
      1.19500      1.66246  0.000111764
      1.20000      1.66246  0.000111247
      1.20500      1.66246  0.000110374
      1.21000      1.66246  0.000109564
      1.21500      1.66246  0.000108820
      1.22000      1.66246  0.000108072
      1.22500      1.66246  0.000107810
      1.23000      1.66246  0.000106911
      1.23500      1.66246  0.000106006
      1.24000      1.66246  0.000105308
      1.24500      1.66246  0.000104323
      1.25000      1.66246  0.000103404
      1.25500      1.66246  0.000102550
      1.26000      1.66246  0.000101550
      1.26500      1.66246  0.000100757
      1.27000      1.66246 9.93964e-005
      1.27500      1.66246 9.84532e-005
      1.28000      1.66246 9.76450e-005
      1.28500      1.66246 9.62012e-005
      1.29000      1.66246 9.49650e-005
      1.29500      1.66246 9.34447e-005
      1.30000      1.66246 9.21989e-005
      1.30500      1.66246 9.05326e-005
      1.31000      1.66246 8.91413e-005
      1.31500      1.66246 8.76770e-005
      1.32000      1.66246 8.62783e-005
      1.32500      1.66246 8.48070e-005
      1.33000      1.66246 8.29196e-005
      1.33500      1.66246 8.13738e-005
      1.34000      1.66246 7.96884e-005
      1.34500      1.66246 7.81371e-005
      1.35000      1.66246 7.68554e-005
      1.35500      1.66246 7.58422e-005
      1.36000      1.66246 7.40768e-005
      1.36500      1.66246 7.22410e-005
      1.37000      1.66246 7.08097e-005
      1.37500      1.66246 6.88353e-005
      1.38000      1.66246 6.89503e-005
      1.38500      1.66246 6.72374e-005
      1.39000      1.66246 6.59942e-005
      1.39500      1.66246 6.45449e-005
      1.40000      1.66246 6.24210e-005
      1.40500      1.66246 6.03656e-005
      1.41000      1.66246 5.82421e-005
      1.41500      1.66246 5.66503e-005
      1.42000      1.66246 5.52551e-005
      1.42500      1.66246 5.34597e-005
      1.43000      1.66246 5.21239e-005
      1.43500      1.66246 5.07857e-005
      1.44000      1.66246 4.93124e-005
      1.44500      1.66246 4.81641e-005
      1.45000      1.66246 4.68154e-005
      1.45500      1.66246 4.53971e-005
      1.46000      1.66246 4.42378e-005
      1.46500      1.66246 4.32727e-005
      1.47000      1.66246 4.20409e-005
      1.47500      1.66246 4.08047e-005
      1.48000      1.66246 3.99595e-005
      1.48500      1.66246 3.89133e-005
      1.49000      1.66246 3.77971e-005
      1.49500      1.66246 3.68094e-005
      1.50000      1.66246 3.59482e-005
      1.50500      1.66246 3.51500e-005
      1.51000      1.66246 3.43469e-005
      1.51500      1.66246 3.35407e-005
      1.52000      1.66246 3.27315e-005
      1.52500      1.66246 3.19849e-005
      1.53000      1.66246 3.12337e-005
      1.53500      1.66246 3.07426e-005
      1.54000      1.66246 3.01175e-005
      1.54500      1.66246 2.94224e-005
      1.55000      1.66246 2.89223e-005
      1.55500      1.66246 2.85522e-005
      1.56000      1.66246 2.78491e-005
      1.56500      1.66246 2.76060e-005
      1.57000      1.66246 2.70284e-005
      1.57500      1.66246 2.66483e-005
      1.58000      1.66246 2.63993e-005
      1.58500      1.66246 2.59482e-005
      1.59000      1.66246 2.54941e-005
      1.59500      1.66246 2.52380e-005
      1.60000      1.66246 2.49140e-005
      1.60500      1.66246 2.46549e-005
      1.61000      1.66246 2.43259e-005
      1.61500      1.66246 2.41308e-005
      1.62000      1.66246 2.39348e-005
      1.62500      1.66246 2.36687e-005
      1.63000      1.66246 2.35367e-005
      1.63500      1.66246 2.31996e-005
      1.64000      1.66246 2.29966e-005
      1.64500      1.66246 2.29296e-005
      1.65000      1.66246 2.27926e-005
      1.65500      1.66246 2.27235e-005
      1.66000      1.66246 2.25155e-005
      1.66500      1.66246 2.23760e-005
      1.67000      1.66246 2.22349e-005
      1.67500      1.66246 2.21619e-005
      1.68000      1.66246 2.20889e-005
      1.68500      1.66246 2.19449e-005
      1.69000      1.66246 2.19399e-005
      1.69500      1.66246 2.17929e-005
      1.70000      1.66246 2.15758e-005
      1.70500      1.66246 2.16388e-005
      1.71000      1.66246 2.16318e-005
      1.71500      1.66246 2.16238e-005
      1.72000      1.66246 2.15448e-005
      1.72500      1.66246 2.14638e-005
      1.73000      1.66246 2.15268e-005
      1.73500      1.66246 2.16608e-005
      1.74000      1.66246 2.15788e-005
      1.74500      1.66246 2.15688e-005
      1.75000      1.66246 2.14858e-005
      1.75500      1.66246 2.14738e-005
      1.76000      1.66246 2.16078e-005
      1.76500      1.66246 2.17428e-005
      1.77000      1.66246 2.17308e-005
      1.77500      1.66246 2.17919e-005
      1.78000      1.66246 2.17068e-005
      1.78500      1.66246 2.17679e-005
      1.79000      1.66246 2.18289e-005
      1.79500      1.66246 2.19639e-005
      1.80000      1.66246 2.19499e-005
      1.80500      1.66246 2.20859e-005
      1.81000      1.66246 2.21469e-005
      1.81500      1.66246 2.18329e-005
      1.82000      1.66246 2.19689e-005
      1.82500      1.66246 2.19539e-005
      1.83000      1.66246 2.20889e-005
      1.83500      1.66246 2.23770e-005
      1.84000      1.66246 2.24380e-005
      1.84500      1.66246 2.24995e-005
      1.85000      1.66246 2.24070e-005
      1.85500      1.66246 2.24680e-005
      1.86000      1.66246 2.22980e-005
      1.86500      1.66246 2.24350e-005
      1.87000      1.66246 2.29586e-005
      1.87500      1.66246 2.28646e-005
      1.88000      1.66246 2.26145e-005
      1.88500      1.66246 2.26755e-005
      1.89000      1.66246 2.28136e-005
      1.89500      1.66246 2.30306e-005
      1.90000      1.66246 2.34847e-005
