data provided by Paul Lucey in 2006
derived using techniques of Lucey 1998
Forsterite, Fo= 11.0000
minimum grain size (microns)= 0.000000
maximum grain size=(microns) 60.0000
column 1= wavelength, micrometers
column 2= real index
column 3= imaginary index
 
     0.221100      1.80588 1.81736e-006
     0.229100      1.80588 5.09057e-005
     0.236100      1.80588  0.000137659
     0.242100      1.80588  0.000195968
     0.248100      1.80588  0.000224522
     0.253600      1.80588  0.000236242
     0.258600      1.80588  0.000242632
     0.263600      1.80588  0.000248368
     0.268600      1.80588  0.000256632
     0.273100      1.80588  0.000267432
     0.277100      1.80588  0.000272740
     0.281100      1.80588  0.000276794
     0.285100      1.80588  0.000292136
     0.289100      1.80588  0.000305991
     0.293100      1.80588  0.000307547
     0.297100      1.80588  0.000318310
     0.301100      1.80588  0.000325279
     0.305100      1.80588  0.000338529
     0.309100      1.80588  0.000350468
     0.313100      1.80588  0.000362820
     0.317100      1.80588  0.000380028
     0.321100      1.80588  0.000392208
     0.325100      1.80588  0.000393152
     0.329100      1.80588  0.000405099
     0.333100      1.80588  0.000425150
     0.337100      1.80588  0.000429263
     0.341100      1.80588  0.000432758
     0.345100      1.80588  0.000438843
     0.349100      1.80588  0.000397932
     0.353100      1.80588  0.000461681
     0.357100      1.80588  0.000475285
     0.360600      1.80588  0.000449584
     0.363600      1.80588  0.000447567
     0.366600      1.80588  0.000440741
     0.369600      1.80588  0.000432328
     0.372600      1.80588  0.000419670
     0.375600      1.80588  0.000415291
     0.378600      1.80588  0.000401069
     0.381100      1.80588  0.000395245
     0.383100      1.80588  0.000382256
     0.385100      1.80588  0.000374234
     0.387100      1.80588  0.000359242
     0.389100      1.80588  0.000352270
     0.391100      1.80588  0.000335834
     0.393100      1.80588  0.000336434
     0.395100      1.80588  0.000322857
     0.397100      1.80588  0.000315286
     0.399100      1.80588  0.000313257
     0.401100      1.80588  0.000311364
     0.403100      1.80588  0.000306832
     0.405100      1.80588  0.000305597
     0.407100      1.80588  0.000298827
     0.409100      1.80588  0.000284481
     0.411100      1.80588  0.000283674
     0.412800      1.80588  0.000274629
     0.415800      1.80588  0.000266707
     0.418800      1.80588  0.000257741
     0.421800      1.80588  0.000256133
     0.424800      1.80588  0.000252358
     0.427800      1.80588  0.000249837
     0.430800      1.80588  0.000248941
     0.433800      1.80588  0.000247430
     0.436800      1.80588  0.000248634
     0.439800      1.80588  0.000241416
     0.442800      1.80588  0.000240002
     0.445800      1.80588  0.000243811
     0.448800      1.80588  0.000248478
     0.451300      1.80588  0.000249965
     0.453300      1.80588  0.000253440
     0.455300      1.80588  0.000255390
     0.457300      1.80588  0.000256302
     0.459300      1.80588  0.000253255
     0.461300      1.80588  0.000252598
     0.463300      1.80588  0.000247744
     0.465300      1.80588  0.000245169
     0.467300      1.80588  0.000245014
     0.469300      1.80588  0.000244753
     0.471300      1.80588  0.000240596
     0.473300      1.80588  0.000241716
     0.475300      1.80588  0.000238572
     0.477300      1.80588  0.000233031
     0.479300      1.80588  0.000224856
     0.481300      1.80588  0.000222055
     0.483300      1.80588  0.000218356
     0.485300      1.80588  0.000219536
     0.487300      1.80588  0.000218873
     0.489300      1.80588  0.000219679
     0.491300      1.80588  0.000218545
     0.493300      1.80588  0.000220918
     0.495300      1.80588  0.000221347
     0.497300      1.80588  0.000222709
     0.499300      1.80588  0.000220985
     0.501300      1.80588  0.000218155
     0.503300      1.80588  0.000212891
     0.505300      1.80588  0.000210483
     0.507300      1.80588  0.000204633
     0.509300      1.80588  0.000200797
     0.511300      1.80588  0.000199068
     0.513300      1.80588  0.000193251
     0.515300      1.80588  0.000191299
     0.517300      1.80588  0.000190107
     0.519300      1.80588  0.000186998
     0.521300      1.80588  0.000186804
     0.523300      1.80588  0.000185116
     0.525300      1.80588  0.000186820
     0.527300      1.80588  0.000183636
     0.529300      1.80588  0.000184994
     0.531300      1.80588  0.000182553
     0.533300      1.80588  0.000180941
     0.535300      1.80588  0.000177871
     0.537300      1.80588  0.000175948
     0.539300      1.80588  0.000175716
     0.541300      1.80588  0.000174116
     0.543300      1.80588  0.000172278
     0.545300      1.80588  0.000171000
     0.547300      1.80588  0.000168065
     0.549300      1.80588  0.000167891
     0.551300      1.80588  0.000167793
     0.553300      1.80588  0.000165727
     0.555300      1.80588  0.000165072
     0.557300      1.80588  0.000164962
     0.559300      1.80588  0.000163832
     0.561300      1.80588  0.000163167
     0.563300      1.80588  0.000165003
     0.565300      1.80588  0.000163781
     0.567300      1.80588  0.000163889
     0.569300      1.80588  0.000165018
     0.571300      1.80588  0.000163468
     0.573300      1.80588  0.000163410
     0.575300      1.80588  0.000163822
     0.577300      1.80588  0.000163207
     0.579300      1.80588  0.000163930
     0.581300      1.80588  0.000165451
     0.583300      1.80588  0.000166260
     0.585300      1.80588  0.000165868
     0.587300      1.80588  0.000165552
     0.589300      1.80588  0.000168537
     0.591300      1.80588  0.000165955
     0.593300      1.80588  0.000166758
     0.595300      1.80588  0.000168702
     0.597300      1.80588  0.000170169
     0.599300      1.80588  0.000170000
     0.601100      1.80588  0.000169196
     0.602700      1.80588  0.000170141
     0.604300      1.80588  0.000170922
     0.605900      1.80588  0.000172204
     0.607500      1.80588  0.000173409
     0.609100      1.80588  0.000173698
     0.610700      1.80588  0.000174826
     0.612300      1.80588  0.000174947
     0.613900      1.80588  0.000174898
     0.615500      1.80588  0.000174174
     0.617100      1.80588  0.000177849
     0.618700      1.80588  0.000178310
     0.620300      1.80588  0.000176636
     0.621900      1.80588  0.000178117
     0.623500      1.80588  0.000176693
     0.625100      1.80588  0.000177061
     0.626700      1.80588  0.000178115
     0.628300      1.80588  0.000176767
     0.629900      1.80588  0.000176617
     0.631700      1.80588  0.000176779
     0.633700      1.80588  0.000177941
     0.635700      1.80588  0.000176606
     0.637700      1.80588  0.000175700
     0.639700      1.80588  0.000174706
     0.641700      1.80588  0.000175081
     0.643700      1.80588  0.000176661
     0.645700      1.80588  0.000173078
     0.647700      1.80588  0.000171478
     0.649700      1.80588  0.000173377
     0.651700      1.80588  0.000171083
     0.653700      1.80588  0.000172379
     0.655700      1.80588  0.000172133
     0.657700      1.80588  0.000170515
     0.659700      1.80588  0.000172235
     0.661700      1.80588  0.000172499
     0.663700      1.80588  0.000173453
     0.665700      1.80588  0.000174063
     0.667700      1.80588  0.000173628
     0.670200      1.80588  0.000175764
     0.673200      1.80588  0.000177079
     0.676200      1.80588  0.000178756
     0.679200      1.80588  0.000180801
     0.682200      1.80588  0.000181060
     0.685200      1.80588  0.000182489
     0.688200      1.80588  0.000184106
     0.691200      1.80588  0.000186282
     0.694200      1.80588  0.000189218
     0.697200      1.80588  0.000190317
     0.700200      1.80588  0.000193675
     0.702000      1.80588  0.000193795
     0.704000      1.80588  0.000195581
     0.706000      1.80588  0.000197284
     0.708000      1.80588  0.000200156
     0.710000      1.80588  0.000202179
     0.712000      1.80588  0.000204021
     0.714000      1.80588  0.000207655
     0.716000      1.80588  0.000208535
     0.718000      1.80588  0.000210118
     0.720000      1.80588  0.000212514
     0.722000      1.80588  0.000214322
     0.724000      1.80588  0.000215018
     0.726000      1.80588  0.000216020
     0.728000      1.80588  0.000221365
     0.730000      1.80588  0.000222077
     0.732000      1.80588  0.000226152
     0.734000      1.80588  0.000227513
     0.736000      1.80588  0.000228132
     0.738000      1.80588  0.000230892
     0.740000      1.80588  0.000231625
     0.742000      1.80588  0.000236811
     0.744000      1.80588  0.000239536
     0.746000      1.80588  0.000240623
     0.748000      1.80588  0.000246629
     0.750500      1.80588  0.000248697
     0.753500      1.80588  0.000254498
     0.756500      1.80588  0.000259112
     0.759500      1.80588  0.000264383
     0.762500      1.80588  0.000269974
     0.765500      1.80588  0.000279093
     0.768500      1.80588  0.000280559
     0.771500      1.80588  0.000286536
     0.774500      1.80588  0.000292997
     0.777500      1.80588  0.000301792
     0.781000      1.80588  0.000310725
     0.785000      1.80588  0.000322273
     0.789000      1.80588  0.000328938
     0.793000      1.80588  0.000342334
     0.797000      1.80588  0.000353785
     0.801500      1.80588  0.000368087
     0.806500      1.80588  0.000387759
     0.811500      1.80588  0.000402642
     0.816500      1.80588  0.000417849
     0.822000      1.80588  0.000440817
     0.828000      1.80588  0.000460861
     0.835000      1.80588  0.000487644
     0.843000      1.80588  0.000520705
     0.851000      1.80588  0.000584366
     0.859000      1.80588  0.000624660
     0.871000      1.80588  0.000710275
     0.883000      1.80588  0.000738709
     0.894000      1.80588  0.000818588
     0.904000      1.80588  0.000837887
     0.914000      1.80588  0.000884449
     0.924000      1.80588  0.000933480
     0.933000      1.80588   0.00100617
     0.941000      1.80588   0.00103953
     0.949000      1.80588   0.00107220
     0.957000      1.80588   0.00111942
     0.964000      1.80588   0.00115739
     0.970000      1.80588   0.00118858
     0.976000      1.80588   0.00121240
     0.982000      1.80588   0.00127031
     0.988000      1.80588   0.00130761
     0.994000      1.80588   0.00135906
      1.00000      1.80588   0.00139359
      1.00600      1.80588   0.00143472
      1.01200      1.80588   0.00149411
      1.01800      1.80588   0.00153068
      1.02350      1.80588   0.00155587
      1.02850      1.80588   0.00160076
      1.03350      1.80588   0.00160773
      1.03850      1.80588   0.00165450
      1.04350      1.80588   0.00167184
      1.04850      1.80588   0.00174997
      1.05350      1.80588   0.00179004
      1.05850      1.80588   0.00179949
      1.06350      1.80588   0.00180417
      1.06850      1.80588   0.00190939
      1.07350      1.80588   0.00191416
      1.07850      1.80588   0.00190440
      1.08350      1.80588   0.00193936
      1.08850      1.80588   0.00191069
      1.09350      1.80588   0.00192257
      1.09850      1.80588   0.00195767
      1.10350      1.80588   0.00202231
      1.10850      1.80588   0.00197872
      1.11350      1.80588   0.00197474
      1.11850      1.80588   0.00201406
      1.12350      1.80588   0.00203530
      1.12850      1.80588   0.00197558
      1.13350      1.80588   0.00201348
      1.13850      1.80588   0.00200818
      1.14350      1.80588   0.00199326
      1.14850      1.80588   0.00196494
      1.15350      1.80588   0.00200961
      1.15850      1.80588   0.00200970
      1.16350      1.80588   0.00198955
      1.16850      1.80588   0.00196050
      1.17350      1.80588   0.00193927
      1.17850      1.80588   0.00200243
      1.18350      1.80588   0.00200562
      1.18850      1.80588   0.00202799
      1.19350      1.80588   0.00197643
      1.19850      1.80588   0.00206691
      1.20350      1.80588   0.00204599
      1.20850      1.80588   0.00208638
      1.21350      1.80588   0.00208056
      1.21850      1.80588   0.00208470
      1.22350      1.80588   0.00209548
      1.22850      1.80588   0.00211865
      1.23350      1.80588   0.00209478
      1.23850      1.80588   0.00208341
      1.24350      1.80588   0.00209182
      1.24850      1.80588   0.00217163
      1.25350      1.80588   0.00210532
      1.25850      1.80588   0.00221029
      1.26350      1.80588   0.00217206
      1.26850      1.80588   0.00216910
      1.27350      1.80588   0.00221630
      1.27850      1.80588   0.00220253
      1.28350      1.80588   0.00221114
      1.28850      1.80588   0.00227277
      1.29350      1.80588   0.00223790
      1.29850      1.80588   0.00227564
      1.30350      1.80588   0.00236138
      1.30850      1.80588   0.00218735
      1.31350      1.80588   0.00221307
      1.31850      1.80588   0.00227750
      1.32350      1.80588   0.00226675
      1.32850      1.80588   0.00226688
      1.33350      1.80588   0.00225983
      1.33850      1.80588   0.00230099
      1.34350      1.80588   0.00230713
      1.34850      1.80588   0.00233306
      1.35350      1.80588   0.00230466
      1.35850      1.80588   0.00226263
      1.36350      1.80588   0.00224274
      1.36850      1.80588   0.00228765
      1.37350      1.80588   0.00222327
      1.37850      1.80588   0.00225919
      1.38350      1.80588   0.00225685
      1.38850      1.80588   0.00215021
      1.39350      1.80588   0.00216885
      1.39850      1.80588   0.00217664
      1.40350      1.80588   0.00211347
      1.40850      1.80588   0.00213156
      1.41350      1.80588   0.00208075
      1.41850      1.80588   0.00204769
      1.42350      1.80588   0.00203309
      1.42850      1.80588   0.00197653
      1.43350      1.80588   0.00196371
      1.43850      1.80588   0.00187561
      1.44350      1.80588   0.00190332
      1.44850      1.80588   0.00184283
      1.45350      1.80588   0.00184153
      1.45850      1.80588   0.00179450
      1.46350      1.80588   0.00176346
      1.46850      1.80588   0.00171084
      1.47350      1.80588   0.00167738
      1.47850      1.80588   0.00173253
      1.48350      1.80588   0.00163022
      1.48850      1.80588   0.00167211
      1.49350      1.80588   0.00155497
      1.49850      1.80588   0.00154078
      1.50350      1.80588   0.00150662
      1.50850      1.80588   0.00145911
      1.51350      1.80588   0.00144668
      1.51850      1.80588   0.00143438
      1.52350      1.80588   0.00140439
      1.52850      1.80588   0.00134062
      1.53400      1.80588   0.00134937
