data provided by Paul Lucey in 2006
derived using techniques of Lucey 1998
Forsterite, Fo= 60.0000
minimum grain size (microns)= 0.000000
maximum grain size=(microns) 60.0000
column 1= wavelength, micrometers
column 2= real index
column 3= imaginary index
 
     0.221100      1.71180 1.02716e-005
     0.229100      1.71180 1.34027e-006
     0.236100      1.71180 3.47820e-005
     0.242100      1.71180 8.87693e-005
     0.248100      1.71180  0.000139743
     0.253600      1.71180  0.000174287
     0.258600      1.71180  0.000199052
     0.263600      1.71180  0.000221055
     0.268600      1.71180  0.000242006
     0.273100      1.71180  0.000258963
     0.277100      1.71180  0.000269103
     0.281100      1.71180  0.000272662
     0.285100      1.71180  0.000278754
     0.289100      1.71180  0.000286298
     0.293100      1.71180  0.000292940
     0.297100      1.71180  0.000294926
     0.301100      1.71180  0.000297825
     0.305100      1.71180  0.000300220
     0.309100      1.71180  0.000304034
     0.313100      1.71180  0.000301293
     0.317100      1.71180  0.000303086
     0.321100      1.71180  0.000300875
     0.325100      1.71180  0.000299237
     0.329100      1.71180  0.000295814
     0.333100      1.71180  0.000287144
     0.337100      1.71180  0.000277077
     0.341100      1.71180  0.000263900
     0.345100      1.71180  0.000251607
     0.349100      1.71180  0.000248975
     0.353100      1.71180  0.000232619
     0.357100      1.71180  0.000217617
     0.360600      1.71180  0.000198392
     0.363600      1.71180  0.000183558
     0.366600      1.71180  0.000171542
     0.369600      1.71180  0.000160949
     0.372600      1.71180  0.000148646
     0.375600      1.71180  0.000140625
     0.378600      1.71180  0.000132149
     0.381100      1.71180  0.000126565
     0.383100      1.71180  0.000123639
     0.385100      1.71180  0.000119795
     0.387100      1.71180  0.000115249
     0.389100      1.71180  0.000112866
     0.391100      1.71180  0.000111397
     0.393100      1.71180  0.000107403
     0.395100      1.71180  0.000105554
     0.397100      1.71180  0.000104867
     0.399100      1.71180  0.000104895
     0.401100      1.71180  0.000106483
     0.403100      1.71180  0.000105946
     0.405100      1.71180 9.98655e-005
     0.407100      1.71180 9.57372e-005
     0.409100      1.71180 9.31486e-005
     0.411100      1.71180 9.02035e-005
     0.412800      1.71180 8.90993e-005
     0.415800      1.71180 8.79021e-005
     0.418800      1.71180 8.68504e-005
     0.421800      1.71180 8.66813e-005
     0.424800      1.71180 8.60822e-005
     0.427800      1.71180 8.58952e-005
     0.430800      1.71180 8.56991e-005
     0.433800      1.71180 8.58692e-005
     0.436800      1.71180 8.57121e-005
     0.439800      1.71180 8.44209e-005
     0.442800      1.71180 8.53741e-005
     0.445800      1.71180 8.72044e-005
     0.448800      1.71180 8.85072e-005
     0.451300      1.71180 8.96104e-005
     0.453300      1.71180 9.01195e-005
     0.455300      1.71180 9.09097e-005
     0.457300      1.71180 8.91743e-005
     0.459300      1.71180 8.92834e-005
     0.461300      1.71180 8.95034e-005
     0.463300      1.71180 8.70254e-005
     0.465300      1.71180 8.73445e-005
     0.467300      1.71180 8.63163e-005
     0.469300      1.71180 8.57872e-005
     0.471300      1.71180 8.62653e-005
     0.473300      1.71180 8.41008e-005
     0.475300      1.71180 8.22760e-005
     0.477300      1.71180 8.02856e-005
     0.479300      1.71180 7.85192e-005
     0.481300      1.71180 7.82392e-005
     0.483300      1.71180 7.80661e-005
     0.485300      1.71180 7.86122e-005
     0.487300      1.71180 7.86012e-005
     0.489300      1.71180 7.96524e-005
     0.491300      1.71180 8.00905e-005
     0.493300      1.71180 7.99645e-005
     0.495300      1.71180 8.08567e-005
     0.497300      1.71180 8.01005e-005
     0.499300      1.71180 7.81501e-005
     0.501300      1.71180 7.59782e-005
